Malmunj	id=g:1468082
Srē Pastē Kanḏow	id=g:1469520
Waṟah Kêlay	id=g:1469521
Indzêr Sar	id=g:1469522
Tūr Gaṟay Sar	id=g:1469523
Shaykh Bābā Sar	id=g:1469524
Wêch S̲h̲ākh	id=g:1469525
Waṟah Ghar	id=g:1469526
Sharakaī Ghar	id=g:1469527
‘Alī Chakan Sar	id=g:1469528
Gêrdī Sar	id=g:1469530
Māṯū Sar	id=g:1469531
Mīā Sayyid Bābā	id=g:1469532
Ākhund Bābā	id=g:1469533
Wêrsêk	id=g:1469534
Ḩājī Bābā	id=g:1469535
Rāghêh	id=g:1469536
Bōlat Ghar	id=g:1469537
Mādī Kats	id=g:1469538
Gaṟêy	id=g:1469539
Gaziabad	id=g:1469540
Gunḏyānī	id=g:1469541
Aratuna	id=g:1469542
Kharkanay	id=g:1469543
Bela	id=g:1469544
Chīnē Kalā	id=g:1469545
Kuchian	id=g:1469546
Anī Khān Khēl	id=g:1469547
Utkay	id=g:1469548
Gêrdābē Ghar	id=g:1469549
Ākhundzādahgān	id=g:1469550
Baṉ Bābā	id=g:1469551
Gṟêbāwah	id=g:1469552
Gora Madikachgar	id=g:1469553
Gêrday Nāw	id=g:1469554
Bātar Ghar	id=g:1469555
Ambar Khānah	id=g:1469556
Pīr-e Kāmal Bābā	id=g:1469557
Shayr Gaḏ	id=g:1469558
Chīnkī Khwaṟ	id=g:1469559
Ōsay Khwaṟ	id=g:1469560
Urochishche Chiknavar	id=g:1469561
Muhmand Darah	id=g:1469562
Khūyāzō Kêlay	id=g:1469563
Chowṉêy	id=g:1469564
Smêtsē	id=g:1469565
Bedara	id=g:1469566
Shāh Kōṯē	id=g:1469567
Gul Ḏāg	id=g:1469568
Mārsêngay	id=g:1469569
Gêrdābē Ghar	id=g:1469570
Lanḏay	id=g:1469571
Lōyah Jākah	id=g:1469572
Waṟah Jākah	id=g:1469573
Sūr Ghar	id=g:1469574
Ghêzhgaī	id=g:1469575
Spērêh Ghar	id=g:1469576
Kandāb	id=g:1469577
Kamar Ghāṟah	id=g:1469578
Sam Ghās̲h̲ē	id=g:1469579
Ūz̲h̲dah Trakay	id=g:1469580
Trakay Ghar	id=g:1469581
Dāmān Kêlay	id=g:1469582
Bāwar Ghūnḏ	id=g:1469583
Ḏāgah	id=g:1469584
Amīr Kalā Galow	id=g:1469585
Kāṯilī	id=g:1469586
Ḏōḏagêy	id=g:1469588
Arbāb Kêlay	id=g:1469589
Markaz-e Woluswalī-ye Shīnwār	id=g:1469590
Chōk	id=g:1469591
Ghūnḏ	id=g:1469592
Mohmand Darah	id=g:1469593
Nāzyān Kalā	id=g:1469594
Gêrdāb	id=g:1469595
Kapar Ghunḏ	id=g:1469596
Mār Kōh	id=g:1469597
Takyah Zīārat Kêlay	id=g:1469598
Şūfī Şāḩib	id=g:1469599
Fakirabad	id=g:1469600
Sīpīā	id=g:1469601
Bānḏuk	id=g:1469602
Purshā Khēl	id=g:1469603
Kṟapah	id=g:1469604
Kats	id=g:1469605
Tsapêrī	id=g:1469606
Surūbī	id=g:1469607
Gāwpūr	id=g:1469608
Gora Badam	id=g:1469609
Nargōsay	id=g:1469610
Wêch Kōṯ	id=g:1469611
Stazkhan	id=g:1469612
Showkāṉaī	id=g:1469613
Lanḏay	id=g:1469614
Chīnah	id=g:1469615
Ḏab Kêlay	id=g:1469616
Makṟanaī	id=g:1469617
Dāwṉaī	id=g:1469618
Bahlōl	id=g:1469619
Sparah	id=g:1469620
Tangaī	id=g:1469621
Seh Nāw Khūlah	id=g:1469622
Spīnkaī Mōrgaī	id=g:1469623
Ambār Mēlah	id=g:1469624
Tsapêrī	id=g:1469625
Sungōray	id=g:1469626
Ilyās Bābā	id=g:1469627
Faqīr Bābā	id=g:1469628
Barghōlaī	id=g:1469629
Katsō	id=g:1469630
Muḩammad Ḩusaīn Mēnah	id=g:1469631
S̲h̲êngaī	id=g:1469632
Qadamaī Pitāwē Deh	id=g:1469633
S̲h̲araway	id=g:1469634
Shalkhī Zīārat	id=g:1469635
Kāfar Ghar	id=g:1469636
Kōṯ	id=g:1469637
Gora Lakachuka	id=g:1469638
Sayyid Aḩmad Khēl	id=g:1469639
Saadatmand	id=g:1469640
Kaladzhat	id=g:1469641
Ḩaīdar Khēl	id=g:1469642
Shāshah Khēl	id=g:1469643
‘Aţā Khān Kêlay	id=g:1469644
Dōshāh	id=g:1469645
Qalandar Bābā	id=g:1469646
Rāshah Ghunḏêy	id=g:1469647
Pus̲h̲tē	id=g:1469648
Shahīd	id=g:1469649
Faqīr Māraī	id=g:1469650
Spīn Rāghêh	id=g:1469651
Kats	id=g:1469652
Zākhēl	id=g:1469653
Sīāh Chōb	id=g:1469654
Kāfar Kanḏī	id=g:1469655
Aḩmad Shāh Kalā	id=g:1469656
Chehelgazī Bābā	id=g:1469657
Gūlāyī	id=g:1469658
Anār Bāgh	id=g:1469659
Tsāgay Ghar	id=g:1469660
Khudzhum	id=g:1469661
Shnah Kandah	id=g:1469662
Wītang	id=g:1469663
Ḏanḏ Şāḩibzādahgān	id=g:1469664
Ḏanḏ Şāḩibzādahgān	id=g:1469665
Awday	id=g:1469666
Asad Khēl	id=g:1469667
Baṯan	id=g:1469668
Kaṟkanay	id=g:1469669
Tangaī	id=g:1469670
Gavay	id=g:1469671
Walī Ghar	id=g:1469672
Myāgān	id=g:1469673
Pākhēl	id=g:1469674
Dzhuvargar	id=g:1469675
Gawar	id=g:1469676
Pēs̲h̲ā	id=g:1469677
Kanḏāṟ	id=g:1469678
Kamkay Kêlay	id=g:1469679
Gêrdī	id=g:1469680
Sanduk	id=g:1469681
Kaṟkanay	id=g:1469682
Tangah	id=g:1469683
Sardār Ghunḏêy	id=g:1469684
Ḏāg Kêlay	id=g:1469685
Rāghêh	id=g:1469687
Mīrān	id=g:1469688
Ruskaī	id=g:1469689
Sarnilaī	id=g:1469690
Lāwaṟ	id=g:1469691
Bārī	id=g:1469692
Mast Bābā	id=g:1469693
Tsapêrī	id=g:1469694
Khīāl Gul	id=g:1469695
Tōr Gul	id=g:1469696
Seh Nāw	id=g:1469697
Wêche Zhawarē Khūlah	id=g:1469698
Ḩaīdarī	id=g:1469699
Pēs̲h̲ē Ūs̲h̲ānō Khūlah	id=g:1469700
Labāwū	id=g:1469701
Salay	id=g:1469702
Shāh Mīr	id=g:1469703
‘Ulyá Khēl	id=g:1469704
Kamar Sar	id=g:1469705
Markaz-e Woluswalī-ye Āchīn	id=g:1469706
S̲h̲arkanaī	id=g:1469707
Bahrām Khēl	id=g:1469708
Lanḏay	id=g:1469709
Srah Kalā	id=g:1469710
Ākhundzādahgān	id=g:1469711
Pā Khēl	id=g:1469712
Waṟō Kalō	id=g:1469713
Zēṟ Kamar	id=g:1469714
Wêch Damgal	id=g:1469715
Tāndah Damgal	id=g:1469716
Nowgay	id=g:1469717
Zhêy Kêlay	id=g:1469718
Gora Tandataray	id=g:1469719
Bāgh Darē Ghar	id=g:1469720
Tsingas̲h̲ah	id=g:1469721
Shōrōngay	id=g:1469722
Khudāy Ghar	id=g:1469723
Shīn Shōbay	id=g:1469724
Ōbī	id=g:1469725
Āsh Khēl	id=g:1469726
Kōnātêr	id=g:1469727
Ākhundzādahgān	id=g:1469728
Kats	id=g:1469729
Laghmān Kalā	id=g:1469730
Ākhundzādahgān	id=g:1469731
Pāṉ Sar Kêlay	id=g:1469732
Zōṟ Sarak Kêlay	id=g:1469733
Kārīān	id=g:1469734
Wiyālêh	id=g:1469735
Shayrō Khēlō Kalā	id=g:1469736
Dêmānō Chīnah	id=g:1469737
‘Azīz Khān	id=g:1469738
Pēs̲h̲ē Khwaṟ	id=g:1469739
Āsh Khēl	id=g:1469740
Tōpkaī	id=g:1469741
Dawlat Khēl	id=g:1469742
Guṟ	id=g:1469743
Muzdêkaī	id=g:1469744
Gōranḏah	id=g:1469745
Nargōsay	id=g:1469746
Mogila Malangbaba	id=g:1469747
Taraī	id=g:1469748
Tōr Nāw	id=g:1469749
Kanḏow Kalā	id=g:1469750
Damgal Khūlah	id=g:1469751
Sūr Ghar	id=g:1469752
Damgal	id=g:1469753
Bābā Şāḩib	id=g:1469754
Mullā Az̧far Nikêh	id=g:1469755
Zhūbay Awlīāgān	id=g:1469756
Khaṟkanī Kêlay	id=g:1469757
Darah-ye Shātō	id=g:1469758
Sīn Gākhah	id=g:1469759
Lanḏay	id=g:1469760
Qōl-e Darahgak	id=g:1469761
Zêrghāṟaī	id=g:1469762
Sparawunē Kêlay	id=g:1469763
Sholgar	id=g:1469764
Jamāl Khēl	id=g:1469765
Sīn Ghākhē Ghar	id=g:1469766
Gora Shavegar	id=g:1469767
Sar Prēkaṟē Zīārat	id=g:1469768
Mullā Yōnus Zīārat	id=g:1469769
Darahhā-ye Hīl	id=g:1469771
Dê Laṟamō Konj	id=g:1469772
Qal‘ah-ye Sālo	id=g:1469773
Kowh-e Payshashgal	id=g:1469774
Darah-ye Payshashgal	id=g:1469775
Darah-ye Shashgal	id=g:1469776
Kowh-e Yējā	id=g:1469777
Darah-ye Pōshāl	id=g:1469778
Kowh-e Azetīk	id=g:1469779
Garm Chashmah	id=g:1469780
Qōl-e Shōrābak	id=g:1469781
Darah-ye Azetīk	id=g:1469782
Kōh-e Ushtorekgōyen	id=g:1469783
Kowh-e Kertsay	id=g:1469784
Kowh-e Ābshīngal	id=g:1469785
Darah-ye Ābshīngal	id=g:1469786
Kowh-e Pēnazhwah	id=g:1469787
Kowtal-e Ārkarūk	id=g:1469788
Darah-ye Ārkarūk	id=g:1469789
Kowh-e Ārkarūk	id=g:1469790
Peshāwurpīṯ	id=g:1469791
Dōshrējē	id=g:1469792
Behgaran Kūshtū	id=g:1469793
Shīnī Yakhī	id=g:1469795
Qōl-e Murōy-e Bālā	id=g:1469796
Qōl-e Murōy-e Pā’īn	id=g:1469797
Qōl-e Amrōtak	id=g:1469798
Sīāh Kanak	id=g:1469799
Anjīrkhāw	id=g:1469800
Nayk	id=g:1469801
Qōl-e Sinjidak	id=g:1469802
Darah-ye Kārwān	id=g:1469803
Qōl-e Darzak	id=g:1469804
Qōl-e Tākhumak	id=g:1469805
Shōr Khānahgak	id=g:1469806
Kaftar Khānah	id=g:1469807
Tōp	id=g:1469808
Chapar Qōl	id=g:1469810
Tōdak	id=g:1469811
Pīāz Qōl	id=g:1469812
Bābarī Qōl	id=g:1469813
Darah-ye Kōkbarī	id=g:1469814
Bilow Sang	id=g:1469815
Dêbalaī Tāṉah	id=g:1469816
Wrēs̲h̲mīn Ghar	id=g:1469817
Qowralīgak	id=g:1469818
Shīsh Darah	id=g:1469819
Spirkunday	id=g:1469820
Srah Ghunḏêy	id=g:1469821
Sang-e Dār	id=g:1469822
Bābōlaī Khwaṟ	id=g:1469823
Kajīr Ghar	id=g:1469824
Darah-ye Darāz	id=g:1469825
Bayd Darah	id=g:1469826
Imdarah	id=g:1469827
Skhērah Tīz̲h̲ah	id=g:1469828
Qarah Qōl	id=g:1469829
Lēwanaī Wuṯay	id=g:1469830
Zangōr	id=g:1469831
Bēṯanī Tangaī	id=g:1469832
Memlak Sar	id=g:1469833
Khaīrdīn Ghar	id=g:1469834
Zīr Darāz	id=g:1469835
Rōd Jān Khwaṟ	id=g:1469836
Tsakay Ghar	id=g:1469837
Tsakay Khwaṟ	id=g:1469838
Mullā Khēl	id=g:1469839
Kaṯahsang	id=g:1469840
Nāgōmān	id=g:1469841
Kiṟasū	id=g:1469842
Kōh-e Choqornāw	id=g:1469843
Paṯaī Khwaṟ	id=g:1469844
Farmān Bēg Ghar	id=g:1469845
Wêch S̲h̲ākh	id=g:1469846
Tōp-e Qalandar	id=g:1469847
Chingaī Ghar	id=g:1469848
Kōh-e Palang Sang	id=g:1469849
Syen Kamar	id=g:1469850
Kōh-e Shōr Āwak	id=g:1469851
Kōh-e Sang Nāw	id=g:1469852
Srah Kanḏah	id=g:1469853
Kōh-e Kārkunjak	id=g:1469854
Kōh-e Nowr	id=g:1469855
Ghōrband Darah	id=g:1469856
Qōl-e Ātam	id=g:1469857
Ḩişār	id=g:1469858
Āghaylak	id=g:1469859
Darah-ye Khwājah Shōrāb	id=g:1469860
Garm Chashmah	id=g:1469861
Kowh-e Gamgal	id=g:1469862
Darah-ye Gumgal	id=g:1469863
Lōlukgul	id=g:1469864
Pazgam	id=g:1469865
Chalikōṯ	id=g:1469866
Darah-ye Chukrōk	id=g:1469867
Kōh-e Chukrōk	id=g:1469868
Lōlōk	id=g:1469869
Peshāwurkyōn	id=g:1469870
Darah-ye Payshawurgal	id=g:1469871
Pelūshtah	id=g:1469872
Bahādur Khēl	id=g:1469873
Keṯagāṯī	id=g:1469874
Darah-ye Pōshāl	id=g:1469875
Darah-ye Mātīk	id=g:1469876
Kowh-e Oshulgal	id=g:1469877
Kowtal-e Mātīk	id=g:1469879
Mātīk Ān	id=g:1469880
Geṟanwāṯ	id=g:1469881
Barfī Khēl	id=g:1469882
Shākāh	id=g:1469884
Kōh-e Bezhekyōn	id=g:1469885
Darah-ye Uryah	id=g:1469886
Kowh-e Awtsaṟwār	id=g:1469887
Darah-ye Banangul	id=g:1469888
Jamshēd Khēl	id=g:1469889
Kowh-e Āringal	id=g:1469890
Bōghōmpīṯ	id=g:1469891
Bōdā Shāl	id=g:1469892
Kōh-e Pōkhūshah	id=g:1469893
Kōh-e Kōsīṯ Uptōl	id=g:1469894
Pul-e Paṟīgām	id=g:1469895
Kōh-e Bachah	id=g:1469896
Shudgul	id=g:1469897
Begāmpīṯ	id=g:1469898
Darah-ye Ābrō Neshah	id=g:1469899
Ushtoruk Gegṟan	id=g:1469900
Kōṯ	id=g:1469901
Kowh-e Agentsī Chaṉī	id=g:1469902
Kowh-e Begāmdah	id=g:1469903
Pṟā	id=g:1469904
Qōl-e Mādāli	id=g:1469905
Nilah	id=g:1469906
Kowh-e Tsanīgal	id=g:1469907
Shōdrambōdā	id=g:1469908
Sheshdā	id=g:1469909
Katah Kapokut	id=g:1469910
Kōh-e Koribōdā	id=g:1469911
Geṟīk	id=g:1469912
Ōlnās	id=g:1469913
Bōgladeh	id=g:1469914
Pesemsōṟ	id=g:1469915
Kowh-e Gamah	id=g:1469916
Kōsisā	id=g:1469917
Darah-ye Yōgal	id=g:1469918
Darah-ye Mīzhgel	id=g:1469919
Badmuk	id=g:1469920
Kowh-e Bogāshtah	id=g:1469921
Darah-ye Awlagal	id=g:1469922
Awtsaṟwār	id=g:1469923
Kōh-e Afsayōngal	id=g:1469924
Teramsigal Ghar	id=g:1469925
Bilowsang	id=g:1469926
Ughursang	id=g:1469927
Benafsh	id=g:1469928
Zōṟ Landay	id=g:1469929
Lanḏay	id=g:1469930
Dwah Ḏāgah Dasht	id=g:1469931
Tangaī	id=g:1469932
Chūrchūr	id=g:1469933
Kham-e Kalān	id=g:1469934
Khwājah Zāyd	id=g:1469935
Indzêraī	id=g:1469936
Mullā Khēl	id=g:1469937
Kōh-e Sawāj	id=g:1469938
Kōh-e Saybak	id=g:1469939
Kōh-e Yakhak	id=g:1469940
Kōh-e Khāksār	id=g:1469941
Darreh-ye Valīān	id=g:1469942
Pushtah-ye Ālūgak	id=g:1469943
Kōtal-e Kōh-e Khwājah	id=g:1469944
Tōp-e Maqşūd	id=g:1469946
Pushtah-ye Kāwah	id=g:1469947
Namad Kōtal	id=g:1469948
Kōh-e Azambū	id=g:1469949
Dashtamrut	id=g:1469950
Tarkhah	id=g:1469951
Tōr Ghar	id=g:1469952
Sūr Ghar	id=g:1469953
Myā Faqīr Bābā	id=g:1469954
Mogila Baduziarat	id=g:1469955
Darah-ye Āb-e Shigal	id=g:1469957
Darah-ye Sanō	id=g:1469958
Chaskyō Sāghar	id=g:1469959
Ashterah	id=g:1469960
Sengabōgōshtah	id=g:1469961
Posān Kōlā	id=g:1469962
Pashtyaltah	id=g:1469963
Kōtal-e Sīāh Darah	id=g:1469964
Kōh-e Darah-ye Shing	id=g:1469966
Atarē Gamah	id=g:1469967
Gazān	id=g:1469968
Chowgānī	id=g:1469969
Sīāh Chōb-e Mazār	id=g:1469970
Dahān-e Kāwah	id=g:1469971
Dō Āwī	id=g:1469972
Ispandak	id=g:1469973
Sīāh Sang	id=g:1469974
Pasak	id=g:1469975
Darah-ye Sowāj	id=g:1469976
Qōl-e Āsyā	id=g:1469977
Darah-ye Kāwah	id=g:1469978
Darah-ye Sinjak	id=g:1469979
Tarnāw	id=g:1469980
Darah-ye Shing	id=g:1469981
Darah-ye Kūn-e Gāw	id=g:1469982
Ōbo Tālāh	id=g:1469983
Firākh Darah	id=g:1469984
Darah-ye Mazār	id=g:1469986
Darah-ye Gazagil	id=g:1469987
Darah-ye Chandaran	id=g:1469988
Darah-ye Sowāj	id=g:1469989
Dahān-e Yakhak	id=g:1469990
Shīnē Masjid	id=g:1469991
Ganjī	id=g:1469992
Tonddarreh	id=g:1469993
Khwājah-Dāman Shāh	id=g:1469995
Kōh-e Kham Surkhī	id=g:1469996
Pushtahhā-ye Qabr-e ‘Alī Muḩammad	id=g:1469997
Pushtahhā-ye Charmāb	id=g:1469998
Band-e Alafzādah	id=g:1469999
Rāz Stah	id=g:1470000
Spinah Kaday	id=g:1470001
Kōh-e Jalāl	id=g:1470002
Pushtahhā-ye Bēg Muḩammad	id=g:1470003
Qōl-e Chachak Sāy	id=g:1470004
Qaltah Qōl	id=g:1470005
Qōl-e Larikōr	id=g:1470006
Qōl-e Kampīrak	id=g:1470008
Qōl-e Sang Shāndah	id=g:1470009
Qōl-e Kōr	id=g:1470010
Qōl-e Qabr-e ‘Alī Muḩammad	id=g:1470011
Jar-e Shōr Qūdūq	id=g:1470012
Poshtehhā-ye Charmāb	id=g:1470013
Jar-e Shīnī	id=g:1470014
Maṉah	id=g:1470015
Jar-e Sāyah-Nowbīr	id=g:1470016
Spī Nāw	id=g:1470017
Band-e Qōl-e Mīrak	id=g:1470018
Bāzār-e Qarah Bāgh	id=g:1470019
Qōrqōl	id=g:1470020
Tilāqī	id=g:1470021
Band-e Chukrīzār	id=g:1470022
Dōqushah	id=g:1470023
Band-e Zardchārū	id=g:1470024
Kajgardan	id=g:1470025
Qōshtalū	id=g:1470026
Shaykh Tōghī	id=g:1470027
Shāhtūt	id=g:1470028
Kōh-e Zard Kamar	id=g:1470029
Darah-ye Durumbak	id=g:1470030
Chinārak	id=g:1470031
Sāy-e Silī	id=g:1470032
Tagak	id=g:1470033
Jar-e Shōrchah	id=g:1470034
Sāy-e Shōrazār	id=g:1470035
Kōh-e Sīāh Darah	id=g:1470036
Kōtal-e ‘Āshuqān	id=g:1470037
Kōtal-e Ambah	id=g:1470038
Bāgh-e Sabz	id=g:1470039
Kōh-e Ēlakmān	id=g:1470040
Guz̄ar-e Gharmazārak	id=g:1470041
Gazak	id=g:1470042
Gardan-e Bāgh	id=g:1470043
Kōh-e Palang	id=g:1470044
Kōtal-e Chakāw	id=g:1470045
Darah-ye Ghōrī	id=g:1470046
Kōh-e Darah-ye Kandah	id=g:1470047
Na‘lah-ye Gurgān	id=g:1470048
Kuhnah Qishlāq	id=g:1470049
Dahān-e Khwājah Şafā	id=g:1470050
Darah-ye Kandah	id=g:1470051
Sāy-e Darah-ye Ghōrī	id=g:1470052
Darah-ye Khwājah Şafā	id=g:1470053
Kamarānah	id=g:1470054
Sāy-e Kandah	id=g:1470055
Sāy-e Qāb Khānah	id=g:1470056
Sāy-e Ēlakmān	id=g:1470057
Sāy-e Kuz̄ur	id=g:1470058
Khwājah Sabz Pōsh-e Walī	id=g:1470059
Kowtal-e Bēshgazah	id=g:1470060
Kōh-e Gharmalī	id=g:1470061
Kōh-e Buznāw	id=g:1470062
Karkar	id=g:1470063
Pistah Mazār	id=g:1470064
Bōlak Pistah	id=g:1470065
Dasht-e Lāyiqah	id=g:1470066
Ambār Kōh	id=g:1470067
Dasht-e Kaylagay	id=g:1470068
Lawlawchī	id=g:1470069
Kaltōp	id=g:1470070
Sōkhtah	id=g:1470071
Rāh Kōtal	id=g:1470072
Kaltah Mēnah	id=g:1470073
Kōtal-e Qashqah	id=g:1470074
Daygdānak	id=g:1470075
Bāzgīr	id=g:1470076
Khūgzārak	id=g:1470077
Kharqulbah	id=g:1470078
Kōh-e Watarchī	id=g:1470079
Sāy-e Tāshqotan	id=g:1470080
Sāy-e Gharmalī	id=g:1470081
Buz Nāw	id=g:1470082
Sāy-e Watarchī	id=g:1470083
Sāy-e Sinjidak	id=g:1470084
Sāy-e Baydak	id=g:1470085
Kowkpar	id=g:1470086
Tapah-ye Qāẕī Kushtah	id=g:1470087
Qishlāq Tepah	id=g:1470088
Alifshāh Kalā	id=g:1470089
Ūzbakō Kêlay	id=g:1470090
Muhājirīn	id=g:1470091
Daymīrak	id=g:1470092
Ghōr Qōl	id=g:1470093
Khwāzak	id=g:1470094
Tājikhā-ye Kōl-e Amchī	id=g:1470095
Shīnwārī	id=g:1470096
Ūzbakō Kêlay	id=g:1470097
Şūfī Kêlay	id=g:1470098
Tājikānō Kêlay	id=g:1470099
Qaryah-ye Faqīr Bāy	id=g:1470100
Qishlāq-e Ghulām Ḩasan	id=g:1470101
Kharōṯō Kêlay	id=g:1470102
Kharōṯī	id=g:1470103
Gunbad Qishlāq	id=g:1470104
Nāqil	id=g:1470105
Safaydkhān Kêlay	id=g:1470106
Ibrāhīm Khēl	id=g:1470107
Khwājah-Lakaṉ	id=g:1470108
Tapah Qōrghān	id=g:1470109
Kharōṯī	id=g:1470110
Bāgh-e Shamāl	id=g:1470111
Babar	id=g:1470112
Tarah Khēl	id=g:1470113
Qal‘ah-ye Khwājah	id=g:1470114
Khwājah Dilbar Bābā	id=g:1470115
Qal‘ah-ye Sipahsālār	id=g:1470116
Kunj	id=g:1470117
Gowargān	id=g:1470118
Jōnow	id=g:1470119
Larkhowī	id=g:1470120
Khadir Khēl	id=g:1470121
Ākā Khēl	id=g:1470122
Luhōgarō Kêlay	id=g:1470123
Khānī Khēl	id=g:1470124
Qal‘ah-ye Wazīr	id=g:1470125
Qaryah-ye ‘Ishqullāh	id=g:1470126
Guḏānō Kêlay	id=g:1470127
Niyāzullāh Kêlay	id=g:1470128
Khwājah-Kamāl Bābā	id=g:1470129
Sāqī Kêlay	id=g:1470130
Taṉī	id=g:1470131
Wazīrābād	id=g:1470132
Babar	id=g:1470133
Khūgiyānī	id=g:1470134
Gāw Sowār	id=g:1470135
Fābrīkah-ye Siment-e Ghōrī	id=g:1470136
Sheshşad Kowti	id=g:1470137
Sūrgul Kêlay	id=g:1470138
Qishlāq Tapah Farah	id=g:1470139
Qahwah Khānah	id=g:1470140
Yakşadō Pinjā Kōtī	id=g:1470141
Islām Qal‘ah	id=g:1470142
Khānahā-ye Layn-e Khānābād	id=g:1470143
Qishlāq Tapah-ye Bandī Barq	id=g:1470144
Bāgh-e Z̄akhīrah	id=g:1470145
Shahr-e Now	id=g:1470146
Pushtahhā-ye Sang-e Bōr	id=g:1470147
Ţabaqsarī	id=g:1470148
Pushtahā-ye Islām Qal‘ah	id=g:1470149
Tabaqsarī	id=g:1470150
Lalmak	id=g:1470151
Kōtal-e Bughā’ī	id=g:1470152
Kōh-e Baldāq	id=g:1470153
Darwāzakan	id=g:1470154
Mazārdarreh	id=g:1470155
Darah-ye Darwāzakan	id=g:1470156
Darah-ye Karkar Shōrāwak	id=g:1470157
Sang Bōr	id=g:1470158
Āhang Darah	id=g:1470159
Ā‘īn Darah-ye Kalān	id=g:1470160
Ā’īn Darah-ye Khurd	id=g:1470161
Sāy-e Sayramī	id=g:1470162
Bōstān	id=g:1470163
Darah-ye Istālif	id=g:1470164
Qōl-e Rōbā Khānah	id=g:1470165
Tūtāh Khān	id=g:1470166
Sīāh Darah	id=g:1470167
Jurus	id=g:1470168
Qōl-e Ḏakêy Bālā	id=g:1470169
Qōl-e Dandār	id=g:1470170
Bōyah Ghar	id=g:1470171
Bandī Khāni Kārēz	id=g:1470172
Qōl-e Deh Sabz	id=g:1470173
Qōl-e Qal‘ah Intifā’āt	id=g:1470174
Jōybār Ghar	id=g:1470175
Dahān-e Qazah	id=g:1470176
Shamāluk	id=g:1470177
Samandān	id=g:1470178
Chaydmān	id=g:1470179
Darah-ye Anārak	id=g:1470180
Taygh-e Darah-ye Anārak	id=g:1470181
Darah-ye Khākistarak	id=g:1470182
Taygh-e Darah-ye Khākistarak	id=g:1470183
Chinār	id=g:1470184
Pushtah-ye Gāshak	id=g:1470185
Gāshak-e Jalā’ī	id=g:1470186
Aṟkhbilanday	id=g:1470187
Taygh-e Sar-e Larhā	id=g:1470188
Gazistān	id=g:1470189
Āb-e Pūḏah-e Wā‘īn	id=g:1470190
Darah-ye Wā‘īn	id=g:1470191
Sang-e Da‘wā	id=g:1470192
Pushtah-ye Sang-e Dā‘wā	id=g:1470193
Taygh-e Chihilsang Āb	id=g:1470194
Gharmah	id=g:1470195
Qishlāq-e Nowras	id=g:1470196
Lanḏā Khēl	id=g:1470197
Taygh-e Pūzrāgh	id=g:1470198
Ghowkalān	id=g:1470199
Polah-e Patan	id=g:1470200
Khwājah Ghār-e walī	id=g:1470201
Darah-ye Jowand	id=g:1470202
Pushtah-ye Patan	id=g:1470203
Gardanah-ye Patan	id=g:1470204
Jar-e Gildān	id=g:1470205
Dalandur	id=g:1470206
Chashmah-ye Takhlar	id=g:1470207
Dōrnāmah	id=g:1470208
Jar-e Shōrah Zighand	id=g:1470209
Wurzān	id=g:1470210
Darah-ye Jowand	id=g:1470211
Tarnāb	id=g:1470212
Zighind-e Ghowkalān	id=g:1470213
Sūr Ghunḏêy	id=g:1470214
Lūkah-ye Sangābak	id=g:1470215
Gardanah-ye Tūtak	id=g:1470216
Pushtah-ye Shōrah Zighand	id=g:1470217
Ghāl-e Girdak	id=g:1470218
Darah-ye Takhlar	id=g:1470219
Sangar-e Saqāwah	id=g:1470220
Darah-ye Yalantā	id=g:1470221
Deh Mazār	id=g:1470222
Mīānah Darah	id=g:1470223
Rāst Darah	id=g:1470224
Chap Darah	id=g:1470225
Jar-e Bōbarū	id=g:1470227
Darah-ye Bāpayshī	id=g:1470228
Darah-ye Ḩowẕ	id=g:1470229
Darah-ye Sharshirah	id=g:1470230
Darah-ye Ū’ī	id=g:1470231
Jar-e Khōshnow	id=g:1470232
Jar-e Sar Āb	id=g:1470233
Jar-e Kaftar Khānah	id=g:1470234
Jar-e Shamāluk	id=g:1470235
Darah-ye Tājikān	id=g:1470236
Sāy-e Lowkānī	id=g:1470237
Bashālak	id=g:1470238
Gazaknow	id=g:1470239
Qōl-e Mīānah Sā’ī	id=g:1470240
Qōl-e Kunḏō	id=g:1470241
Darah-ye Chalazār	id=g:1470242
Pīr Ḩāz̧er Bābā	id=g:1470243
Sīāh Bīnī	id=g:1470244
Pushtah-ye Bāy Bachah	id=g:1470245
Pushtah-ye Ghāl-e Sīāh	id=g:1470246
Ghāl-e Sīāh Wā’īn	id=g:1470247
Chashmah-ye Kūlargū	id=g:1470248
Khūlah-ye Lūmhā	id=g:1470249
Shīb ‘Alī	id=g:1470250
Yalantā	id=g:1470251
Pushtah-ye Tūmbighūz	id=g:1470252
Jar-e Tūmbighūz	id=g:1470253
Jar-e Khālak Kushah	id=g:1470254
Pushtah-ye Buzghālak	id=g:1470255
Darah-ye Wākhī	id=g:1470256
Taygh-e Chihilgazī	id=g:1470257
Taygh-e Chihilgazī	id=g:1470258
Jar-e Chihilgazī	id=g:1470259
Jar-e Naykushk	id=g:1470260
Shaylah-ye Surkhshāl	id=g:1470261
Darah-ye Bayā Brō	id=g:1470262
Nāw-e Khushkī Gasht	id=g:1470263
Jar-e Nowīdih	id=g:1470264
Qal‘ah-ye Jawād	id=g:1470265
Darah-ye Khar	id=g:1470266
Pushtah-ye Ḩowẕ Mihr	id=g:1470267
