Shīv-ā Hiskt	id=g:446063
Tall Imjām	id=g:6731807
Īshān Abū Suhaym	id=g:6731808
Nahr al Hirrah	id=g:6731809
Qal‘at Şabūr	id=g:6731810
Jīyūr al Kuwām	id=g:6731811
Jubūr al Kawm	id=g:6731812
Qal‘at Umm Tinshāt	id=g:6731813
Maftūl al ‘Izzīyāt	id=g:6731814
Ţurayf	id=g:6731815
Nahr Ţurayf	id=g:6731816
Arāḑī ar Rafī‘	id=g:6731817
Āl ‘Abţān	id=g:6731818
Tall an Najmī	id=g:6731819
Arāḑī Umm Bayt	id=g:6731820
Īshān Akhū Şarīḩ	id=g:6731821
Īshān Bayt	id=g:6731822
Arāḑī Umm Bayt	id=g:6731823
Nahr Inwayşī	id=g:6731824
Al Murāshidah	id=g:6731825
Āl Thūm	id=g:6731826
Arāḑī an Najmī	id=g:6731827
‘Arab ‘Awaḑ	id=g:6731828
Sayyid Jum‘ah	id=g:6731829
‘Arab az Zarafāt	id=g:6731830
Zurayj	id=g:6731831
Īshān Abū Şakhr	id=g:6731832
Banī Zurayj	id=g:6731833
Mahdī Khawwām	id=g:6731834
Al Ḩaysh	id=g:6731835
Nahr al Mujrim	id=g:6731836
Sayyid Mūsá	id=g:6731837
Īshān al Ḩumr	id=g:6731838
Īshān al Ḩumr	id=g:6731839
Madrasat ash Shūfah	id=g:6731840
Ash Shūfah	id=g:6731841
Ḩamzah	id=g:6731842
Abū	id=g:6731843
Aţ Ţāramah	id=g:6731844
Qal‘at Şalībī	id=g:6731845
Khanjar	id=g:6731846
‘Āgūl	id=g:6731847
Ḩasan as Sūd	id=g:6731848
Nahr Abū Ţabīkh	id=g:6731849
Nahr Ḩubaybān	id=g:6731850
‘Arab Mubārak	id=g:6731851
‘Arab Mūsá	id=g:6731852
Āl Sa‘d	id=g:6731853
Ḩusayn Khuḑayr	id=g:6731854
Sayyid Ḩusayn	id=g:6731855
Umm ad Dūd Zurayj	id=g:6731856
Imām Sayyid ‘Alī	id=g:6731857
Sayyid ‘Alī	id=g:6731858
Īshān al Ḩamrah	id=g:6731859
Īshān Ruţūnah	id=g:6731860
Ruwayḩah	id=g:6731861
Muḩammad al Khawwām	id=g:6731862
Maḩmūd al Bāshah Āghah	id=g:6731863
‘Abd al Ḩusayn Āl Muḩammad	id=g:6731864
Juḩayl	id=g:6731865
Īshān Sayyid Muḩammad	id=g:6731866
Shahl	id=g:6731867
Qal‘at Sawādī	id=g:6731868
Nāshūr	id=g:6731869
Āl Ţalāl	id=g:6731870
Banī Zurayj	id=g:6731871
Arāḑī Shaţţ Khanjar	id=g:6731872
Tall al Muḩaynī	id=g:6731873
Tall Khuraymah	id=g:6731874
Tall al Bāwīyah	id=g:6731875
Īshān Aḑḩīlah	id=g:6731876
Īshān Munkhul	id=g:6731877
Nahr Ţalfāḩ al A‘má	id=g:6731878
Ţalfāḩ	id=g:6731879
Nahr Sūd	id=g:6731880
Nahr al Kaşr	id=g:6731881
Qal‘at ‘Azūz	id=g:6731882
Nahr al Ḩusaynīyah	id=g:6731883
Shaţţ al Mayzal	id=g:6731884
Shaţţ Khanjar	id=g:6731885
Shaţţ al Fatḩah	id=g:6731886
Nahr al ‘Umyān	id=g:6731887
Īshān Abū Qaţţūm	id=g:6731888
Khanjar	id=g:6731889
Nahr Abū Kurţ	id=g:6731890
Īshān al Yanrūz	id=g:6731891
Īshān ad Dihlīz	id=g:6731892
Āl Khawwām	id=g:6731893
Nahr ash Shaltāghīyah	id=g:6731894
Nahr Abū Qūmān	id=g:6731895
‘Arab ‘Aynūn	id=g:6731896
Al Marāshidah	id=g:6731897
Nahr Rāshid	id=g:6731898
Nahr Kuway	id=g:6731899
Makhfar Shurţat al ‘Arāḑīyāt	id=g:6731900
Ḩammūdī Bin Farhūd	id=g:6731901
Al Ḩassūn	id=g:6731902
Sawādī	id=g:6731903
Madrasat al ‘Arāḑīyāt	id=g:6731904
Banī ‘Āriḑ	id=g:6731905
Sayyid ‘Alī	id=g:6731906
Khaţţ Unbūb Nafţ Baghdād-Başrah	id=g:6731907
Nabī Allāh Ibrāhīm	id=g:6731908
Tall Madānīyah	id=g:6731909
Nahr az Zabādī	id=g:6731910
Tall Madīnah	id=g:6731911
Ḩājj Rabbāţ	id=g:6731912
‘Īsá an Nabhān	id=g:6731913
Karīm al ‘Inād	id=g:6731914
‘Arab ‘Alī al Majhūl	id=g:6731915
Ma‘ālī as Sayyid Şāliḩ	id=g:6731916
Ḩājj Ḩarchān	id=g:6731917
Qal‘at Abū Ḩijām	id=g:6731918
Shaţţ al A‘má	id=g:6731919
Nahr ar Ramlah	id=g:6731920
Īshān al Falālīḩ	id=g:6731921
Al Jījīyah	id=g:6731922
Maftūl Dahsh	id=g:6731923
Imām Nāşir	id=g:6731924
Sayyid Ibrāhīm	id=g:6731925
Al A‘ājīb	id=g:6731926
Mūsá al Kāwī	id=g:6731927
Ţashshāsh ash Shāyil	id=g:6731928
Sayyid Nūr	id=g:6731929
Kuwāk	id=g:6731930
Nahr al Fazā‘īyah	id=g:6731931
Nahr Salāmīyah aş Şaghīr	id=g:6731932
Aş Şuwaykhīyah	id=g:6731933
‘Awād al Sulţān	id=g:6731934
Ad Dānah	id=g:6731935
Īshān al Ḩamrah	id=g:6731936
Sayyid Ţalāl	id=g:6731938
Sayyid ‘Abd Allāh	id=g:6731939
‘Ilwah Mazhar	id=g:6731940
Qal‘at al Ghalīz̧ah	id=g:6731941
Ţabr ‘Ijl	id=g:6731942
Qal‘at Sayyid Mūsá	id=g:6731943
Tall Ālbū Sāţūrah	id=g:6731944
Tall al Jur‘ah	id=g:6731945
Mūsá	id=g:6731946
Nahr al Manjah	id=g:6731948
Īshān al Falālīḩ	id=g:6731949
Shaţţ ad Daghārah	id=g:6731950
Nahr Ţarārīd	id=g:6731951
Āl Sundāl	id=g:6731952
Awār Fīmī	id=g:6731953
Ḩusayn	id=g:6731954
Banī Zurayj	id=g:6731955
Banī ‘Āzaḑ	id=g:6731956
Tall Ţuwaysah	id=g:6733234
Sadd al Agharī	id=g:6733235
Sha‘īb al Ḩarrī	id=g:6733236
Sadd al Walaj	id=g:6733237
Wādī al ‘Abīyah	id=g:6733238
‘Anz al Malūsī	id=g:6733239
Ghadīr al Malūsī	id=g:6733240
Khashm al Malūsī	id=g:6733241
Wādī ash Shujayrī	id=g:6733242
Al Ḩamd	id=g:6733243
Ţarīq ‘Akāshāt - al Qā’im bil Ruţbah	id=g:6733244
Maḩfūr al Jandalī	id=g:6733245
Sha‘īb al Agharī	id=g:6733246
Sha‘īb al Agharī	id=g:6733247
Sha‘īb al Walij	id=g:6733256
Ash Shaḩīmīyah Ash Sharqīyah	id=g:6733521
Tall Abū Kharzah	id=g:6733522
Tall Abū Ḩabābah	id=g:6733523
Ash Shukrīyah	id=g:6733524
Tall al Ma‘adalah	id=g:6733525
‘Arab al ‘Izzah	id=g:6733526
Ar Rashīdīyah	id=g:6733527
‘Arab Shakkūr ‘Āmir	id=g:6733528
‘Arab Ḩusayn al Ḩurayzī	id=g:6733529
Khashm Jabr	id=g:6733530
Tall Muzaywar	id=g:6733531
‘Arab Karīm al Judud	id=g:6733532
Ar Rashīdīyah	id=g:6733533
Al Fībīyah	id=g:6733534
Tall Kubaysah	id=g:6733535
Ad Dakhkhāl	id=g:6733536
Aḩmad al Baghdādī	id=g:6733537
Saryūd	id=g:6733538
Jam‘īyat ‘Adnān an Nawwār	id=g:6733539
Maḩāsin Khalaf	id=g:6733540
Muḩammad Bāshā	id=g:6733541
Sayyid Ţāhir	id=g:6733542
Khuwayyāt al Hawr	id=g:6733543
Dāwir Hūmaynīyah	id=g:6733544
Maḩaţţat Ḑakhkh Yāsīn Pāshā	id=g:6733545
Al Ghaybīyah	id=g:6733546
Ḩasan Mahāwish	id=g:6733547
Jāsim al Ḩasbūn	id=g:6733548
‘Abbās aţ Ţu‘mah	id=g:6733549
Tall Abū Milḩ	id=g:6733550
‘Ulaywī Al Gharbīyah	id=g:6733551
Ash Shuḩaymīyah al Gharbīyah	id=g:6733552
Hādī	id=g:6733553
Ni‘mah al Ḩayāwī	id=g:6733554
Tall Marzūkah	id=g:6733555
‘Arqūb an Na‘īm	id=g:6733556
Tall Jaylah	id=g:6733557
Az Zaljah	id=g:6733558
Sharkhar	id=g:6733559
Qal‘at ‘Ajīl	id=g:6733560
Shān Sāyir	id=g:6733561
Ḩubaybībāb	id=g:6733562
Falh ‘Abd ar Raḩman	id=g:6733563
Jamdat Fayşal	id=g:6733564
Ālbū ‘Āmir	id=g:6733565
Ālbū Khiḑr	id=g:6733566
Tall ash Sharhān al Gharbīyah	id=g:6733567
Tall al ‘Ulaykīyah	id=g:6733568
Khayţ al Jibāb	id=g:6733569
Al Fājj	id=g:6733570
Tall aş Şalābīkh	id=g:6733571
Khayţ aş Şakhr	id=g:6733572
Tall Abū Marāyā	id=g:6733573
Tulūl al Fājj	id=g:6733574
Khayţ Iḩmīr	id=g:6733575
‘Arqūb Abū Khabbāzah	id=g:6733576
Tall Abū ‘Aksah	id=g:6733577
Tall al Ushaykh	id=g:6733578
Qal‘at ‘Ujayl Bāshā	id=g:6733579
Al Fājj	id=g:6733580
Jamdat ar Rīm	id=g:6733581
Jamdat al Mundhir	id=g:6733582
Jamdat Tuwaym	id=g:6733583
‘Arab ‘Ujayl	id=g:6733584
Jamdat Khaddān	id=g:6733585
Jamdat Umm an Nudhr	id=g:6733586
Tall al Khanāzīr	id=g:6733587
Jamdat Umm Milḩ	id=g:6733588
Jadwal ‘Ujayl	id=g:6733589
Ālbū ‘Āmir	id=g:6733590
Ar Rujaylīyah	id=g:6733591
Gaţūf	id=g:6733592
Gaţūf al Ḩamad	id=g:6733593
Ḩājj Khalaf	id=g:6733594
Farḩān ‘Īd	id=g:6733595
Īshān al Bagl	id=g:6733596
Tuyūl aţ Ţawīlah	id=g:6733597
Jamdal Rāḑī	id=g:6733598
Tall al Aḩmar	id=g:6733599
Tall Alāwī	id=g:6733600
‘Īd Yāsīn	id=g:6733601
Īshān al ‘Abdah	id=g:6733602
Yāsīn Qaddūr	id=g:6733603
Khamīs al ‘Abbās	id=g:6733604
Aţ Ţawīl al Gharbīyah	id=g:6733605
Zakī Qidrī	id=g:6733606
Tall Abū Ḩadabah	id=g:6733607
Ad Dalābihah	id=g:6733608
Al Barghash	id=g:6733609
Al Bayḑān	id=g:6733610
Tall Makhlaţ az Zall	id=g:6733611
Tulūl Ḑibā‘ī	id=g:6733612
‘Arab Muḩammad Kambūsh	id=g:6733613
Al Mujābalah	id=g:6733614
Tulūl al Kubaybah	id=g:6733615
Tulūl Qubaybah	id=g:6733616
Shaţţ al A‘má	id=g:6733617
Wurūk Aḑbā‘	id=g:6733618
Al Majābil	id=g:6733619
Guraysh	id=g:6733620
Shuraylāt	id=g:6733621
Qaryat Şagbān Ḩammūr	id=g:6733622
Tall Madīnah	id=g:6733623
‘Atabah	id=g:6733624
Tall Madīnah	id=g:6733625
‘Atabah	id=g:6733626
Tall Zumaymah	id=g:6733627
‘Arab Khumās	id=g:6733628
Tall Batrah	id=g:6733629
Raḩīm ad Dāwūd	id=g:6733630
Tall al Mālij	id=g:6733631
Tall al Gamāz	id=g:6733632
‘Abd al Mun‘im al Ḩafnīrī	id=g:6733633
Daḩḩām Hilāl	id=g:6733634
‘Arab Mahdī Khuraybiţ	id=g:6733635
Shaz̧īf ash Sharqī	id=g:6733636
‘Arab Rahīf Sa‘dūn	id=g:6733637
Zahrūk	id=g:6733638
Ḩamdān Mubārak	id=g:6733639
Tall Abū ‘Alī	id=g:6733640
Tall Abū Samak	id=g:6733641
‘Alī al Buţayḩ	id=g:6733642
Ilyāhū al ‘Ānī	id=g:6733643
Burhān ad Dīn	id=g:6733644
Ash Shā‘ūrah	id=g:6733645
Ḩasan ad Durrah	id=g:6733646
‘Abd ar Riḑā Şagab	id=g:6733647
Ḩasan aţ Ţawīl	id=g:6733648
Abū Dhahab	id=g:6733649
Jāsim al Ḩamīd	id=g:6733650
Tall Abū Dibs	id=g:6733651
Murawwiḩ al ‘Āgūl	id=g:6733652
Midḩat as Su‘ūd	id=g:6733653
Dabbūnī	id=g:6733654
Sārah Khātūn	id=g:6733655
Dāwir	id=g:6733656
Dawūd as Su‘ūd	id=g:6733657
Jamdat Marwah ‘Ākūl	id=g:6733658
Mahdī al Ḩamad	id=g:6733659
Karīm al ‘Abd Allāh	id=g:6733660
Al Fāḑilīyah	id=g:6733661
Tall ‘Uwayj	id=g:6733662
Warj al Ma‘āriḑ	id=g:6733663
Tall Abū Bīb	id=g:6733664
‘Ijl al Faḑā	id=g:6733665
Umm Sunaym	id=g:6733666
Al Muḩammad	id=g:6733667
Wādī al Ḩişān	id=g:6733668
Ţrād al Jiryān	id=g:6733669
Dār Ḩātim Kattāb	id=g:6733670
Madrasat al Fajr	id=g:6733671
‘Addāy al Jiryān	id=g:6733672
Muḩyī as Su‘ūd	id=g:6733673
Jamdat Radmah	id=g:6733674
Jamdat Siyākh	id=g:6733675
Ghubaysh al Gharbī	id=g:6733676
Ghubaysh al Sharqī	id=g:6733677
Īshān Khubayzah	id=g:6733678
Ghubayshī	id=g:6733679
Shākhat al ‘Amiyā	id=g:6733680
Ash Shilāţ	id=g:6733681
Tall ar Rūsīyah	id=g:6733682
Tall ar Rūsīyah	id=g:6733683
Tall al Mundhir	id=g:6733684
As Sawālim	id=g:6733685
Tall Mundhir	id=g:6733686
Tall Barwah Aḩmadīyah	id=g:6733687
Tall Bardān	id=g:6733688
Tall Rūsīyāt	id=g:6733689
Awlād Barakah	id=g:6733690
Khuwayţ Shīrīyah	id=g:6733691
Tall Zanbah	id=g:6733692
Ālbū Jaşşān	id=g:6733693
Tall Abū Ţāsah	id=g:6733694
Qal‘at ad Darbas	id=g:6733695
Kuraysh	id=g:6733696
Tulūl Khudaywī	id=g:6733697
Farḩān	id=g:6733698
Kurd ‘Azīz	id=g:6733699
Khaffājī	id=g:6733700
Tulūl Quwaym	id=g:6733701
Quwaym	id=g:6733702
Jawdah	id=g:6733703
Abū Ţāsah	id=g:6733704
Tall Itwaym	id=g:6733705
As Sawālim	id=g:6733706
‘Uqbah Akhwīn	id=g:6733707
Sayyid ‘Īsá	id=g:6733708
Tall Abū Ḩalfah	id=g:6733709
Sa‘dūn	id=g:6733710
Shukūrī	id=g:6733711
Abū Jāmūs	id=g:6733712
Al Iftāḩ	id=g:6733713
Kurr al ‘Aftah	id=g:6733714
Tall ‘Akkāsh	id=g:6733715
Al Basārijah	id=g:6733716
Tall al Imsīḩīyah	id=g:6733717
‘Alī ar Rūmī	id=g:6733718
‘Īd as Sulţān	id=g:6733719
Sayyid Yaḩyá	id=g:6733720
Yūsuf as Salmān	id=g:6733721
Tall Nuwaylah	id=g:6733722
Tall Nu‘mān	id=g:6733723
Mabūrī	id=g:6733724
Khaz‘al al Kāz̧im	id=g:6733725
Hājj ‘Alī	id=g:6733726
‘Abd Ḩammūd	id=g:6733727
Sarḩān Dhiyāb	id=g:6733728
Shabīb Muḩammad	id=g:6733729
Majīd Mūsá	id=g:6733730
Shukūrī	id=g:6733731
Imām Abū Şūr	id=g:6733732
Mūsá al Faḩl	id=g:6733733
Mīdān ash Shāţī’	id=g:6733734
Hājj Ţāhir	id=g:6733735
Farhūd	id=g:6733736
Gāti‘ al Far‘ān	id=g:6733737
Sayyid ‘Alī	id=g:6733738
Sayyid Muḩsin	id=g:6733739
Shawkat	id=g:6733740
Khuwayţir	id=g:6733741
‘Alī al Jubūrī	id=g:6733742
Kūt	id=g:6733743
Ath Thawābit	id=g:6733744
Al Mamlaḩah	id=g:6733745
Nahr al Ḩāwī	id=g:6733746
Kāmil al Khuḑayrī	id=g:6733747
Sihāb	id=g:6733748
Tulūl al Ḩumlah	id=g:6733749
Barhūjah	id=g:6733750
Tall Samār	id=g:6733751
Tall Sahmān al Manşūr	id=g:6733752
Shalāţ	id=g:6733753
Al Maşāyiḩīyah	id=g:6733754
Khayţ Shillāt	id=g:6733755
Barhūjah	id=g:6733756
Durūk Shams	id=g:6733757
Zakī Qidrī	id=g:6733758
Abū Nuwayrān	id=g:6733759
Umm ar Rīsh	id=g:6733760
Aḩmad al Qinţār	id=g:6733761
Qal‘at Ḩiyāl	id=g:6733762
Ḩasan ad Durrah	id=g:6733763
Al Balḩah	id=g:6733764
Ismā‘īl Qurţās	id=g:6733765
‘Abd al Jabbār al Khuḑayrī	id=g:6733766
Durūk al Ḩafq	id=g:6733767
Abū ‘Aşāfīr	id=g:6733768
Dabūnī	id=g:6733769
Aş Şuwayyah wa al Ḩamdānīyah	id=g:6733770
Şafrān	id=g:6733771
Mi‘dān	id=g:6733772
Nahr ash Shaţīyah	id=g:6733773
Tall Maksīr	id=g:6733774
Arāḑī Abū ‘Aşāfīr	id=g:6733775
Dār Ḩantūsh Aknīr	id=g:6733776
Ḩamdat Ways	id=g:6733777
Abū Chalāch	id=g:6733778
Tall Abū Chalāch	id=g:6733779
Abū Chalāch	id=g:6733780
Ash Shādhī	id=g:6733781
Tall al Malūmah	id=g:6733782
Tall ar Raghāyah	id=g:6733783
Tall Majdī	id=g:6733784
Ţarīq ‘Azīzīah - Kūt al Qadīm	id=g:6733785
Madrasat ash Shā‘ūrah	id=g:6733786
Banāt al Qāsim	id=g:6733787
Īshān al Khān	id=g:6733788
An Nahrawān	id=g:6733789
Ḩusayn az Zarrār	id=g:6733790
Ḩāqūt	id=g:6733791
Tall Awlād Ḩāchim	id=g:6733792
Wād Rahūmīnīyah	id=g:6733793
Ash Shuḩaymīyah	id=g:6733794
Tulūl ar Rabī‘īyah	id=g:6733795
Burūşāt	id=g:6733796
Madrasat Ibn Khaldūn	id=g:6733797
Ad Duwwār Sha‘nīf	id=g:6733798
Tall al A‘zab	id=g:6733799
Tall Marzūgah	id=g:6733800
Şuwayrah	id=g:6733801
Samūdūwah Nāşir	id=g:6733802
Ad Dayr	id=g:6733803
Ad Dalābihah	id=g:6733804
‘Atabah	id=g:6733805
Sayyid ‘Alī	id=g:6733806
Tall Ābū Bayt	id=g:6733807
As Sulaysbānah al Gharbīyah	id=g:6733808
Zawīyah al Mazra‘	id=g:6733809
An Najamī al Qadym	id=g:6733810
Al Ḩanbayshān Āşbāḩ	id=g:6733811
Al Aḩrār	id=g:6733812
Dāwir	id=g:6733813
Sikkat Ḩadīd Kūt - Baghdād al Qadīmah	id=g:6733814
Maţār an Nu‘mānīyah	id=g:6733815
Sadām	id=g:6733816
Jāwar	id=g:6733817
Tall Āmzīdah	id=g:6733818
Tall Jarībah	id=g:6734182
Tall Āmdarah	id=g:6734183
Qārat ‘Umar	id=g:6734184
Wādī Āmīlaḩ	id=g:6734185
Wādī Khunayzīr	id=g:6734186
Tall Muḩbash	id=g:6734187
Tulūl al ‘Illah	id=g:6734188
Minţaqat al ‘Alah	id=g:6734189
Wādī Gharībah	id=g:6734190
Wādī A‘má	id=g:6734191
Wādī Abū Sabtī	id=g:6734192
Rujm al Ḩumr	id=g:6734193
Khashm al Jumr	id=g:6734194
Jabal ‘Illah	id=g:6734195
‘Aluwāt al Muḩ	id=g:6734196
‘Uluwāt al ‘Awak	id=g:6734197
Tall al Ghumrah	id=g:6734198
Wādī Abū Şadīrah	id=g:6734199
Wādī Abū Zaīkr	id=g:6734200
Wādī az Zakīr	id=g:6734201
Bi’r Abū Şadīrah	id=g:6734202
‘Ayn Thamrah	id=g:6734203
Wādī Ḩalīwāt	id=g:6734204
Wādī al Ḩalīwāt	id=g:6734205
Bi’r Ḩalīwāt	id=g:6734206
Bi’r Ḩalīwāt	id=g:6734207
Şa‘b al Ḩamdān	id=g:6734208
Tall Kaţbah	id=g:6734209
Wādī aţ Ţal‘ah	id=g:6734210
Imām Banāt al ‘Az̧ām	id=g:6734211
‘Aūdat Jarād	id=g:6734212
Murīḩ as Sarwān	id=g:6734213
Arāḑī Zughīr	id=g:6734214
‘Alī Sulaymān	id=g:6734215
Majīd ‘Urīm	id=g:6734216
Kurd Ḩamad Nāyif	id=g:6734217
Kurd Şālaḩ Nāşr	id=g:6734218
‘Arab Abū Namir	id=g:6734219
Kanhūsh	id=g:6734220
Ālbū Muḩammad Jāsim	id=g:6734221
Mukhalaf Muḩammad	id=g:6734222
‘Arab Mukhalaf al Jāsm	id=g:6734223
Ālbū Nāşr	id=g:6734224
Turkī Fahd	id=g:6734225
Ḩawījat aţ Ţarābishah	id=g:6734226
Tall Sīndayj	id=g:6734227
‘Ayn Ḩamūdī Aḩmad	id=g:6734228
Saḩāb Bin Nahr	id=g:6734229
‘Arab Ālbū ‘Aşāf	id=g:6734230
Bayūt Jakhān	id=g:6734231
‘Abd Allāh Jasm	id=g:6734232
‘Arab Manājbah	id=g:6734233
‘Arab ‘Armīţ	id=g:6734234
Al Maşkarah	id=g:6734235
Arāḑī Ālbū ‘Ali	id=g:6734236
Maqbarat Şafīn	id=g:6734237
Tall as Safīnah	id=g:6734238
Tall al Jurayshī	id=g:6734239
Nāz̧im ath Tharthār	id=g:6734240
Thānawīyat ‘Askrī yah	id=g:6734241
Tall Qabr Faraj	id=g:6734242
Bi’r Shayūkh	id=g:6734243
Wādī Şūwāḩibah Ibn Wandīyah	id=g:6734244
Wādī ash Shayūkh	id=g:6734245
Wādī Zaydān Abū Khalil	id=g:6734246
Bi’r Zaydān al Khalaf	id=g:6734247
Wādī Abū Khalayl	id=g:6734248
Muskkārat al Ghadīr as Suflá	id=g:6734249
Muskkārat al Ghadīr al ‘Alīā	id=g:6734250
Khalaf Jāsim	id=g:6734251
Jāmi‘at Şaddām	id=g:6734252
Wādī al ‘Aḑb	id=g:6734253
Wādī Abū Bīshah	id=g:6734254
Wādī al Khafī	id=g:6734255
Wādī al A‘waj	id=g:6734256
Tulūl Aţwīm	id=g:6734257
Tall Mazrūr	id=g:6734258
Tall az Zakīr	id=g:6734259
Sha‘īb al Arkubān	id=g:6734621
Makhfar Shurţat Arukbān	id=g:6734622
Wādī al Yadī	id=g:6734623
Wādī Kay‘ān	id=g:6734624
Sha‘īb Kharjah	id=g:6734625
Kharjah	id=g:6734626
Khabrat Kharjah	id=g:6734627
Wādī Kharjah	id=g:6734628
Jarjah	id=g:6734629
Wādī Arkubān	id=g:6734630
Tall Bārbīr	id=g:6734631
Al Qiwá ath Thalāth	id=g:6734632
Makhfar Shurţat al Muthalath	id=g:6734633
Tanif	id=g:6734634
Al Walīd	id=g:6734635
Bilālīyah	id=g:6734644
Ḩuwayjah al Bilālīyah	id=g:6734645
Ḩawijat az Zaydīyah	id=g:6734646
Az Zaydīyah	id=g:6734647
Markaz Shurţat an Nāḩiyah	id=g:6734648
Al Jaşībah	id=g:6734649
Al Yahūdīyah	id=g:6734650
Al Fuqrānīyah	id=g:6734651
Ad Dīnīyah	id=g:6734652
Wādī Sha‘īb Jiyah	id=g:6734653
Al Ibrāhīmīyah	id=g:6734654
Al Barīdīyah	id=g:6734655
Al Ḩamrīyah	id=g:6734656
Al Ḩusaynīyah al Gharbīyah	id=g:6734657
Al Ḩusaynīyah ash Sharqīyah	id=g:6734658
Al ‘Awāfī al Gharbīyah	id=g:6734659
As Sīnīyah	id=g:6734660
Al Grātīyah	id=g:6734661
Abū Gawah	id=g:6734662
Ḩawījah Karāblah	id=g:6734663
Wālī at Tārīkh	id=g:6734664
Ar Rīḩānah	id=g:6734665
Wādī ‘Anah	id=g:6734666
Nahr ‘Āmrīyah	id=g:6734667
Katf al Faḩāmī	id=g:6734668
Ra’s al Faḩāmī	id=g:6734669
Ra’s Jibāb	id=g:6734670
Ţarīq Umm Şadīrah	id=g:6734671
Salmānah	id=g:6734672
Tall ‘Antar	id=g:6734673
Tall al Yahūd	id=g:6734674
Tall al Grah	id=g:6734675
Tall an Nūdr	id=g:6734676
Tall Munayf	id=g:6734677
Wādī as Sāḩjah	id=g:6734678
Wādī al Maḩīyah	id=g:6734679
Wādī al Barīdīyah	id=g:6734680
Wādī al Ḩasīnīyah	id=g:6734681
Wādī al Kūzīyah	id=g:6734682
Wādī an Nafţ	id=g:6734683
Wādī al Maylān	id=g:6734684
Wādī al Badwah	id=g:6734685
Wādī as Salmān	id=g:6734686
Wādī ad Dūlāb	id=g:6734687
Wādī as Samandān	id=g:6734688
Wādī al Ḩaşá	id=g:6734689
Wādī Khazgah ash Sharqī	id=g:6734690
Wādī Khazgah al Gharbī	id=g:6734691
Wādī al Madhrīyah	id=g:6734692
Wādī Fawījah	id=g:6734693
Wādī Sha‘īb Chibāb	id=g:6734694
Wādī al Qaşr	id=g:6734695
Wādī Tamākh	id=g:6734696
Wādī al Faḩāmī	id=g:6734697
Wādī al Khalţah	id=g:6734698
Wādī Ghūsīyah	id=g:6734699
Wādī Ramānah	id=g:6734700
Wādī al Gār	id=g:6734701
Wādī aş Şafā	id=g:6734702
Wādī Tuḩūl	id=g:6734703
Bi’r Shaykh Fayḩān	id=g:6734704
Wādī Ramāmayn	id=g:6734705
Tulūl al Bārūdīyah	id=g:6734706
Rujm Saray‘al	id=g:6734707
Tall al Wa‘r	id=g:6734708
Wādī Chibāb	id=g:6734709
Wādī al Qaşr	id=g:6734710
Ibrāhīm al ‘Abbās az Zuhayr	id=g:6735801
Sha‘īb Sadīd	id=g:6735802
Aḑ Ḑāyif al Ḩamādī	id=g:6735803
‘Alī Sulţān	id=g:6735804
Laftah as Sarḩān	id=g:6735805
Ālbū Şawf	id=g:6735806
Madrasat al Ḩikmah	id=g:6735807
Tall Alāḩmayr	id=g:6735808
Qaryat Maţayjī	id=g:6735809
Zayd	id=g:6735810
Kharā’ib Abū Kafays	id=g:6735811
Tall aş Şukhrīyah	id=g:6735812
Tall al ‘Abd	id=g:6735813
Khālid ar Rawḑān	id=g:6735814
Qaryat al Karūsh	id=g:6735815
Shimān	id=g:6735816
Al ‘Ubayd	id=g:6735817
Arāḑī Abū ‘Arab	id=g:6735818
Mashrū‘ ash Shanāfīyah	id=g:6735819
Muḩayshī	id=g:6735820
Abū Khashab	id=g:6735821
Şandalīyah	id=g:6735822
Tall Khunayzīr	id=g:6735823
Maḩaţţat Qiţār al Khandaj	id=g:6735824
Makhfar Shurţat al Khaḑar	id=g:6735825
Qaryat Jār Allāh	id=g:6735826
Qal‘at Jār Allāh	id=g:6735827
Nāḩiyah al Fuḑaylah	id=g:6735828
Shabrah al Khalaf	id=g:6735829
Al Ḩājj Ḩasan aş Şibāḩ	id=g:6735830
Muḩammad aţ Ţarfān	id=g:6735831
Ash Shuddād	id=g:6735832
Salaf ar Rūḑān	id=g:6735833
‘Ulwān az Zāhir	id=g:6735834
Sharshāb al Ḩājj Kāţa‘	id=g:6735835
‘Arab al ‘Akash	id=g:6735836
‘Arab al Ḩusayn	id=g:6735837
Qal‘at Rūḑān	id=g:6735838
Salaf Muḩammad Ashībah	id=g:6735839
Maqām Umm al ‘Abbās	id=g:6735840
Āş Şabah	id=g:6735841
Al Farhah	id=g:6735842
Al Ḩasā’īyah	id=g:6735843
Ḩājj Ḩasan	id=g:6735844
Maḩaţţat Sūq ash Shuyūkh	id=g:6735845
Başīyah	id=g:6735846
Umm as Sibā‘	id=g:6735847
Shināwah	id=g:6735848
Abū Baradī	id=g:6735849
Īshān Nalīḩah	id=g:6735850
Ghazlat ar Rubayḑah	id=g:6735851
Tall Ţawīl	id=g:6735852
Tall Marjab	id=g:6735853
Tall Ḩawmah	id=g:6735854
Tall Marjab al Kabīr	id=g:6735855
Qaryat Ḩawmah	id=g:6735856
Qaryat Ash Shabakah	id=g:6735857
Maḩaţţat Qiţār al Marjab	id=g:6735858
Al Būsīyah	id=g:6735859
Tall Abū Şalīkh	id=g:6735860
Abū Rāsayn	id=g:6735861
Īshān Tall al Laḩm	id=g:6735862
Īshān Ţayţah	id=g:6735863
Tall Laḩm	id=g:6735864
