Republic of Kenya	id=g:192950
Kamaech North	id=g:194896
Kamae	id=g:194897
Kamae	id=g:194898
Kamae	id=g:194899
Kamada	id=g:194900
Kamachuku	id=g:194901
Kamacharia	id=g:194902
Kamabirika	id=g:194903
Kalyambeu Sub-Location	id=g:194904
Kalyambeu Dam	id=g:194905
Kalwal	id=g:194906
Kaluyu Sub-Location	id=g:194907
Kaluyu Sub-Location	id=g:194908
Kaluyu Rock	id=g:194909
Kaluweni Sub-Location	id=g:194910
Kalusi	id=g:194911
Kalureri	id=g:194912
Kaluoch Sub-Location	id=g:194913
Kalungu	id=g:194914
Kalungu	id=g:194915
Kalungu	id=g:194916
Kalundu Dam	id=g:194917
Kalundu	id=g:194918
Kalundu	id=g:194919
Kalumi	id=g:194920
Kalume Dam	id=g:194921
Kalumani Dam	id=g:194922
Kalumani	id=g:194923
Kalumani	id=g:194924
Kaluma Dam	id=g:194925
Kaluluini Dam	id=g:194926
Kaluluini	id=g:194927
Kalulu	id=g:194928
Kalulini	id=g:194929
Kalukuni Dam	id=g:194930
Kalu	id=g:194931
Kaloyapamugie	id=g:194932
Kalowapet	id=g:194933
Kalovyo	id=g:194934
Kalovoto	id=g:194935
Kalotumokoi	id=g:194936
Kalotiman	id=g:194937
Kalotikapel	id=g:194938
Kalotiak	id=g:194939
Kalosia	id=g:194940
Kalosia	id=g:194941
Kalorukongole	id=g:194942
Kalorith	id=g:194943
Kaloponogole	id=g:194944
Kalopeto	id=g:194945
Kalopem	id=g:194946
Kalopem	id=g:194947
Kalopem	id=g:194948
Kalonyangkori	id=g:194949
Kalongo Sub-Location	id=g:194950
Kalongoleputh	id=g:194951
Kalongola	id=g:194952
Kalongo	id=g:194953
Kalongo	id=g:194954
Kalomwe	id=g:194955
Kalomongin	id=g:194956
Kalolwe	id=g:194957
Kalolokwel	id=g:194958
Kalolo Dam	id=g:194959
Kalolioki	id=g:194960
Kalolenyang	id=g:194961
Kalolenyang	id=g:194962
Kaloleni Sub-Location	id=g:194963
Kaloleni Location	id=g:194964
Kaloleni	id=g:194965
Kaloleni	id=g:194966
Kalokopirr	id=g:194967
Kalokoel	id=g:194968
Kalokodo	id=g:194969
Kalokodo	id=g:194970
Kalokhole	id=g:194971
Kalokerith	id=g:194972
Kalokemer	id=g:194973
Kaloka	id=g:194974
Kalodurr	id=g:194975
Kalodir	id=g:194976
Kalodeke	id=g:194977
Kalodeke	id=g:194978
Kalochuramunge	id=g:194979
Kalochoro	id=g:194980
Kaloboto	id=g:194981
Kalobongia	id=g:194982
Kaloachom	id=g:194983
Kubi Kalo	id=g:194984
Kubi Kalo	id=g:194985
Kubi Kalo	id=g:194986
Kalkalcha Bokatelollie Plains	id=g:194987
Kal Kalcha	id=g:194988
Kalkach Londaye	id=g:194989
Kalkach Lobo Guvo	id=g:194990
Kalkacha	id=g:194991
Kaliwa	id=g:194992
Kaliwa	id=g:194993
Kaliwa	id=g:194994
Kaliwa	id=g:194995
Kalivu Sub-Location	id=g:194996
Kalivu	id=g:194997
Kalivu	id=g:194998
Kalivu	id=g:194999
Kalivu	id=g:195000
Kalivini	id=g:195001
Kalitini Dam	id=g:195002
Kalitini	id=g:195003
Kalithai Dam	id=g:195004
Kalisasi	id=g:195005
Kalipot	id=g:195006
Kaliou Pass	id=g:195007
Kalinzo	id=g:195008
Kalini	id=g:195009
Kaling	id=g:195010
Kalindilo Dam	id=g:195011
Kalindilo	id=g:195012
Kalimumbu	id=g:195013
Kalimoni Estate	id=g:195014
Kalimoni	id=g:195015
Kalimoni	id=g:195016
Kalimhaun	id=g:195017
Kalimbui Sub-Location	id=g:195018
Kalimbui	id=g:195019
Kalimbi Sub-Surface Dam	id=g:195020
Kalimaruk	id=g:195021
Kalimarok	id=g:195022
Kalimapus Hills	id=g:195023
Kalimapus	id=g:195024
Kalimani Forest	id=g:195025
Kalimani	id=g:195026
Kalimangilu	id=g:195027
Kalimakoii	id=g:195028
Kalima	id=g:195029
Kalima	id=g:195030
Kalima	id=g:195031
Kalima	id=g:195032
Kaliluni Sub-Location	id=g:195033
Kaliluni Sub-Location	id=g:195034
Kaliluni Dam	id=g:195035
Kaliluni	id=g:195036
Kaliluni	id=g:195037
Kaliluni	id=g:195038
Kaliluni	id=g:195039
Kaliloni	id=g:195040
Kalili Market	id=g:195041
Kalikuvu	id=g:195042
Kalikuvu	id=g:195043
Kalikuvu	id=g:195044
Kalikubu	id=g:195045
Kalikubu	id=g:195046
Kaliku	id=g:195047
Kalikobo	id=g:195048
Kalikatune Sub-Location	id=g:195049
Kalikathai Dam	id=g:195050
Kalii Dam	id=g:195051
Kalii Church	id=g:195052
Kalii	id=g:195053
Kalii	id=g:195054
Kalii	id=g:195055
Kalii	id=g:195056
Kaliguru	id=g:195057
Kaliene	id=g:195058
Kaliakina	id=g:195059
Kaliakatune Sub-Location	id=g:195060
Kaliakatune	id=g:195061
Kalia	id=g:195062
Kali	id=g:195063
Kalewa	id=g:195064
Kale Sub-Location	id=g:195065
Kalesirua	id=g:195066
Kaler Sub-Location	id=g:195067
Kalenguruk	id=g:195068
Kalemutak	id=g:195069
Kalemungile	id=g:195070
Kalempus	id=g:195071
Kalempus	id=g:195072
Kalempus	id=g:195073
Kalembwani	id=g:195074
Kalembwani	id=g:195075
Kalema	id=g:195076
Kalelis Dam	id=g:195077
Kalelerue	id=g:195078
Kalelerue	id=g:195079
Kalelemoi	id=g:195080
Kalele	id=g:195081
Kale	id=g:195082
Kale	id=g:195083
Kaldet	id=g:195084
Kalboni	id=g:195085
Kalawa Sub-Location	id=g:195086
Kalawani Sub-Location	id=g:195087
Kalawani	id=g:195088
Kalawani	id=g:195089
Kalawa	id=g:195090
Kalawa	id=g:195091
Kalawa	id=g:195092
Kalawa	id=g:195093
Kalawa	id=g:195094
Kalatum	id=g:195095
Kalasa Dam	id=g:195096
Kalasa	id=g:195097
Kalapot	id=g:195098
Kalapatasi	id=g:195099
Kalapata	id=g:195100
Kalapata	id=g:195101
Kalantan Plain	id=g:195102
Kalangi	id=g:195103
Kalange	id=g:195104
Kalange	id=g:195105
Kalanga Corner	id=g:195106
Kalangachini	id=g:195107
Kalangachini	id=g:195108
Kalanga	id=g:195109
Kalanga	id=g:195110
Kalanga	id=g:195111
Kalandini	id=g:195112
Kalandini	id=g:195113
Kalamudang	id=g:195114
Kalamba Sub-Location	id=g:195115
Kalamba Sub-Location	id=g:195116
Kalamba	id=g:195117
Kalamba	id=g:195118
Kalamba	id=g:195119
Kalamba	id=g:195120
Kalamandorop	id=g:195121
Kalamando	id=g:195122
Kalama Location	id=g:195123
Kalamadang	id=g:195124
Kalama	id=g:195125
Kalama	id=g:195126
Kalama	id=g:195127
Kalama	id=g:195128
Kalama	id=g:195129
Kalam	id=g:195130
Kalaluwe	id=g:195131
Kalalu Farm	id=g:195132
Kalaliyo	id=g:195133
Kalalani Sub-Location	id=g:195134
Kalalani	id=g:195135
Kalalani	id=g:195136
Kalalani	id=g:195137
Kalalali	id=g:195138
Kalala	id=g:195139
Kalakol	id=g:195140
Kalait	id=g:195141
Kalain	id=g:195142
Kalaguna	id=g:195143
Kalachir	id=g:195144
Kalacha Goda	id=g:195145
Kalacha Dida	id=g:195146
Kala Burkuku	id=g:195147
Kalabata	id=g:195148
Kalabata	id=g:195149
Kalabata	id=g:195150
Kalabata	id=g:195151
Kalaba	id=g:195152
Kalaani	id=g:195153
Kakya	id=g:195154
Kakweoni	id=g:195155
Kakwe	id=g:195156
Kakwe	id=g:195157
Kakwa Lelash	id=g:195158
Kakuzi Road	id=g:195159
Kakuzi Hills	id=g:195160
Kakuzi Fibrelands	id=g:195161
Kakuzi Fibrelands	id=g:195162
Kakuzi East Road	id=g:195163
Kakuzi	id=g:195164
Kakuyu Sub-Location	id=g:195165
Kakuyuni Sub-Location	id=g:195166
Kakuyuni Dam	id=g:195167
Kakuyuni Dam	id=g:195168
Kakuyuni	id=g:195169
Kakuyuni	id=g:195170
Kakuyuni	id=g:195171
Kakuyuni	id=g:195172
Kakuyu	id=g:195173
Kakuyu	id=g:195174
Kakutha Sub-Location	id=g:195175
Kakutha	id=g:195176
Kakutha	id=g:195177
Kakuswi Sub-Location	id=g:195178
Kakuswi	id=g:195179
Kakuswi	id=g:195180
Kakurio	id=g:195181
Kakurio	id=g:195182
Kakure	id=g:195183
Kakurato	id=g:195184
Kakunio	id=g:195185
Kakunio	id=g:195186
Kakunike	id=g:195187
Kakunike	id=g:195188
Kakungu	id=g:195189
Kakungu	id=g:195190
Kakunga	id=g:195191
Kakumuti	id=g:195192
Kakumuti	id=g:195193
Kakumio	id=g:195194
Kakumene	id=g:195195
Kakuma Dika	id=g:195196
Kakuma	id=g:195197
Kakuluo	id=g:195198
Kakukyuni Dam	id=g:195199
Kakukyuni Dam	id=g:195200
Kakukyuni	id=g:195201
Kakujukwol	id=g:195202
Kaksingiris Location	id=g:195203
Kaksingiri Bay	id=g:195204
Kakrigu	id=g:195205
Kakremba Sub-Location	id=g:195206
Kakrao Sub-Location	id=g:195207
Kakrao	id=g:195208
Kakrao	id=g:195209
Kako Sub-Location	id=g:195210
Kakosini Dam	id=g:195211
Kakorka	id=g:195212
Kakorinya	id=g:195213
Kakoribok	id=g:195214
Kakore Pass	id=g:195215
Kakore	id=g:195216
Kakore	id=g:195217
Kakore	id=g:195218
Kakoou	id=g:195219
Kakoneni Sub-Location	id=g:195220
Kakoneni	id=g:195221
Kakon	id=g:195222
Kako Market	id=g:195223
Kakomani	id=g:195224
Kakoli Ridge	id=g:195225
Kakolet	id=g:195226
Kakola Sub-Location	id=g:195227
Kakododoga	id=g:195228
Kako	id=g:195229
Kako	id=g:195230
Kakione Sub-Location	id=g:195231
Kakindu Mountain	id=g:195232
Kakindu	id=g:195233
Kakindu	id=g:195234
Kakindu	id=g:195235
Kakindu	id=g:195236
Kakindu	id=g:195237
Kakimor Location	id=g:195238
Kakimanyi	id=g:195239
Kakiliku	id=g:195240
Kakili	id=g:195241
Kakili	id=g:195242
Kakiimba	id=g:195243
Kakhapit	id=g:195244
Kaketa Sub-Surface Dam	id=g:195245
Kakes	id=g:195246
Nakerikan	id=g:195247
Kakep Pass	id=g:195248
Kakepom Pass	id=g:195249
Kakenye	id=g:195250
Kakem	id=g:195251
Kakelo Sub-Location	id=g:195252
Kakelo Ringa	id=g:195253
Kakelelwa	id=g:195254
Kakelai	id=g:195255
Kakelai	id=g:195256
Kakedmosing	id=g:195257
Kakeani Sub-Location	id=g:195258
Kakeani	id=g:195259
Kakdhimu Sub-Location	id=g:195260
Kakdhimu	id=g:195261
Kakatina Estate	id=g:195262
Kakaruanza	id=g:195263
Kakanguli	id=g:195264
Kakangani	id=g:195265
Kakangani	id=g:195266
Kakangani	id=g:195267
Kakameri	id=g:195268
Kakameri	id=g:195269
Kakamega Forest	id=g:195270
Kakamega District	id=g:195271
Kakamega	id=g:195272
Kakamega	id=g:195273
Kakame	id=g:195274
Kakalota	id=g:195275
Kakalili	id=g:195276
Kakalia	id=g:195277
Kakalet	id=g:195278
Kakalel	id=g:195279
Kakae	id=g:195280
Kajwang’ Sub-Location	id=g:195281
Kajwang Konyango Sub-Location	id=g:195282
Kajulu Sub-Location	id=g:195283
Kajulu	id=g:195284
Kajukujuk	id=g:195285
Kajore	id=g:195286
Kajire	id=g:195287
Kajire	id=g:195288
Kajinga	id=g:195289
Kajimbo Sub-Location	id=g:195290
Kajimbo	id=g:195291
Kajikeru	id=g:195292
Kajiei Sub-Location	id=g:195293
Kajichoni	id=g:195294
Kajiampau	id=g:195295
Kajial	id=g:195296
Kajiado District	id=g:195297
Kajiado	id=g:195298
Kajalaite Hills	id=g:195299
Kajai	id=g:195300
Kaja	id=g:195301
Kaiyangaruk	id=g:195302
Kaiyaba	id=g:195303
Kaiviria	id=g:195304
Kaitwosin	id=g:195305
Kaitwosin	id=g:195306
Kaituko	id=g:195307
Kaituiy	id=g:195308
Kaitio	id=g:195309
Kaiti Borehole	id=g:195310
Kaiti	id=g:195311
Kaiti	id=g:195312
Kaithinganyang	id=g:195313
Kaithimeriga	id=g:195314
Kaitheri	id=g:195315
Kaitheri	id=g:195316
Kaitha Sub-Location	id=g:195317
Kaithango	id=g:195318
Kaithanga	id=g:195319
Kaithamali	id=g:195320
Kaitha	id=g:195321
Kaitha	id=g:195322
Kaitha	id=g:195323
Kaitet Ranch	id=g:195324
Kaitet	id=g:195325
Kaitet	id=g:195326
Kaitapini	id=g:195327
Kaitapai	id=g:195328
Kaitakalchwel	id=g:195329
Kaisut Desert	id=g:195330
Kaisut	id=g:195331
Kaisungurr Forest	id=g:195332
Kaisungurr	id=g:195333
Kaisugu Estate	id=g:195334
Kaisingor	id=g:195335
Kaisigat	id=g:195336
Kaishua	id=g:195337
Kaisamoi	id=g:195338
Kaisamoi	id=g:195339
Kairuthi Ford	id=g:195340
Kairuthi	id=g:195341
Kairuri	id=g:195342
Kairuni	id=g:195343
Kairo Sub-Location	id=g:195344
Kairo	id=g:195345
Kairi Sub-Location	id=g:195346
Kairi Mwihoti	id=g:195347
Kairi Ka Igamba	id=g:195348
Kairichi Sub-Location	id=g:195349
Kairia Sub-Location	id=g:195350
Kairi	id=g:195351
Kairi	id=g:195352
Kairi	id=g:195353
Kairaa	id=g:195354
Kaipos	id=g:195355
Kaipokwokai	id=g:195356
Kaipet Cone	id=g:195357
Kaipet	id=g:195358
Kaipakapon	id=g:195359
Kaiothin	id=g:195360
Kainyunyok	id=g:195361
Kainyog	id=g:195362
Kainyeng	id=g:195363
Kainyangalok	id=g:195364
Kainyangakok	id=g:195365
Kainos	id=g:195366
Marti Kaingos	id=g:195367
Kaindu	id=g:195368
Kainamu Coffee Factory	id=g:195369
Kaimurunya	id=g:195370
Kaimugul Sub-Location	id=g:195371
Kaimu Dam	id=g:195372
Kaimu	id=g:195373
Kaimosi Tea Estates	id=g:195374
Kaimosi Sub-Location	id=g:195375
Kaimosi	id=g:195376
Kaimosi	id=g:195377
Kaimosi	id=g:195378
Kaimosi	id=g:195379
Kaimoru	id=g:195380
Kaimomosin	id=g:195381
Kaimokol	id=g:195382
Kaimo	id=g:195383
Kaimeruk Hills	id=g:195384
Kaimeruk	id=g:195385
Kaimbaga	id=g:195386
Kaimba	id=g:195387
Kaimat Escarpment	id=g:195388
Kaimamosin	id=g:195389
Kaimadera	id=g:195390
Kailongong	id=g:195391
Kailongol North	id=g:195392
Kailongolieko	id=g:195393
Kailongol	id=g:195394
Kailerr	id=g:195395
Kailere	id=g:195396
Kailembwa	id=g:195397
Kailembwa	id=g:195398
Kailembwa	id=g:195399
Kailel	id=g:195400
Kaile	id=g:195401
Kaila Sub-Location	id=g:195402
Kaikor	id=g:195403
Kaikor	id=g:195404
Kaikor	id=g:195405
Kaikoba	id=g:195406
Kaikoba	id=g:195407
Kaihungu	id=g:195408
Kaigonde	id=g:195409
Kaigat	id=g:195410
Kaigat	id=g:195411
Kaiendu	id=g:195412
Kaiemute	id=g:195413
Kaiemong-Kipurat	id=g:195414
Kaiekunyuk	id=g:195415
Kaiekunyang	id=g:195416
Kaiekoropus	id=g:195417
Kai-Ekongo	id=g:195418
Kaiegilai	id=g:195419
Kaiechech	id=g:195420
Kaichom	id=g:195421
Kaichom	id=g:195422
Kaichapkoi	id=g:195423
Kaibulucha	id=g:195424
Kaiboware Sub-Location	id=g:195425
Kaiboni	id=g:195426
Kaiboi	id=g:195427
Kaiboi	id=g:195428
Kaibibich	id=g:195429
Kaibeyan	id=g:195430
Kaibei	id=g:195431
Kaiban	id=g:195432
Kaiani	id=g:195433
Kaiamamuk	id=g:195434
Kai	id=g:195435
Kai	id=g:195436
Kahuti Sub-Location	id=g:195437
Kahuti	id=g:195438
Kahuti	id=g:195439
Kahuru Settlement	id=g:195440
Kahuruini	id=g:195441
Kahuru	id=g:195442
Kahuro Sub-Location	id=g:195443
Kahuroine	id=g:195444
Kahuro	id=g:195445
Kahunira	id=g:195446
Kahunguini Sub-Location	id=g:195447
Kahunguini	id=g:195448
Kahunguini	id=g:195449
Kahumbu	id=g:195450
Kahumbu	id=g:195451
Kahuho Sub-Location	id=g:195452
Kahuho	id=g:195453
Kahuho	id=g:195454
Kahuho	id=g:195455
Kahuhia	id=g:195456
Kahuhi	id=g:195457
Kahotera	id=g:195458
Kahone Range	id=g:195459
Kahohi	id=g:195460
Kahn Estate	id=g:195461
Kahithe	id=g:195462
Kahiraini	id=g:195463
Kahigaini	id=g:195464
Kahiga	id=g:195465
Kahiga	id=g:195466
Kahi	id=g:195467
Kaheti	id=g:195468
Kaher	id=g:195469
Kahawat	id=g:195470
Kahawa Road	id=g:195471
Kahawa	id=g:195472
Kaharo Sub-Location	id=g:195473
Kaharo	id=g:195474
Kaharo	id=g:195475
Kaharo	id=g:195476
Kahariro	id=g:195477
Kaharati	id=g:195478
Kahara	id=g:195479
Kahaini	id=g:195480
Kahaguni Estate	id=g:195481
Kahaaro	id=g:195482
Kagwongo	id=g:195483
Kagwe Sub-Location	id=g:195484
Kagwe Location	id=g:195485
Kagwe	id=g:195486
Kagwe	id=g:195487
Kagwe	id=g:195488
Kagwathi	id=g:195489
Kagwa Sub-Location	id=g:195490
Kaguyu Sub-Location	id=g:195491
Kaguthi Sub-Location	id=g:195492
Kaguthi	id=g:195493
Kagurumo	id=g:195494
Kaguria Sub-Location	id=g:195495
Kagunyang Sub-Location	id=g:195496
Kagunduini Sub-Location	id=g:195497
Kagunduini	id=g:195498
Kagundu	id=g:195499
Kagundu	id=g:195500
Kagundu	id=g:195501
Kagumo Road	id=g:195502
Kagumoini Sub-Location	id=g:195503
Kagumoini Sub-Location	id=g:195504
Kagumoini	id=g:195505
Kagumoini	id=g:195506
Kagumoini	id=g:195507
Kagumoini	id=g:195508
Kagumo	id=g:195509
Kagumo	id=g:195510
Kagumo	id=g:195511
Kagumo	id=g:195512
Kagumo	id=g:195513
Kagumo	id=g:195514
Kagumo	id=g:195515
Kagumo	id=g:195516
Kagumele	id=g:195517
Kagumba	id=g:195518
Kagubdu	id=g:195519
Kagoue	id=g:195520
Kagonye	id=g:195521
Kagongo Sub-Location	id=g:195522
Kagongo	id=g:195523
Kagongo	id=g:195524
Kagongo	id=g:195525
Kagondo	id=g:195526
Kagolei	id=g:195527
Kagola Sub-Location	id=g:195528
Kagoi	id=g:195529
Kagochi Tea Nursery	id=g:195530
Kagochi	id=g:195531
Kagisia	id=g:195532
Kagiro	id=g:195533
Kagiri	id=g:195534
Kagira Sub-Location	id=g:195535
Kagira	id=g:195536
Kagioini Sub-Location	id=g:195537
Kagioini	id=g:195538
Kagio	id=g:195539
Kagima Coffee Nursery	id=g:195540
Kagima	id=g:195541
Kagilo Sub-Location	id=g:195542
Kagilo	id=g:195543
Kagicha	id=g:195544
Kagia Farm	id=g:195545
Kagete	id=g:195546
Kagere	id=g:195547
Kageni	id=g:195548
Kageni	id=g:195549
Kagawet	id=g:195550
Kagati Flats	id=g:195551
Kagarii	id=g:195552
Kaganjo	id=g:195553
Kaganda Sub-Location	id=g:195554
Kaganda Sub-Location	id=g:195555
Kaganda	id=g:195556
Kagan	id=g:195557
Kagaga	id=g:195558
Kagaa Sub-Location	id=g:195559
Kagaari Sub-Location	id=g:195560
Kagaari Location	id=g:195561
Kagaari	id=g:195562
Kagaare	id=g:195563
Kagaa	id=g:195564
Kagaa	id=g:195565
Kagaa	id=g:195566
Kafulani Sub-Location	id=g:195567
Kafuduni Sub-Location	id=g:195568
Kafkigun	id=g:195569
Kafkandal	id=g:195570
Kafeni	id=g:195571
Kafakuna	id=g:195572
Kaewa Sub-Location	id=g:195573
Kaewa	id=g:195574
Kaetako	id=g:195575
Kaeri Tabaken	id=g:195576
Kaeri Akak	id=g:195577
Kaena	id=g:195578
Kaembekaesha	id=g:195579
Kaekudokol	id=g:195580
Kadzongo Sub-Location	id=g:195581
Kadzinuni	id=g:195582
Kadzeweni	id=g:195583
Kadzeweni	id=g:195584
Kaduro Morto	id=g:195585
Kaduni	id=g:195586
Kadunguni Sub-Location	id=g:195587
Kadungoni Sub-Location	id=g:195588
Kadoupokimak	id=g:195589
Kadou	id=g:195590
Kadongo Sub-Location	id=g:195591
Kadongolo	id=g:195592
Kadingo	id=g:195593
Kadingetom	id=g:195594
Kadingetom	id=g:195595
Kadimu Bay	id=g:195596
Kadimu	id=g:195597
Kadilingiru	id=g:195598
Kadika Sub-Location	id=g:195599
Kadika	id=g:195600
Kadiang’a Sub-Location	id=g:195601
Kadiang’a	id=g:195602
Kadiang’a	id=g:195603
Kadhiambo Sub-Location	id=g:195604
Kadera Sub-Location	id=g:195605
Kadera Sub-Location	id=g:195606
Kadera Sub-Location	id=g:195607
Kadenge	id=g:195608
Kadem Point	id=g:195609
Kadem	id=g:195610
Kadem	id=g:195611
Kadau Kalugwe	id=g:195612
Kadakhsa	id=g:195613
Kadakatiang	id=g:195614
Kachuruga	id=g:195615
Kachuro Mongin	id=g:195616
Kachuku Sub-Location	id=g:195617
Kachu	id=g:195618
Kachororoni Dam	id=g:195619
Kachororia	id=g:195620
Kachoria	id=g:195621
Kachom	id=g:195622
Kachola Sub-Location	id=g:195623
Got Kachola	id=g:195624
Kachoke	id=g:195625
Kachoke	id=g:195626
Kacho Dimu	id=g:195627
Kachoda	id=g:195628
Kacho Bawr	id=g:195629
Kachiunduthi	id=g:195630
Kachinya	id=g:195631
Kachimitwa	id=g:195632
Kachimba	id=g:195633
Kachila-Kereb	id=g:195634
Kachika	id=g:195635
Kachieng’ Sub-Location	id=g:195636
Kachieng’ Sub-Location	id=g:195637
Kachieng’	id=g:195638
Kachiege	id=g:195639
Kacherotwo	id=g:195640
Kachekilekinei	id=g:195641
Kachau Cone	id=g:195642
Kacharoba Estate	id=g:195643
Kachar	id=g:195644
Kachakarimoch	id=g:195645
Kachakachom	id=g:195646
Kachagalau	id=g:195647
Kachacha	id=g:195648
Kacha	id=g:195649
Kabyen	id=g:195650
Kabwea	id=g:195651
Kabwe	id=g:195652
Kabwangederr	id=g:195653
Kabuyefwe	id=g:195654
Kabuyefwe	id=g:195655
Kabutie	id=g:195656
Kabuti	id=g:195657
Kabuti	id=g:195658
Kabuti	id=g:195659
Kabuti	id=g:195660
Kabuti	id=g:195661
Kabuswo Plain	id=g:195662
Kabuswi Sub-Location	id=g:195663
Kabusitati	id=g:195664
Kabusa Sub-Location	id=g:195665
Kaburweti	id=g:195666
Kaburugubaya Range	id=g:195667
Kaburia	id=g:195668
Kaburi	id=g:195669
Kabura Uhuyi Sub-Location	id=g:195670
Kabuot	id=g:195671
Kabuoni Dam	id=g:195672
Kabungwa	id=g:195673
Kabungut	id=g:195674
Kabulwa	id=g:195675
Kabulwa	id=g:195676
Kabuless	id=g:195677
Kabula	id=g:195678
Kabula	id=g:195679
Kabukyek	id=g:195680
Kabuku Estate	id=g:195681
Kabuku Dam	id=g:195682
Kabuku	id=g:195683
Kabuku	id=g:195684
Kabuku	id=g:195685
Kabuku	id=g:195686
Kabukoya	id=g:195687
Kabukara Dam	id=g:195688
Kabukara	id=g:195689
Kabukara	id=g:195690
Kabukara	id=g:195691
Kabui	id=g:195692
Kabui	id=g:195693
Kabuguch	id=g:195694
Kabuga Coffee Nursery	id=g:195695
Kabuga	id=g:195696
Kabude	id=g:195697
Kabuboni	id=g:195698
Kabruriongor	id=g:195699
Kabroret	id=g:195700
Kabrobe	id=g:195701
Kabrirsus Sub-Location	id=g:195702
Kabriok	id=g:195703
Kabreren	id=g:195704
Kabras Location	id=g:195705
Kaboyo	id=g:195706
Kaboyo	id=g:195707
Kabouba	id=g:195708
Kaboswa	id=g:195709
Kaboswa	id=g:195710
Kaboson Sub-Location	id=g:195711
Kaboson	id=g:195712
Kaboson	id=g:195713
Kaboso	id=g:195714
Kaboskei Location	id=g:195715
Kabosi	id=g:195716
Kabort	id=g:195717
Kaboroa	id=g:195718
Kabonyo Sub-Location	id=g:195719
Kabongwa	id=g:195720
Kabongole Pass	id=g:195721
Kabongo	id=g:195722
Kabonge Plantation	id=g:195723
Kabonge Forest	id=g:195724
Kabonge	id=g:195725
Kabonge	id=g:195726
Kabonge	id=g:195727
Kabondo Location	id=g:195728
Awach Kabondo	id=g:195729
Kabondo	id=g:195730
Kabomayi	id=g:195731
Kaboloin	id=g:195732
Kaboladi	id=g:195733
Kabola	id=g:195734
Kabokuli	id=g:195735
Kaboko	id=g:195736
Kaboko	id=g:195737
Kabok	id=g:195738
Kaboiyo	id=g:195739
Kaboi Sub-Location	id=g:195740
Kaboi	id=g:195741
Kaboen	id=g:195742
Kabodho West Sub-Location	id=g:195743
Kabodho East Sub-Location	id=g:195744
Kabodho	id=g:195745
Kabochu	id=g:195746
Kabobi	id=g:195747
Kabobi	id=g:195748
Kabo	id=g:195749
Kabluk	id=g:195750
Kabluch	id=g:195751
Kablosh	id=g:195752
Kablabun	id=g:195753
Kabkuress	id=g:195754
Kabkirisua	id=g:195755
Kabkalet	id=g:195756
Kabiyet Location	id=g:195757
Kabiyet	id=g:195758
Kabisaka	id=g:195759
Kabisaga Sub-Location	id=g:195760
Kabisaga	id=g:195761
Kabisaga	id=g:195762
Kabiruini	id=g:195763
Kabirokwa Sub-Location	id=g:195764
Kabirirsang	id=g:195765
Kabiok Forest	id=g:195766
Kabinorr	id=g:195767
Kabingashi	id=g:195768
Kabinga	id=g:195769
Kabimoi Sub-Location	id=g:195770
Kabimoi	id=g:195771
Kabimoi	id=g:195772
Kabieni	id=g:195773
Kabiemit Sub-Location	id=g:195774
Kabiemit	id=g:195775
Kabiego Sub-Location	id=g:195776
Kabiboni	id=g:195777
Kabiangek	id=g:195778
Kabianga Sub-Location	id=g:195779
Kabianga	id=g:195780
Kabewyan	id=g:195781
Kabetwa	id=g:195782
Kabetwa	id=g:195783
Kabete Sub-Location	id=g:195784
Kabete Location	id=g:195785
Kabete	id=g:195786
Kabete	id=g:195787
Kabete	id=g:195788
Kabete	id=g:195789
Kabete	id=g:195790
Kabesi Dam	id=g:195791
Kaberer Sub-Location	id=g:195792
Kabenka	id=g:195793
Kabendo	id=g:195794
Kabelet	id=g:195795
Kabelamaruk	id=g:195796
Kabela Khumso	id=g:195797
Kabeche	id=g:195798
Kabebero	id=g:195799
Kabazi Estate	id=g:195800
Kabazi Estate	id=g:195801
Kabati Sub-Location	id=g:195802
Kabati	id=g:195803
Kabati	id=g:195804
Kabati	id=g:195805
Kabati	id=g:195806
Kabati	id=g:195807
Kabati	id=g:195808
Kabati	id=g:195809
Kabatere Sawmills	id=g:195810
Kabateni	id=g:195811
Kabasi Sub-Location	id=g:195812
Kabaruso	id=g:195813
Kabaruso	id=g:195814
Kabaru	id=g:195815
Kabartonjo	id=g:195816
Kabartegan	id=g:195817
Kabartegan	id=g:195818
Kabar Sub-Location	id=g:195819
Kabarnet Location	id=g:195820
Kabarnet	id=g:195821
Kabarmel	id=g:195822
Kabarkebo Sub-Location	id=g:195823
Kabari Sub-Location	id=g:195824
Kabarichan	id=g:195825
Kabare Sub-Location	id=g:195826
Kabare Location	id=g:195827
Kabare	id=g:195828
Kabare	id=g:195829
Kabarat	id=g:195830
Kabarak Sub-Location	id=g:195831
Kabarak Range	id=g:195832
Kabarak Forest	id=g:195833
Kabarak	id=g:195834
Kabarait	id=g:195835
Kabaraina Sub-Location	id=g:195836
Kabanyet	id=g:195837
Kabanta	id=g:195838
Kabanini	id=g:195839
Kaban	id=g:195840
Kabaloamet	id=g:195841
Kaba Koyete	id=g:195842
Kabakonga	id=g:195843
Kabakokel	id=g:195844
Kabaini	id=g:195845
Kabai	id=g:195846
Kabage Sub-Location	id=g:195847
Kabage	id=g:195848
Kabael Sub-Location	id=g:195849
Kabaa Sub-Location	id=g:195850
Kabaa	id=g:195851
Kabaa	id=g:195852
Kaawat	id=g:195853
