Wādī Medhar Brega	id=g:2469031
Bechri	id=g:2472341
Bir Bichka	id=g:2472342
Bled Bichka	id=g:2472343
Jabal al Birwāq	id=g:2472344
Oued Bir Oulja	id=g:2472345
Bi’r Tebeuk	id=g:2472346
Wādī Bi’r Ţawīlah	id=g:2472347
Hanshīr Bi’r Ţawīl	id=g:2472348
Bi’r Shu‘bah	id=g:2472349
Bi’r Shallūf	id=g:2472350
Bir Kassa	id=g:2472351
‘Ayn Bi’r Marwah	id=g:2472352
Bi’r Marwah	id=g:2472353
Bir Khelifa	id=g:2472354
Wādī al Birkah	id=g:2472355
Oued el Berda	id=g:2472356
Wādī al Birkah	id=g:2472357
Aïn Berka	id=g:2472358
Bi’r Ḩalīmah	id=g:2472359
Khabb Bi’r Ḩabūbah	id=g:2472360
‘Ayn Bireis	id=g:2472361
Bi’r Darāsin	id=g:2472362
Bi’r Bū Ruqbah	id=g:2472363
Bi’r Bū Ruqbah	id=g:2472364
Bi’r Bin Zīnah	id=g:2472365
Wādī Bi’r Bin Sharīfah	id=g:2472366
Bi’r aţ Ţayyib	id=g:2472367
Wādī Bi’r ‘Aţīyah	id=g:2472368
Draa Bir ech Chott	id=g:2472369
Bi’r ash Chana	id=g:2472370
Jebel Bireno	id=g:2472371
Fej Bir Guezah	id=g:2472372
Bir Kassa	id=g:2472373
Station de Bir M’cherga	id=g:2472374
Bir M’cherga	id=g:2472375
Bi’r al Mallūlī	id=g:2472376
Bi’r al Kudayyāt	id=g:2472377
Mu‘tamadīyat Bi’r ‘Alī Bin Khalīfah	id=g:2472378
Bi’r ‘Alī Bin Khalīfah	id=g:2472379
Bi’r al Ḩufayy	id=g:2472380
Hanshīr Bi’r al ‘Alī	id=g:2472381
Bi’r al ‘Afw	id=g:2472382
Wādī al Bi’r	id=g:2472383
Wādī al Bi’r	id=g:2472384
Ru’ūs al Bi’r	id=g:2472385
Jabal al Bi’r	id=g:2472386
Jabal Bin Zurayq	id=g:2472387
‘Ayn Bin Ziyād	id=g:2472388
Bi’r Bin Zīnah	id=g:2472389
Ḩasy Bin Zaytūn	id=g:2472390
‘Ayn Bin Zannūsh	id=g:2472391
Bir Ben Zallouch	id=g:2472392
Hanshīr Bin Zā’id	id=g:2472393
Jebel Ben Younes	id=g:2472394
Jabal Bin Ya‘qūb	id=g:2472395
Wādī al Binyah	id=g:2472396
Hanshīr al Binyah	id=g:2472397
Henchir el Beneïa	id=g:2472398
Hanshīr al Binyah	id=g:2472399
Bi’r al Binyah	id=g:2472400
Aïn el Benia	id=g:2472401
‘Ayn al Binyah	id=g:2472402
Jebel Ben Oulid	id=g:2472403
Bi’r Bin Wālī	id=g:2472404
Wādī Bint ash Shaykh	id=g:2472405
Bi’r Bin Tartār	id=g:2472406
Wādī Bint ‘Alī	id=g:2472407
Bent el Bey	id=g:2472408
Jabal Bint Aḩmad	id=g:2472409
Mazārat Bin Su‘ūd	id=g:2472410
Jebel Ben Soltane	id=g:2472411
Aïn Ben Sliman	id=g:2472412
Shabakat Bin Sharīfah	id=g:2472413
Bi’r Bin Sharīfah	id=g:2472414
Oued Ben Chaïb	id=g:2472415
Wādī Bin Sha‘bān	id=g:2472416
Wādī Bin Sallām	id=g:2472417
Ḩasy Bin Şāliḩ	id=g:2472418
Bi’r Bin Salāmah	id=g:2472419
Hanshīr Bin Salām	id=g:2472420
Kudyat Bin Sa‘īdān	id=g:2472421
Jebel Ben Saïdane	id=g:2472422
Bi’r Bin Saḩnūn	id=g:2472423
Bir Ben Sadi	id=g:2472424
Qārat Bin Şābir	id=g:2472425
Bin Rhilouf	id=g:2472426
Sebkhet Ben Rayada	id=g:2472427
Hanshīr Bin Quwaydir	id=g:2472428
Bir Ben Gouta	id=g:2472429
Mu‘tamadīyat Bin Qirdān	id=g:2472430
Bin Qirdān	id=g:2472431
Wādī Bin Qindīl	id=g:2472432
Bir Ben Gassemia	id=g:2472433
Ţawīlat Bin Naşr Allāh	id=g:2472434
Sayḩ Bin Najmī	id=g:2472435
Jabal Bin Na‘ām	id=g:2472436
Bi’r Bin Murtāḩ	id=g:2472437
Dhirā‘ Bin Mubārak	id=g:2472438
Ben Metir	id=g:2472439
Bin Metir	id=g:2472440
Bir Ben Mehira	id=g:2472441
Jabal Bin Khayr	id=g:2472442
‘Ayn Bin Kattān	id=g:2472443
Oued Ben Kermich	id=g:2472444
‘Ayn Bin Jannāt	id=g:2472445
Wādī Bin Jāb Allāh	id=g:2472446
Zāwiyat Bin ‘Īsá	id=g:2472447
Oued Ben Aïssa	id=g:2472448
‘Ayn Bin ‘Īsá	id=g:2472449
Oued Ben Hassine	id=g:2472450
Bir Ben Hassene	id=g:2472451
Bi’r Bin Ḩarakāt	id=g:2472452
‘Ayn Bin Ḩammūdah	id=g:2472453
Bin Hamidane	id=g:2472454
Bin Ḩamīd	id=g:2472455
Wādī Bin Ḩalīmah	id=g:2472456
Wādī Bin Guemmra	id=g:2472457
Bir Ben Grira	id=g:2472458
Jabal Bin Ghazwān	id=g:2472459
Bi’r Bin Fim	id=g:2472460
Bin Fatā’il	id=g:2472461
Khashm Bine al Abraq	id=g:2472462
Jabal Bin Dridia	id=g:2472463
Sāniyat Bin Dhi’āb	id=g:2472464
Garet Ben Daoud	id=g:2472465
Aïn Ben Cheroud	id=g:2472466
Bin Bashīr	id=g:2472467
Ben Bechir	id=g:2472468
Oued Ben Baïra	id=g:2472469
Oued Ben Zitoune	id=g:2472470
Bir Ben Hija	id=g:2472471
Hanshīr Bin ‘Awwādī	id=g:2472472
Henchir Ben Aouf	id=g:2472473
Bled Ben Atmime	id=g:2472474
Hanshīr Bin ‘Aţīyah	id=g:2472475
‘Ayn Bin ash Sha‘īb	id=g:2472476
Gouvernorat de Ben Arous	id=g:2472477
Jabal Bin ‘Arūs	id=g:2472478
Ben Arous	id=g:2472479
Jabal Bin ‘Amārah	id=g:2472480
Bi’r Bin Ama	id=g:2472481
‘Ayn Bin ‘Alīm	id=g:2472482
Haushīr Bin ‘Alī	id=g:2472483
Bi’r Bin ‘Alī	id=g:2472484
‘Ayn Bin ‘Alī	id=g:2472485
Kudyat Bin al Ghuwayl	id=g:2472486
Bi’r Bin Aïzar	id=g:2472487
Bir Ben Ayed	id=g:2472488
‘Ayn Bin ‘Ā’id	id=g:2472489
Kef Ben Abd el Aziz	id=g:2472490
Khunayqat Bilād aţ Ţabaqah	id=g:2472491
Bled es Sabounia	id=g:2472492
Bilād al Nakhlah	id=g:2472493
Bilād al Ḩaḑar	id=g:2472494
Bilād al Burjayn	id=g:2472495
Shu‘bat al Bilād	id=g:2472496
Kef el Bled	id=g:2472497
Bir el Bled	id=g:2472498
Bijouville	id=g:2472499
Bled el Bejaoui	id=g:2472500
Bijāwah	id=g:2472501
Bir Bifane	id=g:2472502
Koudiat el Bidi	id=g:2472503
Oglat el Bidane	id=g:2472504
Bichka la Vosgienne Borj	id=g:2472505
Wādī al Bībān	id=g:2472506
Ţiwāl al Bībān	id=g:2472507
Buḩayrat al Bībān	id=g:2472508
Banc al Bībān	id=g:2472509
Hanshīr al Bib	id=g:2472510
Bilād al Bib	id=g:2472511
Bi’ār Msifa	id=g:2472512
Hanshīr Bi’ār al Ḩājj Ḩammūdah	id=g:2472513
Wādī Biadine	id=g:2472514
Wādī Bezirk	id=g:2472515
Aïn Bey Salah	id=g:2472516
Qar‘at al Beyatine	id=g:2472517
‘Uqlat Beukirat	id=g:2472518
Jabal Betene al Ḩammānī	id=g:2472519
Jebel Bessouagui	id=g:2472520
Wādī Bessin	id=g:2472521
Koudiat el Besseriani	id=g:2472522
Besseriana	id=g:2472523
Shu‘bat al Besdria	id=g:2472524
Wādī Bertema	id=g:2472525
Wādī Bersof	id=g:2472526
Wādī Bersof	id=g:2472527
Kudyat Berrebaane	id=g:2472528
Henchir el Berouik	id=g:2472529
Henchir Berouane	id=g:2472530
Oued Berkoukech	id=g:2472531
Henchir Beghanech	id=g:2472532
Wādī Berdine	id=g:2472533
Jabal Berboukr	id=g:2472534
Bi’r Berbïa	id=g:2472535
Jabal Berbagua	id=g:2472536
Jabal al Berakine	id=g:2472537
Bir el Benouiat er Rmel	id=g:2472538
Sahane el Benouia	id=g:2472539
Bi’r Benouia	id=g:2472540
Aïn el Bennia	id=g:2472541
Belvédère	id=g:2472542
Bellevue	id=g:2472543
Baie de Bellaouidet	id=g:2472544
Bir Bellah	id=g:2472545
Oued Belif	id=g:2472546
Belies	id=g:2472547
Belgica	id=g:2472548
Oued Bel Assoud	id=g:2472549
Bi’ār al Bekrer	id=g:2472550
Bir el Beïdli	id=g:2472551
Bi’r Behir	id=g:2472552
Wādī al Beguia	id=g:2472553
Kudyat Bedaou	id=g:2472554
Qalb Bechima	id=g:2472555
Bchelli	id=g:2472556
Bi’r al Bechar	id=g:2472557
Beau Site	id=g:2472558
Şaḩān al Bdadia	id=g:2472559
Bazina mta Riah	id=g:2472560
Wādī Bāzīnah	id=g:2472561
Wādī Bāzīnah	id=g:2472562
Ragoubet Bazina	id=g:2472563
Jabal al Bāzīnah	id=g:2472564
Jabal Bāzīnah	id=g:2472565
Jebel Bazina	id=g:2472566
Jabal Bāzīnah	id=g:2472567
Bazina	id=g:2472568
‘Ayn Bāz	id=g:2472569
Jabal Bayyūb	id=g:2472570
‘Uyūn al Bayyāz	id=g:2472571
Jabal Bayūlī	id=g:2472572
Jebel el Beyod	id=g:2472573
Bled Bayoud	id=g:2472574
Bir Baïou	id=g:2472575
Bayt al ‘Assah	id=g:2472576
Bayt al ‘Assah	id=g:2472577
Bit el Arbi	id=g:2472578
Sabkhat Bayn al Widyān	id=g:2472579
Wādī Bayn al Abraq	id=g:2472580
Zamlat al Bayḑā’	id=g:2472581
Zamlat al Bayḑā’	id=g:2472582
Wādī al Bayḑā’	id=g:2472583
Wādī al Bayḑā’	id=g:2472584
Wādī al Bayḑā’	id=g:2472585
Wādī al Bayḑā’	id=g:2472586
Shu‘bat al Bayḑā’	id=g:2472587
Chott el Beïda	id=g:2472588
Shabakat al Bayḑā’	id=g:2472589
Kāf al Bayḑā’	id=g:2472590
Jabal al Bayḑā’	id=g:2472591
Jabal al Bayḑā’	id=g:2472592
Fajj al Bayḑā’	id=g:2472593
Aïne Beïda	id=g:2472594
‘Ayn al Bayḑā’	id=g:2472595
Aïn el Bida	id=g:2472596
‘Ayn al Bayḑā’	id=g:2472597
‘Ayn al Bayḑā’	id=g:2472598
‘Ayn al Bayḑā’	id=g:2472599
Aïn el Beïda	id=g:2472600
‘Ayn al Bayḑā’	id=g:2472601
‘Ayn al Bayḑā’	id=g:2472602
Aïn el Beida	id=g:2472603
Shu‘bat al Bayāḑah	id=g:2472604
Kudyat al Bayāḑah	id=g:2472605
Jabal al Bayāḑah	id=g:2472606
Oglat el Baya	id=g:2472607
Koudiat el Bey	id=g:2472608
Bir el Bey	id=g:2472609
Bir el Bey	id=g:2472610
Bir el Bey	id=g:2472611
Bir el Bey	id=g:2472612
‘Ayn al Bāy	id=g:2472613
‘Ayn al Bāy	id=g:2472614
Wādī al Bawl	id=g:2472615
Wādī al Bawl	id=g:2472616
Oued el Boul	id=g:2472617
Baţţūmah Sīdī ‘Alī Bin ‘Awn	id=g:2472618
Wādī al Baţţūm	id=g:2472619
Wādī al Baţţūm	id=g:2472620
Wādī al Baţţūm	id=g:2472621
Wādī al Baţţūm	id=g:2472622
Wādī al Baţţūm	id=g:2472623
Jabal al Baţţūm	id=g:2472624
Henchir el Battoum	id=g:2472625
Baţţāsh	id=g:2472626
Bi’r al Baţţah	id=g:2472627
Jabal Bāţin Salāmah	id=g:2472628
Jabal Bāţin Riḑwān	id=g:2472629
Jabal Bāţin Qallālah	id=g:2472630
Jabal Bāţin Khaḑrā’	id=g:2472631
Bāţin az Zarā’ib	id=g:2472632
Bāţin ‘Aqqār	id=g:2472633
Oued el Bateune	id=g:2472634
Jebel Batene	id=g:2472635
Hanshīr al Baţīn	id=g:2472636
Aïn el Bateune	id=g:2472637
Oued el Batha	id=g:2472638
Koudiat el Batha	id=g:2472639
Oued Bata	id=g:2472640
Jebel Bata	id=g:2472641
Basse Steppe	id=g:2472642
Oued Bassass	id=g:2472643
Wādī Bassara	id=g:2472644
Bi’r Basrou	id=g:2472645
Ḩasy Basīsah	id=g:2472646
Bi’r Başīr	id=g:2472647
Wādī Basina	id=g:2472648
Bechni	id=g:2472649
Bechater	id=g:2472650
Ra’s al Bāshā	id=g:2472651
Jebel el Besbessia	id=g:2472652
Bi’r al Basbāsīyah	id=g:2472653
Wādī al Basbās	id=g:2472654
Khanqat al Basbās	id=g:2472655
Bi’r al Basbās	id=g:2472656
Wādī al Basāţimah	id=g:2472657
Hanshīr Barūkah	id=g:2472658
Bi’r al Bārūdīyah	id=g:2472659
Hanshīr al Bārūd	id=g:2472660
Hanshīr al Bārūd	id=g:2472661
‘Ayn al Bārūd	id=g:2472662
Sif el Berima	id=g:2472663
Jabal Barrānī	id=g:2472664
Aïne el Berr	id=g:2472665
‘Ayn Barqūqah	id=g:2472666
Barqūq	id=g:2472667
Barqūq	id=g:2472668
Wādī Barqū	id=g:2472669
Jabal Barqū	id=g:2472670
Wādī Barqah	id=g:2472671
Jabal Barqah	id=g:2472672
Kudyat al Barkūsīyah	id=g:2472673
Bir Brima	id=g:2472674
Le Bardo	id=g:2472675
Bārdaw	id=g:2472676
Guettaïet el Bradgenia	id=g:2472677
Kāf al Bardah	id=g:2472678
Jebel Berda	id=g:2472679
‘Ayn al Bardah	id=g:2472680
Aïn el Barda	id=g:2472681
Jebel Barbrou	id=g:2472682
Oued el Berbita	id=g:2472683
Barbary	id=g:2472684
Wādī Barbarah	id=g:2472685
Bi’r al Barāhimah	id=g:2472686
Bi’ār al Barādhi‘ah	id=g:2472687
‘Uqlat Barādah	id=g:2472688
Brada	id=g:2472689
Qar‘at al Baql	id=g:2472690
Wādī al Baqarāt	id=g:2472691
Bi’r al Baqarah aş Şaghīrah	id=g:2472692
Bi’r al Baqarah al Kabīrah	id=g:2472693
Jabal al Baqarah	id=g:2472694
Hennchir el Bagra	id=g:2472695
Ghadīr al Baqarah	id=g:2472696
‘Ayn al Baqarah	id=g:2472697
‘Ayn al Baqarah	id=g:2472698
Gouvernorat de Bizerte	id=g:2472699
Ra’s Banzart	id=g:2472700
Mu‘tamadīyat Banzart	id=g:2472701
Canal de Banzart	id=g:2472702
Lac de Bizerte	id=g:2472703
Baie de Banzart	id=g:2472704
Banzart	id=g:2472705
Bizerte	id=g:2472706
Bannān	id=g:2472707
Banī Zayd	id=g:2472708
Banī Zalţan	id=g:2472709
Aïne Beni Yasla	id=g:2472710
Banī ‘Uthmān	id=g:2472711
Banī Seggane	id=g:2472712
Oued Beni Guedal	id=g:2472713
Bir Beni Guedal	id=g:2472714
Wādī Banīnah	id=g:2472715
Beni Mohammed	id=g:2472716
Wādī Banī Mu‘ammar	id=g:2472717
Jebel Beni Meslem	id=g:2472718
Banī Mazen	id=g:2472719
Beni Maagal	id=g:2472720
Banī Kulthūm	id=g:2472721
Beni Khiar	id=g:2472722
Banī Khezer	id=g:2472723
Banī Khallād	id=g:2472724
Mu‘tamadīyat Banī Khaddāsh	id=g:2472725
Banī Khaddāsh	id=g:2472726
Wādī Banī ‘Īsá	id=g:2472727
Banī ‘Īsá	id=g:2472728
Oued Beni Ikhezer	id=g:2472729
Jebel Beni Housseïne	id=g:2472730
Beni Hazaz	id=g:2472731
Banī Ḩassān	id=g:2472732
Banī Dīs	id=g:2472733
Banī Dinhet	id=g:2472734
Banī Bendou	id=g:2472735
Bi’r Banī Barrād	id=g:2472736
Banī Barkah	id=g:2472737
Beni Aïchoun	id=g:2472738
Jabal Banī ‘Aţā’	id=g:2472739
Banī ‘Aţā’	id=g:2472740
Wādī Banī Allāh	id=g:2472741
Bir Beni Allah	id=g:2472742
Banī al Juhalā’	id=g:2472743
Banbalah	id=g:2472744
Aalouet el Benate	id=g:2472745
Balta	id=g:2472746
Jebel Bellouta	id=g:2472747
Jabal al Ballūţ	id=g:2472748
Jebel el Belloute	id=g:2472749
Jabal Ballīl	id=g:2472750
Wādī Ballī	id=g:2472751
Ballī	id=g:2472752
Ballī	id=g:2472753
Wādī Ballānī	id=g:2472754
Jabal Ballā‘ah	id=g:2472755
Baldet al Mada	id=g:2472756
Chott el Belbala	id=g:2472757
Shūshat al Balbāl	id=g:2472758
Garet el Baal	id=g:2472759
‘Ayn al Bakrer	id=g:2472760
Wādī Bakr ‘Alī	id=g:2472761
Hanshīr al Bakkūsh	id=g:2472762
‘Ayn al Bakkarīyah	id=g:2472763
Zumaylat al Bakkārī	id=g:2472764
Jebel Joua Bakkar	id=g:2472765
Sebkhet el Bkir	id=g:2472766
Oued el Bakbaka	id=g:2472767
Wudayy Bak ‘Alī	id=g:2472768
Oued Bajer	id=g:2472769
Gouvernorat de Béja	id=g:2472770
Wādī Bājah	id=g:2472771
Mu‘tamadīyat Bājah	id=g:2472772
Bājah	id=g:2472773
Béja	id=g:2472774
Wādī Baiech	id=g:2472775
El Gataâya el Bahria	id=g:2472776
Banrane	id=g:2472777
Sabkhat al Baḩr	id=g:2472778
Oued Bahloul	id=g:2472779
Oued el Behima	id=g:2472780
Wādī al Bahīmah	id=g:2472781
Shabakat al Bahīmah	id=g:2472782
Hennchir el Behima	id=g:2472783
Daf‘ al Bahīmah	id=g:2472784
‘Ayn al Bahīmah	id=g:2472785
Z̧ahr al Bahīm	id=g:2472786
Argoub el Behim	id=g:2472787
‘Uqlat al Bahīm	id=g:2472788
Oglat el Behim	id=g:2472789
Ra’s al Bahīm	id=g:2472790
Karūmat al Bahīm	id=g:2472791
Hassi el Bhim	id=g:2472792
Hanshīr al Baharine	id=g:2472793
Jebel el Behil	id=g:2472794
Henchir Bahalil	id=g:2472795
Oued el Baghla	id=g:2472796
Ennfidet el Baghla	id=g:2472797
Oued el Bghal	id=g:2472798
Ra’s al Baghl	id=g:2472799
Bi’r al Baghdādī	id=g:2472800
Bi’r Badrah	id=g:2472801
Wādī Badjar	id=g:2472802
Jabal Badjar	id=g:2472803
Aïne Badi	id=g:2472804
‘Ayn Bachar	id=g:2472805
Wādī al Bābūshah	id=g:2472806
‘Ayn al Bābūsh	id=g:2472807
‘Ayn al Bābūsh	id=g:2472808
Bābūsh	id=g:2472809
Bab Saadoun	id=g:2472810
Jabal al Babis	id=g:2472811
Nafīḑat al Babbūshah	id=g:2472812
Jabal Bāb Banzart	id=g:2472813
Bāb as Suwayqah	id=g:2472814
Zamlat Bāb ar Raşaf	id=g:2472815
Zamlat Bābā Mas‘ūd	id=g:2472816
Bab el Gorjarni	id=g:2472817
Bāb al Jazīrah	id=g:2472818
Wādī Bāb al Gharbī	id=g:2472819
Bi’r Bābā Aḩmad	id=g:2472820
Chott el Bāb	id=g:2472821
Dhirā‘ al Bāb	id=g:2472822
‘Ayn al Bāb	id=g:2472823
Wādī ‘Azzūz	id=g:2472824
Az Zuwaytīnah	id=g:2472825
Az Zuwārīn	id=g:2472826
Az Zuwārīn	id=g:2472827
Az Zuwārah	id=g:2472828
Az Zuqayqībah	id=g:2472829
Az Zuqāq	id=g:2472830
Ruines de Zannfour	id=g:2472831
Az Zgaba	id=g:2472832
Zouila	id=g:2472833
Az Zawī	id=g:2472834
Az Zawāwīn	id=g:2472835
Az Zarībah	id=g:2472836
Az Zārāt	id=g:2472837
Az Zarāmidīn	id=g:2472838
Ez Zghana	id=g:2472839
Zahrouni	id=g:2472840
Az̧ Z̧ahrah al Ḩamrā’	id=g:2472841
Az̧ Z̧ahr	id=g:2472842
Jebel el Azzag	id=g:2472843
Wādī al Azwāz	id=g:2472844
Wādī al Azraq	id=g:2472845
Kef el Azreg	id=g:2472846
Kāf al Azraq	id=g:2472847
Jebel el Azreg	id=g:2472848
Bir el Azreg	id=g:2472849
‘Ayn al Azraq	id=g:2472850
Al Wādī al Azraq	id=g:2472851
Wādī al Azmouni	id=g:2472852
Fum al ‘Az̧mah	id=g:2472853
Muwayyat al ‘Azl	id=g:2472854
Kudyat ‘Azīzah	id=g:2472855
Jabal al ‘Azīzah	id=g:2472856
Jabal ‘Azīzah	id=g:2472857
Bir Aziz	id=g:2472858
Bir el Azilik	id=g:2472859
Bled el Azilik	id=g:2472860
Azib el Mroug	id=g:2472861
Azgandia	id=g:2472862
Bāb al Azel	id=g:2472863
Kāf al Azeiz	id=g:2472864
Bir el Azala	id=g:2472865
‘Uqlat al ‘Ayyāthī	id=g:2472866
Wādī al ‘Ayyāthah	id=g:2472867
Jabal al ‘Ayyāthah	id=g:2472868
Ragoubet el Ayat	id=g:2472869
Hanshīr ‘Ayshūn	id=g:2472870
‘Ayn Zīqzāw	id=g:2472871
Oued Aïn Zina	id=g:2472872
Aïn Zina Ferme	id=g:2472873
Wādī ‘Ayn Zareth	id=g:2472874
Wādī ‘Ayn Umm al Jirān	id=g:2472875
Bir Aïn Turkia	id=g:2472876
‘Ayn Tūnqah	id=g:2472877
‘Ayn Ţāqqah	id=g:2472878
‘Ayn Ţāqqah	id=g:2472879
Wādī ‘Ayn Sulaymān	id=g:2472880
Halte de Aïn Sliman	id=g:2472881
‘Ayn Sallām	id=g:2472882
‘Ayn Sa‘īdān	id=g:2472883
Aïne Rekoub	id=g:2472884
‘Ayn Riḑwān	id=g:2472885
‘Ayn Mişrīyah	id=g:2472886
Aïn Mestour	id=g:2472887
Aïn Jioula	id=g:2472888
Hanshīr ‘Ayn Helalah	id=g:2472889
Bir Aïn Ghrasesia	id=g:2472890
Station d’ Aïn Ghrasesia	id=g:2472891
Aïn Ghelal	id=g:2472892
Khanqat ‘Ayn Ghawīş	id=g:2472893
Réservoirs d’ Aïn Bou Ras	id=g:2472894
Wādī ‘Ayn Bin ‘Alī	id=g:2472895
Bi’r ‘Ayn at Tanyūr	id=g:2472896
Jabal ‘Ayn aş Şafrā’	id=g:2472897
Bir Aïn ech Cherfi	id=g:2472898
‘Ayn al Wulayjah	id=g:2472899
Oued Aïn el Guetar	id=g:2472900
Aïn el Ksar	id=g:2472901
Sebkhet Aïn Maïder	id=g:2472902
Wādī ‘Ayn al Milḩ	id=g:2472903
‘Ayn al Karmah	id=g:2472904
Jebel Aïn el Kebir	id=g:2472905
Jebel Aïn el Ghorab	id=g:2472906
‘Ayn al Furnah	id=g:2472907
Aïn el Faroua	id=g:2472908
Hanshīr ‘Ayn al Bābūsh	id=g:2472909
Aïn el Asker	id=g:2472910
Bi’r ‘Ayn adh Dhubbān	id=g:2472911
Mu‘tamadīyat ‘Ayn ad Darāhim	id=g:2472912
‘Ayn ad Darāhim	id=g:2472913
Wādī al ‘Ayn	id=g:2472914
Hanshīr al ‘Ayn	id=g:2472915
Jebel el Ayari	id=g:2472916
Bi’r al ‘Awwādī	id=g:2472917
‘Awsajah	id=g:2472918
Kef Ourab	id=g:2472919
Bi’r al ‘Awrā’	id=g:2472920
Bir el Aouni	id=g:2472921
‘Awn Bin Nāşir	id=g:2472922
Hanshīr Awlad Ziyād	id=g:2472923
Bir Ouled Zid	id=g:2472924
Awlād Yūsuf	id=g:2472925
Kudyat Awlād Ya‘qūb	id=g:2472926
Ouled Yaneg	id=g:2472927
Awlād Yaḩyá	id=g:2472928
Raqūbat Awlād ‘Umrān	id=g:2472929
Argoub Oulad Amor	id=g:2472930
Awlād ‘Umar	id=g:2472931
Awlād ‘Umar	id=g:2472932
Awlād ‘Umar	id=g:2472933
Oulad Alouan	id=g:2472934
Ghadīr Awlād Tuwātī	id=g:2472935
Jabal Awlād Thulayjān	id=g:2472936
Awlād Thulayjān	id=g:2472937
Awlād Sulaymān	id=g:2472938
Awlād Sulaymān	id=g:2472939
Ouled Sdira	id=g:2472940
Hanshīr Awlād Sīdī Zayyānī	id=g:2472941
Awlād Sīdī Zayd	id=g:2472942
Awlād Sīdī Talīl	id=g:2472943
Awlād Sīdī Talīl	id=g:2472944
Awlād Sīdī Talīl	id=g:2472945
Awlād Sīdī Manşūr	id=g:2472946
Oulad Sidi Khalif	id=g:2472947
Awlād Sīdī ‘Alī Bin ‘Awn	id=g:2472948
Oulad Sidi el Hani	id=g:2472949
Bled Oulad Sidi Abid	id=g:2472950
Awlād Sīdī ‘Abīd	id=g:2472951
Ouled Sendassene	id=g:2472952
Awlād Selema	id=g:2472953
Awlād Sammāmah	id=g:2472954
Sāniyat Awlād Sallām	id=g:2472955
Dhirā‘ Awlād Sallām	id=g:2472956
Awlād Salīm	id=g:2472957
Kef Ouled Salah	id=g:2472958
Awlād Şāliḩ	id=g:2472959
Awlād Salāmah	id=g:2472960
Bi’r Awlād Sa‘īd	id=g:2472961
Awlād Sa‘īd	id=g:2472962
Wādī Awlād Ouhiba	id=g:2472963
Awlād Najm	id=g:2472964
Oulad Nejem	id=g:2472965
Oulad Msallem	id=g:2472966
Awlād Mūsá Banī Nājī	id=g:2472967
Wādī Awlād Mūsá	id=g:2472968
Qaţţāyat Awlād Mūsá	id=g:2472969
Bi’r Awlād Mūsá	id=g:2472970
Awlād Mūsá	id=g:2472971
Awlād Mūsá	id=g:2472972
Awlād Mūsá	id=g:2472973
Awlād Mūsá	id=g:2472974
Awlād Mūsá	id=g:2472975
Awlād Mūsá	id=g:2472976
Awlād Muḩammad Nāşir	id=g:2472977
Awlād Muḩammad Bin Ibrāhīm	id=g:2472978
Bi’r Awlād Muḩammad	id=g:2472979
Bi’r Awlād Muḩammad	id=g:2472980
Awlād Muḩammad	id=g:2472981
Awlād Muḩammad	id=g:2472982
Awlād Muḩammad	id=g:2472983
Oulad Emmbarek el Achour	id=g:2472984
Awlād Mubārak	id=g:2472985
Awlād Mubārak	id=g:2472986
Awlād Mubārak	id=g:2472987
Henchir Oulad Migha	id=g:2472988
Awlād Māţir	id=g:2472989
‘Ayn Awlād Marzūq	id=g:2472990
Awlād Marzūq	id=g:2472991
Qar‘ at Awlād Manşūr	id=g:2472992
Bi’r Awlād Manşūr	id=g:2472993
Awlād Manşūr	id=g:2472994
Awlād Mājid	id=g:2472995
Bi’r Awlād Maḩmūd	id=g:2472996
Awlād Maḩfūz̧	id=g:2472997
Awlād Khalīfah	id=g:2472998
Awlād Khalīfah	id=g:2472999
Awlād Jallāl	id=g:2473000
Raqūbat Awlād Jalīlī	id=g:2473001
Henchir Oulad Brahim	id=g:2473002
Bi’r Awlād Ibrāhīm	id=g:2473003
Awlād Ibrāhīm	id=g:2473004
Hanshīr Awlād Ḩusayn	id=g:2473005
Awlād Ḩassān	id=g:2473006
Awlād Ḩamzah	id=g:2473007
Bir Ouled Hamed	id=g:2473008
Bi’r Awlād Ḩāmid	id=g:2473009
Awlād Graïra	id=g:2473010
Awlād Ghayḑah	id=g:2473011
Oulad Gassen	id=g:2473012
Ouled Fatnassa	id=g:2473013
Awlād Fiḑḑah	id=g:2473014
Oulad Ferhane	id=g:2473015
Ouled Farj Allah	id=g:2473016
Bir Ouled Ferd	id=g:2473017
Bi’r Awlād Faraḩ	id=g:2473018
Bi’r Awlād Faïet	id=g:2473019
Awlād Bū Yaḩyá	id=g:2473020
Awlād Bū Yaḩyá	id=g:2473021
Awlād Bū Yaḩyá	id=g:2473022
Awlād Bū Ḩarīz	id=g:2473023
Oulad Bou Hadda	id=g:2473024
Awlād Bū Ghānim	id=g:2473025
Ouled Bou Ali	id=g:2473026
Awlād Bū al Hādī	id=g:2473027
Awlād Bū al Hādī	id=g:2473028
Awlād Bū ‘Alaq	id=g:2473029
Wādī Awlād Bū ‘Abīd	id=g:2473030
Bir Oulad Ben Sabna	id=g:2473031
Awlād Bin Ḩasan	id=g:2473032
Bi’r Awlād Bin ‘Alī	id=g:2473033
Awlād ‘Azīz	id=g:2473034
Bir Ouled Aoun Allah	id=g:2473035
Bi’r Awlād ‘Awn Allāh	id=g:2473036
