Darah-ye Sūr Apan	id=g:1459724
Jar-e Daywāl	id=g:1461183
Khwāruzār	id=g:1461184
Kīchak	id=g:1461185
Sar-e Tumbast	id=g:1461186
Jar-e Khānahgak	id=g:1461187
Kōh-e Spī Sang	id=g:1461188
Jar-e Zamīn Darāz	id=g:1461189
Shōrahghāl	id=g:1461190
Jar-e Ghāl	id=g:1461191
Kōh-e Sayb-e Talkh	id=g:1461192
Buzghālak	id=g:1461193
Kōh-e Khajū	id=g:1461194
Prokhod Dakhani-Khadzhu	id=g:1461195
Tāwah-ye Sīāh	id=g:1461196
Qishlāq-e Darah	id=g:1461197
Kōh-e Chōb-e Biland	id=g:1461198
Khūlah-ye Zard	id=g:1461199
Paysh Nāwah	id=g:1461200
Band-e Midānak	id=g:1461201
Kīchak	id=g:1461202
Sar-e Lashbah	id=g:1461203
Girdah-Lang	id=g:1461204
Jar-e Jarak	id=g:1461205
Jar-e Saywak	id=g:1461206
Jar-e Yūchīnah	id=g:1461207
Taygh-e Sīāh	id=g:1461208
Sīāh Khūlah	id=g:1461209
Jar-e Kurq	id=g:1461210
Jar-e Kūrgh	id=g:1461211
Jar-e Jarak	id=g:1461212
Kōhkan	id=g:1461213
Kajnow	id=g:1461214
Dahān-e Dutā’ī	id=g:1461215
Jar-e Surkh	id=g:1461216
Jar-e Imām Dād	id=g:1461217
Kōh-e Tajarmīn	id=g:1461218
Ghashah	id=g:1461219
Pōzah-ye Tagāb	id=g:1461220
Jar-e Ālūhā	id=g:1461221
Kōh-e Sīāh Sang	id=g:1461222
Jar-e Ābrowah	id=g:1461223
Rāh-e Sang-e Zard	id=g:1461224
Jar-e Pīāzdārak	id=g:1461225
Kōh-e Archah	id=g:1461226
Kundahghāl	id=g:1461227
Kōh-e Duzdān	id=g:1461228
Jar-e Surkh	id=g:1461229
Sīāh Jar	id=g:1461230
Sangar	id=g:1461231
Bindzhar	id=g:1461232
Nowkōl	id=g:1461233
Nāsfanj	id=g:1461234
Kōtal-e Zard	id=g:1461235
Kōh-e Lōrah	id=g:1461236
Gora Balachashma	id=g:1461237
Bala-Chashmamandekh	id=g:1461238
Gora Makharisara	id=g:1461239
Bozdeyak	id=g:1461240
Gora Murgan	id=g:1461241
Sarah	id=g:1461242
Gora Shingar	id=g:1461243
Istochnik Anarak	id=g:1461244
Gora Ashukan	id=g:1461245
Piri-Nakhrabaga	id=g:1461246
Istochnik Nakhrabaga	id=g:1461247
Anārak Māndeh-ye	id=g:1461248
Ghanī Morgh Māndeh-ye	id=g:1461249
Kārīz-e Kūzhak	id=g:1461250
Gora Kozakgar	id=g:1461251
Istochnik Zamindechina	id=g:1461252
Gora Zamindegar	id=g:1461253
Zaminde	id=g:1461254
Kyariz Nalak	id=g:1461255
Istochnik Rizi	id=g:1461256
Toragard	id=g:1461257
Gora Aningigar	id=g:1461258
Istochnik Aningichashma	id=g:1461259
Istochnik Shorabak	id=g:1461260
Istochnik Garmabak	id=g:1461261
Gora Dzhakhangara	id=g:1461262
Kohe Sanelk	id=g:1461263
Qaryeh-ye Band-e Now	id=g:1461264
Shāmey	id=g:1461265
Gazistan	id=g:1461266
Chashmayi-Unuk	id=g:1461267
Darreh-ye Korghak	id=g:1461268
Darrah-e Aneng	id=g:1461269
Anarakmandekh	id=g:1461270
Ganimurgmandekh	id=g:1461271
Delārām	id=g:1461272
Mullā Naz̧ar Dashtah	id=g:1461273
Gāwmēshī Māndah	id=g:1461274
Dabmandekh	id=g:1461275
Chamu Chāh Māndeh-ye	id=g:1461276
Fayrōz Chāh	id=g:1461277
Kolodets Chamucha	id=g:1461278
Moghul Ābād	id=g:1461279
Shand Kārēz	id=g:1461280
Shand Rōd	id=g:1461281
Mullā Qāyim Nīkêh	id=g:1461282
Moghul Ābād Kārēz	id=g:1461283
Mamatah	id=g:1461284
Marjah Kārēz	id=g:1461285
Chīchah Kārēz	id=g:1461286
Lanḏay Kārēz Ghunḏêy	id=g:1461287
Sāghī Kārēz	id=g:1461288
Sī Sālīm Kārēz	id=g:1461289
Sāghī Rōd	id=g:1461290
Mullā Nawāb Nīkêh Tahānah	id=g:1461291
Sīn Ābād Kārēz	id=g:1461292
Qismābād Kārēz	id=g:1461293
Ghandar Ābād Kārēz	id=g:1461294
Mullā Nowāb Nīkêh Das̲h̲tah	id=g:1461295
Zarī Surkh Kārēz	id=g:1461296
Lanḏay Kārēz	id=g:1461297
Nalak Rōd	id=g:1461298
Sāghī Lār	id=g:1461299
Mīrdārī Lār	id=g:1461300
Sarādakē Das̲h̲tah	id=g:1461301
Gharārah Kārēz	id=g:1461302
Naray Kārēz	id=g:1461303
Bāngī Rōd	id=g:1461304
Gêwurz	id=g:1461305
Shahāb Bābā Zīārat	id=g:1461306
Kīrtah Kārēz	id=g:1461307
Fōlād Bēg Kārēz	id=g:1461308
Kalā Kārēz	id=g:1461309
Gêwurz Kārēz	id=g:1461310
Qismābād Ghunḏêy	id=g:1461311
Qismābād Kharābē	id=g:1461312
Naz̧argāh Kārēz	id=g:1461313
Ganj Ābād Kārēz	id=g:1461314
Naray Kārēz	id=g:1461315
Mīr Dārī Rōd	id=g:1461316
Naray Kārēz	id=g:1461317
Dê Balūch Kārēz	id=g:1461318
Takht	id=g:1461319
Kākarānō Kārēz	id=g:1461320
Khāldārayō Rōd	id=g:1461321
Landay Kārēz	id=g:1461322
Kūshk Kārēz	id=g:1461323
Shayr-e Surkh Kārēz	id=g:1461324
Gul-e Gaz Māndah	id=g:1461325
Zayr-e Surkh Kārēz	id=g:1461326
Akhizō Kārēz	id=g:1461327
Razvaliny Regaka	id=g:1461328
Chakidah Kārēz	id=g:1461329
Landay Kārēz	id=g:1461330
Estoway	id=g:1461331
Gora Markokh	id=g:1461332
Gora Shnatiza	id=g:1461333
Zarifkhan	id=g:1461334
Qaryeh-ye Zūr	id=g:1461335
Rūd-e Chahārrāh	id=g:1461336
Gora Chara	id=g:1461337
Gora Petavak	id=g:1461338
Gora Khaki-Surkh	id=g:1461339
Sarchilau	id=g:1461340
Gora Chugakay	id=g:1461341
Birzparat	id=g:1461342
Gora Arab	id=g:1461343
Gora Ziarat	id=g:1461344
Kyariz Kokaran	id=g:1461345
Mullagulyam	id=g:1461346
Gora Palangan	id=g:1461347
Gora Kokaran	id=g:1461348
Kyariz Asadkhan	id=g:1461349
Gora Kamalan	id=g:1461350
Gora Darband	id=g:1461351
Gora Sana	id=g:1461352
Gora Kala	id=g:1461353
Gora Pshegar	id=g:1461354
Gora Nikigar	id=g:1461355
Kwarg Ghar	id=g:1461356
Sar Chilō Das̲h̲t	id=g:1461357
Srah Gharah Kōtōrī	id=g:1461358
Pā’īn Āw	id=g:1461359
Pā’īn Āw Das̲h̲t	id=g:1461360
Kamālān Rōd	id=g:1461361
Jarā Rōd	id=g:1461362
Asadkhandashta	id=g:1461363
Asad Dzmêkah	id=g:1461364
Nalak Ghunḏêy	id=g:1461365
S̄anāghā Rōd	id=g:1461366
Sarādah Kah	id=g:1461367
Malang Jān Kārēz	id=g:1461368
Maranjān Kārēz	id=g:1461369
Bīlar Kārēz	id=g:1461370
Kāz̧im Khān Kārēz	id=g:1461371
Līrbakay Kārēz	id=g:1461372
Golestān Rūd-e	id=g:1461373
Darreh-ye Korghak	id=g:1461374
Darrah-e Aneng	id=g:1461375
Ghāzī Ābād Lār	id=g:1461376
Sar Chilō Lār	id=g:1461377
Mullā Nawāb Nīkah	id=g:1461378
Asad Khān Kārēz	id=g:1461379
Dab Māndeh-ye	id=g:1461380
Kōh-e Sang-e Safayd	id=g:1461381
Ghāwah-ye Rasūl	id=g:1461382
Ghāl-e Gurg	id=g:1461383
Jilowgīrak	id=g:1461384
Sīāh Sang	id=g:1461385
Jar-e Jilowgīrak	id=g:1461386
Minjar	id=g:1461387
Jar-e Malakī	id=g:1461388
Garak	id=g:1461389
Sang-e Āsīā	id=g:1461390
Jar-e Tangshōy	id=g:1461391
Kōh-e Tangshōy	id=g:1461392
Khawāl-e Yaman	id=g:1461393
Shāh Taygh-e Kaḏalak	id=g:1461394
Jar-e Kaḏalak	id=g:1461395
Paytow-e Zard	id=g:1461396
Sar-e Sīāh Sang	id=g:1461397
Kōh-e Alamchugh	id=g:1461398
Jar-e Kōrāw-Alif	id=g:1461399
Jar-e Nayk	id=g:1461400
Jar-e Dah Murdah	id=g:1461401
Kōh-e Espī	id=g:1461402
Daywālak	id=g:1461403
Daywālak	id=g:1461404
Daywālak	id=g:1461405
Shaylah-ye Sīāh Lākh	id=g:1461406
Iskauchayi Ulia	id=g:1461407
Langak	id=g:1461408
Darah-ye Qarghiz	id=g:1461409
Qarghiz	id=g:1461410
Murādak	id=g:1461411
Muḩammad Khafah	id=g:1461412
Jar-e ‘Itay	id=g:1461413
Paytow-e Zard	id=g:1461414
Sar-e Band-e Karam	id=g:1461415
Jar-e Kushād	id=g:1461416
Jar-e Kōrāw	id=g:1461417
Kōh-e Daldah	id=g:1461418
Jar-e Kīchak	id=g:1461419
Zamīn-e Aḩmad	id=g:1461420
Sīāh Sang	id=g:1461421
Sar-e Dasht	id=g:1461422
Karamzār	id=g:1461423
Sar-e Taygh	id=g:1461424
Jar-e Ghargharow	id=g:1461425
Saylāwah	id=g:1461426
Saylāwah	id=g:1461427
Nayk	id=g:1461428
Fālayzī	id=g:1461429
Tangī-ye Ghargharow	id=g:1461430
Darah-ye ‘Alamchōb	id=g:1461431
Kōkanah-ye Khōrd	id=g:1461432
Qarghaz-e Khōrd	id=g:1461433
Tangī-ye Safayd	id=g:1461434
Jar-e Muḩammad	id=g:1461435
Safayd Dārak	id=g:1461436
Sīāh Jar	id=g:1461437
Jar-e Mazār	id=g:1461438
Mullākhēl	id=g:1461439
Targhōlak	id=g:1461440
Sar-e Jar-e Mazār	id=g:1461441
Sang-e Safayd	id=g:1461442
Jar-e Kurgh	id=g:1461443
Rōd-e Gurgīn	id=g:1461444
Ḩarīf	id=g:1461445
Kōh-e Shatkhānah	id=g:1461446
Band-e Ōkar	id=g:1461447
Oshtur Ghalţān	id=g:1461448
Band-e Ōkar aw Gurgīn	id=g:1461449
Jar-e Ōkar	id=g:1461450
Sar-e Ōkar	id=g:1461451
Taratū	id=g:1461452
Khrebet Zang	id=g:1461453
Jar-e Khākpalak	id=g:1461454
Sīāh Sang	id=g:1461455
Ōkar	id=g:1461456
Bargar	id=g:1461457
Sangān	id=g:1461458
Manhak	id=g:1461459
Chashmah-ye Safayd	id=g:1461460
Kōtal-e Qarah Jangal	id=g:1461461
Lokahhā-ye Surkh	id=g:1461462
Pushtah-ye Mullā Shaywah	id=g:1461463
Dāmanah-ye Shānakay	id=g:1461464
Kōh-e Pīāzī	id=g:1461465
Shaylah-ye Shatkhānah	id=g:1461466
Shaylah-ye Sarmā Zard	id=g:1461467
Shaylah-ye Taychowan	id=g:1461468
Shaylah-ye Taykaftar	id=g:1461469
Shaylah-ye Kundalān	id=g:1461470
Shaylah-ye Khidmatī	id=g:1461471
Kōh-e Khidmatī	id=g:1461472
Shaylah-ye Kalkalī	id=g:1461473
Shaylah-ye Kaj	id=g:1461474
Shaylah-ye Sīāh Jōshī	id=g:1461475
Shaylah-ye Mīrkhān	id=g:1461476
Kōh-e Kalkalī	id=g:1461477
Kōh-e Atāghā	id=g:1461478
Kundalan	id=g:1461479
Tapah-ye Kundalān	id=g:1461480
Dāmanah-ye Sablar	id=g:1461481
Dāmanah-ye Kōh-e Sang-e Sūrākh	id=g:1461482
Paytow-e Surkh	id=g:1461483
Pirak	id=g:1461484
Qarā Khān	id=g:1461485
Barakat-Ghūnḏī	id=g:1461486
Jar-e Kichkinah	id=g:1461487
Nāwah-ye Khwājah Bāz	id=g:1461488
Tangalak-e Khwājah Bāz	id=g:1461489
Khodzhabaz	id=g:1461490
Kōh-e Zīārat	id=g:1461491
Kōh-e Chashmah-Safayd	id=g:1461492
Kowkpar-e Kalān	id=g:1461493
Chūling	id=g:1461494
Kōrāb-e Surkh	id=g:1461495
Kōh-e Iskowchah	id=g:1461496
Kōh-e Sīāh Jar	id=g:1461497
Kōh-e Awandā	id=g:1461498
Tangalak-e Sīāh Jar	id=g:1461499
Shaylah-ye Khwājah Bāz	id=g:1461500
Shaylah-ye Shāh Bayd	id=g:1461501
Shaylah-ye Kōh-e Shāh Bayd	id=g:1461502
Shaylah-ye Shaykhābād	id=g:1461503
Shaylah-ye Yazdowān	id=g:1461504
Kōh-e Shāhnuqāl	id=g:1461505
Shaylah-ye Khidrak	id=g:1461506
Sakau	id=g:1461507
Shaylah-ye Anārak	id=g:1461508
Khūlah-ye Shāh Bābā	id=g:1461509
Kōh-e Kharparān	id=g:1461510
Shaylah-ye Pushtah-ye Jōyah	id=g:1461511
Kōh-e Kirmū	id=g:1461512
Shaylah-ye Hazār Buz	id=g:1461513
Kōh-e Jāmān	id=g:1461514
Shaylah-ye Jāmān	id=g:1461515
Dê Sōkhtē Ghar	id=g:1461516
‘Alī Shānī Ghar	id=g:1461517
Takhchaghay Shaylah	id=g:1461518
Dê Khākbachah Shaylah	id=g:1461519
Dê Girdāb Ghar	id=g:1461520
Dê Girdāb Shaylah	id=g:1461521
Kōh-e Khazīnah	id=g:1461522
Shāhbayd Shaylah	id=g:1461523
Kōh-e Tamāshā	id=g:1461524
Kajaţāq Shaylah	id=g:1461525
Dê Sang-e Shāndē Ghar	id=g:1461526
Murghāb Ghar	id=g:1461527
Dê Khuṯ Pōzah	id=g:1461528
Dê Tāwīzak Ghar	id=g:1461529
Nayk Shaylah	id=g:1461530
Shaylah-ye Khamīn	id=g:1461531
Kōh-e Kharah’ī Zard	id=g:1461532
Shaylah-ye Arpatū	id=g:1461533
Shaylah-ye Kōldum	id=g:1461534
Shaylah-ye Ḩājī Gulwān	id=g:1461535
Kōh-e Ḩājī Gulwān	id=g:1461536
Shaylah-ye Tashlugh	id=g:1461537
Shaylah-ye Sarpōsh	id=g:1461538
Kōh-e Tashlugh	id=g:1461539
Kōh-e Yazdowān	id=g:1461540
Yazdowān Ghunḏêy	id=g:1461541
Tangī-ye Chaghāmum	id=g:1461542
Shaylah-ye Chaghāmum	id=g:1461543
Kōh-e Shīnwalad	id=g:1461544
Kōh-e Mandus̄ōr	id=g:1461545
Taralugh Shaylah	id=g:1461546
Yazdowān Tapē	id=g:1461547
Damghōr Tapē	id=g:1461548
Damghōr Shaylah	id=g:1461549
Bal Targhaţū Silsilah Ghrūnah	id=g:1461550
Kajaţāq Band	id=g:1461551
Kajaţāq Ghar	id=g:1461552
Khwājah-ye Bāz Ghar	id=g:1461553
Sinjidak Shaylah	id=g:1461554
Sinjidak Ghar	id=g:1461555
Dê Wulō Shaylah	id=g:1461556
Sang-e Shāndah Shaylah	id=g:1461557
Murghāb Shaylah	id=g:1461558
Shaylah-ye ‘Omar Sīāh	id=g:1461559
Pereval Bedem-Mazar	id=g:1461560
Tangī-ye Chaghambān	id=g:1461561
Darahgak	id=g:1461562
Chāh Ghambān Tangaī	id=g:1461563
Shaylah-ye Daywālak	id=g:1461564
Kōh-e Naghārah Khānah	id=g:1461565
Paytowjōy-e Yamā	id=g:1461566
Zīārat-e Ākhūndzādah Mullā ‘Abdullāh	id=g:1461567
Surkhnau	id=g:1461568
Shaylah-ye Bādkhānah	id=g:1461569
Jar-e Ābkhōr	id=g:1461570
Shaylah-ye Jangjāy	id=g:1461571
Kōh-e Khaţīf	id=g:1461572
Shaylah-ye Tangal	id=g:1461573
Khalīfah Mullā Alif	id=g:1461574
Kōh-e Āb-e Qāsim	id=g:1461575
Ākhūndzādah Mullā Muḩammad Qāsim	id=g:1461576
Kōh-e Zīārat	id=g:1461577
Kalpa’ī	id=g:1461578
Kōh-e Ma‘dan	id=g:1461579
Kōh-e Muḩammad Yārī	id=g:1461580
Kōh-e Khazīnah	id=g:1461581
Ākhūndzādah Mullā ’Ubaydullāh	id=g:1461582
Kōh-e Chashmah-ye Safayd	id=g:1461583
Jar-e Amar-e Sīāh	id=g:1461584
Kōh-e Kharmurdah	id=g:1461585
Kōh-e Surkh	id=g:1461586
Tangī-ye Kharmurdah	id=g:1461587
Shaylah-ye Zangōlah	id=g:1461588
Tangī-ye Safayd	id=g:1461589
Darah-ye Khwājah Rūf	id=g:1461590
Zīārat-e Ḩājī Mullā Ḩalīm	id=g:1461591
Kōh-e Sīāh Jar	id=g:1461592
Shaylah-ye Sīāh Jar	id=g:1461593
Kōh-e Astānah	id=g:1461594
Kangal’	id=g:1461595
Kōh-e Mujdī	id=g:1461596
Sīāh Kōh	id=g:1461597
Kōh-e Ghāy Naychahhā	id=g:1461598
Kōh-e Khazanjīr	id=g:1461599
Kōh-e Kaftarak	id=g:1461600
Kōh-e Zūl Girdāb	id=g:1461601
Kōh-e Ispīpah	id=g:1461602
Tangī-ye Surūjah	id=g:1461603
Kōh-e Kādānak	id=g:1461604
Kōh-e Ḩişār	id=g:1461605
Dahān-e Durbast	id=g:1461606
Kōh-e Kishk-e Nakhūd	id=g:1461607
Kōh-e Ūlastān	id=g:1461608
Kōh-e Mazār	id=g:1461609
Kōh-e Kamarak	id=g:1461610
Poraz	id=g:1461611
Kōh-e Tōghah	id=g:1461612
Kōh-e Showah	id=g:1461613
Kōh-e Gūrīgī	id=g:1461614
Pusht Kōh	id=g:1461615
Tapahhā-ye Bayd-e Pirayshān	id=g:1461616
Tapahhā-ye Sīnakhōj	id=g:1461617
Kōh-e Jābirah	id=g:1461618
Kham Būm	id=g:1461619
Kōh-e Nalakī	id=g:1461620
Kōh-e Būrah	id=g:1461621
Shaylah-ye Sangak Sīāh	id=g:1461622
Fīl Kush	id=g:1461623
Rūd-e Nayzgān	id=g:1461624
Sarjar Zīārat	id=g:1461625
Shaylah-ye Murgh-e ‘Alā	id=g:1461626
Shaylah-ye Bāgh-e ‘Arab	id=g:1461627
Kōh-e Nalakī	id=g:1461628
Manzaryak	id=g:1461629
Dahān-e Wung	id=g:1461630
Kōh-e Kālwist	id=g:1461631
Kōh-e Kashaf Khānah	id=g:1461632
Band-e Lashkargāh	id=g:1461633
Kōh-e Māl Kushtah	id=g:1461634
Band-e Zard	id=g:1461635
Kōh-e Chulūng	id=g:1461636
Jilowgīrak	id=g:1461637
Mīān Kōh	id=g:1461638
Darah-ye Rabāţ	id=g:1461639
Band-e Anārak	id=g:1461640
Qolah-ye Dālān	id=g:1461641
Selseleh-ye Kūh-e Sarmūshū	id=g:1461642
Bagudzhayi-Pain	id=g:1461643
Zīādī Rūd-e	id=g:1461644
Khodzha-Khizir	id=g:1461645
Dakhani-Kaylushti	id=g:1461646
Ulurik	id=g:1461647
Pereval Ulurik	id=g:1461648
Gora Pashakhvan	id=g:1461649
Gora Darazkokh	id=g:1461650
Gazavust	id=g:1461651
Rāghay	id=g:1461652
Kōh-e Band-e Sīāh	id=g:1461653
Shīnāwīz	id=g:1461654
Kōhhā-ye Chashmah-ye Darāz	id=g:1461655
Qolah-ye Isrā’īl	id=g:1461656
Darah-ye Bāgh-e Ḩasanī	id=g:1461657
Gora Durudi-Khisar	id=g:1461658
Darah-ye Pusht-e Ālū	id=g:1461659
Kōtal-e Tagāb	id=g:1461660
Kōh-e Sar-e Bālā	id=g:1461661
Kōh-e Khushk Ābah	id=g:1461662
Darah-ye Lar Jīnah	id=g:1461663
Darah-ye Tagāb-e Ẕōr	id=g:1461664
Darah-ye Jar Yakhūnah	id=g:1461665
Dū Rōd-e Ḩişār	id=g:1461666
Kōh-e Band-e Lushtī	id=g:1461667
Darah-ye Dahān-e Kāy Lushtī	id=g:1461668
Silsilah-ye Tapahhā-ye Tīr Band	id=g:1461669
Darah-ye Bāghhā Jāh	id=g:1461670
Darah-ye Jar-e Amān	id=g:1461671
Darah-ye Jowzak	id=g:1461672
Kōh-e Palangī	id=g:1461673
Darah-ye Dahān-e Rūmah	id=g:1461674
Lar-Dzhina	id=g:1461675
Gora Gazavust	id=g:1461676
Band-e Lashtī	id=g:1461677
Gory Kharbandun	id=g:1461678
Tapahhā-ye Ālū	id=g:1461679
Gazavuz	id=g:1461680
Tappehhā-ye Gallehtūt	id=g:1461681
Gora Poraz	id=g:1461682
Tavakashka	id=g:1461683
Niyaz	id=g:1461684
Darreh-ye Bohlūl	id=g:1461685
Dolina Shorab	id=g:1461686
Dolina Kucha	id=g:1461687
Bashnya Sari-Kocha	id=g:1461688
Dayrist	id=g:1461689
Bag	id=g:1461690
Mogila Khodzha-Pista	id=g:1461691
Gorutbau	id=g:1461692
Gora Darzaki-Kalan	id=g:1461693
Darzak-e Khord	id=g:1461694
Darzaki-Gazistan	id=g:1461695
Jar-e Lakhshak	id=g:1461696
Ziarati-Sheykhi-Islam	id=g:1461697
Gavmurda	id=g:1461698
Kauridzh	id=g:1461699
Gora Shakhali	id=g:1461700
Jar-e Ḩalqehkamar	id=g:1461701
Bedali	id=g:1461702
Poshteh-ye Kawrīj	id=g:1461703
Gora Kushki-Surkh	id=g:1461704
Gora Kharistan	id=g:1461705
Mogila Ziarati-Khodzha-Dzhakhangir	id=g:1461706
Mogila Khodzha-Kibriya	id=g:1461707
Khodzha-Dzhakhangir	id=g:1461708
Gora Ramaguli	id=g:1461709
Gory Sangar	id=g:1461710
Darreh-ye Jawdar	id=g:1461711
Poshteh-ye Sangar	id=g:1461712
Makhra	id=g:1461713
Gardaneh-ye Jawak	id=g:1461714
Jar-e Shūreh-ye Ghāl	id=g:1461715
Pereval Sangi-Minauroz	id=g:1461716
Mogila Ziarati-Shakh-Giasuddin	id=g:1461717
Poshteh-ye Kafkhvorak	id=g:1461718
Bāgh-e Wāḩid	id=g:1461719
Khūlah-ye Khalach	id=g:1461720
Jar-e Pashah Khānak	id=g:1461721
Jar-e Chak Ābak	id=g:1461722
Darah-ye Gazak	id=g:1461723
Langūn	id=g:1461724
Pushtah-ye Pistah Yak	id=g:1461725
Kaltah Kōhak	id=g:1461726
Kōtal-e Tundak	id=g:1461727
Darah-ye Malmūshtī	id=g:1461728
Kūnak-e Qarabāy	id=g:1461729
Pushtah-ye Ghāl-e Katah	id=g:1461730
Darah-ye Ghāl-e Katah	id=g:1461731
Pushtah-ye Kalāgak	id=g:1461732
Jar-e Chāhak	id=g:1461733
Khūlah-ye Kowrīj	id=g:1461734
Kat-e Now	id=g:1461735
Tēl-e Khūlah	id=g:1461736
Kowrīj	id=g:1461737
Pushtah-ye Naz̧arbāy	id=g:1461738
Qishlāq-e Kuhnah-ye Nowāmad	id=g:1461739
Jar-e Tēlak	id=g:1461740
Darah-ye Ḩowẕ-e Karam	id=g:1461741
Nāy-e Tamās Khān	id=g:1461742
Jar-e Galah Khār	id=g:1461743
Nayi-Rustat-Batur	id=g:1461744
Khūlah-ye Ţāhirān	id=g:1461745
Sang-e ‘Ādil	id=g:1461746
Kharah-ye Jahān Numāy	id=g:1461747
Pushtah-ye Awkhōr	id=g:1461748
Gumbaz	id=g:1461749
Gazistan	id=g:1461750
Gora Khulayi-Khaki-Aula	id=g:1461751
Jar-e Sangak	id=g:1461752
Nikhali-Khodzha	id=g:1461753
Karez	id=g:1461754
Shakhali	id=g:1461755
Darreh-ye Gazak	id=g:1461756
Khūlah-ye Qashqah	id=g:1461757
Kharah-ye Khurāsān	id=g:1461758
Jar-e Tūrkah	id=g:1461759
Jar-e Kabūtarghāl	id=g:1461760
Jar-e Ghāl-e Tūrkah	id=g:1461761
Darreh-ye Jawdar	id=g:1461762
Ushchel’ye Mal’mushti	id=g:1461763
Darreh-ye Gelak	id=g:1461764
Haftnāy	id=g:1461765
Mal Khūlah	id=g:1461766
Pushtah-ye Kādānak	id=g:1461767
Seh Gōshak	id=g:1461768
Seh Gōshak	id=g:1461769
Gazak	id=g:1461770
Dāl-e Taygh-e Archah	id=g:1461771
Chashmah-ye Kōl-e Chāk	id=g:1461772
Tēl-e Surkhak	id=g:1461773
Taygh-e Chashmah-ye Darāz	id=g:1461774
Dāl-e Paskōl	id=g:1461775
Chashmah-ye Allāhdād	id=g:1461776
Galah Chashmah	id=g:1461777
Kōh-e Ghurghurī	id=g:1461778
Kūn Kharah-ye Jowzak	id=g:1461779
Shaylah-ye Tahkoshak	id=g:1461780
Kōh-e Āb-e Bārīk	id=g:1461781
Shaylah-ye ‘Ayn-e Kamāl	id=g:1461782
Kōh-e Lukhlukhī	id=g:1461783
Kōh-e ‘Ayn-e Kamāl	id=g:1461784
Sang-e Sūrākh	id=g:1461785
Shaylah-ye Maīdānak	id=g:1461786
Kōh-e Maīdānak	id=g:1461787
Shaylah-ye Zākak	id=g:1461788
Shaylah-ye Ghūmurghah-ye Wakīl	id=g:1461789
Kōh-e Zākak	id=g:1461790
Shaylah-ye Khushk	id=g:1461791
Kōh-e Oshtur Murdah	id=g:1461792
Kōh-e Shahr-e Arman	id=g:1461793
Kōh-e Tīralang	id=g:1461794
Shaylah-ye Tīralang	id=g:1461795
Kōh-e Khwājah Palūr	id=g:1461796
Band-e Khwājah Muzdān	id=g:1461797
Kōh-e Darah Gak	id=g:1461798
Dāl-e Kōl-e Chāk	id=g:1461799
Jar-e Durusht	id=g:1461800
Jar-e Chārsang	id=g:1461801
Chakharsang	id=g:1461802
Jar-e Kargasāb	id=g:1461803
Jar-e Khwājah Panōr	id=g:1461804
Jar-e Khwājah Muzdān	id=g:1461805
Sar Shaylah-ye Shahr-e Arman	id=g:1461806
Jar-e Chahār Sang	id=g:1461807
Jar-e Sīāh Lālā	id=g:1461808
Shaylah-ye Gumbad	id=g:1461809
Pushtah-ye Rabāţ	id=g:1461810
Darah-ye Chashmah-ye Dilwā	id=g:1461811
Qādis-Khūrdak	id=g:1461812
Kōh-e Awrōzkaldī	id=g:1461813
Jar-e Khazahhā	id=g:1461814
Dahān-e Gāwkhōrak	id=g:1461815
Pushtah-ye Gāwkhōrak	id=g:1461816
Band-e Chahārchigī	id=g:1461817
Pushtah-ye Chahār Rāhī	id=g:1461818
Chashmah-ye Digāw	id=g:1461819
Sar-e Takhtah Sang	id=g:1461820
Qādes Khordak	id=g:1461821
Qaryah-ye Qāch	id=g:1461822
Sar-e Qādis	id=g:1461823
Surkh Qōlak	id=g:1461824
Jōy-e Nuqrah	id=g:1461825
Sīnah-ye Zard	id=g:1461826
Chambar Kamar	id=g:1461827
Sīāh Darah	id=g:1461828
Darah-ye Bāgh	id=g:1461829
Shaylah-ye Bayd-e Khwājah ‘Alī	id=g:1461830
Chaling Kōrgak	id=g:1461831
Band-e Sīāh Darah	id=g:1461832
Palangqāl	id=g:1461833
Mīr-e Sa‘d	id=g:1461834
Pāy-e Ḩaşār	id=g:1461835
Shotur Murdah	id=g:1461836
Taygh-e Mīr-e Sa‘d	id=g:1461837
Kōh-e Lakhlakhī Sīāh	id=g:1461838
Pushtah-ye Jōy-e Nuqrah	id=g:1461839
Sangchil	id=g:1461840
Lingling	id=g:1461841
Khalishkow	id=g:1461842
Sarband-e Khalishkow	id=g:1461843
Khwājah Sêtānah	id=g:1461844
Tagausur	id=g:1461845
Kōh-e Ḩājī Faīẕ	id=g:1461846
Mīān Taygh-e Darah-ye Gildūn	id=g:1461847
Maīdānak	id=g:1461848
Taygh-e Kalā-ye Khar	id=g:1461849
Kalā-ye Khar	id=g:1461850
Taygh-e Maīdānak	id=g:1461851
Takatū	id=g:1461852
Gāw Khōrak	id=g:1461853
Mīān Taygh-e Gāw Khōrak	id=g:1461854
Jar-e Khushk	id=g:1461855
Saybak	id=g:1461856
Kōh-e Yārōsīn	id=g:1461857
Sag Murdah	id=g:1461858
Zīārat-e ‘Alamchō	id=g:1461859
Zīārat-e Mīr-e Dānā	id=g:1461860
Mīrzāqulī	id=g:1461861
Chirt-e Murgh	id=g:1461862
Chingay Mākō	id=g:1461863
Chashmah-ye Rōghanī	id=g:1461864
Akhtah Qōl	id=g:1461865
Rōd-e Qādis	id=g:1461866
