Averill Station (historical)	id=g:7272487
Mirmont Alcoholism Rehabilitation Center	id=g:7276023
Montgomeryville Industrial Center	id=g:7276024
Morton Borough Hall	id=g:7276025
Naamans Creek Center	id=g:7276026
Nether Providence Township Building	id=g:7276027
John Cappelli Golf Range	id=g:7276028
King of Prussia Business and Industrial Center	id=g:7276029
King of Prussia Business Center	id=g:7276030
Lansdowne Borough Hall	id=g:7276031
Shops at Harleysville	id=g:7276032
Oaks Corporate Center	id=g:7276033
Old Chester Courthouse	id=g:7276034
Paoli Village Shops	id=g:7276035
Park Valley Corporate Center	id=g:7276036
Parkside Borough Building	id=g:7276037
Pennbrook Industrial Center	id=g:7276038
Peter J Camiel Service Plaza	id=g:7276039
Philadelphia Naval Business Center	id=g:7276040
Plymouth Woods Office Park	id=g:7276041
Providence Business Center at Oaks	id=g:7276042
Providence Corporate Center	id=g:7276043
Renaissance at Gulph Mills Industrial Center	id=g:7276044
Turnpike Industrial Center	id=g:7276045
Twin Peak Industrial Center	id=g:7276046
Valley Forge Business Center	id=g:7276047
Valley Forge Convention Center	id=g:7276048
Whitpain Business and Professional Park	id=g:7276049
Whitpain Industrial Center	id=g:7276050
Widener University Technology Park	id=g:7276051
Willow Grove Industrial and Office Center	id=g:7276052
Struble Lake Recreation Area Boat Ramp	id=g:7276053
The Schuylkill Center	id=g:7276054
Woods Golf Center	id=g:7276055
South San Francisco Water Quality Control Plant	id=g:7276056
Millbrae Water Pollution Control Plant	id=g:7276057
Regional Water Quality Control Plant	id=g:7276058
Passaic Valley Water Pollution Control Plant	id=g:7276059
Pixar Studios	id=g:7276060
Upper Peninsula State Fairgrounds	id=g:7276061
Stickney Water Reclamation Plant	id=g:7276062
North Side Water Reclamation Plant	id=g:7276063
Calumet Water Reclamation Plant	id=g:7276064
John E Egan Water Reclamation Plant	id=g:7276065
Hanover Water Reclamation Plant	id=g:7276066
James C Kirie Water Reclamation Plant	id=g:7276067
Lemont Water Reclamation Plant	id=g:7276068
James W Jardine Water Purification Plant	id=g:7276069
South Water Purification Plant	id=g:7276070
Joint Water Pollution Control Plant	id=g:7276071
La Canada Water Reclamation Plant	id=g:7276072
Lancaster Water Reclamation Plant	id=g:7276073
Long Beach Water Reclamation Plant	id=g:7276074
Los Coyotes Water Reclamation Plant	id=g:7276075
Palmdale Water Reclamation Plant	id=g:7276076
Pomona Water Reclamation Plant	id=g:7276077
San Jose Creek Water Reclamation Plant	id=g:7276078
Saugus Water Reclamation Plant	id=g:7276079
Valencia Water Reclamation Plant	id=g:7276080
Whittier Narrows Water Reclamation Plant	id=g:7276081
Buffalo Drive-In Theater (historical)	id=g:7276082
Garden Corners Rest Area	id=g:7276083
Munising City Dock	id=g:7276084
Wagner Falls State Scenic Site	id=g:7276085
Le Sourdsville Water Reclamation Facility	id=g:7276086
Middletown Water Treatment Plant	id=g:7276087
Southeast Water Pollution Control Plant	id=g:7276088
Northpoint Water Pollution Control Plant	id=g:7276089
Oceanside Water Pollution Control Plant	id=g:7276090
Ingleside Racetrack (historical)	id=g:7276091
Michigan Welcome Center	id=g:7276092
Honeygo Village Center	id=g:7276093
Charles A Wemlinger Water Treatment Plant	id=g:7276094
Central Treatment Plant	id=g:7276095
Stony Point Rifle Range	id=g:7276096
Greens Crossing (historical)	id=g:7276097
Fishers Landing Light	id=g:7276098
Granite State Shoal Light	id=g:7276099
Stony Point Light House	id=g:7276100
River Road Forks	id=g:7276101
Nunda Junction (historical)	id=g:7276102
Wadsworth Junction	id=g:7276103
The Oxbow	id=g:7276104
DeYoung Family Zoo	id=g:7276105
Friarhurst (historical)	id=g:7276106
Spencerport Waterworks	id=g:7276107
Windsor Corporate Park	id=g:7276108
West Windsor Municipal Complex	id=g:7276109
Quakerbridge Office Plaza	id=g:7276110
Princeton Crossroads Corporate Center	id=g:7276111
Sierra Office Park	id=g:7276112
Pennington Office Park	id=g:7276113
Springbrook Water Reclamation Center	id=g:7276114
Alhambra Renaissance Entertainment Center	id=g:7276115
San Gabriel Valley Vineyard (historical)	id=g:7276116
California Plaza	id=g:7276117
Los Angeles Center Studios	id=g:7276118
Shadow Ranch (historical)	id=g:7276119
Olcott Light	id=g:7276120
Stalwart Fair Ground	id=g:7276121
La'ie Water Reclamation Facility	id=g:7276122
Interlocken Office Park	id=g:7276123
Days Mill	id=g:7276124
Evans Mills	id=g:7276125
Ewing Fairgrounds	id=g:7276126
Muses Mill	id=g:7276127
Carlow Corporate Center	id=g:7276128
Remington Lake Business Center	id=g:7276129
Corporate Crossing	id=g:7276130
Internationale Centre	id=g:7276131
Crossroads Business Center	id=g:7276132
Corporate Corridors	id=g:7276133
City of Waukegan Water Treatment Plant	id=g:7276134
Cinder Ridge Golf Links	id=g:7276135
Sault Sainte Marie Rest Area	id=g:7276136
Sugar Islander Ferry	id=g:7276137
Troy Water Treatment Plant	id=g:7276138
Westbury Drive-In Theater (historical)	id=g:7276139
Whitefish Point Bird Observatory	id=g:7276140
Chippewa County Fairground	id=g:7276141
Drummond Island Ferry	id=g:7276142
Sault Sainte Marie Welcome Center	id=g:7276143
United States Department of Agriculture Iroquois Light House	id=g:7276144
Janet Morrison Picnic Center	id=g:7276145
Thompson State Fish Hatchery	id=g:7276146
Schoolcraft County Fairgrounds	id=g:7276147
City of Eureka Water Treatment Plant	id=g:7276148
Las Animas County Fairgrounds	id=g:7276149
Ada Water Treatment Plant	id=g:7276150
Anaheim Drive-In (historical)	id=g:7276151
Lenain Water Treatment Plant	id=g:7276152
Aviation Research Park	id=g:7276153
Oyster Point of Newport News	id=g:7276154
Deer Run Commerce Center	id=g:7276155
Patrick Henry Business Center	id=g:7276156
Newport News Marine Terminal	id=g:7276157
City Center at Oyster Point	id=g:7276158
Newport News Cruise Terminal	id=g:7276159
Hampton Road Center	id=g:7276160
Hampton Roads Center North	id=g:7276161
Hampton Roads Center South	id=g:7276162
The Shops At Hampton Harbor	id=g:7276163
Watts-Degarmo Boat Yard	id=g:7276164
Meadow Club (historical)	id=g:7276165
Jericho Landing	id=g:7276166
West Landing	id=g:7276167
Fire Island Ferry Terminal	id=g:7276168
Sailors Haven Ferry Terminal	id=g:7276169
Saint Ignace Rest Area	id=g:7276170
Saint Ignatius Welcome Center	id=g:7276171
Tiki Travel Park	id=g:7276172
Silver Mountain Downhill Ski/Tubing Hill	id=g:7276173
Star Line Mackinac Island Ferry	id=g:7276174
Arnold Mackinac Island Ferry	id=g:7276175
Shepler's Mackinac Island Ferry	id=g:7276176
Father Marquette National Memorial	id=g:7276177
Naubinway Rest Area	id=g:7276178
Garlyn Zoological Park	id=g:7276179
Harts RV Park	id=g:7276180
Brevort Township Fairground	id=g:7276181
Greens of Mackinac	id=g:7276182
Pontiac's Lookout	id=g:7276183
Boyne Highlands Ski Area	id=g:7276184
Thunder Falls Water Park	id=g:7276185
Mackinaw City Welcome Center	id=g:7276186
Crooked River RV Park	id=g:7276187
Hidden River Golf and Casting Club	id=g:7276188
Oden State Fish Hatchery	id=g:7276189
North Dock	id=g:7276190
South Dock	id=g:7276191
Big Valley Ski Area	id=g:7276192
Watson's Corner	id=g:7276193
City of Austin DBA Austin Energy Facility	id=g:7276194
City of Austin Electric Utility	id=g:7276195
Decker Creek Power Plant	id=g:7276196
Dessau Fountains Estates Water Treatment Facility	id=g:7276197
Hal C Weaver Power Plant	id=g:7276198
Holly Street Power Plant	id=g:7276199
North Park Sopping Center	id=g:7276200
The Market at Round Rock	id=g:7276201
Auburn Water Works Filtration Plant	id=g:7276202
Poughkeepsie Tennis Club	id=g:7276203
Hickory Grove	id=g:7276204
The Chapel	id=g:7276205
Brooksville Railroad Junction (historical)	id=g:7276206
Fallen Rock (historical)	id=g:7276207
Locust Mill (historical)	id=g:7276208
Rock Springs Landing (historical)	id=g:7276209
Valley View	id=g:7276210
W.G. Cabin Railroad Stop (historical)	id=g:7276211
Bartholomew-Fitzgerald Mill	id=g:7276212
Coopers Landing	id=g:7276213
Hamilton Landing	id=g:7276214
Limestone Landing	id=g:7276215
Mastins Mill	id=g:7276216
Phister's Landing	id=g:7276217
Stone Quarry Landing	id=g:7276218
The Dead Fall	id=g:7276219
The Upper Landing	id=g:7276220
Badfords Landing (historical)	id=g:7276221
Crumbs Landing (historical)	id=g:7276222
Garrison Landing (historical)	id=g:7276223
Kimballs Landing (historical)	id=g:7276224
Meldahls Landing (historical)	id=g:7276225
Moores Landing (historical)	id=g:7276226
Murphys Landing (historical)	id=g:7276227
Murphys Landing (historical)	id=g:7276228
Pancoast Landing (historical)	id=g:7276229
Red Fox Landing (historical)	id=g:7276230
Rock Creek Landing (historical)	id=g:7276231
Saint Pauls Landing	id=g:7276232
Salt Lick Landing (historical)	id=g:7276233
Stone Chimney Landing	id=g:7276234
Sullivan Railroad Stop (historical)	id=g:7276235
Sullivans Landing	id=g:7276236
Swearingens Landing (historical)	id=g:7276237
Thomson Landing (historical)	id=g:7276238
Vilidan Landing (historical)	id=g:7276239
Wells Landing	id=g:7276240
White Corner (historical)	id=g:7276241
Williams Landing (historical)	id=g:7276242
Wilsons Landing (historical)	id=g:7276243
Eslabon Ranch	id=g:7276244
Watertown Water Works	id=g:7276245
Amsterdam Industrial Center	id=g:7276246
Clarks Ford	id=g:7276247
Cloud Splitter Rock	id=g:7276248
Green Garret Railroad Siding (historical)	id=g:7276249
Lewis County Fairgrounds	id=g:7276250
Manvels Landing (historical)	id=g:7276251
W Montieth Landing (historical)	id=g:7276252
J Montieth Landing (historical)	id=g:7276253
Pence Run (historical)	id=g:7276254
Endicott Water Works	id=g:7276255
Oak Orchard	id=g:7276256
Boscobel (historical)	id=g:7276257
Mountain Lake Manor	id=g:7276258
Johnson City Water Works	id=g:7276259
Brown's Dock	id=g:7276260
Pelham Dock	id=g:7276261
Long Pier	id=g:7276262
Jamaica Race Track (historical)	id=g:7276263
Woodhaven Junction	id=g:7276264
Westchester Yard (historical)	id=g:7276265
Bayside Yacht Club	id=g:7276266
Mount McSauba Ski Hill	id=g:7276267
Boyne Mountain Ski Area	id=g:7276268
Hebron Rest Area	id=g:7276269
Topinabee Rest Area	id=g:7276270
Cheboygan County Fairgrounds	id=g:7276271
Emmet County Fairgrounds	id=g:7276272
Cedar Creek Water Pollution Control Plant	id=g:7276273
Meadowview Golf Links (historical)	id=g:7276274
Mineola Fair Grounds (historical)	id=g:7276275
Seawene Links (historical)	id=g:7276276
Ithaca Water Works Filter Plant	id=g:7276277
Waterloo Waterworks	id=g:7276278
Seneca County Agricultural Society Fair Grounds	id=g:7276279
Boice Brothers Dairy	id=g:7276280
Sunrise Manor	id=g:7276281
Moonhaw Gun Club	id=g:7276282
Fulton Water Works	id=g:7276283
Granjenitos Ranch	id=g:7276284
Juanitas Ranch	id=g:7276285
Buenos Aires Ranch	id=g:7276286
Las Comitas Ranch	id=g:7276287
La Libertad Ranch	id=g:7276288
Sanbenito Ranch	id=g:7276289
Mancia Ranch	id=g:7276290
Onaway Motor Speedway	id=g:7276291
Presque Isle County Fairgrounds	id=g:7276292
Frenchs Mill	id=g:7276293
Citrus Center	id=g:7276294
Fordham Landing (historical)	id=g:7276295
Trail Canyon Trailhead	id=g:7276296
Mountainair Rodeo Ground	id=g:7276297
Salinas Pueblo Missions National Monument Visitor Center	id=g:7276298
Duke City Raceway (historical)	id=g:7276299
Barelas Railroad Park	id=g:7276300
University of New Mexico Arena	id=g:7276301
University of New Mexico Stadium	id=g:7276302
Albuquerque Sports Stadium	id=g:7276303
Milne Stadium	id=g:7276304
Civic Plaza	id=g:7276305
Ogdensburg City Water Works	id=g:7276306
Oneonta Water Treatment Plant	id=g:7276307
Bemus Point Hatchery (historical)	id=g:7276308
Niagara-Mohawk Power Corporation Gloversville Gas Plant	id=g:7276309
Binghamton City Incinerator	id=g:7276310
Binghamton Water Works	id=g:7276311
Gulvin Park Treatment Plant	id=g:7276312
Wildwood	id=g:7276313
Central States Community Speedway	id=g:7276314
Kamp Across from the Dunes	id=g:7276315
Berrien County Youth Fairgrounds	id=g:7276316
Agoura Hills-Malibu Division	id=g:7276317
San Fernando Valley Division	id=g:7276318
East Sonora-Phoenix Lake Division	id=g:7276319
Santa Clara Pueblo Division	id=g:7276320
Camden Northeast Division	id=g:7276321
Flathead Division	id=g:7276322
Cedar Creek Lake Division	id=g:7276323
University of Delaware Louise and David Roselle Center for the Arts - Parking Garage	id=g:7276324
University of Delaware Trabant University Center Garage	id=g:7276325
University of Delaware Perkins Student Center Garage	id=g:7276326
Delaware Technology Park	id=g:7276327
Omega Professional Center	id=g:7276328
Barley Mill Plaza Professional Park	id=g:7276329
Greater Milford Business Complex	id=g:7276330
The Penninsula Golf and County Club	id=g:7276331
Andrews University Sledding Hill	id=g:7276332
Richfield Springs Driving Park (historical)	id=g:7276333
Bartons Corners	id=g:7276334
Thorns Corners	id=g:7276335
Rogers Crossroads	id=g:7276336
Five Corners (historical)	id=g:7276337
Half Moon Rock	id=g:7276338
Hells Kitchen	id=g:7276339
Willow Park Office Complex	id=g:7276340
Dunkirk Filter Plant	id=g:7276341
Dunkirk Water Plant	id=g:7276342
Chautauqua County Fair Grounds	id=g:7276343
Village of Green Island Water Works	id=g:7276344
Val Bialas Ski Area	id=g:7276345
Oaklawn-Sunview CDP	id=g:7276346
Airport Drive-In Theater (historical)	id=g:7276347
Potsdam Water Works	id=g:7276348
Amos Cut	id=g:7276349
Botts Ford	id=g:7276350
Saint Joseph County Fairgrounds	id=g:7276351
Rohwer War Relocation Center (historical)	id=g:7276352
Fernwood Botanical Gardens and Nature Preserve	id=g:7276353
Swiss Valley Ski Area	id=g:7276354
Little Grass Valley	id=g:7276355
Meridian Office Park	id=g:7276356
Chimney Rock	id=g:7276357
Five Mile Drive In Theater	id=g:7276358
M40 Speedway	id=g:7276359
Cass County Fairgrounds	id=g:7276360
Siegfried Stern Kissena Park Bicycle Track	id=g:7276361
Devils Nose	id=g:7276440
Harpers Mill	id=g:7276441
Knob Lick	id=g:7276442
Old Caney Iron Furnance (historical)	id=g:7276443
Old Republican Meeting House (historical)	id=g:7276444
Six Old Mill (historical)	id=g:7276445
Slate Blockhouse	id=g:7276446
Vance's Store (historical)	id=g:7276447
Boones Rock	id=g:7276448
Gladie Creek Gorge	id=g:7276449
Travelers Rest	id=g:7276450
Chautauqua Lake Yacht Club	id=g:7276451
Otisville Country Fair	id=g:7276452
Greenkill Conference Center	id=g:7276453
Newburgh Yacht Club	id=g:7276454
Hudson Valley Professional Plaza	id=g:7276455
Plattekill Travel Plaza	id=g:7276456
Modena Travel Plaza	id=g:7276457
Northeast Business Center	id=g:7276458
Crossroads Corporate Park	id=g:7276459
J And E Ranch	id=g:7276460
Jucas Stables	id=g:7276461
Village of Wellsville Incinerator	id=g:7276462
Indian Stairway	id=g:7276463
Town of Waterford Water Works	id=g:7276464
Union Depot	id=g:7276465
Batavia Industrial Center	id=g:7276466
Morefield Amphitheater	id=g:7276467
Lyndonville Water Works	id=g:7276468
Schenectady Business And Technology Center	id=g:7276469
Cornerstone Plaza	id=g:7276470
Tower Plaza	id=g:7276471
Maplecrest Plaza	id=g:7276472
Plaza South	id=g:7276473
Sturgis Plaza	id=g:7276474
Hillsdale County Fairgrounds	id=g:7276475
Deering Alaska Native Village Statistical Area	id=g:7276476
Dillingham Alaska Native Village Statistical Area	id=g:7276477
Dot Lake Alaska Native Village Statistical Area	id=g:7276478
Douglas Alaska Native Village Statistical Area	id=g:7276479
Eagle Alaska Native Village Statistical Area	id=g:7276480
Eastern Chickahominy State Designated Tribal Statistical Area	id=g:7276481
Eastern Shawnee Oklahoma Tribal Statistical Area	id=g:7276482
Echota Cherokee State Designated Tribal Statistical Area	id=g:7276483
Eek Alaska Native Village Statistical Area	id=g:7276484
Egegik Alaska Native Village Statistical Area	id=g:7276485
Eklutna Alaska Native Village Statistical Area	id=g:7276486
Ekuk Alaska Native Village Statistical Area	id=g:7276487
Ekwok Alaska Native Village Statistical Area	id=g:7276488
Emmonak Alaska Native Village Statistical Area	id=g:7276489
Evansville Alaska Native Village Statistical Area	id=g:7276490
Eyak Alaska Native Village Statistical Area	id=g:7276491
False Pass Alaska Native Village Statistical Area	id=g:7276492
Fort Yukon Alaska Native Village Statistical Area	id=g:7276493
Four Winds Cherokee State Designated Tribal Statistical Area	id=g:7276494
Gakona Alaska Native Village Statistical Area	id=g:7276495
Galena Alaska Native Village Statistical Area	id=g:7276496
Gambell Alaska Native Village Statistical Area	id=g:7276497
Georgetown Alaska Native Village Statistical Area	id=g:7276498
Golovin Alaska Native Village Statistical Area	id=g:7276499
Goodnews Bay Alaska Native Village Statistical Area	id=g:7276500
Grayling Alaska Native Village Statistical Area	id=g:7276501
Gulkana Alaska Native Village Statistical Area	id=g:7276502
Haliwa-Saponi State Designated Tribal Statistical Area	id=g:7276503
Hamilton Alaska Native Village Statistical Area	id=g:7276504
Healy Lake Alaska Native Village Statistical Area	id=g:7276505
Holy Cross Alaska Native Village Statistical Area	id=g:7276506
Hoonah Alaska Native Village Statistical Area	id=g:7276507
Hooper Bay Alaska Native Village Statistical Area	id=g:7276508
Hughes Alaska Native Village Statistical Area	id=g:7276509
Huslia Alaska Native Village Statistical Area	id=g:7276510
Hydaburg Alaska Native Village Statistical Area	id=g:7276511
Igiugig Alaska Native Village Statistical Area	id=g:7276512
Iliamna Alaska Native Village Statistical Area	id=g:7276513
Inalik Alaska Native Village Statistical Area	id=g:7276514
Sappony State Designated Tribal Statistical Area	id=g:7276515
Ione Band of Miwok Tribal Designated Statistical Area	id=g:7276516
Ivanof Bay Alaska Native Village Statistical Area	id=g:7276517
Jena Band of Choctaw Tribal Designated Statistical Area (historical)	id=g:7276518
Kake Alaska Native Village Statistical Area	id=g:7276519
Kaktovik Alaska Native Village Statistical Area	id=g:7276520
Kalskag Alaska Native Village Statistical Area	id=g:7276521
Kaltag Alaska Native Village Statistical Area	id=g:7276522
Kanatak Tribal Designated Statistical Area (historical)	id=g:7276523
Karluk Alaska Native Village Statistical Area	id=g:7276524
Kasaan Alaska Native Village Statistical Area	id=g:7276525
Kasigluk Alaska Native Village Statistical Area	id=g:7276526
Kaw/Ponca Joint-Use Oklahoma Tribal Statistical Area	id=g:7276527
Kenaitze Alaska Native Village Statistical Area	id=g:7276528
Kiana Alaska Native Village Statistical Area	id=g:7276529
Kickapoo Oklahoma Tribal Statistical Area	id=g:7276530
King Cove Alaska Native Village Statistical Area	id=g:7276531
Kiowa-Comanche-Apache-Fort Sill Apache Oklahoma Tribal Statistical Area	id=g:7276532
Kiowa-Comanche-Apache-Fort Sill Apache/Caddo-Wichita-Delaware Joint-Use Oklahoma Tribal Statistical Area	id=g:7276533
Kipnuk Alaska Native Village Statistical Area	id=g:7276534
Kivalina Alaska Native Village Statistical Area	id=g:7276535
Klawock Alaska Native Village Statistical Area	id=g:7276536
Knik Alaska Native Village Statistical Area	id=g:7276537
Kobuk Alaska Native Village Statistical Area	id=g:7276538
Kokhanok Alaska Native Village Statistical Area	id=g:7276539
Kongiganak Alaska Native Village Statistical Area	id=g:7276540
Kotlik Alaska Native Village Statistical Area	id=g:7276541
Kotzebue Alaska Native Village Statistical Area	id=g:7276542
Koyuk Alaska Native Village Statistical Area	id=g:7276543
Koyukuk Alaska Native Village Statistical Area	id=g:7276544
Kwethluk Alaska Native Village Statistical Area	id=g:7276545
Kwigillingok Alaska Native Village Statistical Area	id=g:7276546
Kwinhagak Alaska Native Village Statistical Area	id=g:7276547
Larsen Bay Alaska Native Village Statistical Area	id=g:7276548
Levelock Alaska Native Village Statistical Area	id=g:7276549
Lime Village Alaska Native Village Statistical Area	id=g:7276550
Lower Kalskag Alaska Native Village Statistical Area	id=g:7276551
Lumbee State Designated Tribal Statistical Area	id=g:7276552
MaChis Lower Creek State Designated Tribal Statistical Area	id=g:7276553
Manley Hot Springs Alaska Native Village Statistical Area	id=g:7276554
Manokotak Alaska Native Village Statistical Area	id=g:7276555
Marshall Alaska Native Village Statistical Area	id=g:7276556
Mary's Igloo Alaska Native Village Statistical Area	id=g:7276557
McGrath Alaska Native Village Statistical Area	id=g:7276558
Mechoopda Tribal Designated Statistical Area	id=g:7276559
Meherrin State Designated Tribal Statistical Area	id=g:7276560
Mekoryuk Alaska Native Village Statistical Area	id=g:7276561
Mentasta Lake Alaska Native Village Statistical Area	id=g:7276562
Miami Oklahoma Tribal Statistical Area	id=g:7276563
Miami/Peoria Joint-Use Oklahoma Tribal Statistical Area	id=g:7276564
Minto Alaska Native Village Statistical Area	id=g:7276565
Modoc Oklahoma Tribal Statistical Area	id=g:7276566
Mountain Village Alaska Native Village Statistical Area	id=g:7276567
Naknek Alaska Native Village Statistical Area	id=g:7276568
Nanticoke Indian Tribe State Designated Tribal Statistical Area	id=g:7276569
Nanticoke Lenni Lenape State Designated Tribal Statistical Area	id=g:7276570
Nanwalek Alaska Native Village Statistical Area	id=g:7276571
Napaimute Alaska Native Village Statistical Area	id=g:7276572
Napakiak Alaska Native Village Statistical Area	id=g:7276573
Napaskiak Alaska Native Village Statistical Area	id=g:7276574
Nelson Lagoon Alaska Native Village Statistical Area	id=g:7276575
Nenana Alaska Native Village Statistical Area	id=g:7276576
New Koliganek Alaska Native Village Statistical Area	id=g:7276577
New Stuyahok Alaska Native Village Statistical Area	id=g:7276578
Newhalen Alaska Native Village Statistical Area	id=g:7276579
Newtok Alaska Native Village Statistical Area	id=g:7276580
Nightmute Alaska Native Village Statistical Area	id=g:7276581
Nikolai Alaska Native Village Statistical Area	id=g:7276582
Nikolski Alaska Native Village Statistical Area	id=g:7276583
Ninilchik Alaska Native Village Statistical Area	id=g:7276584
Noatak Alaska Native Village Statistical Area	id=g:7276585
Adais Caddo State Designated Tribal Statistical Area	id=g:7276586
Akhiok Alaska Native Village Statistical Area	id=g:7276587
Akiachak Alaska Native Village Statistical Area	id=g:7276588
Akiak Alaska Native Village Statistical Area	id=g:7276589
Akutan Alaska Native Village Statistical Area	id=g:7276590
Alakanuk Alaska Native Village Statistical Area	id=g:7276591
Alatna Alaska Native Village Statistical Area	id=g:7276592
Aleknagik Alaska Native Village Statistical Area	id=g:7276593
Algaaciq Alaska Native Village Statistical Area	id=g:7276594
Allakaket Alaska Native Village Statistical Area	id=g:7276595
Ambler Alaska Native Village Statistical Area	id=g:7276596
Anaktuvuk Pass Alaska Native Village Statistical Area	id=g:7276597
Andreafsky Alaska Native Village Statistical Area	id=g:7276598
Angoon Alaska Native Village Statistical Area	id=g:7276599
Aniak Alaska Native Village Statistical Area	id=g:7276600
Anvik Alaska Native Village Statistical Area	id=g:7276601
Apache Choctaw State Designated Tribal Statistical Area	id=g:7276602
Arctic Village Alaska Native Village Statistical Area	id=g:7276603
Aroostook Band of Micmac Tribal Designated Statistical Area (historical)	id=g:7276604
Atka Alaska Native Village Statistical Area	id=g:7276605
Atmautluak Alaska Native Village Statistical Area	id=g:7276606
Atqasuk Alaska Native Village Statistical Area	id=g:7276607
Barrow Alaska Native Village Statistical Area	id=g:7276608
Beaver Alaska Native Village Statistical Area	id=g:7276609
Belkofski Alaska Native Village Statistical Area	id=g:7276610
Bethel Alaska Native Village Statistical Area	id=g:7276611
Bill Moore's Alaska Native Village Statistical Area	id=g:7276612
Birch Creek Alaska Native Village Statistical Area	id=g:7276613
Brevig Mission Alaska Native Village Statistical Area	id=g:7276614
Buckland Alaska Native Village Statistical Area	id=g:7276615
Cantwell Alaska Native Village Statistical Area	id=g:7276616
Cayuga Nation Tribal Designated Statistical Area	id=g:7276617
Chalkyitsik Alaska Native Village Statistical Area	id=g:7276618
Chefornak Alaska Native Village Statistical Area	id=g:7276619
Chenega Alaska Native Village Statistical Area	id=g:7276620
Cherokee Oklahoma Tribal Statistical Area	id=g:7276621
Cherokee Tribe of Northeast Alabama State Designated Tribal Statistical Area	id=g:7276622
Cher-O-Creek State Designated Tribal Statistical Area	id=g:7276623
Chevak Alaska Native Village Statistical Area	id=g:7276624
Cheyenne-Arapaho Oklahoma Tribal Statistical Area	id=g:7276625
Chickahominy State Designated Tribal Statistical Area	id=g:7276626
Chickaloon Alaska Native Village Statistical Area	id=g:7276627
Chickasaw Oklahoma Tribal Statistical Area	id=g:7276628
Chignik Alaska Native Village Statistical Area	id=g:7276629
Chignik Lagoon Alaska Native Village Statistical Area	id=g:7276630
Chignik Lake Alaska Native Village Statistical Area	id=g:7276631
Chilkat Alaska Native Village Statistical Area	id=g:7276632
Chilkoot Alaska Native Village Statistical Area	id=g:7276633
Chistochina Alaska Native Village Statistical Area	id=g:7276634
Chitina Alaska Native Village Statistical Area	id=g:7276635
Choctaw Oklahoma Tribal Statistical Area	id=g:7276636
Chuathbaluk Alaska Native Village Statistical Area	id=g:7276637
Chulloonawick Alaska Native Village Statistical Area	id=g:7276638
Circle Alaska Native Village Statistical Area	id=g:7276639
Clarks Point Alaska Native Village Statistical Area	id=g:7276640
Clifton Choctaw State Designated Tribal Statistical Area	id=g:7276641
Coharie State Designated Tribal Statistical Area	id=g:7276642
Copper Center Alaska Native Village Statistical Area	id=g:7276643
Council Alaska Native Village Statistical Area	id=g:7276644
Craig Alaska Native Village Statistical Area	id=g:7276645
Crooked Creek Alaska Native Village Statistical Area	id=g:7276646
Menominee Reservation/Stockbridge Munsee Community joint-use area	id=g:7276647
Nondalton Alaska Native Village Statistical Area	id=g:7276648
Noorvik Alaska Native Village Statistical Area	id=g:7276649
Northway Alaska Native Village Statistical Area	id=g:7276650
Nuiqsut Alaska Native Village Statistical Area	id=g:7276651
Nulato Alaska Native Village Statistical Area	id=g:7276652
Nunam Iqua Alaska Native Village Statistical Area	id=g:7276653
Nunapitchuk Alaska Native Village Statistical Area	id=g:7276654
Ohogamiut Alaska Native Village Statistical Area	id=g:7276655
Old Harbor Alaska Native Village Statistical Area	id=g:7276656
Oscarville Alaska Native Village Statistical Area	id=g:7276657
Ottawa Oklahoma Tribal Statistical Area	id=g:7276658
Ouzinkie Alaska Native Village Statistical Area	id=g:7276659
Paimiut Alaska Native Village Statistical Area	id=g:7276660
Pedro Bay Alaska Native Village Statistical Area	id=g:7276661
Peoria Oklahoma Tribal Statistical Area	id=g:7276662
Perryville Alaska Native Village Statistical Area	id=g:7276663
Pilot Point Alaska Native Village Statistical Area	id=g:7276664
Pilot Station Alaska Native Village Statistical Area	id=g:7276665
Pitkas Point Alaska Native Village Statistical Area	id=g:7276666
Platinum Alaska Native Village Statistical Area	id=g:7276667
Point Hope Alaska Native Village Statistical Area	id=g:7276668
Point Lay Alaska Native Village Statistical Area	id=g:7276669
Ponca Oklahoma Tribal Statistical Area	id=g:7276670
Port Graham Alaska Native Village Statistical Area	id=g:7276671
Port Heiden Alaska Native Village Statistical Area	id=g:7276672
Port Lions Alaska Native Village Statistical Area	id=g:7276673
Portage Creek Alaska Native Village Statistical Area	id=g:7276674
Quapaw Oklahoma Tribal Statistical Area	id=g:7276675
Ramapough State Designated Tribal Statistical Area	id=g:7276676
Rampart Alaska Native Village Statistical Area	id=g:7276677
Red Devil Alaska Native Village Statistical Area	id=g:7276678
Ruby Alaska Native Village Statistical Area	id=g:7276679
Russian Mission Alaska Native Village Statistical Area	id=g:7276680
Salamatof Alaska Native Village Statistical Area	id=g:7276681
Samish Tribal Designated Statistical Area	id=g:7276682
Sand Point Alaska Native Village Statistical Area	id=g:7276683
Savoonga Alaska Native Village Statistical Area	id=g:7276684
Saxman Alaska Native Village Statistical Area	id=g:7276685
Scammon Bay Alaska Native Village Statistical Area	id=g:7276686
Selawik Alaska Native Village Statistical Area	id=g:7276687
Seldovia Alaska Native Village Statistical Area	id=g:7276688
Seneca-Cayuga Oklahoma Tribal Statistical Area	id=g:7276689
Shageluk Alaska Native Village Statistical Area	id=g:7276690
Shaktoolik Alaska Native Village Statistical Area	id=g:7276691
