Darreh-ye Morgh Khān	id=g:123271
Manzelābād	id=g:124910
Pāsgāh-e Manz̧arīyeh	id=g:124911
Manz̧arīyeh	id=g:124912
Rūdkhāneh-ye Manūjān	id=g:124913
Manūjān	id=g:124914
Dabestān-e Manūchehrī	id=g:124915
Manūchehrī	id=g:124916
Manūchehrābād	id=g:124917
Mantesh	id=g:124918
Mantaqeh-ye Lāsh	id=g:124919
Manşūr Kūh	id=g:124920
Manşūr Khvājeh	id=g:124921
Manşūr Khānī	id=g:124922
Manşūrīyeh	id=g:124923
Manşūrīyeh-ye Yek	id=g:124924
Manşūrīyeh	id=g:124925
Manşūrīeh	id=g:124926
Manşūrī	id=g:124927
Manşūrī	id=g:124928
Manşūrī-ye Vosţá	id=g:124929
Manşūreh-ye Shāy	id=g:124930
Īstgāh-e Manşūrī	id=g:124931
Manşūreh	id=g:124932
Manşūreh-ye Sādāt	id=g:124933
Manşūr Beygī	id=g:124934
Manşūr-e Āqāʼī	id=g:124935
Manşūrān	id=g:124936
Manşūrābād-e Rāmjerd	id=g:124937
Manşūrābād	id=g:124938
Manşūrābād	id=g:124939
Manşūrābād	id=g:124940
Manşūrābād	id=g:124941
Manşūrābād	id=g:124942
Manşūrābād	id=g:124944
Manşūrābād	id=g:124945
Manşūrābād	id=g:124946
Manşūrābād	id=g:124947
Manşūrābād	id=g:124948
Manşūrābād	id=g:124949
Manşūrābād	id=g:124950
Manşūrābād	id=g:124951
Manşūrī	id=g:124953
Manşūrābād	id=g:124954
Manşūrābād	id=g:124955
Manşūrābād	id=g:124956
Shāhzādeh Manşūr	id=g:124957
Manşūr	id=g:124958
Manşūrābād	id=g:124959
Manshād	id=g:124960
Ḩowẕ-e Mānseh	id=g:124961
Manqān	id=g:124962
Kūh-e Mah Kūn	id=g:124963
Monajjīyeh	id=g:124964
Mangīngī	id=g:124965
Manjīlābād	id=g:124966
Manjīl	id=g:124967
Manjānlū	id=g:124968
Rūdkhāneh-ye Manḩaker	id=g:124969
Manīzh	id=g:124970
Mānīzān	id=g:124971
Mānīzān	id=g:124972
Monī Sar	id=g:124973
Manīdar	id=g:124974
Mānīān	id=g:124975
Mānī	id=g:124976
Manḩūsh	id=g:124977
Kūh-e Mangūren	id=g:124978
Kūh-e Mang Reẕā	id=g:124979
Mangol	id=g:124980
Rīzak-e Mangezūr	id=g:124981
Mangalī-ye Pā'īn	id=g:124982
Esmā‘īlābād-e Mangalī	id=g:124983
Mangezār	id=g:124984
Gardaneh-ye Mangāvī	id=g:124985
Mangāvī	id=g:124986
Manganān	id=g:124987
Mangān	id=g:124988
Maqbareh-ye Āqā Ḩoseyn-e Bozorg	id=g:124989
Mang	id=g:124990
Kūh-e Mānasht	id=g:124991
Kūh-e Mānakh Darreh	id=g:124992
Māneh	id=g:124993
Mand-e Pey	id=g:124994
Mandekān	id=g:124995
Mandeh	id=g:124996
Māndegān	id=g:124997
Māndegān	id=g:124998
Māndegān	id=g:124999
Mand-e Bālā	id=g:125000
Mandāq	id=g:125001
Rūd-e Mand	id=g:125002
Mand	id=g:125003
Dahāneh Manbar	id=g:125004
Manāvand	id=g:125005
Manār Tappeh	id=g:125006
Manāl	id=g:125007
Manak	id=g:125008
Kūh-e Mamūsnī	id=g:125009
Ma‘mūrī	id=g:125010
Ma‘mūreh	id=g:125011
Māmūr	id=g:125012
Ma’mūnīyeh	id=g:125013
Īstgāh-e Mā’mūn	id=g:125014
Mā’mūn	id=g:125015
Ma‘mūlān	id=g:125016
Mamū-ye Soflá	id=g:125017
Mam Seyf od Dīn	id=g:125018
Mamsetīyeh	id=g:125019
Mamlejeh	id=g:125020
Kūh-e Mamleh	id=g:125021
Emāmzādeh Seyyed Moḩammad	id=g:125022
Mameshlī	id=g:125024
Mambī	id=g:125025
Mambalūn	id=g:125026
Māmā Zeynab	id=g:125027
Māmāzān	id=g:125028
Māmātīn-e Bālā	id=g:125029
Māmātīn	id=g:125030
Mamasanī Soflá	id=g:125031
Mamasanī	id=g:125032
Mamasanī	id=g:125033
Mamasanī	id=g:125034
Mamqān	id=g:125035
Māmāqān	id=g:125036
Māmāq-e Bālā	id=g:125037
Māmanjān	id=g:125038
Mamān	id=g:125039
Māman	id=g:125040
Māmālū-ye Pā’īn	id=g:125041
Māmālān	id=g:125042
Mamakān	id=g:125043
Māmahī-ye Bālā	id=g:125044
Māmāhān	id=g:125045
Mālyūn	id=g:125046
Malyān	id=g:125047
Malvānlū	id=g:125048
Malvand	id=g:125049
Malavān	id=g:125050
Kūh-e Molūk	id=g:125051
Mālvājerd	id=g:125052
Malūs Jān	id=g:125053
Kūh-e Malūs	id=g:125054
Malūs	id=g:125055
Hashtūgān	id=g:125057
Malūneh	id=g:125058
Ma‘lūmak	id=g:125059
Malūkī-ye Sīrjā	id=g:125060
Molūk	id=g:125061
Mālūjeh	id=g:125062
Mīlūyeh	id=g:125063
Kūh-e Mālū	id=g:125064
Māl Soleymān	id=g:125065
Māl-e Shamāb	id=g:125066
Māl Seyyedī	id=g:125067
Kūh-e Mālsar	id=g:125068
Māl Sanān	id=g:125069
Mālqā’edī	id=g:125070
Māl Mīr	id=g:125071
Malmījān	id=g:125072
Malāshīyeh-ye Seh	id=g:125073
Malāshīyeh-ye Do	id=g:125074
Qal‘eh-ye Mallākīān	id=g:125075
Mālkhvāst	id=g:125076
Māl-e Khalīfeh	id=g:125077
Malkesh	id=g:125078
Kūh-e Malkamū	id=g:125079
Mālīcheh	id=g:125080
Mālīcheh	id=g:125081
Mālīcheh	id=g:125082
Mālīcheh	id=g:125083
Malīān	id=g:125085
Malūsān	id=g:125086
Malhaz̄ān	id=g:125087
Malḩam Dar	id=g:125088
Kūh-e Malḩabestān	id=g:125089
Mal Gonzeh	id=g:125090
Māl Ghanīm	id=g:125091
Kūh-e Mālgeh Morād	id=g:125092
Melgah	id=g:125093
Malgā	id=g:125094
Malīḩān	id=g:125095
Mālmīrān	id=g:125096
Mālavān (1)	id=g:125097
Tūt-e Soflá	id=g:125098
Māl-e Sheykh	id=g:125099
Māl-e Sheykh (1)	id=g:125100
Māl-e Seyyed ‘Alī	id=g:125101
Māl-e Qā’ed	id=g:125102
Māl-e Maḩmūd	id=g:125103
Māl-e Maḩmūd	id=g:125104
Malek Tappeh	id=g:125105
Malek Ţālesh	id=g:125106
Malekshān-e Soflá	id=g:125107
Malekshān-e ‘Olyā	id=g:125108
Malekshāhī	id=g:125109
Malek Qoẕāt	id=g:125110
Malek Kīān	id=g:125111
Malekān	id=g:125112
Mālekīyeh-ye Soflá	id=g:125113
Mālekīyeh-ye ‘Olyā Mashrūţeh	id=g:125114
Mālekīyeh-ye Vosţà	id=g:125115
Kūh-e Malekīchī	id=g:125117
Shekasteh-ye Malekī	id=g:125118
Malekī	id=g:125119
Mālekī	id=g:125120
Mālekī	id=g:125121
Mālekī	id=g:125122
Malakī	id=g:125123
Mal-e Khar	id=g:125124
Māl-e Khalīfeh	id=g:125125
Māl-e Khalīfeh	id=g:125126
Malek Fālīz	id=g:125127
Malek Chamanī	id=g:125128
Malek Bāghī	id=g:125129
Alows	id=g:125130
Malek ‘Alī Tappeh	id=g:125131
Malekālī	id=g:125132
Malek ‘Alī	id=g:125133
Malekābād-e ‘Olyā	id=g:125134
Malekābād-e ‘Olyā	id=g:125135
Malekābād	id=g:125136
Malekābād	id=g:125137
Malekābād	id=g:125138
Malekābād	id=g:125139
Malekābād	id=g:125140
Malekābād	id=g:125141
Malekābād	id=g:125142
Malakābād	id=g:125143
Malekābād	id=g:125144
Malekābād-e Somaq	id=g:125145
Malekābād	id=g:125146
Malekābād	id=g:125147
Malekābād	id=g:125148
Malekābād	id=g:125149
Malekābād	id=g:125150
Malekābād	id=g:125151
Malekābād	id=g:125152
Malekābād	id=g:125153
Malekābād	id=g:125154
Malekābād	id=g:125155
Malekābād	id=g:125156
Mālekābād	id=g:125157
Malekābād	id=g:125158
Malekābād	id=g:125159
Malekābād	id=g:125160
Malekābād	id=g:125161
Malekābād	id=g:125162
Malekābād	id=g:125163
Malekābād	id=g:125164
Malekābād	id=g:125165
Malekābād	id=g:125166
Malekābād	id=g:125167
Malekābād	id=g:125168
Kūh-e Malek	id=g:125169
Chāh-e Malek	id=g:125170
Chāh-e Malek	id=g:125171
Meleh-ye Shabānān	id=g:125173
Rūdkhāneh-ye Māleh	id=g:125174
Rūdkhāneh-ye Māleḩ	id=g:125175
Darreh-ye Maleh	id=g:125176
Māleḩ	id=g:125177
Mal-e Gol	id=g:125178
Mal-e Gāvdān	id=g:125179
Mal-e Gap	id=g:125180
Mālegah	id=g:125181
Mālāshīr	id=g:125182
Māl-e Ākhūnd	id=g:125183
Rūdkhāneh-ye Malāyer	id=g:125184
Malāyer	id=g:125185
Malāvī	id=g:125186
Malāţ	id=g:125187
Malārd	id=g:125188
Kūh-e Malār	id=g:125190
Māl Āqā	id=g:125191
Molkūh	id=g:125192
Kūh-e Malakh Khowrdeh	id=g:125193
Malakh Darreh	id=g:125194
Malācheh	id=g:125195
Molkābād	id=g:125196
Kūh-e Malāḩ	id=g:125197
Malafeh	id=g:125198
Mālā	id=g:125199
Kūh-e Mal	id=g:125200
Kūh-e Maksān	id=g:125201
Maksān	id=g:125202
Makūyeh	id=g:125203
Mākūleh	id=g:125204
Mākū	id=g:125205
Mākūyeh	id=g:125206
Maqţū‘	id=g:125207
Makţī‘-e Jabar	id=g:125208
Maksar	id=g:125209
Makşar	id=g:125210
Mākalvān	id=g:125212
Makīābād	id=g:125213
Kūh-e Markī	id=g:125214
Makkī	id=g:125215
Makīdī	id=g:125216
Mākīān	id=g:125217
Makīābād	id=g:125218
Ra’s-e Makī	id=g:125219
Makhshar	id=g:125220
Kūh-e Makhmal	id=g:125221
Makhmal Kūh	id=g:125222
Kūh-e Makhlāt	id=g:125223
Makh Boland	id=g:125224
Makhawar	id=g:125225
Makevandī	id=g:125226
Mākrān	id=g:125227
Makdīn-e Pā’īn	id=g:125228
Makdīn-e Bālā	id=g:125229
Makatū	id=g:125230
Makārūd	id=g:125231
Makāzem	id=g:125232
Makān Gaur	id=g:125233
Mākangān	id=g:125234
Makkān	id=g:125235
Majūmerd	id=g:125236
Majnūn	id=g:125237
Majīneh	id=g:125238
Emāmzādeh Majd od Dīn	id=g:125239
Majīdīyeh	id=g:125240
Majīdābād	id=g:125241
Majīdābād	id=g:125242
Majīdābād	id=g:125243
Majīdābād	id=g:125244
Majīdābād	id=g:125245
Majīdābād	id=g:125246
Majīdābād	id=g:125247
Majīdābād	id=g:125248
Chāh-e Majīd	id=g:125249
Maḩgī	id=g:125250
Majdīyeh	id=g:125251
Majdīān	id=g:125252
Mojaddad	id=g:125253
Majdābād-e Now	id=g:125254
Majdābād-e Kohneh	id=g:125255
Majdābād	id=g:125256
Majdābād	id=g:125257
Rūdkhāneh-ye Tang-e Maj	id=g:125258
Majārshīn	id=g:125259
Majareh	id=g:125260
Mejel	id=g:125261
Majj	id=g:125262
Kūh-e Mahyar	id=g:125263
Mahvīzān	id=g:125264
Mahvīd	id=g:125265
Ma‘vāj	id=g:125266
Māhūnak	id=g:125267
Māhūsk	id=g:125268
Māhūrzān	id=g:125269
Māhūr-e Var	id=g:125270
Kūh-e Māhūr-e Sabz	id=g:125271
Māhūr-e Chāh Qolleh	id=g:125272
Māhūr Berenjī-ye Soflá	id=g:125273
Māhūr Berenjī-ye ‘Olyā	id=g:125274
Māhūrak	id=g:125275
Kūh-e Māhūr	id=g:125276
Māhūr	id=g:125277
Māleḩ-e Māhūr	id=g:125278
Māhūnag	id=g:125279
Māhūk	id=g:125280
Māhtū	id=g:125281
Mah Sonbolī	id=g:125282
Khvor-e Māhshahr	id=g:125283
Maḩrūqī	id=g:125284
Mehrū’īyeh	id=g:125285
Mehrūyeh	id=g:125286
Chāh-e Māhrū	id=g:125287
Gardaneh-ye Māh Parvīz	id=g:125288
Māhneshān	id=g:125290
Mehneh	id=g:125291
Mahmū'ī	id=g:125292
Mahmū‘ī	id=g:125293
Maḩmūdvand	id=g:125294
Shūrāb-e Maḩmūdvand	id=g:125295
Cheshmeh-ye Maḩmūd Shāh	id=g:125296
Maḩmūdābād	id=g:125297
Maḩmūd Shāh	id=g:125298
Qal‘eh-ye Fereydūn	id=g:125299
Maḩmūd Sārebān	id=g:125300
Maḩmūd Kalāghī	id=g:125301
Maḩmūd Kakhī	id=g:125302
Kohneh Maḩmūd Jīq	id=g:125303
Maḩmūdīyeh	id=g:125304
Maḩmūdīyeh	id=g:125305
Maḩmūdī	id=g:125306
Maḩmū’ī	id=g:125307
Maḩmūd Gazak	id=g:125308
Maḩmūdābād	id=g:125309
Cheshmeh-ye Maḩmūd Beygī	id=g:125310
Emāmzādeh Maḩmūd ‘Alī	id=g:125311
Maḩmūd ‘Alī	id=g:125312
Maḩmūd ‘Alī	id=g:125313
Maḩmūdābād	id=g:125314
Maḩmūdābād-e Soflá	id=g:125315
Maḩmūdābād-e Seyyed	id=g:125316
Maḩmūdābād-e Seh Dāng	id=g:125317
Maḩmūdābād-e ‘Olyā	id=g:125318
Maḩmūdābād-e Now	id=g:125319
Maḩmūdābād-e Do Dāngeh	id=g:125320
Bīābānī	id=g:125321
Rūdkhāneh-ye Moḩammadābād	id=g:125322
Daqq-e Maḩmūdābād	id=g:125323
Maḩmūdābād	id=g:125324
Maḩmūdābād	id=g:125325
Maḩmūdābād	id=g:125327
Maḩmūdābād	id=g:125328
Maḩmūdābād-e Jadīd	id=g:125329
Maḩmūdābād Nemūneh	id=g:125330
Maḩmūdābād	id=g:125331
Maḩmūdābād	id=g:125332
Maḩmūdābād	id=g:125333
Maḩmūdābād	id=g:125334
Maḩmūdābād	id=g:125335
Maḩmūdābād	id=g:125336
Maḩmūdābād	id=g:125337
Maḩmūdābād	id=g:125338
Maḩmūdābād	id=g:125339
Maḩmūdābād	id=g:125340
Maḩmūdābād	id=g:125341
Maḩmūdābād	id=g:125342
Maḩmūdābād	id=g:125343
Maḩmūdābād	id=g:125344
Maḩmūdābād	id=g:125345
Maḩmūdābād	id=g:125346
Maḩmūdābād	id=g:125347
Maḩmūdābād	id=g:125348
Maḩmūdābād	id=g:125349
Maḩmūdābād-e Bī Āb	id=g:125350
Maḩmūdābād	id=g:125351
Maḩmūdābād	id=g:125352
Maḩmūdābād	id=g:125353
Maḩmūdābād	id=g:125354
Maḩmūdābād	id=g:125355
Maḩmūdābād	id=g:125356
Basāb	id=g:125357
Maḩmūdābād	id=g:125358
Maḩmūdābād	id=g:125359
Maḩmūdābād-e Moravvej	id=g:125360
Maḩmūdābād	id=g:125361
Maḩmūdābād	id=g:125362
Maḩmūdābād	id=g:125363
Moḩammadābād	id=g:125364
Maḩmūdābād	id=g:125365
Maḩmūdābād	id=g:125366
Maḩmūdābād	id=g:125367
Maḩmūdābād-e Pā’īn	id=g:125368
Maḩmūdābād	id=g:125369
Maḩmūdābād	id=g:125370
Maḩmūdābād	id=g:125371
Maḩmūdābād	id=g:125372
Maḩmūdābād-e Ḩoseyn Şafar	id=g:125373
Maḩmūdābād	id=g:125374
Maḩmūdābād	id=g:125375
Maḩmūdābād	id=g:125376
Maḩmūdābād	id=g:125377
Maḩmūdābād	id=g:125378
Maḩmūdābād	id=g:125379
Maḩmūdābād	id=g:125380
Tang-e Maḩmūd	id=g:125381
Kūh-e Maḩmūd	id=g:125382
Maḩmardag	id=g:125383
Mahmengī	id=g:125384
Mahmeleh	id=g:125385
Maḩlūgān	id=g:125386
Maḩlacheh	id=g:125387
Mahkū’īyeh-ye Pā’īn	id=g:125388
Mah Kord	id=g:125389
Mahakī Mehr-e Mūt	id=g:125390
Māh Khātūnī	id=g:125391
Mahjerd	id=g:125392
Mahjanābād	id=g:125393
Majeshtī	id=g:125394
Mahjān	id=g:125395
Māhīzān-e Soflá	id=g:125396
Āb-e Māhīt	id=g:125397
Tang-e Māhī Qolīkhān	id=g:125398
Mahīn Dasht	id=g:125399
Mīān Ābeh	id=g:125400
Mahnābād	id=g:125401
Māhīn	id=g:125402
Mehīn	id=g:125403
Mahīman	id=g:125404
Māhī Dasht	id=g:125405
Māhī Dar-e Pā’īn	id=g:125406
Mayābād	id=g:125407
Rūdkhāneh-ye Māhī	id=g:125408
Kūh-e Māhī	id=g:125409
Māhfar Khān	id=g:125410
Māheshk	id=g:125411
Māhakān	id=g:125412
Rūdkhāneh-ye Māh Dūst	id=g:125413
Māh Dūst	id=g:125414
Mahdīyeh	id=g:125415
Emāmzādeh Mand Āvand	id=g:125416
Maḩbūbābād	id=g:125417
Mahbodīn	id=g:125418
Mahbār	id=g:125419
Deh-e Māh Banī	id=g:125420
Daryācheh-ye Mahārlū	id=g:125421
Mahārlū	id=g:125422
Māhnū’īyeh	id=g:125423
Mādīān Kūh	id=g:125424
Māhānī	id=g:125425
Moḩammadābād	id=g:125426
Māhān	id=g:125427
Maḩāmīd	id=g:125428
Maḩall od Dīn	id=g:125429
Mahalleh-ye Zoshk-e Pā‘īn	id=g:125430
Maḩalleh-ye Zoshk-e Bālā	id=g:125431
Shahrow	id=g:125432
Maḩalleh-ye Āsīāb	id=g:125433
Maḩall-e Hūdīān	id=g:125434
Ma‘dan-e Namak-e Moḩleh	id=g:125435
Maḩallātī	id=g:125436
Maḩallāt-e Pā’īn	id=g:125437
Maḩallāt-e Bālā	id=g:125438
Maḩallāt	id=g:125439
Kūh-e Maḩāl Bakh	id=g:125440
Kūh-e Maḩak	id=g:125441
Kūh-e Maḩak	id=g:125442
Mohājerān	id=g:125443
Rūdkhāneh-ye Meymand	id=g:125444
Īstgāh-e Mahābād	id=g:125445
Mahābād	id=g:125446
Mahābād	id=g:125447
Mahābād	id=g:125448
Mahābādū	id=g:125449
Kūh-e Mahāb	id=g:125451
Magū	id=g:125452
Maksar-e Soflá	id=g:125453
Moksar-e ‘Olyā	id=g:125454
Mīlānlū-ye Şafā	id=g:125455
Magīrī	id=g:125456
Māgī Mordeh	id=g:125457
Kūh-e Magīlor	id=g:125458
Rūdkhāneh-ye Mag	id=g:125459
Maghūnīyeh-ye Pā’īn	id=g:125460
Moqū’īyeh	id=g:125461
Māghū	id=g:125462
Maghrūrābād	id=g:125463
Kūh-e Māgher	id=g:125464
Kūh-e Magas Lān	id=g:125465
Kūh-e Magasī	id=g:125466
Magasān-e ‘Olyā	id=g:125467
Maksān	id=g:125468
Magarnāt-e Yek	id=g:125469
Mageyn	id=g:125471
Mafrūẕ Lū	id=g:125472
Mafranqāh	id=g:125473
Māfīābād	id=g:125474
Māfcheh	id=g:125475
Kūh-e Māfārūn	id=g:125476
Māfrīz	id=g:125477
Kūh-e Madbār	id=g:125478
Madvār	id=g:125479
Madvār	id=g:125480
Kūh-e Mādūn Kūh	id=g:125481
Rūdkhāneh-ye Mādūn	id=g:125482
Mādūn	id=g:125483
‘Azīzābād	id=g:125484
Madū’ī	id=g:125485
Cheshmeh-ye Madūhān	id=g:125486
Kūh-e Madraseh	id=g:125487
Qal‘eh-ye Madreseh	id=g:125488
Mādavān-e Soflá	id=g:125489
Mad Molīl	id=g:125490
Kūh-e Madkhān	id=g:125491
Madīneh	id=g:125492
Madīnāt	id=g:125493
Madīnāt	id=g:125494
Madīm	id=g:125495
Madīm	id=g:125496
Rūdkhāneh-ye Mādīān	id=g:125497
Kūh-e Madhān	id=g:125498
Tādavān	id=g:125499
Mādevān	id=g:125500
Madnūk	id=g:125501
Māddeh Kūh	id=g:125502
Mādeh Bānān	id=g:125503
Kūh-e Mādeh	id=g:125504
Madbūn	id=g:125505
Kūh-e Madbeh	id=g:125506
Kāravānsarā-ye Mādar Shāh	id=g:125507
Mādar Shāh	id=g:125508
Kūh-e Mādar Mīshān	id=g:125509
Mādar Kūh	id=g:125510
Mādar Soleymān	id=g:125511
Kūh-e Mādar-e Dokhtar	id=g:125512
Modravān	id=g:125513
Mādar Kūh	id=g:125514
Ma‘danū’īyeh	id=g:125515
Ma‘danū	id=g:125516
Ma‘dan-e Ābbīd	id=g:125517
Ma`dan Kūh-e	id=g:125518
Ma‘dan-e Pā’īn	id=g:125519
Ma‘dan-e Sīāh Kūh	id=g:125520
Ma`dan-e Qal`eh	id=g:125521
Ma`dan-e Sorb-e Ozbak Kūh	id=g:125522
Ma‘dan-e Bālā	id=g:125523
Kūh-e Ma‘dan-e Noqreh	id=g:125524
Ma‘dan-e Nakhlak	id=g:125525
Ma`dan-e Mes	id=g:125526
Ma`dan Chāh Sorb	id=g:125527
Ma‘dan-e Ābdasht	id=g:125528
Kūh-e Mādan	id=g:125529
Kūh-e Ma‘dan	id=g:125530
Kamar-e Maghdar	id=g:125531
Ma‘dan-e Manganez	id=g:125532
Ma‘dan	id=g:125533
Madan	id=g:125534
Ma‘dan	id=g:125535
Madak	id=g:125536
Mādābād	id=g:125537
Māddeh Kūh	id=g:125538
Sarāb-e Aḩmadvand	id=g:125539
Machīn	id=g:125540
Māchīān	id=g:125541
Māchekeh-ye Pā’īn	id=g:125542
Māchekeh-ye Bālā	id=g:125543
Gardaneh-ye Māchgeh	id=g:125544
Machālger	id=g:125545
Mabādī	id=g:125546
Mavādī	id=g:125547
Ma‘bad	id=g:125548
Mo‘ārefī Shīān	id=g:125549
Māfān	id=g:125550
Kūh-e Lūzdar	id=g:125551
Lūysakh	id=g:125552
Lūyeh	id=g:125553
Lūţī	id=g:125554
Kavīr-e Lūt	id=g:125555
Lūshkān	id=g:125556
Lūshāb	id=g:125557
Lūshāb	id=g:125558
Owrūn	id=g:125559
Lūrg-e Shotorān	id=g:125560
Nahr-e Lūreh	id=g:125561
Āb-e Lūreh	id=g:125562
Lūrā Shīrīn	id=g:125563
Lūrān	id=g:125564
Kūh-e Lūr	id=g:125565
Lūr	id=g:125566
Lūr	id=g:125567
Kūh-e Lūqīyeh	id=g:125568
Lūn-e Estakhr	id=g:125569
Lūnak	id=g:125570
Lūlūhar	id=g:125571
Lowlīyeh	id=g:125572
Lowlamān	id=g:125573
Lūlakī	id=g:125574
Lūlekābād	id=g:125575
Lūjalī	id=g:125576
Lū'īn	id=g:125577
Lohandar	id=g:125578
Rūdkhāneh-ye Lūdāb	id=g:125579
Lūbītar	id=g:125580
Lowzdar-e Vasaţ	id=g:125581
Lowzdar-e Pā’īn	id=g:125582
Lowzdar-e Bālā	id=g:125583
Līzz̄ar	id=g:125584
Lowshān	id=g:125585
Kūh-e Lūsan	id=g:125586
Kūh-e Lūrāz	id=g:125587
Lown-e Kohan	id=g:125588
Low’low’	id=g:125589
Low’low’	id=g:125590
Kūh-e Lowkūreh	id=g:125591
Lūjū	id=g:125592
Lūhak	id=g:125593
Loveymī	id=g:125594
Va‘līyeh	id=g:125595
Loven	id=g:125596
Loven	id=g:125597
Letom	id=g:125598
Loţfābād	id=g:125599
Loţfābād	id=g:125600
Loţfābād	id=g:125601
Loţfābād	id=g:125602
Lūshtar	id=g:125603
Lor Kosh	id=g:125604
Ostān-e Lorestān	id=g:125605
Kūh-e Lorestān	id=g:125606
Lorestān	id=g:125607
Kūh-e Loreh	id=g:125608
Lordgān	id=g:125609
Deh Lor	id=g:125610
Langar	id=g:125611
Longīr-e Soflá	id=g:125612
Longīr-e ‘Olyā	id=g:125613
Lombadān-e Soflá	id=g:125614
Lombadān ‘Olyā	id=g:125615
Rūdkhāneh-ye Lemīr	id=g:125616
Rūdkhāneh-ye Lūmīr	id=g:125617
Lemīr	id=g:125618
Lūmīr	id=g:125619
Kūh-e Lambīn	id=g:125620
Kūh-e Lombī	id=g:125621
Kūh-e Lombī	id=g:125622
Lombī	id=g:125623
Lonbar	id=g:125624
Lokūt	id=g:125625
Darreh Lakū	id=g:125626
Kūh-e Lokīnī	id=g:125627
Lok-e Shūrū	id=g:125628
Lok-e Salmābād	id=g:125629
Kūh-e Lokeh Namak	id=g:125630
Lok-e Cheh Māhī	id=g:125631
Lok Dar Negar	id=g:125632
Lohrāsbeh	id=g:125633
Logerd	id=g:125634
Cheshmeh-ye Lodeh	id=g:125635
Līzan	id=g:125636
Līyeh Chāk	id=g:125637
Līyeh	id=g:125638
Rūdkhāneh-ye Līves	id=g:125639
Līves	id=g:125640
Līvāsūn	id=g:125641
Gardaneh-ye Līvāschāl	id=g:125642
Īstgāh-e Līvār Jān	id=g:125643
Līvārjān	id=g:125644
Līvār-e Bālā	id=g:125646
Līvānlū	id=g:125647
Līvān-e Gharbī	id=g:125648
Yeskī	id=g:125650
Līshtar-e Pā’īn	id=g:125651
Līshtar	id=g:125652
Labeshkā	id=g:125653
Līshgān	id=g:125654
Līsh	id=g:125655
Līsehrūd	id=g:125656
Līsār	id=g:125657
Kūh-e Līsandār	id=g:125658
Līrū	id=g:125659
Līr Tork	id=g:125660
Līrūk	id=g:125661
Līrūk	id=g:125662
Līresar	id=g:125663
Līr-e Kūchek	id=g:125664
Līrdaf	id=g:125665
Līrālī	id=g:125666
Kūh-e Līrāk	id=g:125667
Rūdkhāneh-ye Līrāb	id=g:125668
Kūh-e Līrāb	id=g:125669
Līrāb	id=g:125670
Līqvān	id=g:125671
Līqenāb	id=g:125672
Līngor	id=g:125673
Līnd	id=g:125674
Līmūchā	id=g:125675
Nahr Limlawa	id=g:125676
Līman Jūb	id=g:125677
Āb-e Līmā	id=g:125678
Līmā	id=g:125679
Laylmānaj	id=g:125680
Leyl-e Baḩreynī	id=g:125681
Leylās	id=g:125682
Līlān	id=g:125683
Leylak	id=g:125684
Kūh-e Līleh	id=g:125685
Līlāb	id=g:125686
Līk Bīn	id=g:125687
Līkak-e Bahmanī	id=g:125688
Lījār Key	id=g:125689
Līfarjān	id=g:125690
Līāvol-e Pā’īn	id=g:125691
Līāvol-e Bālā	id=g:125692
Līālestān	id=g:125693
Līāfū	id=g:125694
Līā	id=g:125695
Lazeh	id=g:125696
Līv-e Bālā	id=g:125697
Kūh-e Leytū	id=g:125698
Līreh’ī	id=g:125699
Lāypeh	id=g:125700
Kūh-e Leylman	id=g:125701
Leylā Khānī	id=g:125702
Leylā Kūh	id=g:125703
Khowr-e Leylateyn	id=g:125705
Leylateyn	id=g:125706
Leylāneh	id=g:125707
Leylān Chāy	id=g:125708
Līlās	id=g:125709
Leylān	id=g:125710
Leyl	id=g:125711
Levīs	id=g:125712
Kūh-e Letmūreh	id=g:125713
Lūshtar-e Sa‘īd	id=g:125714
Lash Dānī	id=g:125715
Leshgūn	id=g:125716
Kūh-e Līshān	id=g:125717
Lerd	id=g:125718
Rūdkhāneh-ye Leqerī	id=g:125719
Leqalān	id=g:125720
Lepīr	id=g:125721
Lanjeh	id=g:125722
Lenjān	id=g:125723
Lanjābād	id=g:125724
Landeh	id=g:125725
Landeh	id=g:125726
Lemrāsk	id=g:125727
Lamazān	id=g:125728
Kūh-e Lekhū	id=g:125729
Tappeh-ye Lekheyẕar	id=g:125730
Lekheyẕar	id=g:125731
Yekāvīyeh-ye Yek	id=g:125732
Yekāvīyeh-ye Seh	id=g:125733
Yekāvīyeh-ye Do	id=g:125734
Lagāleh	id=g:125735
Lejen	id=g:125736
Lojām Gīr	id=g:125737
Laheh	id=g:125738
Lah-e Derāz	id=g:125739
Rūdkhāneh-ye Labad	id=g:125740
Lazūr	id=g:125741
Lazīr	id=g:125742
Lezā	id=g:125743
Lāzeh	id=g:125744
Darreh-ye Lāsār	id=g:125745
Lāy-e Bīsheh	id=g:125746
Kūh-e Lāy Savārān	id=g:125747
Lākarbās	id=g:125748
Lījand	id=g:125749
Lāy Gaz	id=g:125750
Lāygazān-e Pā’īn	id=g:125751
Lāygazān-e Bālā	id=g:125752
Lāygazān	id=g:125753
Kūh-e Lā-ye Zehtī	id=g:125754
Lāy Zangān	id=g:125755
Kūh-e Lā-ye Tārīk	id=g:125756
Lā-ye Tang	id=g:125757
Lāy Palangī	id=g:125758
Lāyen	id=g:125759
Lāyen	id=g:125760
