Al ‘Aqm	id=g:402496
Ash Shu'ayb	id=g:6940881
Bilad At Ta'am	id=g:6940882
Mazhar	id=g:6940883
Al Ghayz̧ah	id=g:7320965
Ḩuşwayn	id=g:7320966
Sayi’ūn	id=g:7320968
Wādī al ‘Ayn Waḩūrah	id=g:7320969
Madīnat Al Mukallā	id=g:7320970
Brūm Mayf‘a	id=g:7320971
Ḩajr aş Şay‘ar	id=g:7320972
Aḑ Ḑlī‘ah	id=g:7320973
D·har	id=g:7321012
Yab‘uth	id=g:7321014
Mayf‘ah	id=g:7321015
Aş Ş‘aīd	id=g:7321017
Markhah as Suflá	id=g:7321018
Markhah al ‘Ulyā	id=g:7321020
Al Waḑī‘a	id=g:7321021
Aş Şawm‘ah	id=g:7321022
Madīnat al Bayḑā’	id=g:7321023
Al Malājim	id=g:7321038
Raşşad	id=g:7321039
Yāf‘a	id=g:7321040
Al Maflaḩī	id=g:7321041
Dār S‘ad	id=g:7321042
Al Mu‘alā	id=g:7321043
Mawz‘a	id=g:7321044
Al Ma‘āfir	id=g:7321045
Sām‘a	id=g:7321047
As Sab‘aīn	id=g:7321055
Aş Şāfīyah	id=g:7321056
Azāl	id=g:7321057
Şan‘ā’ al Qadīmah	id=g:7321058
Shar‘ab ar Rawnah	id=g:7321059
Shar‘ab as Salām	id=g:7321060
Al Muz̧affar	id=g:7321061
Ba‘adān	id=g:7321062
Az̧ Z̧ihār	id=g:7321063
Ar Rīyāshīyah	id=g:7321064
Na‘amān	id=g:7321065
Al Qurayshīyah	id=g:7321066
Mayfa‘at ‘Ans	id=g:7321067
Banī Ḑabyān	id=g:7321068
Al Ja‘afarīyah	id=g:7321069
Far‘a al ‘Udayn	id=g:7321070
Şa‘afān	id=g:7321071
Banī Sa‘ad	id=g:7321072
Ath Thawrah	id=g:7321073
Madghal	id=g:7321074
Madīnat Ma’rib	id=g:7321078
Banī Şuraym	id=g:7321079
Zamūkh wa Manwakh	id=g:7321080
Aflaḩ ash Shām	id=g:7321101
Qafl Shamar	id=g:7321102
Madīnat Ḩajjah	id=g:7321103
Banī Qīs	id=g:7321104
Madīnat Al Maḩwayt	id=g:7321108
Ḑawrān Ānas	id=g:7321117
Qulansīyah wa ‘Abd al Kūrī	id=g:7321632
Wādī Sinn Şanfah	id=g:7326350
Wādī Tharak	id=g:7326351
Ḩaykat as Suwaydā’	id=g:7326352
Jabal an Naşr	id=g:7326353
Jabal ‘Arawān	id=g:7326354
Jabal al Qād	id=g:7326355
Ḩurayjīyah	id=g:7326356
Al Ḩaddādīn	id=g:7329399
Wādī Khuz̧ayrimah	id=g:7329413
Al Jurūbah	id=g:7329414
Al Masābiḩah	id=g:7329415
Shabārah	id=g:7329416
Bayt Suwaydān	id=g:7329417
Wādī Ḩuqayq	id=g:7329418
Wādī al Bidār	id=g:7329419
Wādī Dubās	id=g:7329420
Wādī al Hināyah	id=g:7329421
Wādī Jirayjir	id=g:7329422
Wādī al Muḩayfir	id=g:7329423
Al ‘Uqayd	id=g:7329424
Al Bilaylī	id=g:7329425
Al Ghurāfī	id=g:7329426
Al Ḩā’iţ an Nakhīl	id=g:7329427
Al Jadīr	id=g:7329428
Al Jarīb	id=g:7329429
Al Jarūbah	id=g:7329430
Al Miḩāwīyah	id=g:7329431
Ash Shibā‘	id=g:7329432
Az Zahārī	id=g:7329433
Bayt al Ḩurayshī	id=g:7329434
Wādī al Jarīb	id=g:7329435
Aş Şabbayḩah	id=g:7329436
Bayt al Khurq	id=g:7329437
Bulāli‘	id=g:7329438
Wādī al Ghurāfī	id=g:7329439
Ḩarf ad Dubayzal	id=g:7329440
Ḩaşīb al Mikhawish	id=g:7329441
Al Ḩujfah	id=g:7329442
Al Ghurāfī	id=g:7329443
Ḩasīl Ḩaşīb	id=g:7329444
Nawbat ‘Alāyah	id=g:7329445
Wādī al Fawwāhah	id=g:7329446
Nawbat ‘Āmir	id=g:7329447
Qa‘ţabīyah	id=g:7329448
Qaryat al Marāwishah	id=g:7329449
Sāhirah	id=g:7329450
Wādī az Zujayrīyah	id=g:7329451
Bi’r al ‘Umarī	id=g:7329452
As Saymar	id=g:7329453
Sayma	id=g:7329454
An Nakhl	id=g:7329455
‘Uways	id=g:7329456
Al Akbar	id=g:7329457
Wādī ash Shaţţayn	id=g:7329458
Wādī Shūshuwah	id=g:7329459
Wādī al ‘Arjūsh	id=g:7329460
Al Bi’r al Jadīd	id=g:7329461
Al Ḩāşibah	id=g:7329462
Al Marjīm	id=g:7329463
Jabal al Barāshah	id=g:7329464
Bayt al Hudaysh	id=g:7329465
Bāb al Fajj	id=g:7329466
Wādī Nābiḑah	id=g:7329467
Maşna‘at ‘Abd al Azīz	id=g:7339971
Maḩall az Zabl	id=g:7339972
Jabal ash Sharīk	id=g:7339973
Bayt aş Şubbārī	id=g:7339974
Bayt Mihrās	id=g:7339975
Bayt ad Duḩmulī	id=g:7339976
Z̧almān	id=g:7339977
Bayt Sawwāl	id=g:7339978
Ḩammat al Wuşābī	id=g:7339979
Ḩammat Zubayd	id=g:7339980
Jabal Ḩawrah	id=g:7339981
Zirāqah	id=g:7339982
Jaw’ar	id=g:7339983
Abalah	id=g:7339984
Ar Rakḩ	id=g:7339985
Al Kharābah	id=g:7339986
Al Jāhilī	id=g:7339987
Maswarah	id=g:7339988
Al Labaj	id=g:7339989
Bayt Maqlas	id=g:7339990
An Naqīfah	id=g:7339991
Şirm al ‘Abd	id=g:7339992
Jabal al Māl	id=g:7339993
Bayt al ‘Ansī	id=g:7339994
Al Musharraq	id=g:7339995
Bayt al Jundubī	id=g:7339996
‘Ābiḑ	id=g:7339997
Manzil Dhī ‘Aţā’	id=g:7339998
Al ‘Ajālim	id=g:7339999
Jabal Mathwah	id=g:7340000
Al Maţāḩin	id=g:7340001
Bayt ‘Ubayyah	id=g:7340002
Al Qābil	id=g:7340003
Bayt al Muqbilī	id=g:7340004
Al ‘Aqīqah	id=g:7340005
Jabal Ahl ‘Āmir	id=g:7340006
Zarār	id=g:7340007
Al Washal	id=g:7340008
Jurf ‘Arām	id=g:7340009
Al Miţlāḩ	id=g:7340010
Mashra’ah	id=g:7340011
Al Ma‘zūb	id=g:7340012
Al Qaflah	id=g:7340013
Al Qaḩayzah	id=g:7340014
Al Qūfa‘ah	id=g:7340015
Aş Şubār	id=g:7340016
‘Amīqah	id=g:7340017
Bayt al Ḩarbī	id=g:7340018
Qur‘ad	id=g:7340019
Kuḩlān	id=g:7340020
Dhī Ya‘lil	id=g:7340021
Hamdān	id=g:7340022
Al Marāzim	id=g:7340023
Jabal Ḩişn Kuhlān	id=g:7340024
Bayt as Subā‘ī	id=g:7340025
Al Aqra‘	id=g:7340026
Ḩuḑayy	id=g:7340027
Jabal al Ḩubayk	id=g:7340028
Shi‘b as Sanaf	id=g:7340029
Maswarah	id=g:7340030
Dhī Sha‘bah	id=g:7340031
Bayt al ‘Abbāb	id=g:7340032
Jabal al Lakamah	id=g:7340033
Zabīd	id=g:7340034
Jabal Zabīd	id=g:7340035
Bayt ‘Abdah	id=g:7340036
Al Ḩidaydah	id=g:7340037
Shi‘b al ‘Abīdī	id=g:7340038
Sahwā’	id=g:7340039
Al Jarf	id=g:7340040
Jabal al Qandharah	id=g:7340041
Al Mashrif	id=g:7340042
Jabal Muḩānah	id=g:7340043
Wādī Hāmah	id=g:7340044
Al Madārah	id=g:7340045
Jabal ‘Ujayb	id=g:7340046
As Surafī	id=g:7340047
Al Manzil	id=g:7340048
Jabal as Samḩajī	id=g:7340049
Jabal Batā‘	id=g:7340050
Ash Shi‘b	id=g:7340051
Jabal al Jumbarī	id=g:7340052
Dhiyāḩ	id=g:7340053
Al Ḩarf	id=g:7340054
Al Maqāsimah	id=g:7340055
Ḩubbān	id=g:7340056
Ad Duwayr	id=g:7340057
Al Hijrah	id=g:7340058
Jabal al Qufl	id=g:7340059
Tamūr	id=g:7340060
Wādī Dhī as Sayḩ	id=g:7340061
Dādah	id=g:7340062
Jabal Nafil	id=g:7340063
Zāmiḩ	id=g:7340064
Z̧alam	id=g:7340065
Bayt al Jushūbī	id=g:7340066
Jabal ‘Amqah	id=g:7340067
‘Amqah	id=g:7340068
Ribāţ ‘Amqah	id=g:7340069
Bayt as Saḩayqī	id=g:7340070
Bayt al Manquḩum	id=g:7340071
Khalaqah	id=g:7340072
Bayt al ‘Izzānī	id=g:7340073
Wādī Banā’	id=g:7340074
Qaţin	id=g:7340075
Bayt aş Şārim	id=g:7340076
Bayt Jadbah	id=g:7340077
Kawlat as Sayyid	id=g:7340078
Al Khash‘ah	id=g:7340079
Dhī Jihdum	id=g:7340080
Duwayr al ‘Awd	id=g:7340081
Ath Thajir	id=g:7340082
Bayt an Nadīsh	id=g:7340083
Yufā‘ah	id=g:7340084
Kawlat an Nadīsh	id=g:7340085
Saḩqān	id=g:7340086
Bayt az Zubaydī	id=g:7340087
Bayt al Ḩumazah	id=g:7340088
Jabal Maşna‘at ‘Ammār	id=g:7340089
Shi‘b al Muraysī	id=g:7340090
Al Jabūbah	id=g:7340091
Wādī Makhwa‘	id=g:7340092
Jabal Satar	id=g:7340093
Şanā‘	id=g:7340094
‘Alamān	id=g:7340095
Al Ḩadīdah	id=g:7340096
Kawlat aş Şayyādī	id=g:7340097
Jabal Munīrah	id=g:7340098
Al Hajarah	id=g:7340099
‘Arīq	id=g:7340100
Rukhamah	id=g:7340101
Jabal Baţāmah	id=g:7340102
Bayt al ‘Awlaqī	id=g:7340103
Jabal Ḩamir	id=g:7340104
Bayt aş Şayyādī	id=g:7340105
Aş Şawbah	id=g:7340106
Malīl	id=g:7340107
Qaryat Sīḩār	id=g:7340108
Al Ghawl	id=g:7340109
Jabal Manqīr	id=g:7340110
Al Ma‘rash	id=g:7340111
Jabal al Qarāniḩ	id=g:7340112
Jabal Shaybah	id=g:7340113
Al Manjidah	id=g:7340114
Dhī ad Darb	id=g:7340115
Jabal Ḩansar	id=g:7340116
Jabal Maḑraḩ	id=g:7340117
Lay’ān	id=g:7340118
Jabal al ‘Awd	id=g:7340119
Mawjar	id=g:7340120
Kharbat aş Şubārī	id=g:7340121
Aş Şayyādī	id=g:7340122
Qiḑah	id=g:7340123
Al Midhyāb	id=g:7340124
Al ‘Armah	id=g:7340125
Ta’labah	id=g:7340126
‘Aşmī	id=g:7340127
As Sawdā’	id=g:7340128
Wādī ar Ruţābī	id=g:7340129
Al Ma‘şar	id=g:7340130
Jabal al Ma‘şar	id=g:7340131
Dhī al ‘Ubad	id=g:7340132
Jabal al ‘Uqlah	id=g:7340133
Jabal al ‘Irfāf	id=g:7340134
Al ‘Irfāf	id=g:7340135
Al Ḩāmirī	id=g:7340136
Al Ḩamrā’	id=g:7340137
Wādī Maḩqan	id=g:7340138
Maḩqan	id=g:7340139
Bayt al Yazīdī	id=g:7340140
As Sarāh	id=g:7340141
Mayfa‘ān	id=g:7340142
Wādī Ith‘ār	id=g:7340143
Wādī Ḑamāh	id=g:7340144
Ḑayq Rawbān	id=g:7340145
Wādī Saḩr	id=g:7340146
Jabal Baḩz̧ān	id=g:7340147
Al Jabūrīyah	id=g:7340148
Jabal Jayf as Sawd	id=g:7340149
Ḩawrah	id=g:7340150
Jabal Ḩammat Qaraḑ	id=g:7340151
Al Jalb	id=g:7340152
Jabal Kawdir	id=g:7340153
Jabal ‘Awşān	id=g:7340154
Jabal Yarkuf	id=g:7340155
Wādī Radīm	id=g:7340156
Jabal al Khaţm	id=g:7340157
Qā‘ al Biraymāt	id=g:7340158
Al Lumayḩīyah	id=g:7340159
Al Qurayn	id=g:7340160
Jabal Maqşab	id=g:7340161
Thiyāb	id=g:7340162
Jabal ash Shahd	id=g:7340163
Jabal al Fāridah	id=g:7340164
Jabal Akthab	id=g:7340165
Jabal ar Raydah	id=g:7340166
Al Widyān	id=g:7340167
Jabal Ḩilḩāl	id=g:7340168
Jabal al Abqa‘	id=g:7340169
Rakhyah	id=g:7340170
Jabal Rakhyah	id=g:7340171
Al Liwwāh	id=g:7340172
Maḩall al Jibil	id=g:7340173
Shi‘b Thijah	id=g:7340174
Aḑ Ḑuwayhirah	id=g:7340175
Al Malaḩāt	id=g:7340176
Shi‘b Suwāl	id=g:7340177
Jabal al Qal‘ah	id=g:7340178
Jabal Dāḩinah	id=g:7340179
Jabal Dāmin	id=g:7340180
Jabal al Faḑīyah	id=g:7340181
Jabal Zubur	id=g:7340182
Jabal as Sawdā’	id=g:7340183
Wādī Bilmi‘ān	id=g:7340184
Jabal Ḩilwān	id=g:7340185
Ḩişn al Maydamah	id=g:7340186
Jabal Bilmi‘ān	id=g:7340187
Bilmi‘ān	id=g:7340188
Al Qā’imah	id=g:7340189
Al Qirān	id=g:7340190
Ghawl Ja‘far	id=g:7340191
Al Ghirās	id=g:7340192
Al Aghyad	id=g:7340193
Dār al Ḩaddād	id=g:7340194
Shi‘b aḑ Ḑay‘ah	id=g:7340195
Aş Şufayrā’	id=g:7340196
Al Ja‘ayfirī	id=g:7340197
Jabal Raḩbān	id=g:7340198
Al Ithrī	id=g:7340199
Al Qaynah	id=g:7340200
Al Lawayn	id=g:7340201
Sā’ilat Umayyān	id=g:7340202
Ḩammat Khalaqah	id=g:7340203
Al Khuḑayrīyah	id=g:7340204
Dār al Ḩāj	id=g:7340205
Al Nā‘im	id=g:7340206
Jabūb Khawlah	id=g:7340207
Al Qaḩālil	id=g:7340208
Al Qawārī	id=g:7340209
Al Maḩjar	id=g:7340210
Shi‘b al Bidah	id=g:7340211
Al Lum‘ān	id=g:7340212
Wādī ‘Ans	id=g:7340213
Jabal adh Dhufayrā‘	id=g:7340214
Wādī ‘Alī	id=g:7340215
Sharaf al Qāniş	id=g:7340216
As Sūdān	id=g:7340217
Ḑurbūb	id=g:7340218
Al Hajar	id=g:7340219
Al Khanaq	id=g:7340220
Al Mājilayn	id=g:7340221
Jabal ar Rūb	id=g:7340222
Al Khaḑrā’	id=g:7340223
Qirnāţā’	id=g:7340224
Ḩāfat al Hajjāmah	id=g:7340225
Ḩammat as Sādah	id=g:7340226
Al Jumbudh	id=g:7340227
Al Kharā’ib	id=g:7340228
Aḑ Ḑayyah	id=g:7340229
Al Ḩammah	id=g:7340230
Ḩawāt	id=g:7340231
Shihāb	id=g:7340232
Makhdarah	id=g:7340233
Khirbat as Sayyid	id=g:7340234
An Naḑīm	id=g:7340235
Al Jamīmah	id=g:7340236
Wādī Ḩalwajān	id=g:7340237
Bayt ar Raḩābī	id=g:7340238
‘Ābī	id=g:7340239
Jabal al Manārah	id=g:7340240
Bayt Ḩajar	id=g:7340241
Jubayyir	id=g:7340242
Qarn Qāsim	id=g:7340243
Al Ma‘aynah	id=g:7340244
Dār al Murahī	id=g:7340245
Al Khirāb	id=g:7340246
Dār Khalbān	id=g:7340247
Ţalab	id=g:7340248
As Sufāl	id=g:7340249
Jabal al Qaşr	id=g:7340250
Maswarat Muzayyid	id=g:7340251
Al Yumān	id=g:7340252
Haywah	id=g:7340253
Jabal Şabāḩ	id=g:7340254
Jabal an Nā’ifah	id=g:7340255
Ar Ribāţ	id=g:7340256
Jabal al Masrab	id=g:7340257
Jabal Jabr	id=g:7340258
Bayt al Wuḩayshī	id=g:7340259
Najr	id=g:7340260
Jabal Isārah	id=g:7340261
Shi‘ār	id=g:7340262
Jabal al Khalaqah	id=g:7340263
Qurāḑah	id=g:7340264
Ash Sharqānī	id=g:7340265
Wādī al Aḩjār	id=g:7340266
Jabal Āyah	id=g:7340267
Shi‘b aş Şayfī	id=g:7340268
Aş Şāghah	id=g:7340269
Al Manşūrah	id=g:7340270
Al Gharrayrah	id=g:7340271
Qarn ‘Ambarī	id=g:7340272
Kawlat Bāḩāj	id=g:7340273
Jabal Haywah	id=g:7340274
Jabal al Aqrun	id=g:7340275
Jabal ‘Uşum	id=g:7340276
Muzāhir	id=g:7340277
Jabal Shayzar	id=g:7340278
Al Lakamah	id=g:7340279
Qiblī	id=g:7340280
Al Ḩarf	id=g:7340281
Al Kitbah	id=g:7340282
Al Kharābah	id=g:7340283
Al Mawraḩ	id=g:7340284
At Turbah	id=g:7340285
Al Kharbah	id=g:7340286
Al Maşna‘ah	id=g:7340287
Al Kharābah	id=g:7340288
Ḩayd ad Durūb	id=g:7340289
Jabal az̧ Z̧afarah	id=g:7340290
Dhī al Ḩabīb	id=g:7340291
Jabal Azāl	id=g:7340292
At Tuwayrah	id=g:7340293
Jabal al Maqām	id=g:7340294
Bayt Badr	id=g:7340295
Habar	id=g:7340296
Bayt Saydam	id=g:7340297
Hijārah	id=g:7340298
Jabal Aswad	id=g:7340299
Jabal Thamar	id=g:7340300
Wādī ‘Amūr	id=g:7340301
Kharbat Ḩijil	id=g:7340302
Al Mallāḩah	id=g:7340303
Al Ghaylī	id=g:7340304
Wādī al Ghaylī	id=g:7340305
Jabal al Manz̧ar	id=g:7340306
Jabal al Wāsiţah	id=g:7340307
Ḩujayl	id=g:7340308
Bayt az Zawm	id=g:7340309
Hāmah	id=g:7340310
Aş Şulfāḩ	id=g:7340311
Al ‘Arraynah	id=g:7340312
Jabal al Kawlah	id=g:7340313
Bayt Faqīr ash Shaykh	id=g:7340314
Bayt adh Dhaybānī	id=g:7340315
Jabal ash Sha‘ir	id=g:7340316
Jabal al Bakrah	id=g:7340317
Jabal ad Dasim	id=g:7340318
Z̧amir	id=g:7340319
Al Qaryah al ‘Ulyā	id=g:7340320
Al Qaryah al Wāsiţah	id=g:7340321
‘Arjabān	id=g:7340322
Wādī al Akrāw	id=g:7340323
Jabal Fiḩan	id=g:7340324
Dār Sawdān	id=g:7340325
Bayt al Ḩaydarī	id=g:7340326
Najd al Mīrāḩah	id=g:7340327
Al Qudmah	id=g:7340328
Bayt al Haddāshī	id=g:7340329
Al Qudmah	id=g:7340330
Jabal al Jilbā‘	id=g:7340331
Jabal an Nazhah	id=g:7340332
Bayt Ţawīl	id=g:7340333
Bayt Mahdī	id=g:7340334
Al Qaryah	id=g:7340335
Al Ḩadhadh	id=g:7340336
Al Ma‘zūb	id=g:7340337
Al ‘Ikrah	id=g:7340338
Banī Maḩmūd	id=g:7340339
Al Aḩram	id=g:7340340
Jabal Balā‘	id=g:7340341
Jabal at Tuwayrah	id=g:7340342
Sawdah	id=g:7340343
Jabal al Aşbāḩ	id=g:7340344
Jabal al ‘Aqabah	id=g:7340345
Al Ḩammah	id=g:7340346
Al Aghbarī	id=g:7340347
Jabal Buklān	id=g:7340348
Bayt Jamīl	id=g:7340349
Al Jabūb	id=g:7340350
Al Jidlah	id=g:7340351
Al Jihdi‘ah	id=g:7340352
Ash Sharayāt	id=g:7340353
Dhī Miswal	id=g:7340354
Jabal Ḑīr	id=g:7340355
Gharbah	id=g:7340356
Ash Sharafah	id=g:7340357
Kharbat al Mathīl	id=g:7340358
Aş Şayḩ	id=g:7340359
Al Khuraybah	id=g:7340360
Dhī ‘Arīb	id=g:7340361
Jabal Yirā‘	id=g:7340362
Jabal Ḩammat ‘Utmah	id=g:7340363
An Nawbah	id=g:7340364
Ji‘is	id=g:7340365
Bayt al ‘Āqil	id=g:7340366
Jabal al Ḩarīmah	id=g:7340367
Qarmudār	id=g:7340368
Al Yaḩmūm	id=g:7340369
Al Awqiţah	id=g:7340370
Jabal al Ghashshah	id=g:7340371
Jabal al Jamīmah Kawkabān	id=g:7340372
Al Abşāl	id=g:7340373
Aş Şin‘ah	id=g:7340374
Al Maḩjar	id=g:7340375
Al Muşayni‘ah	id=g:7340376
Al Mi‘rab	id=g:7340377
Jabal Qarn al Karsh	id=g:7340378
Ḩajīn	id=g:7340379
Kharābat Sha‘bān	id=g:7340380
Al Kawlah	id=g:7340381
Ḑubay‘	id=g:7340382
Shi‘b aş Şayfī	id=g:7340383
Suhūbah	id=g:7340384
Dhī Fār	id=g:7340385
Al Maḩnashah	id=g:7340386
Kuḩlān	id=g:7340387
Jabal Shi‘b al ‘Arīn	id=g:7340388
Jabal al Ḩamrā’	id=g:7340389
Al Lujw	id=g:7340390
Buyūt Āl Salāmah	id=g:7340391
Ḑayq al Balas	id=g:7340392
Jabal al Aḩfāf	id=g:7340393
Jabal an Nuşub	id=g:7340394
Shi‘b ash Shawḩaţ	id=g:7340395
Qurūn al Qī‘ān	id=g:7340396
Qurūn al Qī‘ān	id=g:7340397
Wādī Ḩubābah	id=g:7340398
Jabal al ‘Arīf	id=g:7340399
Jabal al Ḩumayyir	id=g:7340400
Jabal an Nashāsh	id=g:7340401
Z̧āni‘	id=g:7340402
Al ‘Awmarah	id=g:7340403
Juml	id=g:7340404
Dār aţ Ţulayyah	id=g:7340405
Wādī aş Şawābī	id=g:7340406
Al Qaryah	id=g:7340407
Jabal Ḩamir	id=g:7340408
Al Ma‘zūb	id=g:7340409
Qaflat Nahshal	id=g:7340410
Al ‘Usharī	id=g:7340411
Matkam	id=g:7340412
Al Masnadah	id=g:7340413
Jibāl al Qābil	id=g:7340414
Kawlat az Zaqrī	id=g:7340415
Jabal al Mihlālah	id=g:7340416
Jabal Ḩaraqāt	id=g:7340417
Kawkabān	id=g:7340418
Wādī al Maḑāmīr	id=g:7340419
Jabal al Maḩrabah	id=g:7340420
Wādī al Athlah	id=g:7340421
Jabal Ḩişmī	id=g:7340422
Jabal aş Şabir	id=g:7340423
Jabal Ja‘almim	id=g:7340424
Jabal al Marḩūbah al Kabīrah	id=g:7340425
Khāb	id=g:7340426
Ar Ribāţ	id=g:7340427
Wādī as Sayḩ	id=g:7340428
Wādī Arwamah	id=g:7340429
Najd al Qurayn	id=g:7340430
Al Ghawlayn	id=g:7340431
Al Qurayn	id=g:7340432
Dhakhar	id=g:7340433
Jabal al Ḩammah	id=g:7340434
Jarf al Qāḑī	id=g:7340435
Jabal Saţāḩ	id=g:7340436
Jabal Jahādi‘ ‘Akbarah	id=g:7340437
‘Izzān	id=g:7340438
Jabal Kawr	id=g:7340439
Ma‘thah	id=g:7340440
Jabal Sharjab	id=g:7340441
Wādī as Sawā’il	id=g:7340442
Şanīf al Murabba‘	id=g:7340464
Az Zunbūlīyah	id=g:7340465
Aş Şurayḩ	id=g:7340466
Dayr Sajj	id=g:7340467
Buyūt ad Darāwishah	id=g:7340468
Buyūt al Kharāşinah	id=g:7340469
Al ‘Usharah	id=g:7340470
Barābir	id=g:7340471
Dayr ‘Ibār	id=g:7340472
Umm Kurumīyah	id=g:7340473
Al Bāriyah	id=g:7340474
Dayr al Manāwirah	id=g:7340475
Al Jammāzīyah	id=g:7340476
Quz‘at al Ma‘ārīf	id=g:7340477
Şuţayḩ	id=g:7340478
Al Miḩrāsah	id=g:7340479
Buyūt al Ḩakāmīyah	id=g:7340480
Şuţayḩ	id=g:7340481
Al Kubbāyah	id=g:7340482
As Sammīyah	id=g:7340483
Buyūt al Muşāliḩah	id=g:7340484
Maḩall aş Şawāliḩ	id=g:7340485
Maḩall al Ma‘ārīf	id=g:7340486
Bayt as Sayyid ‘Umar Yūsuf	id=g:7340487
Al Maḩfūḑīyah	id=g:7340488
Al Ma‘āyidah	id=g:7340489
Al Qaḩalīyah	id=g:7340490
Umm Sammīyah	id=g:7340491
Maḩall al Muqābil	id=g:7340492
Maḩall ‘Abd Allāh Aḩmad al Qubbāsī	id=g:7340493
Maḩall al Hawāshim	id=g:7340494
Rubayḩī	id=g:7340495
Maḩall as Sādah	id=g:7340496
Bayt as Sayyid Aḩmah Zayd	id=g:7340497
Bayt Şāliḩ ‘Alī	id=g:7340498
Ḩasy Şāliḩ	id=g:7340499
Samānīyah	id=g:7340500
Mamshá al Qanādīyah	id=g:7340501
Buyūt an Nahārīyah	id=g:7340502
Dayr ath Thawābit	id=g:7340503
Şaraţiḩah	id=g:7340504
Al Kidḩah	id=g:7340505
Ra’s ash Shi‘b	id=g:7340506
Wādī ‘Ajjī	id=g:7340507
Al ‘Aqm	id=g:7340508
Al Misha‘shi‘īyah	id=g:7340509
Wādī Rima‘	id=g:7340510
Qaryat az Za‘āwir	id=g:7340511
Banī Jammāl	id=g:7340512
Banī an Nīb	id=g:7340513
Al Mukhayrīf	id=g:7340514
Buyūt al Muhādilah	id=g:7340515
Banī Misha‘fil	id=g:7340516
Al Mawşar	id=g:7340517
Al Kudayf	id=g:7340518
Ḩasy Ismā‘īl	id=g:7340519
Nawbat ‘Āmir Mukaynis	id=g:7340520
Nawbat al Hurbī	id=g:7340521
Jallat al Khamāmīsh	id=g:7340522
Al Ḩabīl	id=g:7340523
Bayt Ḩijāb	id=g:7340524
Al Musharra‘īyah	id=g:7340525
Maḩwá al Makkī	id=g:7340526
Muşālib	id=g:7340527
Ḩasy Hindah	id=g:7340528
Al Ḩakāmīyah	id=g:7340530
Bayt al Ḩabaq	id=g:7340531
Al Miskīnah	id=g:7340532
Banī Ţawīl	id=g:7340533
Bayt al Bunnī	id=g:7340534
An Najjārīyah	id=g:7340535
Ash Shaykh ‘Umar	id=g:7340536
Bayt al ‘Usayqī	id=g:7340537
Bayt al Maḩibb	id=g:7340538
Al Kudayf	id=g:7340539
Bayt al Waḩsh	id=g:7340540
Ash Shādhilīyah	id=g:7340541
Bayt al Ja‘l	id=g:7340542
Bayt al Qissī	id=g:7340543
Bayt al Ḩabaq	id=g:7340544
An Nawbah	id=g:7340545
Bayt ash Sharaf	id=g:7340546
Bayt ‘Āţif	id=g:7340547
Al Ḩisām	id=g:7340548
Al Hawb	id=g:7340549
‘Arājishah	id=g:7340550
Qa‘ābil	id=g:7340551
Buyūt al Ma‘ārīf	id=g:7340552
Al Ashram	id=g:7340553
Al Ghawanim	id=g:7340554
Al Ḩusaynīyah ash Shūmah	id=g:7340555
Maḩwá Umm Zayn	id=g:7340556
Maḩwá ad Dashsh	id=g:7340557
Maḩwá Sayyid Yūsuf	id=g:7340558
Maḩwá Khushaym	id=g:7340559
Şanīf ‘Āmir	id=g:7340560
Bayt al Ujaylī	id=g:7340561
Wādī aş Şan‘	id=g:7340562
Bayt ‘Āmir	id=g:7340563
Bayt al Ḩunduj	id=g:7340564
As Sakrānīyah	id=g:7340565
Al Ḩakāmīyah	id=g:7340566
Al Miḩşām	id=g:7340567
Al Fāḑil	id=g:7340568
Miqwā‘īyah	id=g:7340569
Al Waqf	id=g:7340570
Munaybir	id=g:7340571
Wādī Dawba‘ah	id=g:7340572
Banī al Ḩabīlī	id=g:7340573
Maḩjar al Maḩābīb	id=g:7340574
Majrab al Khaḑārīyah	id=g:7340575
Al Kunnaydah	id=g:7340576
Bayt Sayyid ‘Alī Ţawīl	id=g:7340577
Bayt Sayyid ‘Alī Ma‘ūthar	id=g:7340578
Al Ja‘l	id=g:7340579
Aş Şanīf	id=g:7340580
Ash Shurūkh	id=g:7340581
Maḩwá al Jurbī	id=g:7340582
Maḩwá al Buwayhil	id=g:7340583
Bayt al Buwayhil	id=g:7340584
Ḩākim	id=g:7340585
Al Ja‘āfirah	id=g:7340586
Aḑ Ḑubāyah	id=g:7340587
Al Bulayḩ	id=g:7340588
Az Zambūlīyah	id=g:7340589
Bayt ash Shu‘aybī	id=g:7340590
Al Ghanīqah	id=g:7340591
Al Ibrāyah	id=g:7340592
Midman ar Ruqūd	id=g:7340593
Maḩwá al Hudaysh	id=g:7340594
Qawnis	id=g:7340595
Bayt al Ḩuwaykah	id=g:7340596
Buyūt al Ma‘āfah	id=g:7340597
Shi‘b at Tāj	id=g:7340598
Shi‘b al Karīmī	id=g:7340599
Banī ‘Ayyāsh	id=g:7340600
Shi‘b al Ḩumar	id=g:7340601
Qunaydah	id=g:7340602
Maḩābīb	id=g:7340603
Banī Murayr	id=g:7340604
Al Ḩasanīyah	id=g:7340605
Al Banāyah	id=g:7340606
Buyūt al Mashāyikh	id=g:7340607
Wādī Kuway‘	id=g:7340608
Qaryat al Fawāshiq	id=g:7340609
Ash Shi‘āb	id=g:7340610
Wādī ash Shi‘āb	id=g:7340611
