Nahr al Braghūthīyat	id=g:6763876
Nahr Wān Qadīm	id=g:6783094
Sha‘īb al Mughādrah	id=g:6783095
Nahr Wān Qadīm	id=g:6783096
Wādī aḑ Ḑabā‘	id=g:6783097
Wādī Sha‘bat Ḩanūs	id=g:6783098
Wādī Umm al ‘Arīḑ	id=g:6783099
Wādī al ‘Arīḑ	id=g:6783100
Wādī Sha‘īb ‘Abd Allāh	id=g:6783101
Mafqas al Mashrū‘	id=g:6783102
Qaḑā’ ad Dawr	id=g:6783103
Muḩammad al Fāḑil al ‘Abbās	id=g:6783104
Ḩasan al Makhlaf	id=g:6783105
Nahr al ‘Abbās	id=g:6783106
Nahr ar Raşāşī	id=g:6783107
Minţaqat al Waysī	id=g:6783940
Tall al Wāshī	id=g:6783941
Nahr al Bid‘ah	id=g:6783942
Īshān an Nuqţah	id=g:6783943
Qaryat al Wishā‘	id=g:6783944
Madrasat Badr Bin Bashshār	id=g:6783945
Ta‘āwunīyat al Wiḩdat az Zirā‘īyah	id=g:6783946
Qaryat Ālbū Zuwayn	id=g:6783947
Bustān Ālbū Shayā‘	id=g:6783948
Bustān Ālbū Zuwayn	id=g:6783949
Ālbū Tuwaynī	id=g:6783950
Bustān Karāghūl	id=g:6783951
Qaryat Karāghūl	id=g:6783952
Qaryat Barwānat aş Şaghīrah	id=g:6783953
Qaryat Sunsul	id=g:6783954
Qaryat al Khaylānīyah	id=g:6783955
Qaryat al Bāzūl	id=g:6783956
Qaryat Khalīl al Kāḩ	id=g:6783957
Madrasat Şunbāt li al Banīn	id=g:6783958
Qaryat Şunbāt	id=g:6783959
Madrasat Şunbāt lil Banāt	id=g:6783960
Qaryat Muḩammad Muţlik	id=g:6783961
Qaryat ‘Abd ar Raḩman Jabr	id=g:6783962
Qaryat al Miqdād	id=g:6783963
Bustān Raḩmān Jabr	id=g:6783964
Ma‘mal Albān al Miqdādīyah	id=g:6783965
Mal‘ab al Miqdādīyah	id=g:6783966
Qaryat Javchaq	id=g:6783967
Nahr Muḩammad Ibrāhīm	id=g:6783968
Qaryat Shīqrāq	id=g:6783969
Qaryat al Jazīrah al Ūlá	id=g:6783970
Ḩayy al ‘Urūbah	id=g:6783971
Bustān Muḩammad Jadūr	id=g:6783972
Bustān Fa’iq Ismā‘īl	id=g:6783973
Tall al Yahūdī	id=g:6783974
Fatūrī Tawfīq	id=g:6783975
Ḩayy ath Thawrah	id=g:6783976
Qaryat al Jazīrah ath Thāniyah	id=g:6783977
Madrasat Aḩad al Ibtdā’īyah	id=g:6783978
Qaryat Muzallajah	id=g:6783979
Qaryat ‘Alī Ḩamīd	id=g:6783980
Ḩayy al ‘Arabī	id=g:6783981
Qaryat Bābilān al Bazānīyah	id=g:6783982
Qaryat al Mukhīfīyah	id=g:6783983
Qaryat al Ḩājj Muḩsin	id=g:6783984
Qaryat as Sadīmah	id=g:6783985
Thānawīyat al Kanadī	id=g:6783986
Qaryat al Ji‘ār	id=g:6783987
Qaryat Ḩusayn Sunnī	id=g:6783988
Madrasat al Maşāyif al Ibtidā’īyah	id=g:6783989
Nahr al Miqdādīyah	id=g:6783990
Tall Ḑanḩīr	id=g:6783991
Qaryat al Aḩmar	id=g:6783992
I‘dādīyat Zirā‘at al Miqdādīyah	id=g:6783993
Qaryat ar Rukkā‘	id=g:6783994
Naşşār Fāḑil	id=g:6783995
Bustān Ibrāhīm Rashīd	id=g:6783996
Qaryat ar Rikbah	id=g:6783997
Qaryat al Jalālī	id=g:6783998
Qaryat ash Shaţāwī	id=g:6783999
Najm ‘Abd al Fattāḩ	id=g:6784000
Marāwī Şaydā	id=g:6784001
Ḩamīd Khuḑayr	id=g:6784002
Ḩusayn ‘Alwān	id=g:6784003
Madrasat ash Sha‘b	id=g:6784004
Qaryat al ‘Awāshik	id=g:6784005
Qaryat Maḩmūd Farḩān	id=g:6784006
Qaryat Suraywāt	id=g:6784007
Al Ḩayy al ‘Aşrī fi az Zuhayrāt	id=g:6784008
Bustān al Ḩājj Ḩamūd Saryawī	id=g:6784009
Mutawassiţat al Qāşiyah	id=g:6784010
Ḩamīd al Kīm	id=g:6784011
Qaryat Sāţī	id=g:6784012
Ḩukmān ‘Alī	id=g:6784013
Qaryat Şaddām	id=g:6784014
Madrasat al Maghrib al Ibtidā’īyah	id=g:6784015
Qaryat ash Sha‘b	id=g:6784016
‘Arab Khamīs Kāz̧im	id=g:6784017
Qaryat al Qarābizah	id=g:6784018
Qaryat Şadr Mannn ad Dīn	id=g:6784019
Madrasat ar Rāwid	id=g:6784020
Nahr Mann ad Dīn	id=g:6784021
Tulūl Ḩumayş	id=g:6784022
Nahr ash Shājī aş Şadr	id=g:6784023
Qaryat Bazāyiz Mann ad Dīn	id=g:6784024
Madrasat Badr al Ibtidā’īyah	id=g:6784025
Qaryat ad Dakkah	id=g:6784026
Qaryat ash Shājī	id=g:6784027
Hanash ‘Inād	id=g:6784028
Qaryat al Jūkhadār	id=g:6784029
Qaryat Ibrāhīm Khallāf	id=g:6784030
Tall aş Şakhrīyāt	id=g:6784031
Tall Sab‘ Qanāţir	id=g:6784032
Tall Bint al Amīr	id=g:6784033
Qaryat Ḩabīb ash Shallāl	id=g:6784034
Al Bītkānī al Bazāyir	id=g:6784035
Nahr al Binkāt	id=g:6784036
Nahr al Bītkānī	id=g:6784037
Tall aş Şakhrīyāt al Atharī	id=g:6784038
Ḩasan Takkah	id=g:6784039
Qaryat Kuwām al Imām	id=g:6784040
Imām Sayyid Sulţān ‘Alī	id=g:6784041
‘Arab Tuwaym	id=g:6784042
Nahr al Khāliş	id=g:6784043
Ḩusayn ‘Alī	id=g:6784044
Wasmī Muşliḩ	id=g:6784045
Qaryat Abū Ḩamlah	id=g:6784046
Qaryat al Kaff	id=g:6784047
Qaryat Hazanīyah	id=g:6784048
‘Urkūb ‘Ālī ad Dūlāb	id=g:6784049
Mullā Khaḑīr Şāliḩ	id=g:6784050
‘Abd Muḩammad	id=g:6784051
Nāşir Ḩusayn	id=g:6784052
Al Ghizlānīyah	id=g:6784053
Qaryat al ‘Aţāfīyah	id=g:6784054
Hawr Abū al Ward	id=g:6784055
Qaryat Abū al Ward aş Şarrānīyah	id=g:6784056
Hilāl Maţar	id=g:6784057
Nahr al Aswad	id=g:6784058
Madrasat al Khaţī’ah	id=g:6784059
Qaryat Ḩurbatīlah	id=g:6784060
Jāsim Muḩammad Ḩusayn	id=g:6784061
Muḩammad Hayūl	id=g:6784062
Bustān Ḩasan ‘Ulāy	id=g:6784063
Madrasat al Yarmūk al Ibtidā’īyah	id=g:6784064
Tall Jābir	id=g:6784065
Qaryat Abū Ḩuraybish	id=g:6784066
Qaryat al Waḩdah	id=g:6784067
Madrasat al Madīnah al Munawwarah	id=g:6784068
Qaryat al Ḩurrīyah	id=g:6784069
Nāḩiyat Abī Şaydā	id=g:6784070
Maḩmūd Jāsim	id=g:6784071
Aḩmad Jāsim	id=g:6784072
Madrasat al Kifāḩ al Ibtidā’īyah	id=g:6784073
Marqad al Imām Aḩmad	id=g:6784074
Bin Mūsá al Kāz̧im	id=g:6784075
Mahdī ‘Allūsh	id=g:6784076
Sa‘d Sulţān	id=g:6784077
Qaryat ash Shaykhī	id=g:6784078
Maţar aş Şāliḩ	id=g:6784079
Yaḩyá Muḩammad Idhām	id=g:6784080
Fāḑil Idhām	id=g:6784081
Madrasat Tūnis al Ibtidā’īyah	id=g:6784082
Raḩīm Ḩusayn	id=g:6784083
Aḩmad Rashīd	id=g:6784084
Bustān Maḩmūd Jāsim	id=g:6784085
Qaryat al Işlāḩ	id=g:6784086
Madrasat al Mahlab lil Banāt	id=g:6784087
Madrasat al Mahlab lil Banīn	id=g:6784088
Ţarīq Ba‘qūbah al Miqdādīyah	id=g:6784089
Bustān Dalwāk Ḩusayn	id=g:6784090
‘Abūd Muḩaysin	id=g:6784091
Ḩaql Dawājin Maḩmūd Wahīb	id=g:6784092
Qaryat al Bahābisah	id=g:6784093
Khalīfat Sayyid Jamīl	id=g:6784094
Sa‘īd Ḩabīb	id=g:6784095
‘Abd al Muḩsin Khazzān	id=g:6784096
Jawād al Mu‘īdī	id=g:6784097
Nahr al ‘Azīyah	id=g:6784098
Qaryat Abū al Ward al Bazzānīyah	id=g:6784099
Tulūl al Marḑāt	id=g:6784100
Ismā‘īl ‘Alī	id=g:6784101
Nāmir Fāḑil	id=g:6784102
Māzin ‘Abd ar Raḩman	id=g:6784103
Tall al Jujān	id=g:6784104
Aḩmad Şāliḩ	id=g:6784105
Ḩikmat Sha‘bān	id=g:6784106
Muḩammad Ḩasānī	id=g:6784107
Qaryat al ‘Ālī	id=g:6784108
Tall Ţuwaysān	id=g:6784109
Al Ḩaythah	id=g:6784110
Qaryat Bazāyiz Shākhinat al Miqdādīyah	id=g:6784111
Tall ‘Udhaybī	id=g:6784112
Qaryat Qarādāgh	id=g:6784113
Tall Kadār	id=g:6784114
Jāsim ‘Aţīyah	id=g:6784115
Hādī ‘Alī	id=g:6784116
Qaryat Khaḑīrīyah	id=g:6784117
Qaryat al Qaws	id=g:6784118
Qaryat al Ḩamīdīyah	id=g:6784119
Qaryat Abū Jardhāy	id=g:6784120
Tall az Zindān al Atharī	id=g:6784121
Tall Ḩalfah	id=g:6784122
Qaryat Al Aswad aş Şadr	id=g:6784123
Minţaqat ar Rikbah	id=g:6784124
Qaryat al Aswad al Bazāyiz	id=g:6784125
‘Abbās Ḩamādī	id=g:6784126
Qaryat al Kharīr	id=g:6784127
Khalaf Ḩusayn	id=g:6784128
Qaryat Abū ‘Arābīd	id=g:6784129
Qaryat al Jāmi‘	id=g:6784130
Qaryat Kalwāz	id=g:6784131
Qaryat Mullā Jawād	id=g:6784132
Ḩasan Khazzān	id=g:6784133
Ḩaql Dawājin Fayşal Fakhrī	id=g:6784134
Tall Kharīr	id=g:6784135
Nāḩiyat al Wajīhīyah al Jadīdah	id=g:6784136
Qaryat al Mu’dhin	id=g:6784137
Qaryat Badanīyah	id=g:6784138
Minţaqat Bazāyiz Abū Jasrah	id=g:6784139
Nahr Abū Jisrah	id=g:6784140
Qaryat Bazāyiz Abū Jisrah	id=g:6784141
Bustān Ḩamīd Mūllā Jawād	id=g:6784142
Nahr Jīzānī	id=g:6784143
Madrasat at Taqaddum al Qadīmah	id=g:6784144
Madrasat at Taqaddum al Ibtidā’īyah	id=g:6784145
Sāmī Raḩīm	id=g:6784146
Maḩmūd ‘Alwān	id=g:6784147
Bazātī	id=g:6784148
Qaryat al Khaţīb	id=g:6784149
Bustān Muḩammad Buraysim	id=g:6784150
Qaryat al Khammārah	id=g:6784151
Tall ash Shaykh Sa‘īd	id=g:6784152
Marqad ash Shaykh Sa‘īd	id=g:6784153
Kuwām ash Shaykh Sa‘īd	id=g:6784154
Nāḩiyat al Wajīhīyah al Qadīmah	id=g:6784155
Qaryat Abū Ţubūl	id=g:6784156
‘Urkūb al Yahūdī	id=g:6784157
‘Abd al Ḩusayn Muḩammad	id=g:6784158
Marqad as Sayyidīyah	id=g:6784159
Tall Duway‘	id=g:6784160
Qaryat ash Shawk	id=g:6784161
Qaryat Duway‘	id=g:6784162
Qaryat al Bādiyah	id=g:6784163
Hawr al Maḩşīr	id=g:6784164
Tall al Faşlīyah	id=g:6784165
Ibrāhīm ‘Awdah	id=g:6784166
Tall Sha‘	id=g:6784167
Qaryat ‘Ayn al Mi‘dān	id=g:6784168
Qaryat Muḩammad Kāz̧im	id=g:6784169
‘Arab Muḩammad Muḩaysin	id=g:6784170
Nahr Burkanīyah	id=g:6784171
Qaryat al ‘Awwār	id=g:6784172
Qaryat al Majd	id=g:6784173
Muḩammad Sulţān	id=g:6784174
Muşţafá Rashīd	id=g:6784175
Madrasat Bābil al Ibtidā’īyah	id=g:6784176
Qaryat Bābilān	id=g:6784177
Qaryat al Mulālā	id=g:6784178
Gasino Ismā‘īl Nājī	id=g:6784179
Qaryat al Jazā’ir	id=g:6784180
Tall adh Dhahab	id=g:6784181
Qaryat Umm al Hawá	id=g:6784182
Ma‘mal Ţābūq Ba‘qūbah al Mīkānīkī	id=g:6784183
Tulūl al Karsatal	id=g:6784184
Fāḑil Sarān	id=g:6784185
Qaryat Khashab	id=g:6784186
Bustān Rashīd Ḩamīd	id=g:6784187
Bustān al Quwqjī	id=g:6784188
‘Arab Ḩamzah	id=g:6784189
Nahr al ‘Ukayr	id=g:6784190
‘Urqūb al ‘Atkān	id=g:6784191
Nahr Dawlīyah	id=g:6784192
Qaryat ‘Alī Ḩamzah	id=g:6784193
Qaryat Kaşb	id=g:6784194
Qaryat Kardūsh	id=g:6784195
‘Arab Kāz̧im Julayb	id=g:6784196
‘Abd Farḩān	id=g:6784197
Madrasat ar Rāfidayn	id=g:6784198
‘Abd Allah Khamīs	id=g:6784199
Tall al Ashkurī	id=g:6784200
Tall Şubḩayn	id=g:6784201
Qarayt al Ashjarī	id=g:6784202
Tall Majlūb	id=g:6784203
Tall al Aḩmar al Atharī	id=g:6784204
Fad‘am Şāliḩ	id=g:6784205
Turkī Jāsim	id=g:6784206
Hawr al Bayḑah	id=g:6784207
Aḩmad Turkī	id=g:6784208
Muḩammad Aḩmad	id=g:6784209
‘Abd Salmān	id=g:6784210
Muḩammad Sa‘īd	id=g:6784211
Ḩusayn Aḩmad	id=g:6784212
‘Abd Khamīs	id=g:6784213
Madrasat ash Shajā‘ah	id=g:6784214
‘Arab ‘Abd Allah Bāshā Āghā	id=g:6784215
Tall ad Daraj	id=g:6784216
‘Alī ‘Ubayd	id=g:6784217
‘Abbās Ḩusayn	id=g:6784218
Maţshar Ḩusayn	id=g:6784219
‘Arab Muḩammad Khamīs	id=g:6784220
Sha‘lān ‘Abbās	id=g:6784221
Maḩmūd Khamīs	id=g:6784222
Sha‘lān ‘Abbās	id=g:6784223
Ālbū Ḩashmah	id=g:6784224
‘Abd Allah ‘Adwān	id=g:6784225
Qaryat Ḩusayn Salmān	id=g:6784226
Qaryat al Akrād	id=g:6784227
Qaryat Khawājat Burkanīyah	id=g:6784228
Maqām an Nabī Fityān	id=g:6784229
Hawr Umayliḩah	id=g:6784230
Qaryat ‘Adnān al Bāwī	id=g:6784231
Qaryat Shahāb al Bāwī	id=g:6784232
Tall Abū Sadīrah	id=g:6784233
Qaryat ‘Abd al Ḩasan al Bāwī	id=g:6784234
Madrasat Yāfā al Ibtidā’īyah	id=g:6784235
Bustān Ţāhā Jamīl	id=g:6784236
Qaryat Karkīshah	id=g:6784237
Karīm Shayyā‘	id=g:6784238
Tall Faraj Allah	id=g:6784239
Qaryat Majīd Shayyā‘	id=g:6784240
Bustān Majīd Shayyā‘	id=g:6784241
Madrasat al Majd al Ibtidā’īyah	id=g:6784242
Tall an Namirah	id=g:6784243
Tall adh Dhahab	id=g:6784244
Qaryat ‘Abbās ‘Azīz	id=g:6784245
Qaryat al Bahruzāwīyah	id=g:6784246
Bar‘ Shayyā‘	id=g:6784247
Ḩasab Allah ‘Azīz	id=g:6784248
Tall Shikbān	id=g:6784249
Sulţān Sukkar	id=g:6784250
‘Abd Allah Shayyā‘	id=g:6784251
Ḩasan ‘Alī	id=g:6784252
Qaryat Dhuhaybāt	id=g:6784253
Ḩāmid Khalīfah	id=g:6784254
‘Alwān ‘Antūr	id=g:6784255
Ḩaydar ‘Arbīd	id=g:6784256
‘Adnān Ḩamad	id=g:6784257
‘Arkūb Kaşab	id=g:6784258
Tall Abū al Hilāl	id=g:6784259
Wahīb Khalaf	id=g:6784260
Bustān Jāsim Suhayl	id=g:6784261
Tall Abū Shawm	id=g:6784262
‘Abūd Şabr	id=g:6784263
Bustān Jāsim ‘Ab‘ūb	id=g:6784264
Ḩākim Laţīf	id=g:6784265
Ḩāmid ‘Ab‘ūb	id=g:6784266
Muḩammad Salmān	id=g:6784267
Kāz̧im ‘Alī	id=g:6784268
Bustān ‘Abd Muḩsin al Bāwī	id=g:6784269
Lāmi‘ Mahdī	id=g:6784270
‘Armīţ Kāz̧im	id=g:6784271
Karīm Jamīl	id=g:6784272
Tall al ‘Āşimīyah	id=g:6784273
Jum‘at Laţīf	id=g:6784274
‘Arab Yāsīn Kāz̧im	id=g:6784275
Nahr Makrī	id=g:6784276
Qaryat as Sādah	id=g:6784277
Māḑī Ḩamūd	id=g:6784278
Ḩusayn ‘Alī	id=g:6784279
Maţrash Jawād	id=g:6784280
Muḩammad ‘Awdah	id=g:6784281
‘Alī Ḩamūd	id=g:6784282
Jāsim Muḩammad	id=g:6784283
Sāmī Ghaḑbān	id=g:6784284
Tall al ‘Atābīyah	id=g:6784285
‘Inād Manşūr	id=g:6784286
Bustān ‘Inād Manşūr	id=g:6784287
Tall Yaḩyá	id=g:6784288
Tall ‘Inād	id=g:6784289
Dhiyābah	id=g:6784290
Al Khaylānīyah	id=g:6784291
Ḩaql Tarbiyat al Abqār fi al Wajīhīyah	id=g:6784292
Qaryat ‘Ummāl Ma‘mal Ţābūq Ba‘qūbah	id=g:6784293
Ţarīq Ba‘qūbah al Miqdādīyah	id=g:6784294
Qanāt Mahrūt	id=g:6784295
Qanāt Shīrwān	id=g:6784296
Nahr al ‘Ajamī	id=g:6784297
Nahr al Aswad	id=g:6784298
Qaryat ash Sha‘b	id=g:6784299
Al Markaz aş Şiḩḩī fī al Ḩamīdīyah	id=g:6784300
Marqad an Nabī Dāniyāl	id=g:6784301
Abū al Ward aş Şadrānīyah	id=g:6784302
Qaryat ‘Abd Allāh Aḩmad	id=g:6784303
Ḩazmī Muḩammad	id=g:6784304
Qaryat Humānah	id=g:6784305
Ḩamūd Muḩammad	id=g:6784306
Ismā‘īl Khān	id=g:6784307
Ashjīr	id=g:6784308
‘Abd Dubayy	id=g:6784309
Aḩmad Khamīs	id=g:6784310
Tall Abū Ra’sayn	id=g:6784311
Tilāl al Ḩalawyāt	id=g:6784312
Qaryat ash Shaykh Tamīm	id=g:6784313
Nahr Dawliyah	id=g:6784314
Jam‘iyat Dawliyah az Zirā‘īyah	id=g:6784315
‘Arab ‘Abd Jāsim	id=g:6784316
Jāsim Ibrāhīm	id=g:6784317
Tall al Tahlīl	id=g:6784318
‘Arab Dāwud Salmān	id=g:6784319
‘Arab Ḩasan an Naḩsh	id=g:6784320
Ḩamīd Ḩusayn	id=g:6784321
Qaryat ‘Ukāb Hilāl	id=g:6784322
Tall Abū Jamīlah	id=g:6784323
Qaryat an Nūr	id=g:6784324
Qaryat Sab‘ah Nīsān	id=g:6784325
Qaryat Muḩammad Nafţ	id=g:6784326
Qarayat Fāris Ţārish	id=g:6784327
‘Arab Rashīd Ḩamīd	id=g:6784328
Ismā‘īl ‘Abd	id=g:6784329
Jāsim Ḩusayn	id=g:6784330
Tulūl al Falawīyah	id=g:6784331
Marqad ash Shīkh Tamīm	id=g:6784332
Qaryat Ibrāhīm	id=g:6784333
Huzā‘ Ḩassūn	id=g:6784334
Nahr Saysayānah	id=g:6784335
Janwīn Rashīd	id=g:6784336
Khuḑayr ‘Abbās	id=g:6784337
Minţaqat Bazāyiz al ‘Arīsah	id=g:6784338
Hawr Kulayb	id=g:6784339
Hawr Abū Ţurayfīyah	id=g:6784340
‘Arab Ḩamūd Ḩassūn	id=g:6784341
Hawr Abū ‘Aklīn	id=g:6784342
Qaryat ad Dāyinīyah	id=g:6784343
Qaryat Ḩasan Jarī	id=g:6784344
Khalīl Ismā‘īl	id=g:6784345
Qaryat Sab‘ahta ‘Ashar Tammūz an Namūdhajīyah	id=g:6784346
Qaryat ‘Abbās Mubārak	id=g:6784347
Tall ar Ramādī	id=g:6784348
Tall Abū Gurūn	id=g:6784349
Muḩammad Salmān	id=g:6784350
Maḩmūd Mandab	id=g:6784351
‘Arab Raḩmān Dāwud	id=g:6784352
‘Arab Khamīs	id=g:6784353
Qaryat Ḩamīd Da‘dhā‘	id=g:6784354
‘Alī Qurayḩ	id=g:6784355
Ibrāhīm Aḩmad	id=g:6784356
Fāḑil Maḩmūd	id=g:6784357
Nahr Shubaybān	id=g:6784358
Nahr as Sa‘dūnīyah	id=g:6784359
Qaryat Nāşir ‘Alī Jaddū‘	id=g:6784360
‘Arab Būtī Ḩusayn	id=g:6784361
Madrasat al Jāḩiz̧	id=g:6784362
Muḩammad Shubayb	id=g:6784363
Ibrāhīm Mahdī	id=g:6784364
‘Abd Allāh	id=g:6784365
Fahd ‘Alī	id=g:6784366
Mashrū‘ Ghābāt Kan‘ān	id=g:6784367
Majīd Muḩammad	id=g:6784368
Muḩammad Shallāl	id=g:6784369
Maqbarat ash Shūr	id=g:6784370
Tulūl ash Shūr	id=g:6784371
Qaryat Ibrāhīm Jāsim	id=g:6784372
‘Arab Rāḑī	id=g:6784373
Madrasat ad Sadīr	id=g:6784374
Mar‘ī Musarhad	id=g:6784375
‘Alwān Khuḑayr	id=g:6784376
Salmān Ḩamīd	id=g:6784377
‘Abd al Hadī ‘Abd	id=g:6784378
‘Arab Ḩamad Jāsim	id=g:6784379
Hawr al Kalb	id=g:6784380
Ḩātim Ḩamīd	id=g:6784381
‘Arab ‘Abd as Sattār	id=g:6784382
Majīd Khalīl	id=g:6784383
Tall Tuwaymān	id=g:6784384
Hawr al Kūlah	id=g:6784385
‘Arab Salmān Nāşir	id=g:6784386
‘Abd ‘Alī	id=g:6784387
‘Āmir al Wajīhī	id=g:6784388
Qaddūrī Ibrahīm	id=g:6784389
‘Abd Abd Allāh	id=g:6784390
Tall Jāsim	id=g:6784391
‘Abd Ḩamzah	id=g:6784392
Mut‘ab Muḩammad	id=g:6784393
Ibrāhīm an Naddāwī	id=g:6784394
Tall Barg Budaywī	id=g:6784395
‘Azīz Aḩmad	id=g:6784396
Nāyif ‘Abd Al ‘Azīz	id=g:6784397
Ḩafiz̧ Yaḩyā	id=g:6784398
Karīm ‘Abbās	id=g:6784399
Ḩusayn ‘Alwān	id=g:6784400
Rashīd Sa‘īd	id=g:6784401
‘Abd Muţlak	id=g:6784402
Madrasat Bin al Athīr	id=g:6784403
Ḩamīd ‘Abd	id=g:6784404
Kashkūl Sālim	id=g:6784405
Shukr Ḩamūd	id=g:6784406
Tall Budayr	id=g:6784407
‘Arab Ḩusayn as Salmān	id=g:6784408
‘Arab Muḩammad	id=g:6784409
Qaryat Abū Şanba‘	id=g:6784410
Tall Khuraymah	id=g:6784411
‘Arab Ḩamd al Khalaf	id=g:6784412
Nu‘mān Darb	id=g:6784413
‘Arab Sallūmī	id=g:6784414
‘Abd Allāh Ḩamūd	id=g:6784415
Tall Ḩajjī Bayḑ	id=g:6784416
‘Abd Allāh Wādī	id=g:6784417
Ghaḑbān Baţţaḩ	id=g:6784418
Maḩmūd Shihāb	id=g:6784419
‘Arab Nu‘mān	id=g:6784420
‘Alī Sa‘īd	id=g:6784421
Fāḑil al Burayj	id=g:6784422
Qaryat Bazāyiz Şabāḩ	id=g:6784423
Madrasat Şabāḩ	id=g:6784424
Qaryat ‘Abd Allāh	id=g:6784425
‘Abd Allāh Nāyif	id=g:6784426
Laftah Furayḩ	id=g:6784427
Maḩmūd az Zubaydī	id=g:6784428
Şāyiţ Ways	id=g:6784429
Maḩmūd Karīm	id=g:6784430
Nahr ar Raḩḩāl	id=g:6784431
‘Abūd Şanāḩī	id=g:6784432
Madrasat al Kāz̧ī	id=g:6784433
‘Alī Dulayfī	id=g:6784434
Nahr al Mazq	id=g:6784435
‘Arab Ḩāmid	id=g:6784436
Ḩusayn ‘Alwān	id=g:6784437
‘Arab Ibrāhim	id=g:6784438
Ja‘far Şādiq	id=g:6784439
Jāsim Khashf	id=g:6784440
Faḑil Al Baryij	id=g:6784441
Arāḑī Qunbur as Sīīnīyah	id=g:6784442
Tall Şaḩyin	id=g:6784443
Qaryat al Hadaf	id=g:6784444
Madrasat Az Zawrā’	id=g:6784445
Najm ‘Ajāj	id=g:6784446
Sayyid Jābir	id=g:6784447
‘Arab ‘Asal Shākir	id=g:6784448
‘Arab Zayd	id=g:6784449
Qaryat Hādī Sa‘dūn	id=g:6784450
Ḩamad Ghafūrī	id=g:6784451
Khamīs Aḩmad	id=g:6784452
‘Arab Hādī Mullā Jāsim	id=g:6784453
Salmān Aḩmad	id=g:6784454
‘Alwān Mas‘ūd	id=g:6784455
Imām Ḩamīd	id=g:6784456
Aḩmad Ismā‘īl	id=g:6784457
Madrasat Şan‘ā’	id=g:6784458
Nahr al ‘Uqūd	id=g:6784459
Minţaqat al Hāshimiyah	id=g:6784460
‘Udhayb Nazzāl	id=g:6784461
Ibrāhīm Khamīs	id=g:6784462
Kazzār ‘Alī	id=g:6784463
Kāz̧im Danūn	id=g:6784464
Makkī Khalaf	id=g:6784465
Tulūl Ḑibā‘	id=g:6784466
Hawr Wardah	id=g:6784467
Nahr Ḩamīd	id=g:6784468
Nāḩiyat Kan‘ān	id=g:6784469
Tall Ḩanaţ	id=g:6784470
Ḩayy as Sarāy	id=g:6784471
Jāsim al Karkhī	id=g:6784472
Qaryat al Mas‘ūd	id=g:6784473
Nahr Sayyid Jābir	id=g:6784474
Khān Dhyyāb	id=g:6784475
Tall Abū Khaldah	id=g:6784476
Muḩsin Ibrāhīm	id=g:6784477
Nahr az Zaah	id=g:6784478
Jāsim	id=g:6784479
Nahr az̧ Z̧ābiţīyah	id=g:6784480
Kāz̧im ad Dahshan	id=g:6784481
Kharā’ib Ḩamīd as Salmān	id=g:6784482
‘Arab Ḩusayn al Khalaf	id=g:6784483
‘Arab Ḩassūn	id=g:6784484
Tall Ḩubayl	id=g:6784485
‘Alwān al Muḩsin	id=g:6784486
Mustashfá al Amrāḑ aş Şadrīyah	id=g:6784487
Al ‘Uthmānīyah	id=g:6784488
Sulaymá Hawwār	id=g:6784489
Muşţafá Rayyis	id=g:6784490
Nahr at Taşarruf	id=g:6784491
Abū ‘Azīz	id=g:6784492
Burghah	id=g:6784493
Nahr Abū Kudrah	id=g:6784494
Nahr al Maḩmūl	id=g:6784495
Nahr al Jaddah	id=g:6784496
Maḩaţţat Ḑakhkh Ḩamūd	id=g:6784497
Laţīf Ḩamdī	id=g:6784498
Ibrāhīm Ḩamdī	id=g:6784499
Nahr al Harawān	id=g:6784500
Qism Ghābāt al Kāţūn	id=g:6784501
Nahr al Ḩaydarī	id=g:6784502
Nahr Abū Ţurfāyah al Qadīm	id=g:6784503
Nahr al Kuthayrīyah	id=g:6784504
Bīrah	id=g:6784505
Bāzūl Bīrah	id=g:6784506
Nahr Bāzūl	id=g:6784507
Nahr al Wazīrīyah	id=g:6784508
Sakrān	id=g:6784509
Khawr Faqqān	id=g:6784510
Madrasat al Irshād	id=g:6784511
Nahr Bīrah	id=g:6784512
Nahr Ḩusayn	id=g:6784513
Sarādīn	id=g:6784514
Maḩaţţat Qiţār Laghtah	id=g:6784515
Madrasat al Ḩulafā’ al Ibtidā’īyah	id=g:6784516
Nahr al Ghābāt	id=g:6784517
Mustawda‘ Nafţ Diyālá	id=g:6784518
Qaryat al Kamālīyah al Wusţá	id=g:6784519
Bustān Jāsim al Ḩamdī	id=g:6784520
Aḩmad al Mizbān	id=g:6784521
Ḩamdī an Nāyif	id=g:6784522
Laţīf al Ḩamdī	id=g:6784523
Nahr al Birrah	id=g:6784524
Nahr Ḩumrah	id=g:6784525
Nahr Kūchak	id=g:6784526
Nahr as Sarayān	id=g:6784527
Nahr al Kharrād	id=g:6784528
‘Arab Kāz̧im al ‘Īdān	id=g:6784529
‘Arab Dīkān Ka‘īd	id=g:6784530
Nahr ad Dawājin	id=g:6784531
Nahr an Nu‘mānīyah	id=g:6784532
Ḩasan ‘Ulaywī	id=g:6784533
Mahdī Şāliḩ	id=g:6784534
Bustān Ḩājj ‘Abbās	id=g:6784535
Jamīl Şabr	id=g:6784536
Nahr Bāzūl	id=g:6784537
Bustān ‘Abd Salmān	id=g:6784538
Nahr Abū Başal	id=g:6784539
Nahr Abū Kadsh	id=g:6784540
