Wādī ‘Aţshān	id=g:107975
Daḩal Abā aḑ Ḑīyān	id=g:391637
Rawḑat Muḩaqqibah	id=g:391638
Jaww Hudaybān	id=g:391639
Fayḑat Umm al Hashīm	id=g:391640
Daḩal al Burayjisī	id=g:391641
Daḩal Abū Ruḑḑām	id=g:391642
Sha‘īb Zarrāq	id=g:391643
Ḑil’ al Mathlūth	id=g:391644
Fayḑat Murīḩah	id=g:391645
Rawḑat Umm Ghamārah	id=g:391646
Qā‘ Marzūqah	id=g:391647
Riyāḑ Bādī	id=g:391648
Sha‘īb Sumaylīl	id=g:391649
Rawḑat Umm Qulbān	id=g:391650
Rawḑat Umm ‘Awāqīl	id=g:391651
Rawḑat Umm ‘Uwayqīlāt	id=g:391652
Fayḑat Abū Khashab	id=g:391662
Fayḑat al Qarāyin	id=g:391663
Sha‘īb as Suwayq	id=g:391664
Fayḑat al ‘Amyā’	id=g:391665
Fayḑat ar Rūthīyah	id=g:391666
Jaww Manākh	id=g:391667
Sha‘īb al Buwayb	id=g:391668
Al Mikharim	id=g:391669
Fayḑat al Amīr	id=g:391670
Ţirāq Ţuwayqān	id=g:391671
Manākh	id=g:391672
Ash Shaḩmah	id=g:391673
Rawḑat Muţribah	id=g:391674
Daḩal Umm Musāniyah	id=g:391675
Rawḑat al Mu‘allithīyah	id=g:391676
Hatīfat al Hāmil	id=g:391677
Sha‘īb Abū Sudayrah	id=g:391678
Rawḑat Ibn Shuqayr	id=g:391679
Khurb al Jawwīyah	id=g:391680
Rawḑat Quţaym	id=g:391681
Jaww al Hāmil	id=g:391682
Fayḑat Umm Khayrīţ	id=g:391683
Daḩal Abū Ḩīshah	id=g:391684
Fayḑat Umm al ‘Ukrush	id=g:391685
Jaww Si‘ayyid	id=g:391686
Duḩūl Kharbaqā’	id=g:391687
Fayḑat Murayyighah	id=g:391688
Qārat Ḩişān	id=g:391689
Duḩūl al Maţār	id=g:391690
Ḑulay’āt Mufarriḩāt	id=g:391691
Fayḑat Mayyālah	id=g:391692
Rawḑat Umm Sudayr	id=g:391693
Duḩūl Buruqīyah	id=g:391694
Buwaybīyāt Manākh	id=g:391695
Khashm al Majdūr	id=g:391696
Fayḑat Umm Şukhbur	id=g:391697
Sha‘īb al Qusūmī	id=g:391698
Ḩajrat al Khinbish	id=g:391699
Ţu‘ūs Şubayḩā’	id=g:391700
Sha‘īb Ibn Mi‘dil	id=g:391701
Fayḑat Umm ‘Ishar	id=g:391702
Fayḑat as Sab‘	id=g:391703
Fayḑat Umm Shifallah	id=g:391704
Fayḑat Umm Ḑulay‘	id=g:391705
Fayḑat Z̧almā’	id=g:391706
Barqā' Mu`ayzīlah	id=g:391707
Ābār as Sab‘	id=g:391708
Ḑil‘ān Umm al ‘Asāfīr	id=g:391709
Ābār Ghubayshāh	id=g:391710
‘Aybat al Qusūmīyah	id=g:391712
Rawḑat Umm al Mahābish	id=g:391713
Rawḑat Umm al Mahābish	id=g:391714
Jibāl al ‘Aqā’ir	id=g:391715
Ābār Ghubayshah	id=g:391716
Wādī an Nakhlah	id=g:391717
Fayḑat Abū Ţuyaynah	id=g:391718
Ar Rīsh	id=g:391719
Siḩmah	id=g:391720
Ḑil‘ān ash Shi‘lān	id=g:391721
Fayḑat ‘Unayzān	id=g:391722
Fayḑat aţ Ţuwaylib	id=g:391723
Fardāt al Ḩimār	id=g:391724
‘Afjat Qusaybā’	id=g:391725
Khurayqat Umm Ḩujūl	id=g:391726
Ḩamrā’ Şufayyah	id=g:391727
Fayḑat Rughwah	id=g:391728
Ash Shuhaylā’	id=g:391729
Umm al Hawshāt	id=g:391730
Ābār al Ma‘adā	id=g:391731
Ḑulay’ Abū Ţuwayqīyah	id=g:391732
Fayḑat al Ḩāwī	id=g:391733
Rawḑat az Zilay‘ā’	id=g:391734
Fayḑat Umm Ţuyūr	id=g:391735
Dhabḩah	id=g:391736
Di‘b al Mubannad	id=g:391737
Shāri‘	id=g:391738
Şalāşil	id=g:391739
Mityāhat as Suwayq	id=g:391740
Umm Rujūm	id=g:391741
Marjūmat Rishayd	id=g:391742
Fayḑat aḑ Ḑulla‘	id=g:391743
Fayḑat Umm al Hashīm	id=g:391744
Wādī ash Shawkī	id=g:391745
Fiyāḑ ar Ruwāq	id=g:391746
Sha‘īb an Na‘āyim	id=g:391747
‘Irq ash Sh’afānīyāt	id=g:391748
‘Uşayfirāt	id=g:391749
Jaww Fārān	id=g:391750
Fiyāḑ Ibn Zuraybān	id=g:391751
Fiyāḑ Munawwikh	id=g:391752
Fiyāḑ Murayzīqāt	id=g:391753
Barqā’ Turayzān	id=g:391754
Quwayrat al Qunaynah	id=g:391755
Bi’r al Qunaynah	id=g:391756
‘Urayfij	id=g:391757
Jaww Āl Ḩubaysh	id=g:391758
Ābār Waḑḩá	id=g:391759
Radīfat Ḩākim	id=g:391760
Khabrā’ ar Rūthīyah	id=g:391761
Khabrā’ al Bukharā’	id=g:391762
Radīfat al Bukharā’	id=g:391763
Ḩatīfat az Zaqi‘	id=g:391764
Fayḑat at Tanhāh	id=g:391765
Rawḑat az Zal‘ā’	id=g:391766
Rawḑat al Mazharah	id=g:391767
King Khalid Military City	id=g:391768
Al Batin	id=g:391769
Fayḑat Umm Sudayrah	id=g:391770
Fayḑat Abū Zalaq	id=g:391771
Jaww Manākh	id=g:391772
Jaww Munīf	id=g:391773
Fiyāḑ Wushayḩā’	id=g:391786
Bi'r Junayyiḩah	id=g:391787
Rawḑat Murayyighah	id=g:391788
Qārat Umm as Sibā‘	id=g:391789
Umm Qulayb	id=g:391790
Ḑil’ Abū Shidād	id=g:391791
Ābār Umm aţ Ţalāyib	id=g:391792
Ḑil’ Shudayyid	id=g:391793
Jaww Murīḩah	id=g:391794
Al Arkham al Munbaţiḩ	id=g:391795
Arkham al ‘Arād	id=g:391796
Faridah SF	id=g:391797
Qārat Murayyighah	id=g:391798
Rawḑat Ḩasnā’ al Janūbīyah	id=g:391799
Fiyāḑ al Khawābī	id=g:391800
Rawḑat az Zal‘ā’ al Janūbīyah	id=g:391801
Ḑil’ān ash Shi’lān	id=g:391802
Mujaylis	id=g:391803
Fayḑat Abū Ḩiqiţah	id=g:391804
Sha‘īb Dahām	id=g:391805
Nuqrat Ţālib	id=g:391806
Ghadir Dahām	id=g:391807
An Nughayrāt al Ghurb	id=g:391808
Ḑil‘ān ‘Uşayfīrah	id=g:391809
Fayḑat ‘Uşayfīrah	id=g:391810
Al Maflakh	id=g:391811
Jaww Umm Rī‘	id=g:391812
Jabal al Umayghir	id=g:391813
Fayḑat Umm ash Shifallaḩ	id=g:391814
Fayḑat Umm Jurf	id=g:391815
Rukmān al Ḩaqw	id=g:391816
Bi’r aş Şafawīyah	id=g:391817
Nuqayy at Tanhāh	id=g:391818
Ābār al Mulayḩah	id=g:391819
Zibārat as Sināfīyah	id=g:391820
Rawḑat Jazwa	id=g:391821
Sha‘īb al Mikharim	id=g:391822
Ḑil‘ aḑ Ḑabī‘ah	id=g:391823
Barqā’ ‘Ulayyah	id=g:391824
Fayḑat Umm Ghuwayr	id=g:391825
Quwayrat Umm Ghuwayr	id=g:391826
Barqā’ Fayḩān	id=g:391827
Ḑil‘ Abū Shidād	id=g:391828
Ibn Sharār	id=g:391829
Z̧ahrat al Qinaynah	id=g:391830
Khabrā’ Ḩākim	id=g:391831
Ābār al Aţwilah	id=g:391832
Rawḑat Munāḩī	id=g:391833
Jaww Abū Sharī	id=g:391834
Jaww al Wir‘	id=g:391835
Jaww ‘Isharah	id=g:391836
Burq al Usaydīyah	id=g:391837
Qulumat al Ḩimār	id=g:391838
Barqā’ Ḑab‘	id=g:391839
Ḩazm Quway‘īyah	id=g:391840
Jaww Wuqayyān	id=g:391841
Sha‘īb Sudayrān	id=g:391842
Al Haba	id=g:391843
Muhaysh	id=g:391844
Ḩuzūm Shāri’	id=g:391845
Sha‘īb Mityāhat Sudayr	id=g:391846
‘Irq Khayţān	id=g:391847
Fayḑat ‘Uqayb	id=g:391848
Fayḑat al ‘Amyā’	id=g:391849
Ḑil’ al Farīdah	id=g:391850
Qulumat az Zi‘bī	id=g:391851
Zubayrāt aţ Ţuwaysah	id=g:391852
Bi’r Khujaym	id=g:391853
‘Irq al Ḩumrānī	id=g:391854
Sabkhat Abā ad Dufūf	id=g:391855
Jibal Muţribah	id=g:391856
Jabal ‘Abbād	id=g:391857
Şufayyat Umm ‘Irāş	id=g:391858
‘Urayq Surayhīdah	id=g:391859
Jabal an Nuşaylāt	id=g:391860
Naqā al Jamal	id=g:391861
Jaww Abū Ḩadrīyah	id=g:391862
Jaww an Nīnī	id=g:391864
Ḑil’ Dir‘ān	id=g:391865
Zibārat al ‘Īd	id=g:391866
Zibārat al Mu‘ayzīlah	id=g:391867
An Niqarāt	id=g:391868
Mishāsh Buraykān	id=g:391869
Fayḑat Nūrah	id=g:391870
Rawḑat ash Shīḩīyah	id=g:391871
Jaww as Suwayq	id=g:391872
Zibārat Nājī	id=g:391873
Naqā Hashshāl	id=g:391874
Rawḑat Umm Si‘īrah	id=g:391875
Mishāsh Ibn Ruḑayyah	id=g:391876
Ţu‘ūs Nab‘at al Banāt	id=g:391877
Jaww al Filā’	id=g:391878
Qalib Umm al Ḩamīr	id=g:391879
‘Irq Abū Shidād	id=g:391880
Naqā al Ḩannān	id=g:391881
Mathlūth ad Dikāk	id=g:391882
Jaww al Qaltah	id=g:391883
Ḑulay‘ Abū Shidād	id=g:391884
Mujaylis aş Şulb	id=g:391885
Fayḑat Burmah	id=g:391886
Radīf Ḩīlān	id=g:391887
Barqā’ Abū ‘Alandah	id=g:391888
Jaww Abū ‘Alandah	id=g:391889
Fayḑat al ‘Umayyā’	id=g:391890
Ţu‘ūs Abā al Qabābīn	id=g:391891
Mishāsh Ibn al Aswad	id=g:391892
Naqā Ibn Fajḩān	id=g:391893
Bi’r Ghunān	id=g:391894
Jaww Kum‘ān	id=g:391895
Fayḑat al Mu‘tarḑah	id=g:391896
Fayḑat Umm Qayşūm al Janūbīyah	id=g:391897
Khabrā’ Şuqayh	id=g:391898
Fayḑat Umm Ḩujūl	id=g:391899
Jaww Şuqayh	id=g:391900
Fayḑat al Baqar	id=g:391901
Daḩl Kharbuqā’	id=g:391902
Zibārat Ibn Wudhayn	id=g:391903
Khabrā’ Ḩufayrān	id=g:391904
Jibāl al Haysharī	id=g:391905
Sāqiyat Zu‘ayr	id=g:391906
Khabb Abā al Ḩayyāt	id=g:391907
Ţu‘ūs Abā al Ḩayyāt	id=g:391908
Ḑil‘ al Arkham	id=g:391909
Barqā’ Farīdah	id=g:391910
Zibārat Hajjājah	id=g:391911
Sabkhat al Khurayqāt	id=g:391912
Fayḑat al Ḩayrā’	id=g:391913
Al Qar‘ā’	id=g:391914
Rawḑat Dubaysān	id=g:391915
Jabal Abū Ḩidrīyah	id=g:391916
Jabal Dāmigh	id=g:391917
Qarsha‘ ash Shaḩmah	id=g:391918
Mityāhat al Ḩufayyirah	id=g:391919
Muţribah	id=g:391920
Jimājim	id=g:391922
Jaww Dablān	id=g:391923
An Nāşifah	id=g:391924
Rawḑat Silḩūbah	id=g:391925
Fayḑat Zalmā’	id=g:391926
Sakhayl	id=g:391927
Al ‘Ayn al Bayḑā’	id=g:391928
Al Jifayrāt	id=g:391929
Rawḑat Umm Ḩujūl	id=g:391930
Bi’r Murīḩah	id=g:391931
Fayḑat al Maddah	id=g:391932
Qubūrā	id=g:391933
Ābār Zīḩām	id=g:391934
Qārat ‘Ulayyah	id=g:391935
Ābār aḑ Ḑub‘īyah	id=g:391936
Fayḑat Umm Khurjayn	id=g:391937
Ḑulay‘ al Mujaylis	id=g:391938
Jaww Wabrah	id=g:391939
Jaww ad Ḑub‘īyah	id=g:391940
Ghumaysat adh Dhi’b	id=g:391941
Sha‘īb al Jiḑay‘ah	id=g:391942
Ḑulay‘ al Qunaynah	id=g:391943
Fiyāḑ al ‘Awshazīyāt ash Shamālīyah	id=g:391944
Baḩarat Umm as Sibā‘	id=g:391945
Fayḑat al ‘Awshazīyāt al Janūbīyah	id=g:391946
Daḩl Umm as Surūj	id=g:391947
Ḑulay‘ an Naşlah	id=g:391948
Darb al Kanharī	id=g:391949
Ghār Qurayyah	id=g:391950
Jaww as Sibīyah	id=g:391951
Barqā’ Munīfah	id=g:391952
‘Irq as Sibīyah	id=g:391953
Ḑil‘ Munīf	id=g:391954
Qā‘ al Qa‘īdāt	id=g:391955
Di‘b ‘Uşayl	id=g:391956
Ghār al Janab	id=g:391957
As Siḩāmīyāt	id=g:391958
Di‘b al Masājid	id=g:391959
Khabrā’ al Ḩājj	id=g:391960
Fayḑat Umm Marāgh	id=g:391961
Jaww ‘Ishirī	id=g:391962
Fayḑat Umm Ḩujūl	id=g:391963
Jibāl al Qa‘īdāt	id=g:391964
Fayḑat ‘Ubayyid	id=g:391965
Munaysir	id=g:391966
Wādī ar Ratāmī	id=g:391967
Rawḑat al Ḩaşāh	id=g:391968
Bi’r Umm al ‘Abī	id=g:391969
Fayḑat Umm Marāgh	id=g:391970
Malāzim aş Şaqrī	id=g:391971
Jurubbat aş Şaqrī	id=g:391972
Ḑil‘ al Mityāhah	id=g:391973
Al Bawlīyāt	id=g:391974
Al Khafaq	id=g:391975
Mishāsh Umm al Ḩaşāniyah	id=g:391976
Jaww Muba’’ir	id=g:391977
Fiyād ash Shīḩīyāt	id=g:391978
Burqān al Ḩayrā’	id=g:391979
Al Mābīyah	id=g:391980
Ḑaḩl Ibn Ghālī	id=g:391981
‘Urayq al Khalf	id=g:391982
Wādī Abū Najaylah	id=g:391983
Ḑil‘ aḑ Ḑīrayn	id=g:391984
Ḑil’ al Khalījah	id=g:391985
Fayḑat Abū Şukhayl	id=g:391986
Dikākat al Khabal	id=g:391987
‘Irq Umm al ‘Ukūs	id=g:391988
Z̧ahrat aḑ Ḑub‘ah	id=g:391989
Jaww Abū ‘Ādhir	id=g:391990
Nuqrat Ţarfah	id=g:391991
Rawḑat ‘Amyā’ Ghālī	id=g:391992
Qalīb ash Shirayyi‘ah	id=g:391993
Ash Shayyiţ	id=g:391994
Jibāl al Mābīyah	id=g:391995
Qulbān aḑ Ḑubuţīyah	id=g:391996
Fiyāḑ al Bilidīyah	id=g:391997
Ḑil’ Ghannām	id=g:391998
Ḑil’ an Naşlah	id=g:391999
Ḩudūd al Mismā’	id=g:392000
Wijam al Qā‘īyah	id=g:392001
‘Abd Umm Dhurūq	id=g:392002
Sāddat al Jidi‘	id=g:392003
Ḑulay‘ Abū Ra’sayn	id=g:392004
Jabal Umm as Sibā’	id=g:392005
Barqā’ aş Şadrīyah	id=g:392006
Al Ḩabl	id=g:392007
Ţirāq Ţaysān	id=g:392008
Qā‘ ash Shidād	id=g:392009
Al Bayḑā	id=g:392010
Fayḑat al Kasr	id=g:392011
Jabal al Maḑba‘ah	id=g:392012
Bi’r Khunayfisān	id=g:392013
Ābār Hubayyah	id=g:392014
Fayḑat al Amīr	id=g:392015
Bi’r Hubayy	id=g:392016
Rawḑat Umm Sidr	id=g:392017
Ābār al Juhayyimī	id=g:392018
An Nuwaysi‘ah	id=g:392019
Aḑ Ḑubā‘īyah	id=g:392020
Zibārat al Jiblān	id=g:392021
Rawḑat al Qā‘īyah	id=g:392022
Daḩūl Abū Sukhayl	id=g:392023
Ḑulay‘āt al ‘Abīd	id=g:392024
Sabkhat Dahārīz	id=g:392025
Rawḑat as Suwayq	id=g:392026
Ar Rumaythīyāt	id=g:392027
Mazra‘at ‘Aşrīyah	id=g:392028
Qulbān ad Dijānī	id=g:392029
Rijm Rishūd	id=g:392030
Rijm Zuwayyid	id=g:392031
Rijm al Mīl	id=g:392032
Sabkhat Ḩulaywīn	id=g:392033
Ḩijrat al Ḩinw	id=g:392034
Ḑulū’ ar Rumḩayn	id=g:392035
Qarsha‘ al Qā’īyah	id=g:392036
Mazra‘at ash Shifallaḩiyah	id=g:392037
Mazra‘at Umm as Sibā‘	id=g:392038
Qā‘ al Ḩinw	id=g:392039
Ḑulū’ ash Shuqrāh	id=g:392040
Sha‘īb Liss	id=g:392041
Fayḑat Umm ‘Ishar	id=g:392042
Ţu‘ūs Banī Ḩulywīn	id=g:392043
Sabkhat an Nuşbīyah	id=g:392044
Jabal Mushāwir	id=g:392073
Fayḑat Zibdah	id=g:392074
Ţirāq al Butayrā’	id=g:392075
Makman Mushāwir	id=g:392076
Sha‘īb Butayrān	id=g:392077
Jabal as Sāddah	id=g:392078
Ḩizwah	id=g:392079
Ḑil‘ān al Mutadākhilāt	id=g:392080
Naşlat Umm as Surūj	id=g:392081
Barqā’ al Juwālah	id=g:392082
Sayḩ Qaţ‘ā’	id=g:392083
Fayḑat Umm Khirjayn	id=g:392084
Jabal al Matāhah	id=g:392085
Ḑil‘ Abū Ra’s	id=g:392086
Fayḑat Miqa‘‘idah	id=g:392087
Sayḩ al ‘Izibah	id=g:392088
Fayḑat az Zal‘ā’	id=g:392089
Fayḑat Umm Ghuwayr	id=g:392090
Fayḑat Mibhil	id=g:392091
Barqā’ adh Dhi’b	id=g:392092
Fiyāḑ Ummahāt al Muşrān al Janūbīyah	id=g:392093
Qulbān al Ḩuwaydhīyah	id=g:392094
Fayḑat al Kuwaykhah	id=g:392095
Fayḑat Umm ‘Awshaz	id=g:392096
Fayḑat Umm Qayşūm ash Shamālī	id=g:392097
Fayḑat az Zal‘ā’	id=g:392098
Qī‘ān al Matāhah	id=g:392099
Jaww al Ḩiḑirī	id=g:392100
Bi’r Sarrā’	id=g:392101
Ḑil‘ān al Fasqānāt	id=g:392102
Fayḑat al Bawlī	id=g:392103
Sha‘īb Zibdah	id=g:392104
Jaww al ‘Askar	id=g:392105
Qā‘ as Sāddah	id=g:392106
Ḩazm Umm Qulayb	id=g:392107
Daḩl at Tasht	id=g:392108
Al Butayrā’	id=g:392109
Al ‘Uqlah	id=g:392110
Ḑil’ ar Raqbā’	id=g:392111
Sha‘īb Umm Milḩ	id=g:392112
Quwayrat Umm Milḩ	id=g:392113
Qī‘ān Liss	id=g:392114
Fayḑat al Butayrā’	id=g:392115
Fayḑat Umm Ba‘al	id=g:392116
Al Lişāfah	id=g:392117
Bi’r ar Raqbā’	id=g:392118
Ghawr Sa’dūn	id=g:392119
Fayḑat Umm Ţulayḩah	id=g:392120
Ḑulay’ aḑ Ḑulla	id=g:392121
Ţu‘ūs Abū Ţuwaynah	id=g:392122
Ţu‘ūs al Ghubayyā	id=g:392123
Maqrá al U‘aylī	id=g:392124
Shi‘bān ar Rūthīyah ash Sharqīyah	id=g:392125
Sha‘īb al Wu‘ālī	id=g:392126
Qā‘īyah	id=g:392127
Khabb al Munfalit	id=g:392128
Fayḑat Shaqrān	id=g:392129
Fiyāḑ Hijīrīyāt	id=g:392130
Ābār ad Dabdāb	id=g:392131
Fayḑat Umm ‘Arqāh	id=g:392132
Ḩuzūm Abū Shidād	id=g:392133
Shifīyah	id=g:392134
‘Ayn ash Shā’ib	id=g:392135
Al Ḩulaysīyah	id=g:392136
Bi’r Khuwījin	id=g:392137
Umm ash Shifallaḩ	id=g:392138
Mazra‘at Umm Nakhlah	id=g:392140
Ḑab‘ah	id=g:392141
Sumr Qarāqir	id=g:392142
Khashm aḑ Ḑuwayḩī	id=g:392143
Al Muwayh	id=g:392144
As Sinidah	id=g:392145
Ḩibāl Riḑā	id=g:392146
Maghaţī	id=g:392147
Al Qarsha‘	id=g:392148
Bi’r Bakhā	id=g:392149
Fayḑat Umm Khaḑb	id=g:392150
‘Idd Mughūr	id=g:392151
Ruwāq Hijīrīyāt	id=g:392152
Daḩl an Niḑū	id=g:392153
Daḩl Abū Ţūtāḩah	id=g:392154
Umm Rijmayn	id=g:392155
Ḩuwaymiḑah	id=g:392156
Fayḑat Umm Shubrum	id=g:392157
Al Mishāsh	id=g:392158
Sabkhat Ithrah	id=g:392159
Fayḑat Umm ‘Awāqīl	id=g:392160
Jibāl Kāf	id=g:392161
Al Ḩūsh	id=g:392162
Al Maḩawá	id=g:392163
Al Ghaḑyā	id=g:392164
Al Buşaylah	id=g:392165
Ḑulay’ Abū Shidād	id=g:392166
Ḑulay’ Abū Ruwaysayn	id=g:392167
Fayḑat Umm Rishād	id=g:392168
‘Ushsh al Ghurāb	id=g:392169
Bi’r al Muḩtajibah	id=g:392170
Fayḑat Umm aş Şuqūr	id=g:392171
Fayḑat Umm Kilūḩ	id=g:392172
Qā‘ Bawhān	id=g:392173
Fayḑat an Naşlah	id=g:392174
Fayḑat Umm Ḩijūn	id=g:392175
Ḑil‘ān Kunayyisāt	id=g:392176
Fayḑat Khunayfisān	id=g:392177
Fiyāḑ al Bu‘ūl	id=g:392178
Fayḑat Mulayyimah	id=g:392179
Rawḑat Ghaşşābah	id=g:392180
Qūr Ghaşşābāt	id=g:392181
Khunayfisān	id=g:392182
An Nukhayl	id=g:392183
Ḑil‘ Abū Mīrakah	id=g:392184
Ḑulay’ ash Shamālī	id=g:392185
Qārat al Qulayyib	id=g:392186
Bi’r Abū Kuwal	id=g:392187
Wādī Abū Gharīsah	id=g:392188
Sha‘īb Mughūr	id=g:392189
Fayḑat Umm Qulayb	id=g:392190
Ulya	id=g:392191
Bi’r Hashm al Ḩīshah	id=g:392192
Jaww Ḩişān	id=g:392193
Ḩazm Qubūrā’	id=g:392194
Qarāqir	id=g:392195
Bi’r Umm an Nashū	id=g:392196
Sāddat al ‘Ādhirīyah	id=g:392197
Sha‘īb Abū Shuwayḩ	id=g:392198
Barqā’ aş Şumlūl	id=g:392199
Ābār Muraykhah	id=g:392200
Ābār Maldān	id=g:392201
Sha‘īb al Māradah	id=g:392202
Ābār Maldah	id=g:392203
Jabal al Liḩī al ‘Aţshān	id=g:392204
Rī’ Abā al Ghanā‘im	id=g:392246
Rawḑat al Ḩaşāh	id=g:392247
Fiyāḑ ash Shīḩīyāt	id=g:392248
Dikāk at Turaybī	id=g:392249
Rī‘ ash Sharārī	id=g:392250
Sha‘īb Abū Sudayr	id=g:392251
Samrā’ ash Sharārī	id=g:392252
Mishāsh Khaḑrah	id=g:392253
Fayḑat Umm Thibārah	id=g:392254
Mishāsh Mushayţ	id=g:392255
Jibāl ad Dughum	id=g:392256
Sha‘īb as Suḩaymī	id=g:392257
Barqā’ ash Sharārī	id=g:392258
As Suḩaymī	id=g:392259
Ābār al Murtajjah	id=g:392260
Ukhayḑir ash Shamālī	id=g:392261
Al Buwaybīyah	id=g:392262
Muşiddah	id=g:392263
Jibāl al Buwaybīyāt	id=g:392264
Fayḑat Umm Kharq	id=g:392265
Sha‘īb al Faşl	id=g:392266
Sha‘īb Abū Milqāţ	id=g:392267
Ābār ash Shikrīyah	id=g:392268
Ābār Hashm al Haddah	id=g:392269
Bilīdat Umm Kharq	id=g:392270
Sha‘īb Ḩusaykān	id=g:392271
Ḑulay‘ al Furayy	id=g:392272
Ābār al Baţḩā’	id=g:392273
Ḑil‘ān an Nuhaydayn	id=g:392274
Daḩl Umm Wirkayn	id=g:392275
Ḑil‘ān al Khunayşirayn	id=g:392276
Ābār ‘Azīz al Mā’	id=g:392277
Jabal Abū Z̧uhayr	id=g:392278
Sha‘īb Abū Ḩasak	id=g:392279
Ābār Abū ‘Idbūlah	id=g:392280
Jabal az Zawr	id=g:392281
Al Qulayyib	id=g:392282
Al Ḩayrā	id=g:392283
Al ‘Uyaynah	id=g:392284
Al Bizābīz	id=g:392285
‘Uqlat al Kumam	id=g:392286
Bi’r ar Rudaynīyah	id=g:392287
Rijūm al Mujaylis	id=g:392288
Rizḩān	id=g:392289
Sha‘īb al Ḩisikī	id=g:392290
Jabal Ţayyib Ism	id=g:392291
Bi’r Umm al Qaţā	id=g:392292
Ukhayḑir al Janūbī	id=g:392293
Jabal ‘Abdī	id=g:392294
Al Mahamrīyāt	id=g:392295
Şaḩrā’ al Muşallá	id=g:392296
Daḩl Shawḩān	id=g:392297
Fayḑat Umm Shubrum	id=g:392298
Fayḑat Umm Naşlah	id=g:392299
Jaww ‘Awwād	id=g:392300
Fayḑat Umm ‘Awāqīl	id=g:392301
‘Uyūn Muriyyighah	id=g:392302
Sha‘īb al Makharim	id=g:392303
Jaww Kāf	id=g:392304
Jaww al Ḩawsh	id=g:392305
Fiyāḑ al Muḩayfīrāt	id=g:392306
Ḑil’ Abū Wakr	id=g:392307
Al ‘Ayţalīyah	id=g:392308
Sha‘īb Abū Ḩarīqah	id=g:392309
Ḩazm al Ḩaqbā’	id=g:392310
Khabrā’ Zu‘ayr	id=g:392311
Daḩl al ‘Ayţalī	id=g:392312
Jaww Zu‘ayr	id=g:392313
Zibārat al ‘Aytalī	id=g:392314
Ḑulū‘ Buwaybīyāt al Qar‘ā’	id=g:392315
Jabal Maşlūkh	id=g:392316
Thadj	id=g:392317
Daḩl Abā al Jirfān	id=g:392318
Sha‘īb al ‘Awjā’	id=g:392319
Rawḑat Umm ash Shifallaḩ	id=g:392320
Mishāsh Ibn Zuraybān	id=g:392321
Ghabāyā aḑ Ḑuwá	id=g:392322
Sha‘īb Buqayrān	id=g:392323
Zibārat Şaffāqah	id=g:392324
Rawḑat ‘Amyā’ Fayşal	id=g:392325
Jabal al Hinaydīyah	id=g:392326
Qā‘ al Muşallá	id=g:392327
Baḩrat ‘Amshah	id=g:392328
Jibāl Umm Rijm	id=g:392329
Qūr Ţayyārāt	id=g:392330
Fiyāḑ adh Dhībīyāt	id=g:392331
Sabkhat Flayfilah	id=g:392332
Qī‘ān al Khaţīmī	id=g:392333
Qā‘ Qabr Daḩḩām	id=g:392334
Ābār Rughwān	id=g:392335
Wādī Daḩḩām	id=g:392336
Ābār al ‘Ishirī	id=g:392337
Ḑulay’ al Furaysah	id=g:392338
Fayḑat Umm Ḩujūl	id=g:392339
Rijm Habbās	id=g:392340
Fayḑat Umm Kulūḩ	id=g:392341
Ābār Ḩulayyibah	id=g:392342
Al Fāḑilī	id=g:392343
Ābār Ḑubayb	id=g:392344
Sha‘īb Umm Kulūḩ	id=g:392345
Fayḑat Umm adh Dhiyābah	id=g:392346
Ḑulay‘āt ar Rufidī	id=g:392347
Ābār Sa‘ādah	id=g:392348
Jadhmā’ Umm adh Dhiyābah	id=g:392349
Ābār Uraynibah	id=g:392350
Ḑulay‘āt an Nuhaydayn	id=g:392351
Fayḑat Ju‘aylān	id=g:392352
Ḩazm al Jāfīyah	id=g:392353
Qā‘ Quzayz an Na‘ām	id=g:392354
Fayḑat al Majma‘	id=g:392355
Al Ḩamād	id=g:392356
Jaww al Warī‘ah	id=g:392357
Al Wadia	id=g:392358
Thamāyil Ḩişān	id=g:392359
‘Urayq Shawyah	id=g:392360
‘Irq Umm al ‘Aqārib	id=g:392361
Tall Bughayyith al Janūbī	id=g:392362
Mazra‘at al Warī‘āh	id=g:392363
Duwaydāt as Sirū	id=g:392364
Tall Bughayyith al Shamālī	id=g:392365
Khabb	id=g:392366
Ţi’s Ţuwaysān	id=g:392367
Z̧ubayyāt	id=g:392368
Şayhad Bayyin	id=g:392369
An Nughayq	id=g:392370
Qārat Umm Ghuwayr	id=g:392371
‘Alāt ar Ruwaykib	id=g:392372
Qidām	id=g:392373
Murukhīyah	id=g:392374
Khabrā’ Umm Jathjāth	id=g:392375
Rawḑat al Fughum	id=g:392376
Qadmat Buţaynān	id=g:392377
Dikākat al ‘Uqbī	id=g:392378
Buţaynān	id=g:392379
Ash Shu‘ūf	id=g:392380
Jaww Samīn	id=g:392381
Bi’r Umm ‘Unayq	id=g:392382
Bi’r Umm Şufayq	id=g:392383
Shūshat al Jidi‘	id=g:392384
Abraq adh Dhīb	id=g:392385
Al Khalāh	id=g:392386
‘Adāmat al Liqāḩ	id=g:392387
Al Qatab	id=g:392388
Z̧ahrat al Mu‘ayqil	id=g:392389
Qārat Naşlat al Mu‘ayqil	id=g:392390
