Shi‘b Hājir	id=g:7344167
Jabal Sha‘rah	id=g:7355204
Sharaf	id=g:7355205
Sharār	id=g:7355206
Shawḩaţ	id=g:7355207
Shijb	id=g:7355208
Shumaylah	id=g:7355209
Shuqarah	id=g:7355210
Wādī ash Shuwayfah	id=g:7355211
Subud	id=g:7355212
Şudur	id=g:7355213
Wādī as Sujayrīyah	id=g:7355214
Thabāb	id=g:7355215
Thabrah	id=g:7355216
Thaylah	id=g:7355217
Tubay‘ah	id=g:7355218
Ukaymat Muḩāz	id=g:7355219
Najd al Wuzuf	id=g:7355220
Z̧aby	id=g:7355221
Ḩālizah	id=g:7355222
Jabal Ḩanū	id=g:7355223
Wādī Ḩanū	id=g:7355224
Ḩaşbarah	id=g:7355225
Ḩashīfayn	id=g:7355226
Hayjat ‘Aynah	id=g:7355227
Hayjat al Huwayshah	id=g:7355228
Ḩaz̧z̧ah	id=g:7355229
Hubājir	id=g:7355230
Ḩujafāt	id=g:7355231
Hujjimah	id=g:7355232
Ḩushayfah	id=g:7355233
Wādī Ibūh	id=g:7355234
Ja‘mah	id=g:7355235
Wādī al Jāḩ	id=g:7355236
Jāshi‘	id=g:7355237
Jabal Jurbūb	id=g:7355238
Kabāb	id=g:7355239
Najd Kurbah	id=g:7355240
Ma‘aynah	id=g:7355241
Ma‘wal	id=g:7355242
Maḩdan	id=g:7355243
Manjarah	id=g:7355244
Mankal Ka‘āwish	id=g:7355245
Maqābir	id=g:7355246
Muḩayḑah	id=g:7355247
Muşayfīr	id=g:7355248
Nā’ibat Dhubḩān	id=g:7355249
Nawbat an Nuqum	id=g:7355250
Qafan	id=g:7355251
Qaryat al Abţāl	id=g:7355252
Qaryat al Jāmi‘	id=g:7355253
Qaryat al Manzil	id=g:7355254
Qaryat aş Şīr	id=g:7355255
Qaryat ash Shu‘ūb	id=g:7355256
Qaryat Banī Masan	id=g:7355257
Qawrimah	id=g:7355258
Quḩayfah	id=g:7355259
Rajīm	id=g:7355260
Rubayy	id=g:7355261
Jabal Şabarān	id=g:7355262
Jabal Samadān	id=g:7355263
Şardaf	id=g:7355264
Shi‘bat al Bi’r	id=g:7355265
Shi‘bat Ja‘far	id=g:7355266
Shiba‘ţīyah	id=g:7355267
Jabal Shodik	id=g:7355268
Shubā‘ah	id=g:7355269
Sūq as Sabt	id=g:7355270
Sūq ath Thalāthā	id=g:7355271
Thawālīyah	id=g:7355272
Waddayrā’	id=g:7355273
Wāsir	id=g:7355274
Yahūsayn	id=g:7355275
Z̧arīz	id=g:7355276
Z̧ariz Aḩkūm	id=g:7355277
Najd Z̧arīz	id=g:7355278
Wādī az Zayn	id=g:7355279
Jabal al ‘Afārah	id=g:7355280
Turayrah	id=g:7355281
Zuqāq	id=g:7355282
Bi’r ‘Āmir	id=g:7355283
Jabal al ‘Ān	id=g:7355284
Wādī ‘Ubil	id=g:7355285
‘Ukhaynah	id=g:7355286
A‘mūr	id=g:7355287
Ad Dahnah	id=g:7355288
Ad Dimnah	id=g:7355289
Ad Dulkumah	id=g:7355290
Akamat al ‘Amq	id=g:7355291
Al ‘Anīn	id=g:7355292
Al ‘Ayrah	id=g:7355293
Qaryat ‘Uffā’	id=g:7355294
Al ‘Amūq	id=g:7355295
Al Akāḩilah	id=g:7355296
Al Akamah	id=g:7355297
Al Akamah	id=g:7355298
Al Akamah	id=g:7355299
Al Akamah	id=g:7355300
Al Akamah	id=g:7355301
Al Akamah	id=g:7355302
Al Akbūsh	id=g:7355303
Al Baqayrah	id=g:7355304
Al Barḩ	id=g:7355305
Al Barḩ	id=g:7355306
Al Baynayn	id=g:7355307
Al Faqirah	id=g:7355308
Al Fujr	id=g:7355309
Al Ghabīb	id=g:7355310
Al Ghayl	id=g:7355311
Al Ghayl	id=g:7355312
Al Ḩāfah	id=g:7355313
Al Ḩafr	id=g:7355314
Al Ḩayyār	id=g:7355315
Al Ḩizāz	id=g:7355316
Al Ḩubayl	id=g:7355317
Al Ḩubayn	id=g:7355318
Al Huwayshah	id=g:7355319
Al Huzayz	id=g:7355320
Al Jāyah	id=g:7355321
Al Jimjām	id=g:7355322
Al Jubb	id=g:7355323
Al Junnid	id=g:7355324
Al Kadarah	id=g:7355325
Al Kadarah	id=g:7355326
Al Kadīd	id=g:7355327
Al Kafīf	id=g:7355328
Al Khadd	id=g:7355329
Al Kubaybah	id=g:7355330
Al Ma‘ājilīyah	id=g:7355331
Al Ma‘sūq	id=g:7355332
Al Madwar	id=g:7355333
Al Maḩaţţah	id=g:7355334
Al Mānib	id=g:7355335
Al Manşūrah	id=g:7355336
Al Maqmadī	id=g:7355337
Al Marāqib	id=g:7355338
Al Marjūmah	id=g:7355339
Al Masāḩīn	id=g:7355340
Al Matallah	id=g:7355341
Al Mayqā‘	id=g:7355342
Al Miḩşāmah	id=g:7355343
Al Mikrāb	id=g:7355344
Al Miqlā‘	id=g:7355345
Al Mirū	id=g:7355346
Al Mudayrīş	id=g:7355347
Al Muḩarraqah	id=g:7355348
Al Musayjid	id=g:7355349
Al Qaḩfah	id=g:7355350
Al Qaḩfah	id=g:7355351
Al Qaḩfah	id=g:7355352
Al Qāţi‘	id=g:7355353
Al Qawā‘idah	id=g:7355354
Al Quḑāh	id=g:7355355
Al Qudmah	id=g:7355356
Al Quray‘	id=g:7355357
Al Qushayb	id=g:7355358
Wādī am Ḩinjarah	id=g:7355359
An Najd	id=g:7355360
An Naqīl	id=g:7355361
An Nawbah	id=g:7355362
An Nuwab al Asfal	id=g:7355363
Ar Rakazah	id=g:7355364
Ar Rişāḩ	id=g:7355365
Ar Rudayd	id=g:7355366
Ar Ruḩaybah	id=g:7355367
Aş Şafawinah	id=g:7355368
As Salm	id=g:7355369
Aş Şanī‘ah	id=g:7355370
Aş Şardaf	id=g:7355371
Aş Şayrah	id=g:7355372
As Su‘ah	id=g:7355373
Aş Şunay‘ah	id=g:7355374
Aş Şuni‘ah	id=g:7355375
Ash Shājibah	id=g:7355376
Ash Shamā’iyah	id=g:7355377
Ash Shamā’iyah ash Sharqīyah	id=g:7355378
Ash Sharāq	id=g:7355379
Ash Sharjah	id=g:7355380
Ash Shumah	id=g:7355381
Ash Shumays	id=g:7355382
Ashā‘ir	id=g:7355383
Aţ Ţawīlah	id=g:7355384
Aţ Ţayārī	id=g:7355385
Awjid	id=g:7355386
Az̧ Z̧afīr	id=g:7355387
Az̧ Z̧awwah	id=g:7355388
Az̧ Z̧uhayrah	id=g:7355389
Az Zuqzūq	id=g:7355390
Banī Ghāzī	id=g:7355391
Barḩ al Mā’	id=g:7355392
Barḩ ar Raḩāb	id=g:7355393
Barḩ az̧ Z̧āhir	id=g:7355394
Bayn al Masājid	id=g:7355395
Ḩayd al Bint	id=g:7355396
Wādī Birkān	id=g:7355397
Darbūbah	id=g:7355398
Ḑiyā’	id=g:7355399
Dukkah	id=g:7355400
Furjat Adīm	id=g:7355401
Ḩaḑārim	id=g:7355402
Wādī al Ḩajarayn	id=g:7355403
‘Uzayq	id=g:7355404
Wādī ‘Uzayq	id=g:7355405
Aḑ Ḑabāb	id=g:7355406
Aklāt	id=g:7355407
Al Atad	id=g:7355408
Al Bakhlah	id=g:7355409
Al Ghūl	id=g:7355410
Al Hayjah	id=g:7355411
Al Hujmah	id=g:7355412
Al Ḩumaymī	id=g:7355413
Al Ḩunayshah	id=g:7355414
Al Huwayţāt	id=g:7355415
Al Ka‘thal	id=g:7355416
Al Kabbah	id=g:7355417
Al Kurab	id=g:7355418
Al Manbar	id=g:7355419
Al Marābiḩah	id=g:7355420
Al Uyayrī	id=g:7355421
Al Uyayrī	id=g:7355422
Al Walī Uthman	id=g:7355423
Am Daymah	id=g:7355424
Am Ja‘farīyab	id=g:7355425
Am Makāmiḩah	id=g:7355426
Am Maşāfirah	id=g:7355427
Am Sālim	id=g:7355428
Am Sharj	id=g:7355429
Ar Rayyān	id=g:7355430
Aş Şāliḩayn	id=g:7355431
Aş Şaliḩī	id=g:7355432
Aş Şiraḩ	id=g:7355433
Ash Shājī	id=g:7355434
Ash Shujayfah as Suflā	id=g:7355435
Ash Shurayjah	id=g:7355436
Az Zurayqī	id=g:7355437
Başāḩīyah	id=g:7355438
Dār al Baydā‘	id=g:7355439
Dar al Ḩājj	id=g:7355440
Dār al Julaydī	id=g:7355441
Dār aş Şufrī	id=g:7355442
Dār Banī Ḩaydarah	id=g:7355443
Dār Qasīm Muqbil	id=g:7355444
Dār Sālim al Ḩājj	id=g:7355445
Dār Tuwaymah	id=g:7355446
Dār Ya‘qūb	id=g:7355447
Daymat Rājih	id=g:7355448
ḨabĪl al Lakamah	id=g:7355449
Ḩabīl Ḩadalah	id=g:7355450
Ḩişn aş Şughayr	id=g:7355451
Jabal Kuhlān	id=g:7355452
Jabal al Kurab	id=g:7355453
Mawāli‘ah	id=g:7355454
Mukaymin	id=g:7355455
Nāşir as Sa‘īd	id=g:7355456
Nawbān	id=g:7355457
Nawbat Khawḑar	id=g:7355458
Jabal Sa‘id Ţāhā	id=g:7355459
Sākin am Kaḩlīyah	id=g:7355460
Sanawī	id=g:7355461
Shāgith	id=g:7355462
Sharjatīyah	id=g:7355463
Sūq al Khamīs	id=g:7355464
Shi‘b as Sūq	id=g:7355465
Ţawr Ḩanjar	id=g:7355466
Ţawr Nāţilah	id=g:7355467
Tawr Raḩbān	id=g:7355468
Wādī ‘Abadān	id=g:7355469
Wādī al Khamīs	id=g:7355470
Wādī Shijb	id=g:7355471
Ghubayrat al Abshūr	id=g:7355472
Adh Dhanīb	id=g:7355473
Wādī Maksab	id=g:7355486
‘Adam as Sīr	id=g:7355487
‘Adan ash Shaykh	id=g:7355488
‘Amrū	id=g:7355489
‘Amrū	id=g:7355490
‘Uqāqah	id=g:7355491
‘Usayq	id=g:7355492
Abū Bakr	id=g:7355493
Ad Dār	id=g:7355494
Ad Dār	id=g:7355495
Aḑ Ḑayāḩ	id=g:7355496
Ad Daylamī	id=g:7355497
Aḑ Ḑuraybah	id=g:7355498
Dār al Kidf	id=g:7355499
Dār as Sayfī	id=g:7355500
Dār aţ Ţurayf	id=g:7355501
Dār Qudayrah	id=g:7355502
Ḑuna‘	id=g:7355503
Bāb Ḑuna‘	id=g:7355504
Wādī al Fuwāhah	id=g:7355505
Ghaybir	id=g:7355506
Ḩalwajaḩ	id=g:7355507
Ḩarf aţ Ţā’irayn	id=g:7355508
Ḩaşib aţ Ţawīl	id=g:7355509
Wādī Ḩasīd	id=g:7355510
Wādī al Ḩasiyayn	id=g:7355511
Ḩawjidār	id=g:7355512
Hayjat al Ḩassānī	id=g:7355513
Jabal al Ḩişn	id=g:7355514
Wādī al Ḩişn	id=g:7355515
Ḩudhayfah	id=g:7355516
Jabal Hukmān	id=g:7355517
Jabal Ḩumar	id=g:7355518
Wādī Ḩumar	id=g:7355519
Jassār	id=g:7355520
Jawrānah	id=g:7355521
Jurādī	id=g:7355522
Jurays	id=g:7355523
Kudāmah	id=g:7355524
Maḩmadān	id=g:7355525
Wādī al Maḩrūr	id=g:7355526
Banī Ward	id=g:7355527
Wādī Banī Ward	id=g:7355528
Al Bahbahah	id=g:7355529
Al Baraḩāt	id=g:7355530
Al Barḩ	id=g:7355531
Al Bashayrah	id=g:7355532
Al Basqah	id=g:7355533
Al Buqayr	id=g:7355534
Al Ghawnīyah	id=g:7355535
Al Ghaylīyah	id=g:7355536
Al Ḩabīl	id=g:7355537
Al Ḩābis	id=g:7355538
Al Ḩabw	id=g:7355539
Al Ḩaddādīn	id=g:7355540
Al Ḩajirah	id=g:7355541
Al Ḩarbī	id=g:7355542
Al Ḩarf	id=g:7355543
Al Ḩariqah	id=g:7355544
Al Ḩarūr	id=g:7355545
Al Hayjah	id=g:7355546
Al Hayjah	id=g:7355547
Al Ḩaymah	id=g:7355548
Al Ḩaymir	id=g:7355549
Al Ḩubayshīyah	id=g:7355550
Al Ḩujar	id=g:7355551
Al Ḩujayfā	id=g:7355552
Al Ḩujr	id=g:7355553
Al Ḩuşayn	id=g:7355554
Al Ja‘āfir	id=g:7355555
Al Jabbānah	id=g:7355556
Al Jabzī	id=g:7355557
Al Jahāzah	id=g:7355558
Al Jalaf Ajshūb	id=g:7355559
Al Janīnah	id=g:7355560
Al Jardah	id=g:7355561
Al Junjub	id=g:7355562
Al Jurayn	id=g:7355563
Al Jurjur	id=g:7355564
Al Kadahīyah	id=g:7355565
Al Kadarah	id=g:7355566
Al Kādhīyah	id=g:7355567
Al Kawlīyah	id=g:7355568
Al Kirāb	id=g:7355569
Al Kishār	id=g:7355570
Al Kudmah	id=g:7355571
Al Kudshī	id=g:7355572
Al Kuraybah	id=g:7355573
Al Kuraybah	id=g:7355574
Al Kurayfah	id=g:7355575
Al Kurrāsh	id=g:7355576
Al Laşbah	id=g:7355577
Al Ma‘şarah	id=g:7355578
Al Maghrabah	id=g:7355579
Al Mahnaf	id=g:7355580
Al Maḩram	id=g:7355581
Al Makhāniq	id=g:7355582
Al Makhāz̧ah	id=g:7355583
Al Māliḩ	id=g:7355584
Al Masāliq	id=g:7355585
Al Mashāqib	id=g:7355586
Al Mashāwiz	id=g:7355587
Al Maslaqah	id=g:7355588
Al Masnūn	id=g:7355589
Al Mawj Da‘aysah	id=g:7355590
Al Mi‘rāb	id=g:7355591
Al Mi‘ţāb	id=g:7355592
Dār Ḩaḑar Rīsyān	id=g:7355593
Dār Sunbul	id=g:7355594
Dawsa‘ah	id=g:7355595
Dhī Ḩammādah	id=g:7355596
Ḑubayrā’ Mi‘shār	id=g:7355597
Ḑubayrā’	id=g:7355598
Dughaysh	id=g:7355599
Fahaydah	id=g:7355600
Firayzimah	id=g:7355601
Shi‘b Ghāzī	id=g:7355602
Ghurāb A‘lá	id=g:7355603
Ḩaddāb Shūq Shar‘ab	id=g:7355604
Ḩajramayn	id=g:7355605
Ḩajrīyah	id=g:7355606
Ḩamraj	id=g:7355607
Ḩidhrān	id=g:7355608
Ḩubārah	id=g:7355609
Ḩūdīyah	id=g:7355610
Wādī ar Rukbah	id=g:7355611
Jabal ar Rukz	id=g:7355612
Banī Wāşil	id=g:7355613
Banī Yūsuf	id=g:7355614
Banī Ziyād	id=g:7355615
Wādī Banī Ziyād	id=g:7355616
Baradān	id=g:7355617
Bashīmah	id=g:7355618
Burāḩ	id=g:7355619
Dāfa‘	id=g:7355620
Dār ‘Umayr	id=g:7355621
Dār al Qaţ‘	id=g:7355622
Jabal ad Daraqah	id=g:7355623
Jabal adh Dhara’ī	id=g:7355624
Dhī ‘Atām	id=g:7355625
Dhī Ḩubaysh	id=g:7355626
Dhī Naşr	id=g:7355627
Dhī Qāsiţ	id=g:7355628
Dhirā‘ ad Dār	id=g:7355629
Dhū Ma‘ayd	id=g:7355630
Diḩawrah	id=g:7355631
Du‘irah	id=g:7355632
Dufān	id=g:7355633
Dumaynah	id=g:7355634
Far‘ān	id=g:7355635
Mawdaqah	id=g:7355636
Mir‘īt	id=g:7355637
Mubayli‘	id=g:7355638
Muqayţi‘ah	id=g:7355639
Wādī an Nafsah	id=g:7355640
Wādī an Nushaymah	id=g:7355641
Qaryat al Jarabbiḩ	id=g:7355642
Qaryat al Maḩājimah	id=g:7355643
Qaryat al Maḩālibī	id=g:7355644
Qaryat as Sib‘ah	id=g:7355645
Qaryat aţ Ţawāhir	id=g:7355646
Qaryat aţ Ţulaylī	id=g:7355647
Qaryat Dumaynah	id=g:7355648
Qaryat Fuwayl	id=g:7355649
Qaryat Khunnah	id=g:7355650
Qaryat Sabā’	id=g:7355651
Qaryat Wādī ‘Āmir	id=g:7355652
Qaryat Wādī al Ḩişn	id=g:7355653
Qaryat Wādī al Maḩrūr	id=g:7355654
Jabal Qasbaţ	id=g:7355655
Qubā‘ah	id=g:7355656
Shi‘b Qudārī	id=g:7355657
Qulā‘ah	id=g:7355658
Quţubah	id=g:7355659
Wādī Sabā’	id=g:7355660
Wādī as Sakāsik	id=g:7355661
Sharāţ	id=g:7355662
Shaţţ al Ḩinnā’	id=g:7355663
Shawqab	id=g:7355664
Wādī ash Shujayn	id=g:7355665
Su‘annib	id=g:7355666
Wādī aş Şubāb	id=g:7355667
Sūq ar Rubū‘	id=g:7355668
Surad	id=g:7355669
Jabal Ya‘āqibah	id=g:7355670
Z̧aras	id=g:7355671
‘Adan ash Shaykh	id=g:7355672
‘Adan Atrūs	id=g:7355673
‘Adan Nūrān	id=g:7355674
Jabal ‘Alib	id=g:7355675
‘Ar‘arah	id=g:7355676
Najd al ‘Armah	id=g:7355677
‘Aşūm	id=g:7355678
‘Azbān	id=g:7355679
‘Ikdat aḑ Ḑabr	id=g:7355680
Ad Duwaylah	id=g:7355681
Ad Duwaylah	id=g:7355682
Ad Duyūr	id=g:7355683
Adh Dhanabah	id=g:7355684
Wādī al Aḑwāḩ	id=g:7355685
Jabal al Ahmūl	id=g:7355686
Al ‘ Uqayyir	id=g:7355687
Al ‘Adārisah	id=g:7355688
Al ‘Aqamah	id=g:7355689
Al ‘Aqqaydah	id=g:7355690
Al ‘Arīsh	id=g:7355691
Al ‘Ashjār	id=g:7355692
Al ‘Awādir	id=g:7355693
Al ‘Awāmī	id=g:7355694
Al ‘Ikdah	id=g:7355695
Al ‘Ikdah	id=g:7355696
Al ‘Ubayshā’	id=g:7355697
Al ‘Ulyābah	id=g:7355698
Al ‘Uzlah	id=g:7355699
Al A‘dān	id=g:7355700
Al A‘dūf	id=g:7355701
Al Afyūsh	id=g:7355702
Al Ahmūl	id=g:7355703
Al Amjūd	id=g:7355704
Al Ash‘āb	id=g:7355705
Al Athab	id=g:7355706
Al Awţāf	id=g:7355707
Al Awţāf	id=g:7355708
Al Barḩ	id=g:7355709
Al Barrā’	id=g:7355710
Al Bayāshah	id=g:7355711
Al Bayrīyah	id=g:7355712
Al Bāziq	id=g:7355713
Al Birāḩ	id=g:7355714
Al Ghalīl	id=g:7355715
Al Ghārib	id=g:7355716
Al Ḩadbā’	id=g:7355717
Al Ḩafān	id=g:7355718
Al Ḩafāwin	id=g:7355719
Al Hajl	id=g:7355720
Al Ḩalā’inah	id=g:7355721
Al Halaj	id=g:7355722
Al Ḩammār	id=g:7355723
Al Harraybah	id=g:7355724
Al Ḩaşib	id=g:7355725
Al Ḩasīd	id=g:7355726
Al Ḩawā’il	id=g:7355727
Al Ḩawjā’	id=g:7355728
Al Ḩujaf	id=g:7355729
Al Ḩujayfah	id=g:7355730
Al Ḩumarah	id=g:7355731
Al Huqm	id=g:7355732
Al Jabalayn	id=g:7355733
Al Jalīlīyah	id=g:7355734
Al Jidlah	id=g:7355735
Al Jirz	id=g:7355736
Al Juruf	id=g:7355737
Al Kadaḩah	id=g:7355738
Al Khuraybah	id=g:7355739
Al Laşbah	id=g:7355740
Al Ma‘āfirī	id=g:7355741
Al Maḑrūb	id=g:7355742
Al Mafjar	id=g:7355743
Al Maḩāţibah	id=g:7355744
Al Majāḩīsh	id=g:7355745
Al Majrubah	id=g:7355746
Al Malāqī	id=g:7355747
Al Mandamah	id=g:7355748
Al Maqşū‘	id=g:7355749
Al Marnūf	id=g:7355750
Al Mi‘lālah	id=g:7355751
Al Mirqā‘ah	id=g:7355752
Al Mishrāfah	id=g:7355753
Al Mudhayfir	id=g:7355754
Al Muqashwish	id=g:7355755
Al Musāḩīb	id=g:7355756
Al Muşallá	id=g:7355757
Al Muţāhif	id=g:7355758
Al Qashūbah	id=g:7355759
Al Qawfa‘	id=g:7355760
Al Quşaybah	id=g:7355761
Al Quţaynīyah	id=g:7355762
Al Uhayl	id=g:7355763
An Nafsah	id=g:7355764
An Nafsah	id=g:7355765
An Nawbah	id=g:7355766
An Nudaym	id=g:7355767
An Nukhayl	id=g:7355768
An Nuzayhā’	id=g:7355769
Ar Rāḩah	id=g:7355770
Ar Ribāţ	id=g:7355771
Ar Ruḩaybā’	id=g:7355772
Ar Ruwaynah	id=g:7355773
Ar Ruwaynah	id=g:7355774
Aş Şal‘ā’	id=g:7355775
As Salāmah	id=g:7355776
Aş Şanīf	id=g:7355777
As Sudd	id=g:7355778
As Suhaylah	id=g:7355779
As Sumayţinah	id=g:7355780
As Suwaḩ	id=g:7355781
Shi‘b al ‘Asaq	id=g:7355782
Ash Sharj	id=g:7355783
Ash Shi‘b	id=g:7355784
Ash Shu‘ayb	id=g:7355785
Ash Shujayn	id=g:7355786
Ash Shuqqah	id=g:7355787
Ash Shuqqah	id=g:7355788
Ash Shuqqah	id=g:7355789
Ash Shuway‘ā’	id=g:7355790
At Tarābīb	id=g:7355791
Aţ Ţufaylī	id=g:7355792
Wādī al Athab	id=g:7355793
Az Zāhir	id=g:7355794
Az̧ Z̧ubayr	id=g:7355795
Az̧ Z̧uhrah	id=g:7355796
Az Zurārī	id=g:7355797
Banī ‘Alī	id=g:7355798
Bu‘jān	id=g:7355799
Burājah	id=g:7355800
Dāḩiş	id=g:7355801
‘Irşimah	id=g:7355802
‘Unāşir	id=g:7355803
‘Unshūq	id=g:7355804
‘Uqayrāt	id=g:7355805
‘Urrān	id=g:7355806
Ad Daghāmirah	id=g:7355807
Ad Dakhl	id=g:7355808
‘Adan Dawāb	id=g:7355809
Jabal al Aḩmūl	id=g:7355810
Akamat Banī Sumay‘	id=g:7355811
Akamat Mūsá	id=g:7355812
Al ‘Adharī	id=g:7355813
Al ‘Affah	id=g:7355814
Al ‘Afurah	id=g:7355815
Al ‘Amārinah	id=g:7355816
Al ‘Antarī	id=g:7355817
Al ‘Anwah	id=g:7355818
Al ‘Assāf	id=g:7355819
Al ‘Azāwah	id=g:7355820
Al ‘Ikdah	id=g:7355821
Al ‘Ikdah	id=g:7355822
Al ‘Ikdah	id=g:7355823
Al ‘Iwar	id=g:7355824
Al ‘Ullāmī	id=g:7355825
Al ‘Umayrīyah	id=g:7355826
Al Afrād	id=g:7355827
Al Aḩmūl	id=g:7355828
Al Aḩqāq	id=g:7355829
Al Aḩsūn	id=g:7355830
Al Ajwāz	id=g:7355831
Al Akamat Banī Ḩumayd	id=g:7355832
Al Akhmās	id=g:7355833
Al Asā‘idah	id=g:7355834
Al Ashbūţ	id=g:7355835
Al Ashrāf	id=g:7355836
Al Aslūf	id=g:7355837
Al Aywān	id=g:7355838
Al Baghdādī	id=g:7355839
Al Baraḩ	id=g:7355840
Al Baţinah	id=g:7355841
Al Bir‘ah	id=g:7355842
Al Ghushaymīyah	id=g:7355843
Al Haban	id=g:7355844
Al Haban	id=g:7355845
Al Ḩabişah	id=g:7355846
Al Ḩāfah	id=g:7355847
Āl Ḩafir	id=g:7355848
Al Ḩarīd	id=g:7355849
Al Ḩassār	id=g:7355850
Al Hujum	id=g:7355851
Al Ḩussīyah	id=g:7355852
Al Ibil	id=g:7355853
Al Ishrāf	id=g:7355854
Al Jabīb	id=g:7355855
Al Jamīmah	id=g:7355856
Al Jarayn	id=g:7355857
Al Jāzi‘ah	id=g:7355858
Al Jimjām	id=g:7355859
Al Ju‘dī	id=g:7355860
Al Jurnayn	id=g:7355861
Al Kabīrah	id=g:7355862
Al Kadarah	id=g:7355863
Al Kāfir	id=g:7355864
Al Karāb	id=g:7355865
Al Kharā’ib	id=g:7355866
Al Kibāsh	id=g:7355867
Al Kuduf	id=g:7355868
Al Ma‘ātibah	id=g:7355869
Al Ma‘bal	id=g:7355870
Al Ma‘bar	id=g:7355871
Al Ma‘sūq	id=g:7355872
Al Mā’ al A‘lá	id=g:7355873
Al Mabrak	id=g:7355874
Al Mabtu‘	id=g:7355875
Al Maḑābī	id=g:7355876
Al Madād	id=g:7355877
Al Mad-haf	id=g:7355878
Al Maghāribah	id=g:7355879
Al Maghārībah	id=g:7355880
Al Maḩbas	id=g:7355881
Al Maḩjar	id=g:7355882
Al Majā‘īyah	id=g:7355883
Al Majdūrah	id=g:7355884
Al Makārimah	id=g:7355885
Al Manbar	id=g:7355886
Al Manşūrah	id=g:7355887
Al Masḩil	id=g:7355888
Al Masna‘	id=g:7355889
Al Maşna‘ah	id=g:7355890
Al Mathā’ir	id=g:7355891
Al Mawḑāb	id=g:7355892
Al Mawjir	id=g:7355893
Al Mawradah	id=g:7355894
Al Maz̧bīyah	id=g:7355895
Al Mikhārijah	id=g:7355896
Al Miqdār	id=g:7355897
Al Mizḩānah	id=g:7355898
Al Mizhar	id=g:7355899
Al Mū’asas	id=g:7355900
Al Mufayjir	id=g:7355901
Al Muqaybirah	id=g:7355902
Al Mushārifah	id=g:7355903
Al Mushārifah	id=g:7355904
Al Qaḩayzah	id=g:7355905
Al Qaḩfah	id=g:7355906
Al Qaḩfah	id=g:7355907
Al Qaşī‘	id=g:7355908
Al Qaţ‘	id=g:7355909
Al Qibqāb	id=g:7355910
Al Quḩāfīz	id=g:7355911
Al Qūrāyin	id=g:7355912
Al Qurayn	id=g:7355913
Al Quraynah	id=g:7355914
Al Qurayyah	id=g:7355915
Al Qurayyah	id=g:7355916
Al Qurdūḩah	id=g:7355917
Al Qusm	id=g:7355918
Al Quţay‘ah	id=g:7355919
Al Ujbah	id=g:7355920
Al Widīr	id=g:7355921
An Naţb	id=g:7355922
An Nawāb	id=g:7355923
An Nujādī	id=g:7355924
An Nuzayyah	id=g:7355925
Ar Ra’ās	id=g:7355926
Ar Raḩabah	id=g:7355927
Ar Rajimah	id=g:7355928
Ar Raqafah	id=g:7355929
Ar Rays	id=g:7355930
Ar Rishshah	id=g:7355931
Ar Rujmah	id=g:7355932
Ar Rukbah	id=g:7355933
As Sā‘ah	id=g:7355934
Aş Şabāḩī Banī Zuhayr	id=g:7355935
As Sabal	id=g:7355936
As Sadrah	id=g:7355937
As Saḩah	id=g:7355938
As Sahlah	id=g:7355939
As Salf	id=g:7355940
Aş Şan‘ah	id=g:7355941
As Sārah	id=g:7355942
Aş Şufayrā’	id=g:7355943
As Suhaylah	id=g:7355944
Aş Şun‘	id=g:7355945
As Sun‘āt	id=g:7355946
As Sun‘āt	id=g:7355947
As Sunayfā’	id=g:7355948
Ash Shajāf	id=g:7355949
Ash Shakhş	id=g:7355950
Ash Sharaf Banī Sumay‘	id=g:7355951
Ash Sharaf Banī Yūsuf	id=g:7355952
Ash Sharqī	id=g:7355953
Ash Sharqī Banī Zuhayr	id=g:7355954
Ash Sharqīyah	id=g:7355955
Ash Shawāḩiţ	id=g:7355956
Ash Shu‘ayb	id=g:7355957
Ash Shuḩaym	id=g:7355958
Ash Shurayf	id=g:7355959
Ath Thudd Banī Zuhayr	id=g:7355960
Ath Thulth Aqyūs	id=g:7355961
Az̧ Z̧ahrah	id=g:7355962
Az̧ Z̧ahrah	id=g:7355963
Az Zāmilīyah	id=g:7355964
Az Zawāqir	id=g:7355965
Az Zawḩah	id=g:7355966
Az Zāwi’	id=g:7355967
Az Zinjī	id=g:7355968
Az̧ Z̧uhār	id=g:7355969
Az̧ Z̧uhayrā’	id=g:7355970
Az̧ Z̧uhrah	id=g:7355971
Banī ‘Alī	id=g:7355972
Banī ‘Ubayd	id=g:7355973
Banī al Bayḑā’	id=g:7355974
Banī Ḩusām	id=g:7355975
Banī Khalaf	id=g:7355976
Banī Murayr	id=g:7355977
Banī Sarīn	id=g:7355978
Jabal Banī Sarīn	id=g:7355979
Wādī Banī Sarīn	id=g:7355980
Wādī al Ḩaddād	id=g:7355981
Jabal Ḩamās	id=g:7355982
Ḩanāhib	id=g:7355983
Ḩarf ad Dār	id=g:7355984
Ḩasakat	id=g:7355985
Ḩasakāt	id=g:7355986
Ḩaşbarah	id=g:7355987
Ḩasīd	id=g:7355988
Ḩasīd	id=g:7355989
Ḩawmal	id=g:7355990
Ḩawr	id=g:7355991
Wādī Ḩawr	id=g:7355992
Ḩişbān	id=g:7355993
Ḩişn aş Şana‘	id=g:7355994
Ḩubul	id=g:7355995
Ḩūd al Qaryah	id=g:7355996
Wādī Ḩummān	id=g:7355997
Najd al Ḩurīm	id=g:7355998
