Urochishche Volynkskoye	id=g:1536088
Ozero Mogil’noye	id=g:1541054
Ozero Oleksino	id=g:1541055
Ozero Osinovoye	id=g:1541056
Snegiri	id=g:1541057
Ozero Chistoye	id=g:1541058
Ozero Mogil’noye	id=g:1541059
Ozero Chistoye	id=g:1541060
Ostanovochnyy Punkt 2178 km	id=g:1541061
Ostanovochnyy Punkt 2182 km	id=g:1541062
Borki	id=g:1541063
Urochishche Zhuravlinoye	id=g:1541064
Urochishche Krestovoye	id=g:1541065
Ozëra Shyganak	id=g:1541067
Kamyshinka	id=g:1541068
Rakitnyy	id=g:1541069
Gora Romashika	id=g:1541070
Novovladimirovskiy	id=g:1541071
Ozero Melioratsiya	id=g:1541072
Ozero Popovo	id=g:1541073
Boloto Tymiz	id=g:1541074
Boloto Kultay	id=g:1541075
Urochishche Abushinnoye	id=g:1541076
Kinzhitay	id=g:1541077
Alakamys	id=g:1541078
Les Bol’shoy Kolok	id=g:1541079
Bashnya Tamerlana	id=g:1541080
Boloto Bol’shaya Kisena	id=g:1541081
Ozero Solënoye	id=g:1541082
Urochishche Bol’shoy Karatay	id=g:1541084
Boloto Karabutak	id=g:1541085
Boloto Zhabagy	id=g:1541086
Boloto Alakupa	id=g:1541087
Ozëra Bakanzhul	id=g:1541088
Boloto Mokhovoye	id=g:1541089
Stantsiya Salamat	id=g:1541090
Stantsiya Buskul’skaya	id=g:1541091
Ozero Kukay	id=g:1541092
Yagodnyy	id=g:1541093
Lagernyy	id=g:1541117
Stantsiya Formachëvo	id=g:1541118
Kazarma 62 km	id=g:1541119
Siniy Bor	id=g:1541120
Nagornyy	id=g:1541121
Logovoy	id=g:1541122
Chernushka	id=g:1541123
Krakhalevka	id=g:1541124
Uysko-Sanarskiy	id=g:1541125
Plodovyy	id=g:1541127
Mel’nichnyy	id=g:1541128
Lyapino	id=g:1541129
Repino	id=g:1541130
Poles’ye	id=g:1541131
Toguzak	id=g:1541132
Mokhoushka	id=g:1541133
Chkalova	id=g:1541134
Kumysnoye	id=g:1541135
Kazarma Isakova	id=g:1541136
Ostanovochnyy Punkt 104 km	id=g:1541137
Chernushka	id=g:1541138
Bugristoye	id=g:1541139
Zolotaya Sopka	id=g:1541140
Troitskoye Vodokhranilishche	id=g:1541141
Kvartsitnyy	id=g:1541143
Mirnyy	id=g:1541144
Sanatornyy	id=g:1541145
Ostanovochnyy Punkt Uyskiy	id=g:1541146
Berëzniki	id=g:1541147
Opytnyy	id=g:1541148
Goncharka	id=g:1541149
Pyatiletka	id=g:1541150
Slivnoy	id=g:1541151
Pervomayka	id=g:1541152
Chernomorka	id=g:1541153
Travyanka	id=g:1541154
Ozero Karakul’	id=g:1541155
Ozero Khokhlovatoye	id=g:1541156
Ozero Koshkul’	id=g:1541157
Krasnooktyabr’skiy	id=g:1541158
Druzhnyy	id=g:1541159
Stantsiya Karskiy	id=g:1541160
Karskiy	id=g:1541161
Ivankovo	id=g:1541162
Uprun	id=g:1541163
Letyagino	id=g:1541164
Uprun	id=g:1541165
Ozero Pakhomovo	id=g:1541166
Ozero Gor’koye	id=g:1541167
Kazarma 77 km	id=g:1541168
Kazarma 74 km	id=g:1541169
Rudnik Yuzhnyy	id=g:1541170
Kamenskiy	id=g:1541171
Berëzovka	id=g:1541172
Gora Krasnaya	id=g:1541173
Stantsiya Krasnoselka	id=g:1541174
Podgornyy	id=g:1541175
Klyuchi	id=g:1541176
Sukharysh	id=g:1541177
Ostanovochnyy Punkt Borisovka	id=g:1541178
Borisovka	id=g:1541179
Klenovka	id=g:1541180
Berëzniki	id=g:1541181
Ostanovochnyy Punkt Sary	id=g:1541182
Sary	id=g:1541183
Priozërnyy	id=g:1541184
Ozero Krivil’dy	id=g:1541185
Sanatornyy	id=g:1541186
Ozero Bakino	id=g:1541187
Stantsiya Roza	id=g:1541188
Ostanovochnyy Punkt Timofeyevka	id=g:1541189
Tomino	id=g:1541190
Kamenka	id=g:1541191
Saksan	id=g:1541192
Ostanovochnyy Punkt Saksan	id=g:1541193
Kazarma 35 km	id=g:1541194
Urochishche Sredniy Tabor	id=g:1541195
Deputatskiy	id=g:1541196
Michurino	id=g:1541197
Tomino	id=g:1541198
Verkhniye Malyuki	id=g:1541199
Vitaminnyy	id=g:1541200
Vorob’yevo	id=g:1541201
Stantsiya Chistoye	id=g:1541202
Karandashovo	id=g:1541203
Chesnokovo	id=g:1541204
Bogolyubovka	id=g:1541205
Mogil’naya	id=g:1541206
Zelënaya Roshcha	id=g:1541207
Sevast’yanovka	id=g:1541208
Stantsiya Butyrskoye	id=g:1541209
Fominka	id=g:1541210
Ploskaya	id=g:1541211
Stantsiya Mishkino	id=g:1541212
Maloye Okunëvo	id=g:1541213
Rytikovo	id=g:1541214
Antoshkino	id=g:1541215
Malaya Zhuzhgova	id=g:1541216
Krasnyy Kholm	id=g:1541217
Kurganova	id=g:1541218
Rodniki	id=g:1541219
Kardanpolovo	id=g:1541220
Ozero Mogil’noye	id=g:1541221
Ozero Ostrovatoye	id=g:1541222
Maloye Kaban’ye	id=g:1541223
Dem’yana Bednogo	id=g:1541224
Ol’khovka	id=g:1541225
Pavelevo	id=g:1541226
Odina	id=g:1541227
Komsomol’skaya	id=g:1541228
Ozero Dubrovnoye	id=g:1541229
Samsonovka	id=g:1541230
Ozero Taktashinskoye	id=g:1541231
Ozero Shchuch’ye	id=g:1541232
Ozero Ostrovyanskoye	id=g:1541233
Ozero Bazankino	id=g:1541234
Ivankovskoye	id=g:1541235
Ozero Ivankovskoye	id=g:1541236
Ozero Kharino	id=g:1541237
Ozero Gladyshevskoye	id=g:1541238
Ozero Mayurovo	id=g:1541239
Ozero Bol’shoye Bakanovo	id=g:1541240
Ozero Maloye Bakanovo	id=g:1541241
Ozero Butyrskoye	id=g:1541242
Ozero Gavrino	id=g:1541243
Ozero Kalininskoye	id=g:1541244
Ozero Lyskovo	id=g:1541245
Gora Bol’shaya	id=g:1541246
Takhtashchikha	id=g:1541247
Gora Tsarapana	id=g:1541248
Mayevka	id=g:1541249
Ozero Shumikha	id=g:1541250
Ozero Chastoye	id=g:1541251
Ozero Banikovo	id=g:1541252
Ozero Chirukhino	id=g:1541253
Ozero Chërnoye	id=g:1541254
Ozëra Kopantsy	id=g:1541255
Ozero Ivankovo	id=g:1541256
Ozero Yunnikkol’	id=g:1541257
Ozero Bol’shoye Sazhino	id=g:1541258
Ozero Maloye Sazhino	id=g:1541259
Ozero Maloye Ptich’ye	id=g:1541260
Ozero Lobzovitik	id=g:1541261
Ozero Bukharovo	id=g:1541262
Ozero Glubokoye	id=g:1541263
Ozero Telushkino	id=g:1541264
Ozero Kur’ya	id=g:1541265
Ozero Yalangach	id=g:1541266
Ozero Selekle	id=g:1541267
Ozero Yasakly	id=g:1541268
Boloto Chiy	id=g:1541269
Ozero Nogino	id=g:1541270
Ozero Mokhovoye	id=g:1541271
Ozero Ptichanskoye Gor’koye	id=g:1541272
Ozero Bol’shoye Yegorshino	id=g:1541273
Ozero Maloye Yegorshino	id=g:1541274
Ozero Gor’koye	id=g:1541275
Ozero Golubkovskoye	id=g:1541276
Ozero Odinskoye	id=g:1541277
Ozero Klimino	id=g:1541278
Ozero Maloye Pustoye	id=g:1541279
Ozero Maloye Teter’yë	id=g:1541280
Ozero Prodol’noye	id=g:1541281
Ozero Petukhovo	id=g:1541282
Ozero Mogil’noye	id=g:1541283
Ozero Kamyshnoye	id=g:1541284
Ozero Kamyshnoye	id=g:1541285
Ozero Labzavitoye	id=g:1541286
Ozero Dyrovatkino	id=g:1541287
Ozero Okunëvo	id=g:1541288
Ozero Bol’shoye Krivoye	id=g:1541289
Ozero Maloye Krivoye	id=g:1541290
Boloto Krugloye	id=g:1541291
Chekalina	id=g:1541292
Ozero Soskovskoye	id=g:1541293
Ozero Masleyskoye	id=g:1541294
Ozero Shaburovskoye	id=g:1541295
Ozero Savkino	id=g:1541296
Ozero Krutoye	id=g:1541297
Ozero Muklykol’	id=g:1541298
Ozero Odinovskoye	id=g:1541299
Ozero Sergino	id=g:1541300
Ozëra Makarovskiye	id=g:1541301
Ozero Salomatnoye	id=g:1541302
Ozero Zarosloye	id=g:1541303
Ozero Marakaychik	id=g:1541304
Ozero Chaykino	id=g:1541305
Ozero Svetlen’koye	id=g:1541306
Ozero Malyy Il’dyash	id=g:1541307
Ozero Khokhol’kovo	id=g:1541308
Boloto Removoye	id=g:1541309
Ozero Chistoye	id=g:1541310
Nov’	id=g:1541311
Ozero Khokhlik	id=g:1541312
Ozero Berëzovo	id=g:1541313
Ozero Kurgan	id=g:1541314
Ozero Lentochnoye	id=g:1541315
Ozero Lebyazh’ye	id=g:1541316
Ozero Ryzhkovo	id=g:1541317
Ozero Ryaokovo	id=g:1541318
Ozero Chistoye	id=g:1541319
Ozero Gavrino	id=g:1541320
Ozero Plotskoye	id=g:1541321
Krasnaya	id=g:1541322
Ozero Kur’ya	id=g:1541323
Protoka Barka	id=g:1541324
Ozero Shatrovo	id=g:1541325
Ozero Dolovoye	id=g:1541326
Ozero Gor’koye	id=g:1541327
Ozero Gor’koye	id=g:1541328
Ozero Gor’koye	id=g:1541329
Ozero Peschanoye	id=g:1541330
Ozero Khokhlovatoye	id=g:1541331
Ozero Orenburg	id=g:1541332
Ozero Krivoye	id=g:1541333
Lesnoy	id=g:1541334
Ozero Azbay	id=g:1541335
Ozero Karataban	id=g:1541336
Ozero Solënoye	id=g:1541337
Ozero Saksan	id=g:1541338
Ozero Gor’koye	id=g:1541339
Ozero Arytkul’	id=g:1541340
Ozero Guskul’	id=g:1541341
Ozero Gor’koye	id=g:1541342
Ozero Goluboye	id=g:1541343
Ozero Bol’shoy Shugay	id=g:1541344
Ozero Botyl’kovo	id=g:1541345
Ozero Kalinkino	id=g:1541346
Ozero Ugol’noye	id=g:1541347
Neverovo	id=g:1541348
Ozero Kul’kul’	id=g:1541349
Oktyabr’skiy	id=g:1541350
Glinka	id=g:1541351
Dubrovka-Chelyabinskaya	id=g:1541352
Stantsiya Dubrovka-Chelyabinskaya	id=g:1541353
Aleksandrovka	id=g:1541354
Urochishche Vasil’yevka	id=g:1541355
Lyantor	id=g:1541359
Kamyshnoye	id=g:1541360
Ozero Kamyshnoye	id=g:1541361
Sary	id=g:1541362
Karakul’ka	id=g:1541363
Sbitnevo	id=g:1541364
Kordon Belozërskiy	id=g:1541365
Ozero Dusankul’	id=g:1541366
Dubrovka	id=g:1541367
Spornoye	id=g:1541368
Ozero Gor’koye	id=g:1541369
Ozero Podovinnoye	id=g:1541370
Sosnoven’koye	id=g:1541371
Urochishche Sumki	id=g:1541372
Ozero Kozyrevskoye	id=g:1541373
Ozero Pionerskoye	id=g:1541374
Ozero Kamyshnoye	id=g:1541375
Ozero Dolgoye	id=g:1541376
Shishminka	id=g:1541377
Urochishche Beshleyevka	id=g:1541378
Urochishche Sheloumovo	id=g:1541379
Ozero Maloye Popovo	id=g:1541380
Ozero Karabay	id=g:1541381
Bykovo	id=g:1541382
Ozero Bykovskoye	id=g:1541383
Zhokhovo	id=g:1541384
Ozero Lebyazh’ye	id=g:1541385
Ozero Mayorskoye	id=g:1541386
Urochishche Karaul’noye	id=g:1541387
Ozero Shishkino	id=g:1541388
Ozero Gor’koye	id=g:1541389
Znamenka	id=g:1541390
Ozero Solënoye	id=g:1541391
Ozero Gor’koye	id=g:1541392
Semënovka	id=g:1541393
Barsuch’ye	id=g:1541394
Ozero Lebedinoye	id=g:1541395
Svobodnyy	id=g:1541396
Petrograd	id=g:1541397
Razvaliny Kuybysheva	id=g:1541398
Ozero Bol’shoye Kopylovo	id=g:1541399
Urochishche Beloshumakovo	id=g:1541400
Ozero Tabyn’sha	id=g:1541401
Urochishche Salamatovo	id=g:1541402
Ozëra Bol’shoy Selitkul’	id=g:1541403
Boloto Malyy Selitkul’	id=g:1541404
Ozero Lebyazh’ye	id=g:1541405
Zuyevka	id=g:1541406
Ozero Bol’shiye Kultayki	id=g:1541407
Urochishche Kartabyz	id=g:1541408
Ozero Kol’chuzhnoye	id=g:1541409
Ozero Mogil’noye	id=g:1541410
Ozero Gor’koye	id=g:1541411
Ozero Utich	id=g:1541412
Kuznetsovo	id=g:1541413
Ozero Bol’shoye Nikitino	id=g:1541414
Kamankul’	id=g:1541415
Ozero Kamankol’	id=g:1541416
Ozero Lapushechnoye	id=g:1541417
Ozero Bishkama	id=g:1541418
Urochishche Chernorech’ye	id=g:1541419
Boloto Tavdinskoye	id=g:1541420
Ozero Gor’koye	id=g:1541421
Ozero Malyy Kunkul’	id=g:1541422
Zamerinovo	id=g:1541423
Ozero Sinevody	id=g:1541424
Ozero Ravay	id=g:1541425
Shamurino	id=g:1541426
Burmatovo	id=g:1541427
Ozero Yamanigan	id=g:1541428
Ozero Etbok	id=g:1541429
Urochishche Buryl-Aygirovo	id=g:1541430
Boloto Kur’ya	id=g:1541431
Bukharovo	id=g:1541432
Ozërnoye	id=g:1541433
Ozero Malyy Ulybashkol’	id=g:1541434
Buguy	id=g:1541435
Ozero Aslykul’	id=g:1541436
Ozero Yardykol’	id=g:1541437
Ozero Shtanovo	id=g:1541438
Ozero Karagaytibiz	id=g:1541439
Abultayevo	id=g:1541440
Maksimovka	id=g:1541441
Petrovka	id=g:1541442
Ozero Chemiskul’	id=g:1541443
Ozero Shamelya	id=g:1541444
Ozero Peschanoye	id=g:1541445
Ozero Bautnoye	id=g:1541446
Ozero Kamyshnoye	id=g:1541447
Maloye Sultanovo	id=g:1541448
Kopytovo	id=g:1541449
Ozero Pechenkino	id=g:1541450
Ozero Oslykul’	id=g:1541451
Nekrasovka	id=g:1541452
Ozero Atavly	id=g:1541453
Ozero Koshkalak	id=g:1541454
Kalmyk-Abdrashevo	id=g:1541455
Ozero Bol’shoy Koshkol’	id=g:1541456
Shchuchanka	id=g:1541457
Podurovka	id=g:1541459
Listvyanka	id=g:1541460
Ozero Chaykino	id=g:1541461
Ozero Chebach’ye	id=g:1541462
Ozero Tret’ya Plita	id=g:1541463
Ozero Vodopoynoye	id=g:1541464
Ozero Bol’shoye Kamyshnoye	id=g:1541465
Ozero Dranishnikova Lyaga	id=g:1541466
Les Kocherdykskaya Dacha	id=g:1541467
Staritsa Ostrovnaya	id=g:1541468
Staritsa Gorodovaya	id=g:1541469
Ozero Prokhorovo	id=g:1541470
Les Ozerninskaya Dacha	id=g:1541471
Ozero Zemlyanoye	id=g:1541472
Ozero Ploskoye	id=g:1541473
Ozero Glubokoye	id=g:1541474
Ozero Nikol’skoye	id=g:1541475
Les Bayevskiy	id=g:1541476
Les Kukarkin Kolok	id=g:1541477
Ozero Chërnoye	id=g:1541478
Urochishche Mayorka	id=g:1541479
Iskra	id=g:1541480
Polevoy Stan Sosnovaya Roshcha	id=g:1541481
Polevoy Stan Zherislayevo Boloto	id=g:1541482
Les Maksimovka	id=g:1541483
Ozero Kamaganskoye	id=g:1541484
Uglovaya	id=g:1541485
Les Chërnyy Kolok	id=g:1541486
Les Zarechnyy Bor	id=g:1541487
Ozero Linëvo	id=g:1541488
Urochishche Zdabinka	id=g:1541489
Ozero Khokhly	id=g:1541490
Ozero Sivkovo	id=g:1541491
Ozero Grachinoye	id=g:1541492
Ozero Solënoye	id=g:1541493
Istok	id=g:1541494
Boloto Chasha	id=g:1541495
Boloto Maloye Malygino	id=g:1541496
Boloto Petukhovo	id=g:1541497
Les Alabugskaya Dacha	id=g:1541498
Ozero Baklanskoye	id=g:1541499
Boloto Bol’shoye Malygino	id=g:1541500
Boloto Mochalovo	id=g:1541501
Boloto Stepnoye	id=g:1541502
Urochishche Matrekhino	id=g:1541503
Chesnokovka	id=g:1541504
Ozero Kabych’ye	id=g:1541505
Dobrovol’noye	id=g:1541506
Komintern	id=g:1541507
Ozero Kishka	id=g:1541508
Kamyshnoye	id=g:1541509
Ozero Samarinskoye	id=g:1541510
Gor’korechenskaya	id=g:1541511
Ozero Melent’yevo	id=g:1541512
Ozero Bol’shoye Gor’koye	id=g:1541513
Cherkasovo	id=g:1541514
Krasnaya Zvezda	id=g:1541515
Ozero Domashneye	id=g:1541516
Komsomol’skaya	id=g:1541517
Koshara Sosnovka	id=g:1541518
Logovina Moldavanskiy	id=g:1541519
Urochishche Zaroslovo	id=g:1541520
Ozero Fenino	id=g:1541521
Ozero Kulashovo	id=g:1541522
Ozero Kladovoye	id=g:1541523
Ozero Lomovo	id=g:1541524
Setovo	id=g:1541525
Ozero Krugloye	id=g:1541526
Ozero Vtoroye Zasechnoye	id=g:1541527
Ozero Dolgoye	id=g:1541528
Telechino	id=g:1541529
Les Zhukovskaya Dacha	id=g:1541530
Sorokino	id=g:1541531
Gryzanovo	id=g:1541532
Letnik Aleksandrovka	id=g:1541533
Kocharino	id=g:1541534
Sychëvo	id=g:1541535
Berëzovka	id=g:1541536
Ozero Khokhlovo	id=g:1541537
Ozero Markovo	id=g:1541538
Ozero Medvezh’ye	id=g:1541539
Ozero Vylkovo	id=g:1541540
Uzkovo	id=g:1541541
Ozero Domashneye	id=g:1541542
Urochishche Vekhotevskiy Kordon	id=g:1541543
Razuyevka	id=g:1541544
Ozëra Solontsy	id=g:1541545
Les Kaminskaya Dacha	id=g:1541546
Ozero Setovo	id=g:1541547
Letnik Krokhalevka	id=g:1541548
Ryasovo	id=g:1541549
Ozëra Ukhanovy	id=g:1541550
Ozero Ptich’ye	id=g:1541551
Ozero Kopylovo	id=g:1541552
Ozero Zhardovo	id=g:1541553
Marusino	id=g:1541614
Zatulinskiy	id=g:1541615
Levoberezhnyy	id=g:1541616
Kar’yer	id=g:1541617
Zaton	id=g:1541618
Ostrov Saranok	id=g:1541619
Ostrov Kudryash	id=g:1541620
Ostrov Medvezhiy	id=g:1541621
Sadovyy	id=g:1541623
Ozërnyy	id=g:1541624
Pristan’ Yagodnaya	id=g:1541625
Kar’yer Mochishche	id=g:1541626
Plyushchikha	id=g:1541627
Bel’kovskaya	id=g:1541628
Gomsasalya	id=g:1541629
Zaliv Torasavey	id=g:1541630
Seda	id=g:1541631
Mys Terrasnyy	id=g:1541632
Mys Mayachnyy	id=g:1541633
Ostrov Malyy	id=g:1541634
Zaliv Kutsyy Nos	id=g:1541635
Bukhta Polyarnik	id=g:1541636
Mys Opasnyy	id=g:1541637
Mys Uglovoy	id=g:1541638
Mys Pologiy	id=g:1541639
Proliv Kalinina	id=g:1541640
Proliv Belukha	id=g:1541641
Banka Sadko	id=g:1541642
Tsentral'naya Karskaya Vozvyshennost'	id=g:1541643
Banka Bryuzevitsa	id=g:1541644
Mys Russkiy	id=g:1541645
Proliv Kurochkina	id=g:1541646
Ostrova Zveroboy	id=g:1541647
Poluostrov Rybnyy	id=g:1541648
Gora Konechnaya	id=g:1541649
Banka Yukagir	id=g:1541650
Banka Malygina	id=g:1541651
Banka Sekstan	id=g:1541652
Kamni Krayniye	id=g:1541653
Banka Atomokhod	id=g:1541654
Fedosikha	id=g:1541655
Sharikha	id=g:1541656
Semkina	id=g:1541657
Pal’nichikha	id=g:1541658
Ozero Antropovo	id=g:1541659
Ozero Vasyukhino	id=g:1541660
Druzhnyy	id=g:1541661
Skakunka	id=g:1541662
Ozero Shalabolikha	id=g:1541663
Novoshilovo	id=g:1541664
Ozero Shkol’noye	id=g:1541665
Ostrov Shumskogo Kordona	id=g:1541666
Rechnik	id=g:1541667
Vlasikha	id=g:1541668
Novoozërnyy	id=g:1541669
Chistopol’ye	id=g:1541670
Ozero Shchuch’ye	id=g:1541671
Ozero Karas’ye	id=g:1541672
Ozero Mokhovoye	id=g:1541673
Krasnomayskiy	id=g:1541674
Ozero Linëvo	id=g:1541675
Ozero Kozyki	id=g:1541676
Bibikha	id=g:1541677
Staritsa	id=g:1541678
Ostrov Sivkov	id=g:1541679
Pervomayskiy	id=g:1541680
Shaytanov	id=g:1541681
Peschanyy	id=g:1541682
Futshtochnyy	id=g:1541683
Belyy-Severnyy	id=g:1541684
Belyy	id=g:1541685
Khard”yakha	id=g:1541686
Pakhayakha	id=g:1541687
Nabipakhayakha	id=g:1541688
Shokal’skogo Severnyy	id=g:1541689
Druzhba	id=g:1541690
Konechnyy	id=g:1541691
Yuzhnyy	id=g:1541692
Mysovoy	id=g:1541693
Zapadnyy Proliv	id=g:1541694
Sibiryakova Zapadnyy	id=g:1541695
Kuz'kina	id=g:1541696
Kuz'kina Sem'	id=g:1541697
Kuz'kina Dvadtsat' Odin	id=g:1541698
Sibiryakova	id=g:1541699
Makarevicha Yuzhnyy	id=g:1541700
Skala Vaygach	id=g:1541701
Banka Taymyr	id=g:1541702
Severo-Vostochnyy	id=g:1541703
Severnaya Sibiryakovskaya Otmel'	id=g:1541704
Banka Lyubashi	id=g:1541705
Mys Tumannyy	id=g:1541706
Mys Medved'	id=g:1541707
Mys Vkhodnoy	id=g:1541708
Mys Konechnyy	id=g:1541709
Otmel' Ivankovskaya	id=g:1541710
Zhelob Berendeya	id=g:1541711
Banka Irininskaya	id=g:1541712
Banka Malyshka	id=g:1541713
Banka Pakhtusova	id=g:1541714
Ozero Bol’shaya Kur’ya	id=g:1541715
Ozero Sumnoye	id=g:1541716
Ozero Ustinovo	id=g:1541717
Razvaliny Voroshilovskaya	id=g:1541718
Zhavaronki	id=g:1541719
Log Yel’nyy	id=g:1541720
Zimovka Ursu	id=g:1541721
Les Filatovskiy	id=g:1541722
Ozero Kamyshnoye	id=g:1541723
Les Kuznetsovskiy	id=g:1541724
Prud Konashovo	id=g:1541725
Razvaliny Nabokovo	id=g:1541726
Ozero Shibayevo	id=g:1541727
Ozero Kur’ya	id=g:1541728
Ozero Novoye Baydarskoye	id=g:1541729
Vozleozërnaya	id=g:1541730
Arsenovka	id=g:1541731
Sosnovyy	id=g:1541732
Stantsiya Baydary	id=g:1541733
Staritsa Glyadyana	id=g:1541734
Podgornaya	id=g:1541735
Tumanova	id=g:1541736
Urochishche Yemel’yanova Zaimka	id=g:1541737
Stantsiya Zaural’ye	id=g:1541738
Ozero Khlupovo	id=g:1541739
Vodnyy	id=g:1541740
Petrovka	id=g:1541741
Trubetskoy	id=g:1541742
Ozero Pishchal’noye	id=g:1541743
Kungurovka	id=g:1541744
Glyadyanka	id=g:1541745
Karataban	id=g:1541746
Krasnyy Oktyabr’	id=g:1541747
Ozero Soymenovo	id=g:1541748
Ozero Bol’shoye Krivoye	id=g:1541749
Polynnyy Log	id=g:1541750
Ozero Kurbatova	id=g:1541751
Ozero Bugor’kovskoye	id=g:1541752
Ozero Popovo	id=g:1541753
Ozero Bol’shoy Sigizgul’	id=g:1541754
Isakovo	id=g:1541755
Ozero Solënoye	id=g:1541756
Ozero Shchuch’ye	id=g:1541757
Ozero Ivanovskoye	id=g:1541758
Patranino	id=g:1541759
Pervomayka	id=g:1541760
Moiseyevka	id=g:1541761
Beloozërki	id=g:1541762
Mars	id=g:1541763
Berdyugino	id=g:1541764
Zelënaya Sopka	id=g:1541765
Odina	id=g:1541766
Bukharinka	id=g:1541767
Makeyevskiy	id=g:1541768
Ozero Ippolitovo	id=g:1541769
Bol’shoy Kocherdyk	id=g:1541770
Malyy Kocherdyk	id=g:1541771
Maloye Dubrovnoye	id=g:1541772
Ozero Dolgoye	id=g:1541773
Ozero Furtik	id=g:1541774
Boloto Kul’pino	id=g:1541775
Ozero Latyshevo	id=g:1541776
Ozero Dutoye	id=g:1541777
Ozero Peschanoye	id=g:1541778
Ozero Sem’ Berezok	id=g:1541779
Ozero Gur’yevka	id=g:1541780
Chernyakino	id=g:1541781
Predkovo	id=g:1541782
Ozero Lafetinskoye	id=g:1541783
Ozero Kamyshnoye	id=g:1541784
Zagrebino	id=g:1541785
Ozero Mayorskoye	id=g:1541786
Boloto Bol’shoye Zaymishche	id=g:1541787
Ozero Gor’koye	id=g:1541788
Ozero Presnoye	id=g:1541789
Ozero Grachinoye	id=g:1541790
Ozero Peski	id=g:1541791
Molodënki	id=g:1541792
Kozyrevka	id=g:1541793
Ozero Bashkurovo	id=g:1541794
Ozero Krivoye	id=g:1541795
Ozero Bol’shoye Bich’ye	id=g:1541796
Ozero Maloye Batovo	id=g:1541797
Doron’kino	id=g:1541798
Ozero Uglovoye	id=g:1541799
Ozero Lobzovitoye	id=g:1541800
Ozero Kolesnikovo	id=g:1541801
Ozero Rechnoye	id=g:1541802
Ozero Pisarevo	id=g:1541803
Ozero Pervoye Zasechnoye	id=g:1541804
Ozero Solënoye	id=g:1541805
Bannikovo	id=g:1541806
Ozero Kabakta	id=g:1541807
Ozero Bol’shoye Kobyl’ye	id=g:1541808
Ozero Maloye Kobyl’ye	id=g:1541809
Krutoy Log	id=g:1541810
Kazakkulovo	id=g:1541811
Ozero Babilka	id=g:1541812
Ozero Staroye Zhilishche	id=g:1541813
Ozero Shtanovo	id=g:1541814
Ozero Malyshevo	id=g:1541815
Ozero Maloye Malyshevo	id=g:1541816
Ozero Gusinoye	id=g:1541817
Kiley-Kazakkulovo	id=g:1541818
Ozero Koshkol’	id=g:1541819
Ozero Mortaza	id=g:1541820
Les Abitkush	id=g:1541821
Urochishche Sosnovaya Step’	id=g:1541822
Les Ponomareva Dacha	id=g:1541823
Ozero Bel’kau	id=g:1541824
Ozero Bab’ye	id=g:1541825
Solnechnaya	id=g:1541826
Urochishche Nekrasovskaya Step’	id=g:1541827
Boloto Yushkovo	id=g:1541828
Urochishche Rapaki	id=g:1541829
Ozero Koptelovo	id=g:1541830
Ozero Maloye Krotovo	id=g:1541831
Les Dubrova	id=g:1541832
Boloto Nikitino	id=g:1541833
Urochishche Kurmatysh	id=g:1541834
Ozero Rybnoye	id=g:1541835
Ozero Mokhovoye	id=g:1541836
Ozero Maloye Vinnoye	id=g:1541837
Boloto Bol’shoye Krotovo	id=g:1541838
Boloto Bol’shoye Pavino	id=g:1541839
Boloto Dolgoye	id=g:1541840
Les Yatovityy Kolok	id=g:1541841
Ozero Chistoye	id=g:1541842
Yamki	id=g:1541843
Log Ivan’kovo	id=g:1541844
Boloto Fanovo	id=g:1541845
Les Volch’i Nory	id=g:1541846
Boloto Kanat’yeva Lyaga	id=g:1541847
Ozero Detkovskoye	id=g:1541848
Ozero Kuz’minovka	id=g:1541849
Ozero Vishnyakkol’	id=g:1541850
Ozero Soroch’ye	id=g:1541851
Ozero Chaynoye	id=g:1541852
Prud Kur’ya	id=g:1541853
Ozero Gor’koye	id=g:1541854
Ozero Grokhotovskoye	id=g:1541855
Ozero Ustnikovo	id=g:1541856
Ozero Vyyemka	id=g:1541857
Ozero Domashneye	id=g:1541858
Chërtovo	id=g:1541859
Dudino	id=g:1541860
Ozero Krugloye	id=g:1541861
Ozero Kamyshnoye	id=g:1541862
Ozero Polovinnoye	id=g:1541863
Ozero Panshchina	id=g:1541864
Ozero Gor’koye	id=g:1541865
Ozero Topkoye	id=g:1541866
Ozero Plitino	id=g:1541867
Ozero Zaymishche	id=g:1541868
Ozero Gor’ko-Savino	id=g:1541869
Ozero Peresheynoye	id=g:1541870
Boloto Cherepanovo	id=g:1541871
Ozero Kureynoye	id=g:1541872
Ozero Kulashovskoye	id=g:1541873
Ozero Pervyy	id=g:1541874
Boloto Timino	id=g:1541875
Urochishche Krutoberegoye	id=g:1541876
Ozero Tibis	id=g:1541877
Ozero Kukayde	id=g:1541878
Ozero Sardakty	id=g:1541879
Ozero Dubrovnoye	id=g:1541880
Ozero Beloye	id=g:1541881
Ozero Sredneye	id=g:1541882
Ozero Mochishche	id=g:1541883
Ozero Solënoye	id=g:1541884
Ozero Asokanskoye	id=g:1541885
Ozero Solënoye	id=g:1541886
Ozero Strashnoye	id=g:1541887
Ozero Chistoye	id=g:1541888
Ozero Zamanilkino	id=g:1541889
Ozero Kondryakovo	id=g:1541890
Ozero Dolgoye	id=g:1541891
Ozero Saraksan	id=g:1541892
Ozero Tibizkul’	id=g:1541893
