Martin Family Cemetery	id=g:5579600
Trail Draw	id=g:5582839
Trail Creek Ranch	id=g:5582840
Trail Gulch	id=g:5582841
Trail Gulch	id=g:5582842
Trail Mountain	id=g:5582843
Trailhead Campground	id=g:5582844
Trails End	id=g:5582845
Trails End Ranch	id=g:5582846
Trails End Ranch Cemetery	id=g:5582847
Trap Creek	id=g:5582848
Trail Ridge	id=g:5582849
Trap Lake	id=g:5582850
Trap Park	id=g:5582851
Trapper	id=g:5582852
Trapper Strip Mine	id=g:5582853
Trappers Gulch	id=g:5582854
Trap Draw	id=g:5582855
Tree Culture Gulch	id=g:5582856
Treasure Hill Mine	id=g:5582857
Tremont Canal	id=g:5582858
Trevarton Reservoir	id=g:5582859
Trevenen Claims	id=g:5582860
Tri State Quarry	id=g:5582861
Tri-County Airport	id=g:5582862
Tri-County Heliport	id=g:5582863
Triangle Lake	id=g:5582864
Triangle Mountain	id=g:5582865
Triangle Reservoir Number 1	id=g:5582866
Trilby Corner	id=g:5582867
Trilby Lateral	id=g:5582868
Trinity Lutheran Church	id=g:5582869
Trio Falls	id=g:5582870
Triple Creek Ranch	id=g:5582871
Triple Lakes	id=g:5582872
Triplet Falls	id=g:5582873
Trojan Ranch	id=g:5582874
Trollop Creek	id=g:5582875
Treiber Pit	id=g:5582876
Troublesome	id=g:5582877
Troublesome Creek	id=g:5582878
Trombo Mine	id=g:5582879
Troublesome Ditch	id=g:5582880
Troublesome Pass	id=g:5582881
Trough Gulch	id=g:5582882
Troublesome Creek Trail	id=g:5582883
The Trough	id=g:5582884
Troupe Quarry	id=g:5582885
Trout Creek	id=g:5582886
Trout Creek	id=g:5582887
Trout Creek	id=g:5582888
Trout Creek Ditch	id=g:5582889
Trout Creek Ditch Number 4	id=g:5582890
Trout Creek School	id=g:5582891
Trout Creek School Ditch	id=g:5582892
Trout Creek Number One Mine	id=g:5582893
Troutman Draw	id=g:5582894
Trowel Ditch	id=g:5582895
Trownsell Ranch	id=g:5582896
True Gulch	id=g:5582897
Trowel Ranch	id=g:5582898
Trull Creek	id=g:5582899
Trull Creek Number 1 Dam	id=g:5582900
Truscott Elementary School	id=g:5582901
Tschuddi Gulch	id=g:5582902
Trull Creek Reservoir Number 1	id=g:5582903
Tumble Mountain	id=g:5582904
Tumblesom Lake	id=g:5582905
Tumbleson Dam	id=g:5582906
Tundra Curves	id=g:5582907
Tungsten Lode Mine	id=g:5582908
Tungsten Mine	id=g:5582909
Tunnel Campground	id=g:5582910
Tunnel Creek	id=g:5582911
Tuber	id=g:5582912
Tunnel Creek	id=g:5582913
Tunnel Rest Area	id=g:5582914
Turner Creek	id=g:5582915
Turkey Roost	id=g:5582916
Turners Creek	id=g:5582917
Turner Hill	id=g:5582918
Turpen Ranch	id=g:5582919
Tuscarora Gulch	id=g:5582920
Turnpike Mine	id=g:5582921
Tuxedo Park	id=g:5582922
Tuxedo Park Cemetery	id=g:5582923
Twelve Mile Gulch	id=g:5582924
Tuttle Ranch	id=g:5582925
Twelvemile Mesa	id=g:5582926
Twenty Mile Mine	id=g:5582927
Twentymile Park	id=g:5582928
Twentytwo Slough	id=g:5582929
Twelvemile Corner	id=g:5582930
Twin Buttes	id=g:5582931
Twin Buttes	id=g:5582932
Twin Buttes	id=g:5582933
Twin Buttes Ditch	id=g:5582934
Twin Cabin Gulch	id=g:5582935
Twin Brothers Mine	id=g:5582936
Twin Creek	id=g:5582937
Twin Crater Lakes	id=g:5582938
Twin Hills	id=g:5582939
Twin Lake	id=g:5582940
Twin Lake	id=g:5582941
Twin Lake	id=g:5582942
Twin Lake Trail	id=g:5582943
Twin Lakes	id=g:5582944
Twin Lakes	id=g:5582945
Twin Lakes Dam	id=g:5582946
Twin Mandall Lakes	id=g:5582947
Twin Mills	id=g:5582948
Twin Mounds	id=g:5582949
Twin Mounds School	id=g:5582950
Twin Mountain	id=g:5582951
Twin Mountain Mine	id=g:5582952
The Twin Owls	id=g:5582953
Twin Peaks	id=g:5582954
Twin Peaks Charter Academy	id=g:5582955
Twin Peaks Mall	id=g:5582956
Twin Pines Point	id=g:5582957
Twin Sister Mine	id=g:5582958
Twin Sister Trail	id=g:5582959
Twin Sisters Mountain	id=g:5582960
Twin Sisters Peaks	id=g:5582961
Twin Springs	id=g:5582962
Twin Vein Mine	id=g:5582963
Twin Wash	id=g:5582964
Twin Creek Ranger Station	id=g:5582965
Twin Wash	id=g:5582966
Twin Wash	id=g:5582967
Twisty Park	id=g:5582968
Two Bar Draw	id=g:5582969
Two Bar Ranch	id=g:5582970
Two Bar Springs	id=g:5582971
Two Ledge Dam	id=g:5582972
Two Ledge Reservoir	id=g:5582973
Two Mile Windmill	id=g:5582974
Two Rivers Lake	id=g:5582975
Two Timer Windmill	id=g:5582976
Two and One Half Creek	id=g:5582977
Two Bar Ranch	id=g:5582978
Twombly Primary School	id=g:5582979
Twombly Reservoir	id=g:5582980
Twomile Canyon	id=g:5582981
Twombley Dam	id=g:5582982
Twomile Creek	id=g:5582983
Tyler Mountain	id=g:5582984
Tyndall Creek	id=g:5582985
Tynan Mine	id=g:5582986
Tyndall Gorge	id=g:5582987
Tyndall Glacier	id=g:5582988
U. P. Mine	id=g:5582989
U.S. Gypsum Quarry	id=g:5582990
U.S.B.M. Number One Shaft	id=g:5582991
Uhl Reservoir	id=g:5582992
Uhler Ranch	id=g:5582993
Uhrich Airport	id=g:5582994
Ulrich Ditch	id=g:5582995
Union	id=g:5582996
Union Dam	id=g:5582997
Union Ditch	id=g:5582998
Union Ditch Extension	id=g:5582999
Union Pacific Mine	id=g:5583000
Union Reservoir	id=g:5583001
Union Reservoir Ditch	id=g:5583002
Union School	id=g:5583003
Unitarian Church (historical)	id=g:5583004
United Building Stone Quarry	id=g:5583005
United Empire Mine	id=g:5583006
United Mines	id=g:5583007
United States Postal Service Annex	id=g:5583008
Unity Church	id=g:5583009
University Hill School	id=g:5583010
University of Colorado at Boulder	id=g:5583011
University of Colorado Camp	id=g:5583012
University of Colorado Quarry	id=g:5583013
University of Northern Colorado	id=g:5583014
Upham Gulch	id=g:5583015
U S Soldier Grave	id=g:5583016
Upper Barton Camp	id=g:5583017
Upper Camp Lake	id=g:5583018
Upper Cogdill Lake	id=g:5583019
Upper Coney Lake	id=g:5583020
Upper Craven Dam	id=g:5583021
Upper Craven Reservoir	id=g:5583022
Upper Disaster Falls	id=g:5583023
Upper Highland Ditch	id=g:5583024
Upper Hoffman Lake	id=g:5583025
Upper House Dam	id=g:5583026
Upper House Reservoir	id=g:5583027
Upper Jack Springs Camp	id=g:5583028
Upper Lake	id=g:5583029
Upper Landing Campground	id=g:5583030
Upper Michigan Ditch	id=g:5583031
Upper North Fork Thompson Picnic Ground	id=g:5583032
Upper Platte and Beaver Canal	id=g:5583033
Upper Robinson Dam	id=g:5583034
Upper Robinson Reservoir	id=g:5583035
Upper Sandbar Lake	id=g:5583036
Upper Slavonia Mine	id=g:5583037
Upper Slide Lake	id=g:5583038
Upper South Fork Campground	id=g:5583039
Upper Stillwater Dam	id=g:5583040
Upper Stillwater Reservoir	id=g:5583041
Upper Stonewall Dam	id=g:5583042
Upper Stonewall Reservoir	id=g:5583043
Upper Sugarloaf Mountain	id=g:5583044
Upper Twin Lake	id=g:5583045
Uranium Peak	id=g:5583046
Ute Bill Creek	id=g:5583047
Upland and Home Ditch Number 1	id=g:5583048
Ute Creek	id=g:5583049
Ute Creek	id=g:5583050
Ute Creek Trailhead	id=g:5583051
Ute Gulch	id=g:5583052
Ute Lake	id=g:5583053
Ute Pass	id=g:5583054
Ute Pass Ditch	id=g:5583055
Ute Pass Trail	id=g:5583056
Ute Spring	id=g:5583057
Ute Trail	id=g:5583058
Utica Mine	id=g:5583059
Vail Water Well	id=g:5583060
Vale of Tears	id=g:5583061
Ute Pass	id=g:5583062
Valley	id=g:5583063
Valley Airpark	id=g:5583064
Valley Ditch	id=g:5583065
Valley Mine	id=g:5583066
Valley Oil Field	id=g:5583067
Valley View Claims Number 142	id=g:5583068
Valley View School	id=g:5583069
Valley Windmill	id=g:5583070
Valmont	id=g:5583071
Valmont 'A' Dam	id=g:5583072
Valmont Butte	id=g:5583073
Valmont Cemetery	id=g:5583074
Valmont Reservoir	id=g:5583075
Van Educational Center	id=g:5583076
Van Gundy Pit	id=g:5583077
Van Noy Valley	id=g:5583078
Valentine School	id=g:5583079
Van Valkenburg Dam	id=g:5583080
Van Valkenburg Ranch	id=g:5583081
Van Valkenburg Reservoir	id=g:5583082
Vance Brand Airport	id=g:5583083
Vannorsdel Family Cemetery	id=g:5583084
Varsity Lake	id=g:5583085
Vat Windmill	id=g:5583086
Vaughan Lake	id=g:5583087
Vaughn Draw	id=g:5583088
Van Patten Ditch	id=g:5583089
Vermillion Bluffs	id=g:5583090
Vermillion Cliffs Mine	id=g:5583091
Vermillion Creek	id=g:5583092
Verbich Windmill	id=g:5583093
Lake Verna	id=g:5583094
Veterans Memorial Park	id=g:5583095
Victor Ditch	id=g:5583096
Victor Mine	id=g:5583097
Victoria Lake	id=g:5583098
Victoria Mine	id=g:5583099
Victory Claim Group	id=g:5583100
Victory Mine	id=g:5583101
Victory School	id=g:5583102
Villa Shopping Center	id=g:5583103
Village Belle Creek	id=g:5583104
Vermillion Mesa	id=g:5583105
Villard Flats Reservoir	id=g:5583106
Vils Ranch	id=g:5583107
Vim School	id=g:5583108
Vim Windmill	id=g:5583109
Viola Beatty Claim	id=g:5583110
Viola Beatty Claim Mine	id=g:5583111
Violet Ray Mine	id=g:5583112
Virginia Dale	id=g:5583113
Virginia Dale Church	id=g:5583114
Virginia Dale Community Church Cemetery	id=g:5583115
Virginia Dale School	id=g:5583116
Visintainer Ranch	id=g:5583117
Vista Ridge Academy	id=g:5583118
Vista Ridge Academy	id=g:5583119
Vita Ditch	id=g:5583120
Vivian Windmill	id=g:5583121
Vollmar	id=g:5583122
Vona Mae Mine	id=g:5583123
Wa Ba Na Mine	id=g:5583124
Waddell Creek Dam	id=g:5583125
Waddle Creek	id=g:5583126
Village Belle Mine	id=g:5583127
Waddle Creek Reservoir	id=g:5583128
Wade Dam	id=g:5583129
Wade Lake	id=g:5583130
Wade Ranch	id=g:5583131
Wade and Curtis Cabin	id=g:5583132
Wadell Gulch	id=g:5583133
Waddle Creek Oil Field	id=g:5583134
Wagon Wheel Ditch	id=g:5583135
Wagon Wheel Point	id=g:5583136
Wahketa Lease Mine	id=g:5583137
Waite Lake	id=g:5583138
Walden	id=g:5583139
Walden Dam	id=g:5583140
Walden Ditch	id=g:5583141
Walden Hollow	id=g:5583142
Wages Church	id=g:5583143
Walden-Jackson County Airport	id=g:5583144
Waldron Ranch	id=g:5583145
Waldrop North Trail	id=g:5583146
Wales Ditch	id=g:5583147
Walker	id=g:5583148
Walker Dam	id=g:5583149
Walker Ditch	id=g:5583150
Walker Elevator	id=g:5583151
Walker Mine	id=g:5583152
Walker Mountain	id=g:5583153
Walker Reservoir	id=g:5583154
Walker Tunnel	id=g:5583155
Walker Tunnel Mine	id=g:5583156
Wallstreet	id=g:5583157
Walrod Dam	id=g:5583158
Walrod Reservoir	id=g:5583159
Walt Clark Middle School	id=g:5583160
Walton Creek	id=g:5583161
Walden Reservoir	id=g:5583162
Walton Creek Ditch	id=g:5583163
Walton Peak	id=g:5583164
Waltonia	id=g:5583165
Wamsley Cattle Ranch	id=g:5583166
Wangnild Family Cemetery	id=g:5583167
Wano Mine	id=g:5583168
Wapiti Peak	id=g:5583169
Wapiti Ranch	id=g:5583170
Wapiti Trail	id=g:5583171
War Dance Falls	id=g:5583172
Ward	id=g:5583173
Ward Ditch	id=g:5583174
Ward Mine	id=g:5583175
Ward Rose Mine	id=g:5583176
Warm Springs	id=g:5583177
Warm Springs Cedars	id=g:5583178
Warm Springs Draw	id=g:5583179
Walton Creek Campground	id=g:5583180
Warren	id=g:5583181
Warren Bottom	id=g:5583182
Warren Ditch	id=g:5583183
Warren Draw	id=g:5583184
Warms Spring Cliff	id=g:5583185
Warrick Ranch	id=g:5583186
Warwick Mine	id=g:5583187
Warwick Mine	id=g:5583188
Wasatch Camp	id=g:5583189
Wash Spring	id=g:5583190
Washburn Mine	id=g:5583191
Washington Bilingual Elementary School	id=g:5583192
Washington Granite Quarry	id=g:5583193
Washington Irving Mine	id=g:5583194
Washington Mine	id=g:5583195
Washington Mine	id=g:5583196
Washington School	id=g:5583197
Washout Gulch	id=g:5583198
Warren Lake	id=g:5583199
Wasson Draw	id=g:5583200
Wasson Dam	id=g:5583201
Waste Creek	id=g:5583202
Wasson Reservoir	id=g:5583203
Watanga Creek	id=g:5583204
Waste Ditch	id=g:5583205
Watanga Mountain	id=g:5583206
Water Supply Number 3 Dam	id=g:5583207
Water Supply Number 4 Dam	id=g:5583208
Water Supply and Storage Reservoir Number 3	id=g:5583209
Water Supply and Storage Reservoir Number 4	id=g:5583210
Watering Trough Gulch	id=g:5583211
Watanga Lake	id=g:5583212
Watha Gulch	id=g:5583213
Watershed School	id=g:5583214
Watson Creek	id=g:5583215
Watson Draw	id=g:5583216
Watson Lake	id=g:5583217
Watson Mine	id=g:5583218
Watson Mountain	id=g:5583219
Watson Place	id=g:5583220
Wattenberg	id=g:5583221
Wattenberg Ranch	id=g:5583222
Wattenberg School	id=g:5583223
Wauneta	id=g:5583224
Waverly	id=g:5583225
Ways Gulch	id=g:5583226
Watson Lake Dam	id=g:5583227
Weaver Ranch	id=g:5583228
Weeping Rock Springs	id=g:5583229
Weir	id=g:5583230
Weir Place	id=g:5583231
Weisbeck Mine	id=g:5583232
Weisner Cemetery	id=g:5583233
Weiss Windmill	id=g:5583234
Mount Welba	id=g:5583235
Welch Ditch	id=g:5583236
Welch Reservoir	id=g:5583237
Welch and Peabody Ditch	id=g:5583238
Weld County	id=g:5583239
Weld County Gravel Pit	id=g:5583240
Weld County Landfill	id=g:5583241
Weld County Municipal Airport	id=g:5583242
Weld County Public Hospital	id=g:5583243
Weld County Sheriff Office	id=g:5583244
Weldon Valley Ditch	id=g:5583245
Weldona	id=g:5583246
Well Gulch	id=g:5583247
Weaver Quarry	id=g:5583248
Weller Draw	id=g:5583249
Wellington	id=g:5583250
Wellington Siding	id=g:5583251
Wells Cow Camp	id=g:5583252
Welty	id=g:5583253
Wendell Goff Dam	id=g:5583254
Wendell Goff Reservoir	id=g:5583255
Weng Pit	id=g:5583256
Mount Werner	id=g:5583257
Mount Wescott	id=g:5583258
West Arapaho Reservoir	id=g:5583259
West Arapahoe Dam	id=g:5583260
West Boettcher Ditch	id=g:5583261
West Boone Draw	id=g:5583262
Wellington Oil Field	id=g:5583263
West Branch Laramie River	id=g:5583264
West Boulder Senior Center	id=g:5583265
West Branch Trailhead	id=g:5583266
West Buffalo Ditch	id=g:5583267
West Burlington Extension Ditch	id=g:5583268
West Cactus Flat	id=g:5583269
West Chimney	id=g:5583270
West Coal Creek	id=g:5583271
West Branch Trail	id=g:5583272
West Creek	id=g:5583273
West Cross Windmill	id=g:5583274
West End Spring	id=g:5583275
West Farr Windmill	id=g:5583276
West Fish Creek	id=g:5583277
West Dripping Rock	id=g:5583278
West Fork Beaver Creek	id=g:5583279
West Fork Cottonwood Creek	id=g:5583280
West Fork Ditch	id=g:5583281
West Fork East Fork Williams Fork	id=g:5583282
West Fork Elk River	id=g:5583283
West Fork Encampment River	id=g:5583284
West Fork Fawn Creek	id=g:5583285
West Fork Good Spring Creek	id=g:5583286
West Fork Jubb Creek	id=g:5583287
West Fork Lake	id=g:5583288
West Fork Lion Canyon	id=g:5583289
West Fork Little Thompson River	id=g:5583290
West Fork Meadows	id=g:5583291
West Fork Ninemile Creek	id=g:5583292
West Fork Sand Creek	id=g:5583293
West Fork Sheep Creek	id=g:5583294
West Fork Spring Creek	id=g:5583295
West Fork Trail	id=g:5583296
West Fork Willow Creek	id=g:5583297
West Gibraltar Peak	id=g:5583298
West Grand Middle School	id=g:5583299
West Grapevine Ditch	id=g:5583300
West Greeley	id=g:5583301
West Gulch	id=g:5583302
West Home Ranch	id=g:5583303
West Jordan Gulch	id=g:5583304
West Grand High School	id=g:5583305
West Lake Campground	id=g:5583306
West Lost Lake	id=g:5583307
West Luxen Draw	id=g:5583308
West Lake	id=g:5583309
West Marvine Creek	id=g:5583310
West Neres Canal	id=g:5583311
West Pine Creek	id=g:5583312
West Nile Reservoir	id=g:5583313
West Prong South Fork Slater Creek	id=g:5583314
West Portal	id=g:5583315
West Prong Spring Creek	id=g:5583316
West Sand Creek	id=g:5583317
West Serviceberry Draw	id=g:5583318
West Side Canal	id=g:5583319
West Simpson Well	id=g:5583320
West Timberlake Creek	id=g:5583321
West Side Highland Ditch	id=g:5583322
West Tschuddi Gulch	id=g:5583323
West Twin Wash	id=g:5583324
West White Pine Mountain	id=g:5583325
Westberg-Rosling Farms Airport	id=g:5583326
Westerdoll Lake	id=g:5583327
Western Box Campground	id=g:5583328
Western Meadows Shopping Center	id=g:5583329
Western Mutual Ditch	id=g:5583330
Westfield Ditch	id=g:5583331
Westoff Pit	id=g:5583332
Westplains	id=g:5583333
Westside School	id=g:5583334
Westview Presbyterian Church	id=g:5583335
Wet Gulch	id=g:5583336
Wet Park	id=g:5583337
Whale Lake	id=g:5583338
Whale Pit	id=g:5583339
Whalen Creek	id=g:5583340
West Xenia Oil Field	id=g:5583341
Wheatley Creek	id=g:5583342
Wheat Lake	id=g:5583343
Wheatley Ranch	id=g:5583344
Wheeler Basin	id=g:5583345
Wheeler Basin	id=g:5583346
Wheeler Creek	id=g:5583347
Wheatley Ranch	id=g:5583348
Wheeler Creek	id=g:5583349
Wheeler Ditch	id=g:5583350
Wheelman	id=g:5583351
Whetstone Number 3 Dam	id=g:5583352
Whetstone Reservoir	id=g:5583353
Whetstone Reservoir Number 3	id=g:5583354
Whippie Canyon	id=g:5583355
Wheeler Lake	id=g:5583356
Whipple Creek	id=g:5583357
Whirlpool Canyon	id=g:5583358
Whiskey Creek	id=g:5583359
Whiskey Creek	id=g:5583360
Whiskey Draw	id=g:5583361
Whiskey Draw	id=g:5583362
Whiskey Park	id=g:5583363
Whiskey Springs	id=g:5583364
Whiskey Springs Ranch	id=g:5583365
Whitaker Ranch	id=g:5583366
White Ash Mine	id=g:5583367
White Bear Ranch	id=g:5583368
White Cloud Mine	id=g:5583369
White Crow Mine	id=g:5583370
White Eagle Mine	id=g:5583371
White Pine Mine	id=g:5583372
White Quarry	id=g:5583373
White Raven Mine	id=g:5583374
White River City	id=g:5583375
White River Cliff Mine	id=g:5583376
White River Mine	id=g:5583377
White Rock	id=g:5583378
White Rock	id=g:5583379
White Rock Mine	id=g:5583380
White Slide	id=g:5583381
White Slide Mountain	id=g:5583382
White and Headly Gold Mine	id=g:5583383
Whitehouse Mine	id=g:5583384
Whiteley Peak	id=g:5583385
Whiteley Peak Reservoir	id=g:5583386
Whiteley-Nelson Dam	id=g:5583387
Whiteley-Nelson Reservoir	id=g:5583388
Whitely Peak Dam	id=g:5583389
Whiterock Ditch	id=g:5583390
Whitlock Mine	id=g:5583391
Whitney Ditch	id=g:5583392
Whittier Oil Field	id=g:5583393
Whittier School	id=g:5583394
Whittington Dam	id=g:5583395
Whittington Reservoir	id=g:5583396
Who Do Mine	id=g:5583397
Wickstrom Dam	id=g:5583398
Wickstrom Reservoir	id=g:5583399
Wiggins	id=g:5583400
Wiggins Heliport	id=g:5583401
Wild Basin	id=g:5583402
Wild Basin Ranger Station	id=g:5583403
Wild Canyon	id=g:5583404
Whiskey Park Mine	id=g:5583405
Wild Horse Creek	id=g:5583406
Wild Cow Park	id=g:5583407
Wild Horse Creek	id=g:5583408
Wild Horse Ditch	id=g:5583409
Wild Horse Draw	id=g:5583410
Wild Horse Lake	id=g:5583411
Wild Horse Spring	id=g:5583412
Wild Mountain	id=g:5583413
Wild Tiger Mine	id=g:5583414
Wildcat	id=g:5583415
Wildcat Canyon	id=g:5583416
Wild Horse Ridge	id=g:5583417
Wildcat Creek	id=g:5583418
Wildcat Draw	id=g:5583419
Wildcat Mound	id=g:5583420
Wildhorse Creek	id=g:5583421
Wildhorse Creek	id=g:5583422
Wildhorse Number 1 Dam	id=g:5583423
Wildhorse Tit	id=g:5583424
Wildhorse Windmill	id=g:5583425
Wilford Ranch	id=g:5583426
Willard	id=g:5583427
Willey Lumber Camp	id=g:5583428
William Kerr Ditch	id=g:5583429
William Leon Schawo Airport	id=g:5583430
William T Browder Heliport	id=g:5583431
Williams Draw	id=g:5583432
Wildhorse Reservoir 1	id=g:5583433
Williams Fork	id=g:5583434
Williams Family Cemetery	id=g:5583435
Williams Fork	id=g:5583436
Williams Fork Dam	id=g:5583437
Williams Fork Reservoir	id=g:5583438
Williams Gulch	id=g:5583439
Williams Fork Mountains	id=g:5583440
Williams Park	id=g:5583441
Williams Park Ditch	id=g:5583442
Williams Ranch Airport	id=g:5583443
Williams-McCreery Dam	id=g:5583444
Williams-McCreery Reservoir	id=g:5583445
Williamsfork Number One Mine	id=g:5583446
Williamson Mine	id=g:5583447
Willow Creek	id=g:5583448
Williams Lake	id=g:5583449
Willow Creek	id=g:5583450
Willow Creek	id=g:5583451
Willow Creek	id=g:5583452
Willow Creek	id=g:5583453
Willow Creek	id=g:5583454
Willow Creek	id=g:5583455
Willow Creek	id=g:5583456
Willow Creek	id=g:5583457
Willow Creek	id=g:5583458
Willow Creek	id=g:5583459
Willow Creek	id=g:5583460
Willow Creek	id=g:5583461
Willow Creek	id=g:5583462
Willow Creek	id=g:5583463
Willow Creek	id=g:5583464
Willow Creek	id=g:5583465
Willow Creek Campground	id=g:5583466
Willow Creek Canal Picnic Area	id=g:5583467
Willow Creek Canyon	id=g:5583468
Willow Creek Boat Ramp	id=g:5583469
Willow Creek Dam	id=g:5583470
Willow Creek Lake	id=g:5583471
Willow Creek Pass	id=g:5583472
Willow Creek Pump Canal	id=g:5583473
Willow Creek Reservoir	id=g:5583474
Willow Gulch	id=g:5583475
Willow Creek Dam	id=g:5583476
Willow Lake	id=g:5583477
Willow Park	id=g:5583478
Willow Park	id=g:5583479
Willow Pass Trail	id=g:5583480
Willow Spring	id=g:5583481
Willow Spring	id=g:5583482
Willow Spring	id=g:5583483
Willow Spring	id=g:5583484
Willow Springs	id=g:5583485
Willow Springs	id=g:5583486
Willow Springs II Shopping Center	id=g:5583487
Wills Dam	id=g:5583488
Wills Reservoir	id=g:5583489
Wilset Creek	id=g:5583490
Willow Lake	id=g:5583491
Wilson Creek	id=g:5583492
Wilson Creek Camp	id=g:5583493
Wilson Dam	id=g:5583494
Wilson Ditch	id=g:5583495
Wilson Ditch	id=g:5583496
Wilson Mesa	id=g:5583497
Wilson Park	id=g:5583498
Wilson Place	id=g:5583499
Wilson Ranch	id=g:5583500
Wilson Reservoir	id=g:5583501
Wilson Reservoir	id=g:5583502
Wilson Spring	id=g:5583503
Wind Cow Draw	id=g:5583504
Wilson Creek Oil Field	id=g:5583505
Wind River	id=g:5583506
Wind River Pass	id=g:5583507
Winding River Ranch	id=g:5583508
Windsor	id=g:5583509
Windsor Dam	id=g:5583510
Windsor Ditch	id=g:5583511
Windsor Lake	id=g:5583512
Windsor Lake Dam	id=g:5583513
Windsor Number 8 Dam	id=g:5583514
Windsor Pit	id=g:5583515
Windsor Reservoir	id=g:5583516
Windsor Reservoir Divide Number 8	id=g:5583517
Windsor Reservoir Number 8	id=g:5583518
Windsor Reservoir Outlet	id=g:5583519
Windy Bill Cow Camp	id=g:5583520
Windy Gap	id=g:5583521
Windy Gap Lake	id=g:5583522
Windy Gap Reservoir	id=g:5583523
Windy Gulch	id=g:5583524
Windbreak Windmill	id=g:5583525
Windy Gulch	id=g:5583526
Windy Gulch	id=g:5583527
Windy Point	id=g:5583528
Winona Mine	id=g:5583529
Winscom Mine	id=g:5583530
Winter Valley	id=g:5583531
Windy Point Number One Mine	id=g:5583532
Winter Valley Gulch	id=g:5583533
Wintersteen Park	id=g:5583534
Wire Draw	id=g:5583535
Wintersteen Trail	id=g:5583536
Wisconsin Ditch	id=g:5583537
Wisconsin Ditch	id=g:5583538
Wisconsin Mine	id=g:5583539
Wisconsin Mine	id=g:5583540
Wisdom Ranch Mine	id=g:5583541
Wise Gulch	id=g:5583542
Wise Hill Mine Number Five	id=g:5583543
Wiswall Ditch	id=g:5583544
Wither Ditch	id=g:5583545
Wolf Creek	id=g:5583546
Wirth Field	id=g:5583547
Wolf Creek	id=g:5583548
Wolf Creek Canyon	id=g:5583549
Wolf Creek Reservoir	id=g:5583550
Wolf Creek Spring	id=g:5583551
Wolf Mountain	id=g:5583552
Wolf Mountain	id=g:5583553
The Wolf Spring	id=g:5583554
Wolf Tongue Mine	id=g:5583555
Wolfer Ditch	id=g:5583556
Wolfer Ditch	id=g:5583557
Wolff Lease Mine	id=g:5583558
Wolford Mountain	id=g:5583559
Wolverine Basin	id=g:5583560
Wolverine Creek	id=g:5583561
Wolf Creek Reservoir Number 2	id=g:5583562
Wolverine Mine	id=g:5583563
Wolverine Mine	id=g:5583564
Wolverine Trail	id=g:5583565
Wonderland Lake	id=g:5583566
Wood Dam	id=g:5583567
Wood Gulch	id=g:5583568
Wolverine Lake	id=g:5583569
Wood Mine	id=g:5583570
Wood Mountain	id=g:5583571
Wood Mountain Group Mine	id=g:5583572
Wood Road Draw	id=g:5583573
Wood Lake	id=g:5583574
Woodbury Gulch	id=g:5583575
Woodbury Ditch	id=g:5583576
Woodchuck Hill	id=g:5583577
Woodchuck Mine	id=g:5583578
Woodham Cemetery	id=g:5583579
Woodhams Quarry	id=g:5583580
Woods	id=g:5583581
Woods Dam	id=g:5583582
Woods Lake	id=g:5583583
Woods Ranch	id=g:5583584
Woods Reservoir	id=g:5583585
Lake of the Woods	id=g:5583586
Worely Windmill	id=g:5583587
Work and Dragman Ditch	id=g:5583588
Worster Cemetery	id=g:5583589
Worster Dam	id=g:5583590
Worster Reservoir	id=g:5583591
Wrangler Windmill	id=g:5583592
Grandview Cemetery	id=g:5583593
Wray Gulch	id=g:5583594
Woodchuck Ditch	id=g:5583595
Wray Watershed District Number 1 Dam	id=g:5583596
Wray Watershed District Number 3 Dam	id=g:5583597
Wray Watershed District Number 4 Dam	id=g:5583598
Wray Watershed District Number 5 Dam	id=g:5583599
Wray Watershed District Number 6 Dam	id=g:5583600
Wray Watershed District Reservoir Number 1	id=g:5583601
Wray Watershed District Reservoir Number 3	id=g:5583602
Wray Watershed District Reservoir Number 4	id=g:5583603
Wray Watershed District Reservoir Number 5	id=g:5583604
Wray Watershed District Reservoir Number 6	id=g:5583605
Mount Wuh	id=g:5583606
Wyatt School	id=g:5583607
Wye Windmill	id=g:5583608
Wykert Number 1 Dam	id=g:5583609
Wykert Number 2 Dam	id=g:5583610
Wykert Number 4 Dam	id=g:5583611
Wykert Number 4 Reservoir	id=g:5583612
Wykert Reservoir Number 1	id=g:5583613
Wykert Reservoir Number 2	id=g:5583614
Wyman Dam	id=g:5583615
Wyman Reservoir	id=g:5583616
Wyman Reservoir	id=g:5583617
Wymore Gulch	id=g:5583618
Wray Municipal Airport	id=g:5583619
Wyoming Trail	id=g:5583620
X Bar 7 Ranch	id=g:5583621
Xenia	id=g:5583622
Xenia Oil Field	id=g:5583623
Yahoo Mountain	id=g:5583624
Yamcolo Dam	id=g:5583625
Yamcolo Reservoir	id=g:5583626
Yampa	id=g:5583627
Yampa Cemetery	id=g:5583628
Yampa River	id=g:5583629
Wymore Lake	id=g:5583630
Yampa Valley Airport	id=g:5583631
Yanks Gulch	id=g:5583632
Yampa School	id=g:5583633
Yellow Cat Butte	id=g:5583634
Yellow Cat Draw	id=g:5583635
Yeager Garden Acres Shopping Center	id=g:5583636
Yellow Cat Wash	id=g:5583637
Yellow Creek	id=g:5583638
Yellow Girl Mine	id=g:5583639
Yellow Jacket Draw	id=g:5583640
