Hācheh Dāghī	id=g:6689142
Tangeh-ye Kafeh Nīlā	id=g:6719914
Kūh-e Benher	id=g:6719915
Tappeh-ye Maleh Bād	id=g:6719916
Darreh-ye Āb Shūreh	id=g:6719917
Kūh-e Do Shākh	id=g:6719918
Talkh Āb	id=g:6719919
Darreh-ye Lūl	id=g:6719920
Rūdkhāneh-ye Zeyd	id=g:6719921
Rūdkhāneh-ye Pācheh	id=g:6719922
Kūh-e Darband Kabūd	id=g:6719923
Bāqeleh	id=g:6719924
Kūh-e Gūr	id=g:6719925
Shahrak-e Valīye‘aşr	id=g:6719926
Nām Kūl-e Soflá	id=g:6719927
Āgar Bīd	id=g:6719928
Shūk	id=g:6719929
Kūh-e Golzameh	id=g:6719930
Takhtān	id=g:6719931
Emāmzādeh Zeyd	id=g:6719932
Cheshmeh-ye Gūgerd	id=g:6719933
‘Abbāsābād	id=g:6719934
Cham Sūkhteh	id=g:6719935
Cham Gaz	id=g:6719936
Khān Parī	id=g:6719937
Qal‘eh-ye Tasmeh	id=g:6719938
Shahīd Sīkānī	id=g:6719939
Qal‘eh Hāshemābād	id=g:6719940
Shīlāb	id=g:6719941
Shīlāb	id=g:6719942
Jahāngīrābād	id=g:6719943
‘Abbāsābād	id=g:6719944
Darreh Shahr	id=g:6719945
Bahmanābād-e ‘Olyā	id=g:6719946
Bahmanābād-e Soflá	id=g:6719947
Sorkhābād	id=g:6719948
Nedāmatgāh-e Darreh Shahr	id=g:6719949
Jamshīdābād	id=g:6719950
‘Alīābād-e Cham Kalān	id=g:6719951
Maghz Mārī	id=g:6719952
Qal‘eh-ye Zeynal	id=g:6719953
Chālgeh	id=g:6719954
Cham Zhāb	id=g:6719955
Kolah Jū	id=g:6719956
Golzār-e Shahīd Fāẕelī	id=g:6719957
Dāmdārī-ye Armū	id=g:6719958
Kūh-e Ārām Shah	id=g:6719959
Kūh-e Nesār	id=g:6719960
Reẕẕālī	id=g:6719961
‘Ālīnābād	id=g:6719962
‘Ālīnābād	id=g:6719963
Rūdkhāneh-ye Qāţerchī	id=g:6719964
Maleh Kūh	id=g:6719965
Khāşīābād	id=g:6719966
Bar Āftāb	id=g:6719967
Bar Āftāb	id=g:6719968
Sheykhābād	id=g:6719969
Kūh-e Shūrābeh	id=g:6719970
Bābā Salām	id=g:6719971
Marālī	id=g:6719972
Goz̄argāh-e Haẕrat-e ‘Alī	id=g:6719973
Tang-e Khosrowābād	id=g:6719974
Kūh-e Bar Āftāb	id=g:6719975
Tang-e Āstān	id=g:6719976
Qal‘eh-ye Nazeh	id=g:6719977
Bākhbān	id=g:6719978
Kūh-e Sīāh Mahal	id=g:6719979
Fakhrābād	id=g:6719980
Kūh-e Rīshbor	id=g:6719981
Kārkhāneh-ye Gach-e Lorestān	id=g:6719982
Tovah Khoshkeh-ye Shekar	id=g:6719983
Choghābūr-e Hājīābād	id=g:6719984
Gūlīvand-e Pāpīābād	id=g:6719985
Mahkī	id=g:6719986
Kūh-e Pā-ye Āstān	id=g:6719987
Kūh-e Kamareh	id=g:6720228
Cheshmeh-ye Mosharrafeh	id=g:6720229
Kūh-e Bārīkeh	id=g:6720230
Kūh-e Chāl Zangī	id=g:6720231
Darreh-ye Nūr ‘Alī	id=g:6720232
Kūh-e Taqlamīneh	id=g:6720233
Kūh-e Sītat	id=g:6720234
Darreh-ye Faryādras	id=g:6720235
Darreh-ye Kharvīleh	id=g:6720236
Zeynlān-e Soflá	id=g:6720237
Rūdkhāneh-ye Darreh Bādām	id=g:6720238
Kūh-e Nesār Mīchāl	id=g:6720239
Darreh Por Gol	id=g:6720240
Tangeh-ye Sar Qalā	id=g:6720241
Rūdkhāneh-ye Yārqūteh	id=g:6720242
Tangeh-ye Meleh Norāz	id=g:6720243
Kūh-e Nesār Norāz	id=g:6720244
Kūh-e Heyzeh Darīdeh	id=g:6720245
Kūh-e Qal‘eh Sorkh	id=g:6720246
Tangeh-ye Kūleh Lūt	id=g:6720247
Sagarī	id=g:6720248
Mīānrūd	id=g:6720249
Posht-e Sarāb	id=g:6720250
Tangeh-ye Qalābarchī	id=g:6720251
Kūh-e Shovān-e Malakh Shen	id=g:6720252
Kūh-e Ḩamām Lān	id=g:6720253
Tangeh-ye Karīān	id=g:6720254
Kūh-e Tūyeh	id=g:6720255
Cheshmeh Sorkh	id=g:6720256
Seh Jā	id=g:6720257
Kūh-e Kolāh Sī	id=g:6720258
Gorāb	id=g:6720259
Darreh-ye Mīān Kalkeh	id=g:6720260
Kūh-e Qal‘eh Qāsem	id=g:6720261
Rūdkhāneh-ye Ţavīlehgāh	id=g:6720262
Kūh-e Qomkeh	id=g:6720263
Kūh Bān-e Shāh Valī	id=g:6720264
Darreh-ye Meleh Ḩesāreh	id=g:6720265
Kūh-e Zalak	id=g:6720266
Kūh-e Ākhvondrāh	id=g:6720267
Tangeh-ye Mey Kosh	id=g:6720268
Tangeh-ye Bālā Reshteh	id=g:6720269
Kūh-e Qomtārlān	id=g:6720270
Tang-e Vīleh	id=g:6720271
Yekeh Chālāb	id=g:6720272
Darreh-ye Bān Takht	id=g:6720273
Kūh-e Tūyeh Qāţerchī	id=g:6720274
Rūdkhāneh-ye Garmāb	id=g:6720275
Kūh-e Bān Takht	id=g:6720276
Kūh-e Posht Darmar	id=g:6720277
Tappeh Geral	id=g:6720278
Rūdkhāneh-ye Shūrābeh	id=g:6720280
Shaţţ-e Karfīn	id=g:6720281
Pelah Kabūd-e Vosţá	id=g:6720282
Darreh-ye Dīvand	id=g:6720283
Tappeh-ye Parchī Kabūd	id=g:6720284
Dār-e Balūţ	id=g:6720285
Darreh-ye Kamareh	id=g:6720286
Bāgh-e Havas Kū	id=g:6720287
Tangeh-ye Pelkāneh	id=g:6720288
Tappeh-ye Sangar	id=g:6720289
Kūh-e Sarkū	id=g:6720290
Vargachkeh	id=g:6720291
Kūh-e Vargachkeh	id=g:6720292
Darreh-ye Rāst	id=g:6720293
Maqbareh-ye Seyyed Farrokh Ḩoseynī	id=g:6720294
Khalīfeh	id=g:6720295
Darreh-ye Pardī	id=g:6720296
Darreh-ye Ḩavīleh	id=g:6720297
Yārīkhān-e Vosţá	id=g:6720298
Deh Mūsá-ye ‘Olyā	id=g:6720299
Kūh-e Tūyeh Chenāreh	id=g:6720300
Pol Kūh	id=g:6720301
Rūdkhāneh-ye Dārāmrūd	id=g:6720302
Kūh-e Yārāmīr	id=g:6720303
Darreh-ye Tūyeh Yārāmīr	id=g:6720304
Chenār-e Vosţá	id=g:6720305
Chenār-e ‘Olyā	id=g:6720306
Pāsgāh-e Entez̧āmī-ye Jālālvand	id=g:6720307
Tangehsān-e Rostam	id=g:6720308
Tangeh-ye Tūyeh Chenāreh	id=g:6720309
Kūh-e Nesār	id=g:6720310
Kūh-e Tūyeh Mū	id=g:6720311
Darreh-ye Tūyeh Mū	id=g:6720312
Kūh-e Qal‘eh-ye Ẕaḩḩāk	id=g:6720313
Tangeh-ye Chūlkeh	id=g:6720314
Rūdkhāneh-ye Khoshkeh Rūd	id=g:6720315
Tangeh-ye Cherūshk	id=g:6720316
Kūh-e Kūlehrash	id=g:6720317
Cheshmeh-ye Sār Kūl	id=g:6720318
Tangeh-ye Sar Kūl	id=g:6720319
Darreh-ye Mār Ābīneh	id=g:6720320
Kūh-e Vareh Zardak	id=g:6720321
Jahāngīrvand	id=g:6720322
Begvand	id=g:6720323
Ashbākh	id=g:6720324
Anjāb	id=g:6720325
Cheshmeh-ye Chenār	id=g:6720326
Tang-e Kamar Kabūd	id=g:6720327
Kūh-e Bolūleh	id=g:6720328
Kūh-e Chahār Kolāh	id=g:6720329
Bahārān	id=g:6720330
Cheshmeh-ye Shāhrokh	id=g:6720331
Jūjār	id=g:6720332
Seyyed Ḩasan	id=g:6720333
Darreh-ye Kordāsh Khān	id=g:6720334
Bīshak Tappeh	id=g:6720335
Barā Belūjestān	id=g:6720336
Zard	id=g:6720337
Talāseh	id=g:6720338
Tappeh-ye Shareh Chīā	id=g:6720339
Anārak	id=g:6720340
Kūh-e Sīāh Derakht	id=g:6720341
Zīrchīā	id=g:6720342
Rūdkhāneh-ye Zīrchīā	id=g:6720343
Kūh-e Lachek	id=g:6720344
Kūh-e Chek Boland	id=g:6720345
Kūh-e Bābā Mīr	id=g:6720346
Sarāb-e Bābā Mīr	id=g:6720347
Darreh-ye Kareh Ney	id=g:6720348
Darreh-ye Kareh Ney	id=g:6720349
Dārband-e Halīlān	id=g:6720350
Kūh-e Dārbīd	id=g:6720351
Darāvsān	id=g:6720352
Jān-e Mordeh	id=g:6720353
Kūh-e Darāvsān	id=g:6720354
Pachī Kabūd	id=g:6720355
Kūh-e Ganjareh	id=g:6720356
Cheshmeh-ye Khomār	id=g:6720357
Tangeh-ye Darakeh	id=g:6720358
Cheshmeh Kabūd-e ’Olyā	id=g:6720359
Rūdkhāneh-ye Darmarān	id=g:6720360
Kūh-e Chorūsīr	id=g:6720361
Darreh-ye Ḩaqq Setān	id=g:6720362
Kūh-e Leylī Dūl	id=g:6720363
Shahrak-e Towḩīd	id=g:6720364
Cham Shanbeh	id=g:6720365
Pol-e Sīmareh	id=g:6720366
Pāsgāh-e Entez̧āmī-ye Pol-e Sīmareh	id=g:6720367
Kūh-e Qal‘eh Sām	id=g:6720368
Garmeh Khānī	id=g:6720369
Charū Gereh-ye Kākāvand	id=g:6720370
Chambūr	id=g:6720371
Kūh-e Bon Hezār	id=g:6720372
Kūh-e Meleh Māzū	id=g:6720373
Kūh-e Bārīkeh	id=g:6720374
Darvandbāyen	id=g:6720375
Chāh-e Karamkhān	id=g:6720376
Chāh-e Karamkhān	id=g:6720377
Ḩoseynābād	id=g:6720378
Chāh Kheyr	id=g:6720379
Vazm	id=g:6720380
Kūshkī	id=g:6720381
Kūh-e Tang Bārān	id=g:6720382
Bāgh-e Kalālī	id=g:6720383
Dolangān	id=g:6720384
Ganj ‘Alīābād-e ‘Olyā	id=g:6720385
Malhīān	id=g:6720386
Nowkand	id=g:6720387
Cham Havas	id=g:6720388
Bareh Kalak	id=g:6720389
Kūh-e Kāl Maḩmūd	id=g:6720390
Bareh Asbī	id=g:6720391
Emāmzādeh Bolūrān	id=g:6720392
Kūh-e Bareh Kāz̧em	id=g:6720393
Bareh Kāz̧em	id=g:6720394
Kūh-e Posht Qal‘eh	id=g:6720395
Pateh	id=g:6720396
Bahāreh Dūl	id=g:6720397
Koreh Pū	id=g:6720398
Ja‘farābād	id=g:6720399
Qāsem Begī	id=g:6720400
Kūh-e Gāv Char	id=g:6720401
Shāmāsh	id=g:6720402
Nāveh-ye Changīzī	id=g:6720403
Harqorūsh	id=g:6720404
Emāmzādeh Seyyed Moḩammad	id=g:6720405
Lamtū	id=g:6720406
Kamarābād	id=g:6720407
Kūh-e Līkhā	id=g:6720408
Kalūlābān	id=g:6720409
Ābrān	id=g:6720410
Kūh-e Anārak	id=g:6720411
Kharanbān	id=g:6720412
Khalāfan Zardalān	id=g:6720413
Tīreh Nāzgah	id=g:6720414
Bīshī	id=g:6720415
Varmaleh	id=g:6720416
Salāţīn	id=g:6720417
Kūh-e Namīr	id=g:6720418
Mīānsarvān	id=g:6720419
Chenār	id=g:6720420
Kūh-e Gerdeh Kāndār	id=g:6720421
Kaleh Kan-e Zangī	id=g:6720422
Rūdkhāneh-ye Gorshā	id=g:6720423
Gandarreh	id=g:6720424
Meydar-e Soflá	id=g:6720425
Kūh-e Gavīzheh	id=g:6720426
Bākh	id=g:6720427
Jūsherreh	id=g:6720428
Bānkaleh	id=g:6720429
Mollāābād	id=g:6720430
Golāb	id=g:6720431
Pīāmen-e Vosţá	id=g:6720432
Shemīār	id=g:6720433
Dom Zardak	id=g:6720434
Qāsem Begī	id=g:6720435
Kūl Zard	id=g:6720436
Cham Būr	id=g:6720437
Garshūl	id=g:6720438
Ḩalqanā	id=g:6720439
Zeytūn-e Vareh Zard	id=g:6720440
Vareh Zard	id=g:6720441
Vareh Zard	id=g:6720442
Vareh Zard	id=g:6720443
Ābchī	id=g:6720444
Dom Kalemeh	id=g:6720445
Gazheh	id=g:6720446
Kūrīsht	id=g:6720447
Sāyeh	id=g:6720448
Benḩū	id=g:6720449
Rūdkhāneh-ye Kākā Hīzeh	id=g:6720450
Gonbad Rūd	id=g:6720451
Tappeh-ye Jūjeh	id=g:6720594
Tappeh-ye Kabūd	id=g:6720595
Darreh-ye Jūl	id=g:6720596
Kūh-e Pachī Eskandar	id=g:6720597
Tappeh-ye Seyyed Morad	id=g:6720598
Darreh-ye Nām Hed	id=g:6720599
Tappeh-ye Barqarandāz	id=g:6720600
Darreh-ye Derāz	id=g:6720601
Darreh-ye Āsemān Dowl	id=g:6720602
Panbeh Darreh	id=g:6720603
Darreh-ye Qahremān	id=g:6720604
Darreh-ye Seyyed Ḩoseyn	id=g:6720605
Darreh-ye Chāl Jūshan	id=g:6720606
Tappeh-ye Khargāh Kosh	id=g:6720607
Darreh-ye Āsemān Dowl	id=g:6720608
Darreh-ye Sar Dowkāneh	id=g:6720609
Darreh-ye Kamar Sīāh	id=g:6720610
Darreh-ye Kānī Reẕā	id=g:6720611
Sar Dowkāneh	id=g:6720612
Cheshmeh-ye Sefīd	id=g:6720613
Sānbal-e ʻOlyā	id=g:6720614
Tappeh-ye Kānī Sorkh Āb	id=g:6720615
Tangeh-ye Sar Kahrīz	id=g:6720616
Kūh-e Kamar Sīāh	id=g:6720617
Kūh-e Mīchāl	id=g:6720618
Darreh-ye Ḩajjīlān	id=g:6720619
Kūh-e Gol	id=g:6720620
Cheshmeh-ye Kīmāsī	id=g:6720621
Kūh-e Dowl Mīāneh	id=g:6720622
Sar Jāmeh Shūrān	id=g:6720623
Darreh-ye Sang Chen	id=g:6720624
Kūh-e Karbīān	id=g:6720625
Darreh-ye Cherāghdān	id=g:6720626
Darreh-ye Taleh Sang	id=g:6720627
Darreh-ye Kamāsī	id=g:6720628
Kūh-e Rākh	id=g:6720629
Darreh-ye Jameh Shūran	id=g:6720630
Tangeh-ye Chāl Khoshkeh	id=g:6720631
Tappeh-ye Nām Ben	id=g:6720632
Tappeh-ye Khargūshān	id=g:6720633
Darreh-ye Khargūshān	id=g:6720634
Charūdowl	id=g:6720635
Kūh-e Tū'dārsī	id=g:6720636
Gardaneh Darakeh	id=g:6720637
Chāl Khoshkeh	id=g:6720638
Darreh-ye Nām Kūbī	id=g:6720639
Kūh-e Ḩasan ow Ḩoseyn	id=g:6720640
Sūlābī	id=g:6720641
Kūh-e Shīrāzī	id=g:6720642
Darreh-ye Vādarreh	id=g:6720643
Darreh-ye Ţatlān	id=g:6720644
Shīrāzī-ye Ţatlān	id=g:6720645
Kūh-e Sīrakāneh	id=g:6720646
Kūh-e Dārbīd	id=g:6720647
Sarāb-e Angaz	id=g:6720648
Darreh-ye Angaz	id=g:6720649
Sarāb-e Angaz	id=g:6720650
Cheshmeh-ye Sarāb	id=g:6720651
Darreh-ye Sarāb	id=g:6720652
Darreh-ye Khatāb	id=g:6720653
Kūh-e Khatāb	id=g:6720654
Darreh-ye Dārharū	id=g:6720655
Maqbareh-ye Seyyed Ojāq-e Ābesh	id=g:6720656
Darreh-ye Van	id=g:6720657
Tappeh-ye Garah Bān	id=g:6720658
Darreh-ye Mālek	id=g:6720659
Kūh-e Darreh Mālek	id=g:6720660
Kūh-e Tūkhoshkeh	id=g:6720661
Tangeh-ye Do Āb	id=g:6720662
Tappeh-ye Sīrakāneh	id=g:6720663
Cheshmeh-ye Sardeh	id=g:6720664
Tappeh-ye Karfelah	id=g:6720665
Kūh-e Hezār Manī	id=g:6720666
Kūh-e Darreh Sūkhteh	id=g:6720667
Garmeh Darreh	id=g:6720668
Tappeh-ye Varmā	id=g:6720669
Darreh-ye Sīrakāneh	id=g:6720670
Kūh-e Ţāvīleh	id=g:6720671
Kūh-e Faraḩ Tāsh	id=g:6720672
Kūh-e Chūleh	id=g:6720673
Tang-e Kamareh	id=g:6720674
Darreh-ye Nām Tang	id=g:6720675
Tappeh-ye Chāl Azbūyeh	id=g:6720676
Tappeh-ye Kānī Charmī	id=g:6720677
Gardaneh Kharkosh	id=g:6720678
Kūh-e Sīneh Samarī	id=g:6720679
Darreh-ye Marāsel	id=g:6720680
Kūh-e Kalah Hū	id=g:6720681
Kūh-e Sargah Qal‘ehlān	id=g:6720682
Rūdkhāneh-ye Pā'īn Āb-e Qal‘ehlān	id=g:6720683
Tappeh-ye Qāvīatī	id=g:6720684
Kūh-e Barfīneh	id=g:6720685
Darreh-ye Sar Kalah Hū	id=g:6720686
Kūh-e Jūjār	id=g:6720687
Barfīneh	id=g:6720688
Kūh-e Chenār	id=g:6720689
Bālandar-e Soflá	id=g:6720690
Darreh-ye Bālandar	id=g:6720691
Kūh-e Cheshmeh Sardeh	id=g:6720692
Darreh-ye Ganjavān	id=g:6720693
Kūh-e Sar S̄̄̅alās̄eh	id=g:6720694
Garmāb	id=g:6720695
Kūh-e Sar Āsīāb	id=g:6720696
Seyl	id=g:6720697
Shīneh Makā'īl	id=g:6720698
Darreh-ye Garmābeh	id=g:6720699
Tork Āvīz	id=g:6720700
Qeshlāq Ābdar	id=g:6720701
Cham Nūzdeh-ye Soflá	id=g:6720702
Sāmāq-e Cham Nūzdeh	id=g:6720703
Kānī Yalā	id=g:6720704
Kānī Mār	id=g:6720705
Darreh-ye Karameh	id=g:6720706
Kūh-e Qoroq	id=g:6720707
Kānī Zal	id=g:6720708
Cheshmeh-ye Rīvan	id=g:6720709
Kūh-e Gandom Bān	id=g:6720710
Kārkhāneh-ye Şan‘atī-ye Sīmān-e Gharb	id=g:6720711
Kārkhāneh-ye Chīnī-ye Kord	id=g:6720712
Kārkhāneh-ye Kāshī-ye Bīsotūn	id=g:6720713
Kūh-e Agrījeh	id=g:6720714
Shahrak-e Nāzlīān	id=g:6720715
Shāh Mār	id=g:6720716
Deh Tappeh	id=g:6720717
Sherkat-e Betūmaks	id=g:6720718
Tappeh-ye Dār Gowyjeh	id=g:6720719
Qal‘eh-ye Pūq Pāq	id=g:6720720
Darreh-ye Ābrīz	id=g:6720721
Tappeh-ye Anjīreh	id=g:6720722
Darreh-ye Tang Anjīreh	id=g:6720723
Cheshmeh Kabūd	id=g:6720724
Kūh-e Gāmīzaj	id=g:6720725
Zalān-e Olyā	id=g:6720726
Gāmīzaj-e Vostá	id=g:6720731
Nahr-e Shotor Kosh	id=g:6720732
Darreh-ye Shūrāb	id=g:6720733
Sarpūzal	id=g:6720734
Mūsá Nāranj	id=g:6720735
Kahrīz-e ‘Olyā	id=g:6720736
Qal‘eh-ye Farīd	id=g:6720737
Darreh-ye Shūrāb	id=g:6720738
Darreh-ye Kowmaleh	id=g:6720739
Kānī-ye Chānī	id=g:6720740
Ţāvīrān-e Vostá	id=g:6720741
Kūh-e Sorkh	id=g:6720742
Ţāvīrān-e Pā’īn	id=g:6720743
Tangeh-ye Tūh Khākī	id=g:6720744
Kūh-e Kūleh Rash	id=g:6720745
Tangeh-ye Kheyl Amīr	id=g:6720746
Khoshkeh Rūd-e Pāqal‘eh	id=g:6720747
Cheshmeh-ye Babrī	id=g:6720748
Sarā’īlān-e Tūh Khakī	id=g:6720749
Kūh-e Kūleh Mal	id=g:6720750
Darreh-ye Sīāh Rag	id=g:6720751
Cheshmeh-ye Ḩoseyn	id=g:6720752
Nahr-e Shūrāb	id=g:6720753
Maqbareh-ye Seyyed Shekar	id=g:6720754
Tangeh Bārīkeh	id=g:6720755
Kūh-e Charmī	id=g:6720756
Tangeh-ye Charmī	id=g:6720757
Tangeh-ye Chelleh Khāneh	id=g:6720758
Tangeh-ye Sar Sīāvān	id=g:6720759
Cheshmeh-ye Qeshlāq	id=g:6720760
Cheshmeh-ye Sefīd	id=g:6720761
Tappeh-ye Gav Marang	id=g:6720762
Darreh-ye Hassan	id=g:6720763
Cheshmeh-ye Chīm	id=g:6720764
Darreh-ye Sal	id=g:6720765
Tappeh-ye Sīāh Kamar	id=g:6720766
Tangeh-ye Tūshkeh	id=g:6720767
Tangeh-ye Bāgh-e Narnī	id=g:6720768
Darreh-ye Cheshmeh Sefīd	id=g:6720769
Darreh-ye Kand Zard	id=g:6720770
Tappeh-ye Kamtār Kenār	id=g:6720771
Tang-e Cheshmeh Sefīd	id=g:6720772
Cheshmeh-ye Sefīd	id=g:6720773
Tang-e Ābdālān	id=g:6720774
Sānīl-e Vostá	id=g:6720775
Kūh-e Marang Darīzh	id=g:6720776
Tangeh-ye Kodar	id=g:6720777
Tappeh-ye Sarkūl	id=g:6720778
Kalam Kabūd-e Vostá	id=g:6720779
Nūr-e ‘Olyā	id=g:6720780
Poshteh Rīzeh-ye ‘Olyā	id=g:6720781
Tappeh-ye Posht Kabūd	id=g:6720782
Sahar-e Soflá	id=g:6720783
Kānī-ye Sīāh	id=g:6720784
Cheshmeh-ye Bozānī	id=g:6720785
Cheshmeh-ye Sefīd	id=g:6720786
Kūh-e Kamar Sī	id=g:6720787
Kūh-e Qāder Mazd	id=g:6720788
Cheshmeh-ye Sīrkāneh	id=g:6720789
Cheshmeh-ye Sarsabīl	id=g:6720790
Tāzehābād	id=g:6720791
Sarāb-e Kheẕr-e Zendeh	id=g:6720792
Sarāb-e Kheẕr-e Elīyās	id=g:6720793
Kūh-e Kheẕr-e Zendeh	id=g:6720794
Sarāb-e Boztapān	id=g:6720795
Nowrūzābād	id=g:6720796
Dowāb	id=g:6720797
Kūh-e Qalʻeh Kobrá	id=g:6720798
Kūh-e Gāvbandeh	id=g:6720799
Shahr-e Şanʻatī-ye Kermānshāh	id=g:6720800
Gāv Bandeh	id=g:6720801
Khandaq-e Nāderī	id=g:6720802
Fāz-e Do Elāhīyeh	id=g:6720803
Shahrak-e Eslāmīyeh	id=g:6720804
Shahrak-e Sherkat	id=g:6720805
Dowlatābād	id=g:6720806
Shahrak-e Elāhīyeh	id=g:6720807
Shahrak-e Behdārī	id=g:6720808
Dīzelābād	id=g:6720809
Dīzelābād	id=g:6720810
Darreh Derāz	id=g:6720811
Fāz-e Yek-e Farhangīān	id=g:6720812
Emāmzādeh Seyyedeh Fāţemeh	id=g:6720813
Shahrak-e Jalālīyeh	id=g:6720814
Chaman	id=g:6720815
Shahrak-e Zhāndārmerī	id=g:6720816
Shahrak-e Beʻs̄at	id=g:6720817
Sarāb-e Qanbar	id=g:6720818
Ţāq-e Bostān	id=g:6720819
Sarāb-e Ţāq-e Bostān	id=g:6720820
Emāmzādeh Ebrāhīm	id=g:6720821
Shahrak-e Ānāhītā	id=g:6720822
Shahrak-e Golhā	id=g:6720823
Shahrak-e Taʻāvon	id=g:6720824
Shahrak-e Vaḩdat	id=g:6720825
Ḩekmatābād	id=g:6720826
Zeynabīyeh	id=g:6720827
Javādīyeh	id=g:6720828
Forūdgāh-e Kermānshāh	id=g:6720829
Ḩāfez̧īyeh	id=g:6720830
Shahrak-e Resālat	id=g:6720831
Ārīāshahr	id=g:6720832
Bāgh-e Ferdows	id=g:6720833
Jaʻfarābād	id=g:6720834
Tappeh-ye Sangbor	id=g:6720835
Sang-e Sefīd	id=g:6720836
Pāsgāh-e Chālābeh	id=g:6720837
Bahār	id=g:6720838
Rashīdī	id=g:6720839
Bagh-e Ney	id=g:6720840
Keyhānshar	id=g:6720841
Tāzehābād	id=g:6720842
Pīr Ḩayātī	id=g:6720843
Vakīl Āqā	id=g:6720844
Khayyām	id=g:6720845
Rūdkhāneh-ye Gākīyeh	id=g:6720846
Kūh-e Qad	id=g:6721314
Kūh-e Qarāvolkhāneh	id=g:6721315
Emāmzādeh Maḩmūd	id=g:6721316
Dīnvar	id=g:6721317
Yengījeh	id=g:6721318
Kūh-e Chālāb	id=g:6721319
Chālāb	id=g:6721320
Rūdkhāneh-ye ‘Ālī Sīāh	id=g:6721321
Maqbareh-ye Pīr Shams ‘Alī	id=g:6721322
Kūh-e Āzhvān	id=g:6721323
Kūh-e Dowqarāl	id=g:6721324
Kūh-e Shīr‘alī	id=g:6721325
Kūh-e Chalehzard	id=g:6721326
Zīāratgāh-e Seyyed Şāleḩ	id=g:6721327
Kūh-e Kūrīkzār	id=g:6721328
Nūrbakhsh	id=g:6721329
Dārdang	id=g:6721330
Kalkū	id=g:6721331
Seyyed Jalāl od Dīn	id=g:6721332
Kahrīz	id=g:6721333
Pānīān	id=g:6721334
Pīr Āfteh	id=g:6721335
Zankū	id=g:6721336
Kūh-e Ālājūq	id=g:6721337
Emāmzādeh Khalīlollāh	id=g:6721338
Melah Bīd	id=g:6721339
Deh Sheykh	id=g:6721340
Sūr Sūr	id=g:6721341
Rūdkhāneh-e Tak Tak	id=g:6721342
Pol-e Shahīd Raḩmatollāh Şāleḩī	id=g:6721343
Ḩowzeh-ye 'Elmīyeh	id=g:6721344
Kūh-e Māhī Zard	id=g:6721345
Kūh-e Dīzeh Sīāh	id=g:6721346
Tang-e Chesmeh Parī	id=g:6721347
Kūh-e Dāvūd	id=g:6721348
Koloyā'ī	id=g:6721349
Seyyed Jalāl	id=g:6721350
Pīr ‘Abd ol Qāder	id=g:6721351
Seyyed Shams‘alī	id=g:6721352
Būrakābād	id=g:6721353
Kūh-e Balūchestān	id=g:6721354
Kūh-e Zan ow Mard	id=g:6721355
Zard Kūh	id=g:6721356
Eslāmābād	id=g:6721357
Ḩeydarābād	id=g:6721358
Emāmzādeh Seyyed Shahāb od Dīn	id=g:6721359
Ney Dar	id=g:6721360
Sheykh ‘Abbasī	id=g:6721361
Sheykh Maḩmūd	id=g:6721362
Sheykh Moḩammad	id=g:6721363
Kūh-e Hangeh Zhāl	id=g:6721364
Kūh-e Seyf Tāleh	id=g:6721365
Kūh-e Chahār Qobī	id=g:6721366
Shahrak-e Sarābeleh	id=g:6721367
Ḩeshmatābād	id=g:6721368
Seyyed Khānī	id=g:6721369
Darreh-ye Tel Āb	id=g:6721427
Darreh-ye Shahr Reẕā	id=g:6721428
Kūh-e Pīr Ḩoseyn	id=g:6721429
Kānī-ye Kūchakīn	id=g:6721430
Kūh-e Nūrvāsan	id=g:6721431
Darreh-ye Kānī Kabūd	id=g:6721432
Darreh-ye Kānī Qolqol	id=g:6721433
Tappeh-ye Cherāgh	id=g:6721434
Darreh-ye Shahpasand	id=g:6721435
Darreh-ye Kahrīz	id=g:6721436
Darreh-ye ‘Alī Sāqeh	id=g:6721437
Dowl-e Hamrowleh	id=g:6721438
Darreh-ye Kashkān	id=g:6721439
Maqbareh-ye Āqā Seyyed Najm od Dīn	id=g:6721440
Darreh-ye Chahār Bāgh	id=g:6721441
Darreh-ye Qāzākh	id=g:6721442
Darreh-ye Bolchāl	id=g:6721443
Dowl-e Delnashan	id=g:6721444
Maqbareh-ye Seyyed Majīd-e Salmānī	id=g:6721445
Cham-e Sarāb-e Khezr	id=g:6721446
Eslamarz	id=g:6721447
Maqbareh-ye Barshakhş	id=g:6721448
Rūdkhāneh-ye Cham Āsīāzāl	id=g:6721449
Kūh-e Tāy Naj	id=g:6721450
Darreh-ye Kenārūd	id=g:6721451
Tappeh-ye Mīr Bolāgh	id=g:6721452
Darreh-ye Kasnazān	id=g:6721453
Darreh-ye Bāgh Kond	id=g:6721454
Darreh-ye Kahrīz	id=g:6721455
Darreh-ye Qayājār	id=g:6721456
Cham-e Zhowrow	id=g:6721457
Darreh-ye Tanbalī	id=g:6721458
Darreh-ye Āb-eTanbalī	id=g:6721459
Kūh-e Rashīd Koshteh	id=g:6721460
Darreh-ye Cheshmeh Zīnat	id=g:6721461
Kūh-e Bīzhan Sareh	id=g:6721462
Tappeh-ye Emām Qāsem	id=g:6721463
Maqbareh-ye Kabūd Savār	id=g:6721464
Darreh-ye Gandāb	id=g:6721465
Darreh-ye Garāb	id=g:6721466
Cheshmeh Bāz	id=g:6721467
Emāmzādeh Seyyed Bahman	id=g:6721468
