Wādī al Hayj	id=g:74930
Dār al Batsk	id=g:76524
Dār al Asuaid	id=g:76525
Dār al Ashrāf	id=g:76526
Dār al ‘Arā’is	id=g:76527
Dār al ‘Anad	id=g:76528
Dār al ‘Āmirah	id=g:76529
Dār al Amīr	id=g:76530
Dār A‘lá	id=g:76531
Dār Aḩmad	id=g:76532
Wādī aḑ Ḑar‘ah	id=g:76533
Dār Aghui	id=g:76534
Wādī Darāfūn	id=g:76535
Shi‘b ad Darāfayn	id=g:76536
Dār ad Dubāsh	id=g:76537
Dār ad Dawlah	id=g:76538
Dār ‘Abūqah	id=g:76539
Dār Abū ‘Alīl	id=g:76540
Dār Abī‘	id=g:76541
Dār ‘Abd ar Raḩīm	id=g:76542
Dār Abdara	id=g:76543
Dār ‘Abd al Ghanī	id=g:76544
Dār ‘Abbās	id=g:76545
Wādī Ḑarā’	id=g:76546
Wādī ad Dār	id=g:76547
Jabal ad Dār	id=g:76548
Dār	id=g:76549
Dār	id=g:76550
Ad Daqqah	id=g:76551
Rahwat ad Daqīqah	id=g:76552
Wādī ad Daqīq	id=g:76553
Ad Danwah	id=g:76554
Wādī Danūbah	id=g:76555
Naqīl Danūbah	id=g:76556
Dhanabatayn	id=g:76557
Adh Dhanabah	id=g:76558
Wādī Damt	id=g:76559
Damt	id=g:76560
Şayq Damqawt	id=g:76561
Damqawt	id=g:76562
Wādī Dammūn	id=g:76563
Dammūn	id=g:76564
Dammat Bin Farīd	id=g:76565
Wādī Dammar	id=g:76566
Dhamjayr	id=g:76567
Wādī Z̧amjah	id=g:76568
Dhamār al Qarn	id=g:76569
Damān	id=g:76570
Damān	id=g:76571
Wādī Damāj	id=g:76572
Dilwān	id=g:76573
Dalqayān	id=g:76574
Ḑalmah	id=g:76575
Shi‘b Dalma	id=g:76576
Jabal ad Da‘līyah	id=g:76577
Bi’r Dalīb	id=g:76578
Dhī al Ḩās	id=g:76579
Dalālī	id=g:76580
Jabal Dalāl	id=g:76581
‘Aqabat Ḑal‘ah	id=g:76582
Dakwah	id=g:76583
Dakme	id=g:76584
Dakkat al Amr	id=g:76585
Dakkam	id=g:76586
Wādī Dakhash	id=g:76587
Dakharaib	id=g:76588
Dakharah	id=g:76589
Dakhar	id=g:76590
Dajrat Aḩmad Mu‘āfā	id=g:76591
Dajrān	id=g:76592
Da‘iz	id=g:76593
Dā‘irī al Hajaf	id=g:76594
Dā‘irī	id=g:76595
Da‘iri	id=g:76596
Dā‘ir	id=g:76597
Dail	id=g:76598
Jabal aḑ Ḑa‘īf	id=g:76599
Birḩ aḑ Ḑa‘īf	id=g:76600
Daiban	id=g:76601
Ḑaḩyān	id=g:76602
Wādī Ḑaḩyah	id=g:76603
‘Urūq Ḑaḩyah	id=g:76604
Shiqqat Ḑaḩyah	id=g:76605
Ra’s Ḑaḩyah	id=g:76606
Khawr Ḑaḩyah	id=g:76607
Ḩasy Daḩūnī	id=g:76608
Jabal Dahumari	id=g:76609
Shi‘b Dahūb	id=g:76610
Dahrī	id=g:76611
Ḑahrayn	id=g:76612
Wādī Ḑahr	id=g:76613
Wādī Dahr	id=g:76614
Jabal Ḑahr	id=g:76615
Shi‘b Dahqus	id=g:76616
Daḩqat al Jifil	id=g:76617
Jabal Dihnah	id=g:76618
Dahnah	id=g:76619
Wādī Dahmas	id=g:76620
Jabal Dahmā’	id=g:76621
Jabal Dahmā’	id=g:76622
Dahm	id=g:76623
Dahlia Shoal	id=g:76624
Daḩlāt	id=g:76625
Shi‘b Dahlal	id=g:76626
Daḩl	id=g:76627
Wādī Ḑahīt	id=g:76628
Jawl aḑ Ḑāhirah	id=g:76629
Ḑāhir	id=g:76630
Wādī Dāhī	id=g:76631
Barq Ḑaḩī	id=g:76632
Jabal Daharah	id=g:76633
Ḑaharah	id=g:76634
Bi’r ad Dahar	id=g:76635
Daḩāmah	id=g:76636
Jabal aḑ Ḑāḩah	id=g:76637
Wādī Daghīn	id=g:76638
Wādī Daghawt	id=g:76639
Dāgam	id=g:76640
Jabal aḑ Ḑafīr	id=g:76641
Jabal Z̧afīr	id=g:76642
Ḑafīr	id=g:76643
Dafēr	id=g:76644
Dafarī	id=g:76645
Jabal Z̧ufār	id=g:76646
Dafa	id=g:76647
Wādī Ḑaf‘	id=g:76648
Wādī Ḑadūwī	id=g:76649
Jabal Dabūt	id=g:76650
Dabsharah	id=g:76651
Ḩayd ad Dābis	id=g:76652
Wādī ad Dabīl	id=g:76653
Wādī Dabbah	id=g:76654
Wādī Ḑabbah	id=g:76655
Wādī Dhābah	id=g:76656
Jabal Dabbah	id=g:76657
Ḑabātid	id=g:76658
Wādī Ḑab‘āt	id=g:76659
Şayqat Ḑab‘āt	id=g:76660
Ḑabarah	id=g:76661
Dab‘ al Khārij	id=g:76662
Wādī aḑ Ḑabāb	id=g:76663
Da’as	id=g:76664
Wādī Da‘ān	id=g:76665
Da‘‘ān	id=g:76666
Jabal Da‘alah	id=g:76667
Wādī Da‘	id=g:76668
Currency Bay	id=g:76669
Conquest Bay	id=g:76670
Connected Island	id=g:76671
Clematis Shoal	id=g:76672
Jabal Cimali	id=g:76673
Wādī Chevra	id=g:76674
Chevalier Point	id=g:76675
Chamadah	id=g:76676
Chail	id=g:76677
Centre Peak Island	id=g:76678
Jabal Buzayrī	id=g:76679
Abū Zahr	id=g:76680
Buyūt as Sayfānī	id=g:76681
Buyūt al Maras	id=g:76682
Buyūt al Ḩāsir	id=g:76683
Wādī Bū Wīfal	id=g:76684
Wādī Buwaysh	id=g:76685
Buwaysh	id=g:76686
Buwayritāt	id=g:76687
Ghayl Buwayridah	id=g:76688
Qarn al Butayrī	id=g:76689
Shi‘b Buţaymah	id=g:76690
Jawl Buţaymah	id=g:76691
Khashm Buţayḩā’	id=g:76692
Busūlī	id=g:76693
Bushy Point	id=g:76694
Naqīl Busayţ	id=g:76695
Bū Şaybah	id=g:76696
Ra’s Burūm	id=g:76697
Bandar Burūm	id=g:76698
Burūm	id=g:76699
Jabal al Burm	id=g:76700
Burkān al Yaḑr	id=g:76701
Jabal Burhān	id=g:76702
Burdah	id=g:76703
Jabal Burbur	id=g:76704
Burayyirah	id=g:76705
Burayyirah	id=g:76706
Jabal Burayrā’	id=g:76707
Burayrah	id=g:76708
Buraymī	id=g:76709
Jabal Buraykah	id=g:76710
Burāt	id=g:76711
Burāt	id=g:76712
Wādī Bura‘	id=g:76713
Wādī Bura‘	id=g:76714
Jabal Bura‘	id=g:76715
Būr	id=g:76716
Būr	id=g:76717
Bu’r	id=g:76718
Ḩayd Bū Qushaysh	id=g:76719
Jazīrat Buklān	id=g:76720
Wādī Buqayr	id=g:76721
Ghadīr al Buqayr	id=g:76722
Shi‘b Buqayl	id=g:76723
Jabal Bū Qāşah	id=g:76724
Jabal Barkān	id=g:76725
Bumkharey	id=g:76726
Būlīl	id=g:76727
Jabal Bulayq	id=g:76728
Bukhl	id=g:76729
Bukhaytah	id=g:76730
Bukharī	id=g:76731
Bukhārī	id=g:76732
Bi’r Bukal	id=g:76733
Wādī Bujmah	id=g:76734
Bajīlah	id=g:76735
Khashm Buḩtur	id=g:76736
Buḩayş	id=g:76737
Buḩayş	id=g:76738
Wādī Bughulīth	id=g:76739
Khashm Budū‘	id=g:76740
Buday‘ah	id=g:76741
Buḑah	id=g:76742
Bū Dabā’	id=g:76743
Bu‘ajah	id=g:76744
Wādī Bū‘	id=g:76745
Bū‘	id=g:76746
Bryony Shoal	id=g:76747
Saylat Bawrān	id=g:76748
Bowrān	id=g:76749
Bowen Patches	id=g:76750
Bosari	id=g:76751
Wādī Buqlān	id=g:76752
Shi‘b Bl’ilb	id=g:76753
Black Peak	id=g:76754
Bīzhhamham	id=g:76755
Wādī Biyū	id=g:76756
Bithobhir	id=g:76757
Wādī Bītān	id=g:76758
Biţāḩ	id=g:76759
Bishshān	id=g:76760
Bishrīyah	id=g:76761
Bisherak	id=g:76762
Bisarif	id=g:76763
Wādī al Bişāmah	id=g:76764
Bi’r Thābit	id=g:76765
Wādī Bi’r Şula‘	id=g:76766
Bi’r Rubāk	id=g:76767
Bi’r Ramādah	id=g:76768
Bi’r Nāşir	id=g:76769
Bi’r Ma‘rūf	id=g:76770
Birkat as Sūdān	id=g:76771
Wādī ash Shi‘b	id=g:76772
Jabal al Birkah	id=g:76773
Burkān	id=g:76774
Kawr al Birk	id=g:76775
Bi’r Juwaynah	id=g:76776
Bi’r Jābir	id=g:76777
Bi’r Hūd	id=g:76778
Qaryat Āl Shāya’ah	id=g:76779
Bi’r Ghumdān	id=g:76780
Bi’r Fuqum	id=g:76781
Bi’r Faḑl	id=g:76782
Bi’r Bin ‘Abīdayn	id=g:76783
Bi’r Barhūt	id=g:76784
Bi’r az Zāwiyah	id=g:76785
Bi’r ash Shaḩaţah	id=g:76786
Bi’r an Nakha‘īn	id=g:76787
Jabal Birām	id=g:76788
Bi’r al Kūbah	id=g:76789
Bi’r al Khulb	id=g:76790
Bi’r ‘Alī	id=g:76791
Bi’r al Hudhayl	id=g:76792
Bi’r al Ghafāyā	id=g:76793
Bi’r al Faraynūs	id=g:76794
Birak	id=g:76795
Khawr Bi’r Aḩmad	id=g:76796
Bi’r Aḩmad	id=g:76797
Wādī Bi’r	id=g:76798
Shi‘b al Bi’r	id=g:76799
Bin Zuwaydī	id=g:76800
Wādī Binyūt	id=g:76801
Sha‘īb Binwāt	id=g:76802
Bintay Muthūl	id=g:76803
Khashm Bin Şabrah	id=g:76804
Jabal Bin Qumāţah	id=g:76805
Bin Nuqayş	id=g:76806
Bin Naţa‘	id=g:76807
Jabal Bin Kushayt	id=g:76808
Bin Jubār	id=g:76809
Jardī	id=g:76810
Shi‘b Bin Jahad	id=g:76811
Bin Ḩaydarah	id=g:76812
Bin Ḩaydar	id=g:76813
Shi‘b Bin Ḩabtūr	id=g:76814
Jubayl Bin ‘Aţash	id=g:76815
Wādī Bin ‘Alī	id=g:76816
Jabal Bin al Ashqar	id=g:76817
Bin Aḩmad	id=g:76818
Wādī al Binā’	id=g:76819
Qarn al Binā’	id=g:76820
Wādī al Bin	id=g:76821
Bil Maqāţi‘	id=g:76822
Jabal Billūm	id=g:76823
Jabal Bilīs	id=g:76824
Wādī Bilfāsah	id=g:76825
Shi‘b Bil aş Şaghīr	id=g:76826
Bil ‘Arūq	id=g:76827
Wādī Bilah	id=g:76828
Wādī Bilah	id=g:76829
Saylat Bilah	id=g:76830
Bilād Tāmir	id=g:76831
Bilād Suray	id=g:76832
Bilād Sharyān	id=g:76833
Bilād Salfīyah	id=g:76834
Bilād Sa‘īd Bā Qādir	id=g:76835
Bilād Şabar	id=g:76836
Bilād Raymah	id=g:76837
Bilād Mar	id=g:76838
Bilād Lamāţir	id=g:76839
Bilād Khawbān	id=g:76840
Bilād Ghathmah	id=g:76841
Bilād Damrād	id=g:76842
Bilād Banī ‘Aqlān	id=g:76843
Bilād as Sādah	id=g:76844
Bilād ash Shuhūr	id=g:76845
Bilād ar Ru’ūs	id=g:76846
Bilād ‘Ans	id=g:76847
Bilād ‘Ammār	id=g:76848
Bilād Āl Rāshid	id=g:76849
Bilād al Malāḩim	id=g:76850
Bilād al Mā’	id=g:76851
Bilād al Khāfiq	id=g:76852
Bilād al Khaḑrā’	id=g:76853
Bilād al Kafar	id=g:76854
Bilād al Jeharan	id=g:76855
Bilād al Ḩawīk	id=g:76856
Bilād al Ashrāf	id=g:76857
Bilād al Ahnūm	id=g:76858
Bilād ‘Abd aş Şamad	id=g:76859
Jabal al Bikār	id=g:76860
Wādī Bihat	id=g:76861
Wādī Bighah	id=g:76862
Rhiy di-Bidoh	id=g:76863
Wādī Bidish	id=g:76864
Wādī al Bidijah	id=g:76865
Bidḩūt	id=g:76866
Bi Dhiyab	id=g:76867
Bidhālih	id=g:76868
Bidar	id=g:76869
Shi‘b Bida‘	id=g:76870
Bi’ār	id=g:76871
Beydaha	id=g:76872
Berk	id=g:76873
Bereki	id=g:76874
Bereke Dhale	id=g:76875
Bellebelle	id=g:76876
Shi‘b Beli	id=g:76877
Shi‘b Belhazam	id=g:76878
Belassar	id=g:76879
Shi‘b Belagidukh	id=g:76880
Al Bihaylī	id=g:76881
Jabal Bedui	id=g:76882
Beas	id=g:76883
Bi’r Bā Zunbūr	id=g:76884
Bā Zumlah	id=g:76885
Bā Zulayfah	id=g:76886
Bā Zughayb	id=g:76887
Bā Zayd	id=g:76888
Jabal Bazarah	id=g:76889
Bā Zar‘ah	id=g:76890
Bā Yūsuf	id=g:76891
Bayt ‘Ukaysh	id=g:76892
Bayt Suwā’	id=g:76893
Bayt Sulţān	id=g:76894
Bayt Shubayl	id=g:76895
Al Ghaḑaybah	id=g:76896
Bayt Shabānah	id=g:76897
Bayt Samnah	id=g:76898
Bayt Sallāl	id=g:76899
Bayt Roje	id=g:76900
Qar‘āmah	id=g:76901
Jabal Bayt Radm	id=g:76902
Bayt Radm	id=g:76903
Bayt Qishn	id=g:76904
Bayt Qamlān	id=g:76905
Jabal Bayt Qadam	id=g:76906
Bayt Ḩanbaş	id=g:76907
Bayt Nā‘im	id=g:76908
Bayt Na‘āmah	id=g:76909
Bayt Mi‘şār	id=g:76910
Bayt Marrān	id=g:76911
Bayt Majraz	id=g:76912
Bayt Majmūr	id=g:76913
Bayt Maghārī	id=g:76914
Bayt Kulayb	id=g:76915
Wādī Bayt Kilāb	id=g:76916
Khulaqah	id=g:76917
Bayt Kerdi	id=g:76918
Bayt Katmaşar	id=g:76919
Bayt Kāhin	id=g:76920
Bayt Juḩays	id=g:76921
Bayt Jubayr	id=g:76922
Bayt Jashīsh	id=g:76923
Bayt ‘Izz ad Dīn	id=g:76924
Bayt ‘Imrān	id=g:76925
Bayt ‘Ilmān	id=g:76926
Bayt ‘Adhāqah	id=g:76927
Bayt Ibrāhīm	id=g:76928
Bayt Ḩufayy	id=g:76929
Sūq Bayt Harrāsh	id=g:76930
Bayt Haidad	id=g:76931
Bayt Ghānim	id=g:76932
Bayt Ghādir	id=g:76933
Bayt Fashid	id=g:76934
Bayt Dhānib	id=g:76935
Bayt Dā‘ir	id=g:76936
Bayt Dahrah	id=g:76937
Bi’r Zāhir	id=g:76938
Bayt Bin Nuqḩ	id=g:76939
Bayt Bin Ḩişn	id=g:76940
Bayt Baws	id=g:76941
Bayt Badaḩīl	id=g:76942
Bayt az Ziyādī	id=g:76943
Bayt az Zafīq	id=g:76944
Sha‘b al Bādīyah	id=g:76945
Bayt as Sifyānī	id=g:76946
Bayt as Sayyid Habbah	id=g:76947
Bayt as Subā‘ī	id=g:76948
Bayt ash Shaykh al Ghādir	id=g:76949
Bayt ash Shawārif	id=g:76950
Bayt ar Ruwayshāt	id=g:76951
Kharāb as Sawdā’	id=g:76952
Bayt ar Raşāş	id=g:76953
Bayt Arḩab	id=g:76954
Bayt an Nukhayf	id=g:76955
Bayt an Nahām	id=g:76956
Bayt an Na‘ām	id=g:76957
Bayt ‘Āmir	id=g:76958
Bayt al Yatīm	id=g:76959
Bayt al Wishāḩ	id=g:76960
Bayt al Wass	id=g:76961
Bayt al Walī	id=g:76962
Bayt al Wadā‘ī	id=g:76963
Bayt al ‘Uşbah	id=g:76964
Bayt al ‘Ubayd	id=g:76965
Al Ghayl	id=g:76966
Bayt al Qirār	id=g:76967
Bayt al Qāḑī	id=g:76968
Bayt al Mudīr	id=g:76969
Bayt al Marhibī	id=g:76970
Bayt al Maq‘ād	id=g:76971
Bayt al Maghrīyah	id=g:76972
Bayt al Kushsh	id=g:76973
Bayt al Kabite	id=g:76974
Bayt al Kaban	id=g:76975
Bayt al Junaynah	id=g:76976
Bayt al Jabrī	id=g:76977
Bayt ‘Alī Makká	id=g:76978
Bayt al Ḩuwayt	id=g:76979
Bayt al Ḩujarīyah	id=g:76980
Bayt al Hindawān	id=g:76981
Al Ḩāwirī	id=g:76982
Al Ḩuqqah	id=g:76983
Bayt al Ḩamūdī	id=g:76984
Al Ḩamrā’	id=g:76985
Bayt al Hallidge	id=g:76986
Bayt al Gire	id=g:76987
Bayt al Faqīr	id=g:76988
Bayt al Faqīyah	id=g:76989
Bayt al Faqīh	id=g:76990
Bayt al Faqīh	id=g:76991
Bayt al Biḩār	id=g:76992
Bayt al Bāqirī	id=g:76993
Bayt al Ba‘m	id=g:76994
Bayt al Babian	id=g:76995
Bayt al ‘Adū	id=g:76996
Bayt adh Dhi’b	id=g:76997
Bayt ad Du‘ūrī	id=g:76998
Bayt aḑ Ḑuraymī	id=g:76999
Bayt ad Daylamī	id=g:77000
Bayt ad Dahm	id=g:77001
Bayt aḑ Ḑabyānī	id=g:77002
Bayt Abū Manika	id=g:77003
Bayt Abū Bājil	id=g:77004
Shi‘b al Bayrah	id=g:77005
Khashm Bayrah	id=g:77006
Wādī Bayq	id=g:77007
Bayn as Siyal	id=g:77008
Bayn ash Shaykhayn	id=g:77009
Bayn ‘Āmir	id=g:77010
Bayn al Wādiyayn	id=g:77011
Bayn al Jibāl	id=g:77012
Wādī Bayn aḑ Ḑāḩatayn	id=g:77013
Shi‘b Bayn	id=g:77014
Bayḩān al Wusţá	id=g:77015
Bayḩān al ‘Ulyā	id=g:77016
Bayḩān al Qişāb	id=g:77017
Bayḩān al Qişāb	id=g:77018
Bayḩān al Asfal	id=g:77019
Bayḩān al ‘Arīf	id=g:77020
Bayḩān ad Dawlah	id=g:77021
Wādī Bayḩān	id=g:77022
Wādī Bayḩān	id=g:77023
Wādī Bayḩān	id=g:77024
Bayḩān	id=g:77025
Al Bayḑā’	id=g:77026
Al Bayḑā’	id=g:77027
Bayḑā’	id=g:77028
Bayḑā’	id=g:77029
‘Aqabat Baya‘ud	id=g:77030
Bayāḑ Range	id=g:77031
Wādī al Bayāḑ	id=g:77032
Ra’s al Bayāḑ	id=g:77033
Shi‘b Bawta‘ah	id=g:77034
Bawsān	id=g:77035
Qā‘ al Bawn aş Şaghīr	id=g:77036
Qā‘ al Bawn	id=g:77037
Sha‘īb Bawn	id=g:77038
Shi‘b al Bawl	id=g:77039
Jabal Bawl	id=g:77040
Wādī Bawḩal	id=g:77041
Bawārid	id=g:77042
Bā Wāqid	id=g:77043
Bā Wamāl	id=g:77044
Bā Waddā	id=g:77045
Bā Uthaylah	id=g:77046
Wādī Bā‘ūt	id=g:77047
Wādī Bā‘ūt	id=g:77048
Bā ‘Uşayyah	id=g:77049
Bā ‘Urwah	id=g:77050
Bā ‘Umar	id=g:77051
Battar	id=g:77052
Baţnah	id=g:77053
Baţīn	id=g:77054
Baţḩān	id=g:77055
Baţḩā’	id=g:77056
Wādī Ba‘th	id=g:77057
Jabal al Baţḩ	id=g:77058
Bā Tays	id=g:77059
Bā Tays	id=g:77060
Bā Suwaydā’	id=g:77061
Ba‘sūs	id=g:77062
Bā Sumayy	id=g:77063
Bā Sulaymān	id=g:77064
Bā Sulayb	id=g:77065
Jabal Başrah	id=g:77066
Başrah	id=g:77067
Rhiy di-Bashorah	id=g:77068
Bashār	id=g:77069
Ḩişn Bā Shanūn	id=g:77070
Wādī Bā Sārī	id=g:77071
Bā Sardah	id=g:77072
Shi‘b Basard	id=g:77073
Bā Samrah	id=g:77074
Shi‘b Bā Samrā’	id=g:77075
Shi‘b Bā Samrā’	id=g:77076
Bā Şamm	id=g:77077
Bā Şamm	id=g:77078
Bā Samarah	id=g:77079
Ḩayd Bā Salāmah	id=g:77080
Basah	id=g:77081
Bā Şafā’	id=g:77082
Basaat	id=g:77083
Wādī Barwash	id=g:77084
Barwaj	id=g:77085
Wādī Bā Ruwayk	id=g:77086
Bā Rushayd	id=g:77087
Bā Rushayd	id=g:77088
Wādī Ba‘rūrah	id=g:77089
Bā Rumaydān	id=g:77090
Bā Rukhām	id=g:77091
Shi‘b Bā Rukbah	id=g:77092
Najd al Burāh	id=g:77093
Jazā’ir Barrī	id=g:77094
Jazīrat Bārī	id=g:77095
Al Barrī	id=g:77096
Jabal Barāsh	id=g:77097
Jabal Barrāsh	id=g:77098
Barrāqah	id=g:77099
Wādī Barrānī	id=g:77100
Jabal al Barrah	id=g:77101
Wādī Barqah	id=g:77102
Barqah	id=g:77103
Barqā’	id=g:77104
Barmān	id=g:77105
Barmal	id=g:77106
Barkērib	id=g:77107
Barkan	id=g:77108
Al Bāriyah	id=g:77109
Niqābat Barīm	id=g:77110
Perim Island	id=g:77111
Barīl	id=g:77112
Wādī al Bārik	id=g:77113
Barīhī	id=g:77114
Bāridah	id=g:77115
Jabal al Miswād	id=g:77116
Shi‘b al Bāri‘	id=g:77117
Wādī Barhūt	id=g:77118
Sha‘īb Barhawat	id=g:77119
Al Bāridah	id=g:77120
Barāwirah	id=g:77121
Barţ al ‘Anān	id=g:77122
Jibal Baraţ	id=g:77123
Baraţ	id=g:77124
Wādī Barashīt	id=g:77125
Jabal Barāshah	id=g:77126
Jabal Barāsh	id=g:77127
Jabal Barāsh	id=g:77128
Barāqish	id=g:77129
Baranīyah	id=g:77130
Barāmish	id=g:77131
Baram Dāthirah	id=g:77132
Shi‘b Baram	id=g:77133
Jabal Barakah	id=g:77134
Barak	id=g:77135
Al Barākhishah	id=g:77136
Ra’s Barādlī	id=g:77137
Baradah	id=g:77138
Shi‘b Bā Rabwah	id=g:77139
Barābir	id=g:77140
Bā Quţmī	id=g:77141
Jawl Bā Qushaym	id=g:77142
Jawl Bā Qushaym	id=g:77143
Bā Qushaym	id=g:77144
Jabal Baqqā‘	id=g:77145
Shi‘b Baqlīt	id=g:77146
Marsá Baqlah	id=g:77147
Khashm Bāqim	id=g:77148
Bi’r Bāqim	id=g:77149
Bāqim	id=g:77150
Jabal Bā Qarwā’	id=g:77151
Bā Qarwā’	id=g:77152
Khalīf al Baqar	id=g:77153
Bā Qāfilah	id=g:77154
Banyar	id=g:77155
Banī Z̧ulaymāt	id=g:77156
Jabal Banī Zuhayr	id=g:77157
Banī Ziyād	id=g:77158
Banī Ziyād	id=g:77159
Banī Zayd	id=g:77160
Banī Zayd	id=g:77161
Banī Z̧abyān	id=g:77162
Banī Z̧abyān	id=g:77163
Banī Yūsuf	id=g:77164
Banī Yūsuf	id=g:77165
Banī Yūb	id=g:77166
Banī Yūb	id=g:77167
Banī Wahhās	id=g:77168
Banī Wahb	id=g:77169
Banī Vail	id=g:77170
Jabal Banī ‘Uwayr	id=g:77171
Banī ‘Uwayr	id=g:77172
Banī ‘Uthamān	id=g:77173
Banī ‘Utbān	id=g:77174
Banī ‘Uşaymāt	id=g:77175
Banī ‘Urjān	id=g:77176
Banī ‘Umar al ‘Ulyā	id=g:77177
Banī ‘Ulūw	id=g:77178
Banī Udaka	id=g:77179
Banī Tayb	id=g:77180
Banī Ţawq	id=g:77181
Banī Ţalq	id=g:77182
Banī Ţabyān	id=g:77183
Banī Suwayd	id=g:77184
Banī Sulaymān	id=g:77185
Banī Sulaymān	id=g:77186
Banī Sulaym	id=g:77187
Banī Sulayl	id=g:77188
Banī Suḩām	id=g:77189
Banī Şiyāḩ	id=g:77190
Banī Siriaa	id=g:77191
Banī Sirāj	id=g:77192
Banī Sirā‘	id=g:77193
Banī Sihām	id=g:77194
Jabal Banī Sīfat ‘Alī	id=g:77195
Jabal Banī Shubāţī	id=g:77196
Banī Shij‘ah	id=g:77197
Banī Shihāb	id=g:77198
Banī Shībah	id=g:77199
Mikhlāf Banī Sharq	id=g:77200
Banī Shamhān	id=g:77201
Banī Shaddād	id=g:77202
Banī Shabīb	id=g:77203
Jabal Banī Sayf al ‘Ālī	id=g:77204
Banī Sayf	id=g:77205
Banī Sayf	id=g:77206
Banī Sāri‘	id=g:77207
Banī Sāri‘	id=g:77208
Banī Sāri‘	id=g:77209
Banī Sārī	id=g:77210
Banī Sārī	id=g:77211
Banī Salāmah	id=g:77212
Banī Salāmah	id=g:77213
Banī Sa‘d	id=g:77214
Jabal Banī Sa‘d	id=g:77215
Banī Sa‘d	id=g:77216
Banī Sab‘ah	id=g:77217
Wādī Banī Sabā’	id=g:77218
Banī Sabā’	id=g:77219
Banī Sabā’	id=g:77220
Banī Saaba	id=g:77221
Banī Rumām	id=g:77222
Banī Rubāsh	id=g:77223
Banī Quţrān	id=g:77224
Wādī Banī Qudayl	id=g:77225
Wādī al Manjar	id=g:77226
Banī Qays	id=g:77227
Banī Qays	id=g:77228
Wādī Banī Qat	id=g:77229
Wādī Banī Nashar	id=g:77230
Banī Nāshir	id=g:77231
Banīn al Asfal	id=g:77232
Banīn al ‘Alīyah	id=g:77233
Banī Nā‘im	id=g:77234
Banīn	id=g:77235
Jabal Banī Muslim	id=g:77236
Banī Muslim	id=g:77237
Banī Muqātil	id=g:77238
Banī Munbah	id=g:77239
Banī Munabbih	id=g:77240
Jabal Banī Muḩarram	id=g:77241
Wādī Banī Muḩammad	id=g:77242
Banī Muḩammad	id=g:77243
Banī Muḩammad	id=g:77244
Banī Muḩammad	id=g:77245
Banī Mubāriz	id=g:77246
Banī Misuan Wells	id=g:77247
Banī Midsumir	id=g:77248
Banī Maymūn	id=g:77249
Jabal Banī Mawqab	id=g:77250
Banī Maţar	id=g:77251
Banī Marwān	id=g:77252
Banī Marhab	id=g:77253
Banī Margham	id=g:77254
Banī Manşūr	id=g:77255
Banī Mālik	id=g:77256
Banī Mālik	id=g:77257
Banī Malāḩah	id=g:77258
Banī Makram	id=g:77259
Banī Lufaynah	id=g:77260
Jabal Banī Lawf	id=g:77261
Banī Kurab	id=g:77262
Banī Khushayn	id=g:77263
Banī Khūrshīdī	id=g:77264
Banī Khawlān	id=g:77265
Banī Ju‘aynah	id=g:77266
Banī Ji‘as	id=g:77267
Banī Jaysh	id=g:77268
Banī Jawbah	id=g:77269
Banī Jāmi‘	id=g:77270
Wādī Banī Jabr	id=g:77271
Banī Jabr	id=g:77272
Jabal Banī Ismā‘īl	id=g:77273
Banī Ismā‘īl	id=g:77274
Banī ‘Īd	id=g:77275
Banī Ḩushaysh	id=g:77276
Banī Ḩusayn Jamīnah	id=g:77277
Banī Ḩujjāj	id=g:77278
Banī Ḩufāsh	id=g:77279
Banī Ḩudayr	id=g:77280
Banī Hayrah	id=g:77281
Banī Ḩawmī	id=g:77282
Banī Ḩawāt	id=g:77283
Banī Hatih	id=g:77284
Banī Hatam	id=g:77285
Wādī Banī Ḩasan	id=g:77286
Banī Ḩasan	id=g:77287
Banī Ḩasan	id=g:77288
Banī Ḩasan	id=g:77289
Banī Ḩāris	id=g:77290
Banī Ḩamlah	id=g:77291
Banī Hamīr	id=g:77292
Banī Hamar	id=g:77293
Banī Ḩamalah	id=g:77294
Banī Ḩamad	id=g:77295
Jabal Banī Ḩajāj	id=g:77296
Banī Ḩaḑīr	id=g:77297
Jibāl Banī Ḩabash	id=g:77298
Banī Ḩabash	id=g:77299
Banī Ghasīn	id=g:77300
Banī Gharādah	id=g:77301
Banī Fā’id	id=g:77302
Banī Dūd	id=g:77303
Banī Dūd	id=g:77304
Banī Dimāj	id=g:77305
Banī Bita	id=g:77306
Banī Bakk	id=g:77307
Banī Baḩrah	id=g:77308
Banī Bahlūl	id=g:77309
Banī Bada	id=g:77310
Banī Babr	id=g:77311
Banī az Zubayr	id=g:77312
Bin Zayn	id=g:77313
Jabal Banī ‘Aytharī	id=g:77314
Jabal Banī ‘Awwām	id=g:77315
Banī ‘Awwām	id=g:77316
Jabal al Qaflah	id=g:77317
Banī ‘Aws	id=g:77318
Banī ‘Awābid	id=g:77319
Banī ‘Atrān	id=g:77320
Banī Assela	id=g:77321
Banī as Samat	id=g:77322
Jabal Banī Aslam	id=g:77323
Banī Aslam	id=g:77324
Banī ‘Aşim	id=g:77325
Banī ash Shajarah	id=g:77326
Jabal Banī As‘ad	id=g:77327
Banī As‘ad	id=g:77328
Banī ‘Arrāf	id=g:77329
Banī ‘Amr	id=g:77330
Banī al Wayţ	id=g:77331
