Kal Gāh	id=g:129197
Hūr	id=g:130856
Qowr	id=g:130857
Ḩūr	id=g:130858
Hūr Owlīā’ī	id=g:130859
Hūrī	id=g:130860
Ḩūpol-e Bālā	id=g:130861
Kotal-e Hūnkūy	id=g:130862
Hūnestān	id=g:130863
Hūnejān	id=g:130864
Hūn	id=g:130865
The Hummocks	id=g:130866
Homeh	id=g:130867
Hūmadān	id=g:130868
Kūh-e Halīgūn	id=g:130869
Hūleh Sū	id=g:130870
Hūlāndasht	id=g:130871
Hūkerd	id=g:130872
Hūker	id=g:130873
Hūkānī-ye Soflá	id=g:130874
Hūkānī-ye ‘Olyā	id=g:130875
Hūk	id=g:130876
Hūk	id=g:130877
Hūjū	id=g:130878
Hūfel-e Sharqī	id=g:130879
Hūfel-e Gharbī	id=g:130880
Ahūfal	id=g:130881
Kūh-e Hūdīān	id=g:130882
Hūdīyān	id=g:130883
Kūh-e Hūdī	id=g:130884
Kūh-e Hūdar	id=g:130885
Hūdar	id=g:130886
Hūdaraj	id=g:130887
Hūdar	id=g:130888
Rūdkhāneh-ye Hūdak	id=g:130889
Hūd	id=g:130890
Hūch	id=g:130891
Hūch	id=g:130892
Kūh-e Hū	id=g:130893
Khazīm	id=g:130894
Hozhabrābād	id=g:130895
Kūh-e Howzom	id=g:130896
Howzīān	id=g:130897
Ḩowzī	id=g:130898
Ḩowẕ-e Tabar Kūh	id=g:130899
Kūh-e Ḩowẕ-e Shahrok	id=g:130900
Ḩowẕ-e Shāh Ghīās̄	id=g:130901
Ḩowz-e Panj	id=g:130902
Ḩowz-e Mīān Ţāq	id=g:130903
Ḩowz-e Khāneh-ye Panj	id=g:130904
Kūh-e Ḩowẕ-e Ja`far	id=g:130905
Kūh-e Ḩowẕ-e Daq	id=g:130906
Ḩowz-e Āqā	id=g:130907
Kūh-e Ḩowz-e Aḩmad	id=g:130908
Rūdkhāneh-ye Ḩowz	id=g:130909
Chāh Ḩowz	id=g:130910
Kūh-e Ḩowsh	id=g:130911
Hūravak	id=g:130912
Ḩowreh	id=g:130913
Āb-e Hūngeh	id=g:130914
Ḩonīfaqān	id=g:130915
Howdar	id=g:130916
Omm ol Khazeyn	id=g:130917
Howvīr	id=g:130918
Rūdkhāneh-ye Ḩonīfaqān	id=g:130919
Hoveyshī	id=g:130920
Khvīsh	id=g:130921
Hoveyreh-ye Shahrestān	id=g:130922
Hoveyreh	id=g:130923
Ḩoveyr	id=g:130924
Hoveyleh	id=g:130925
Haveh	id=g:130926
Hovarsīn	id=g:130927
Havān	id=g:130928
Howtan	id=g:130929
Ḩotkan	id=g:130930
Ḩofeyreh	id=g:130931
Ḩaşūr	id=g:130932
Bahrām Khān	id=g:130933
Hashtī Kūh	id=g:130934
Ḩoseyn-e Zā’erī	id=g:130935
Ḩoseynvand	id=g:130936
Ḩoseyn Ţalā’ī	id=g:130937
Ḩoseyn Mordeh	id=g:130938
Ḩoseyn Māheh	id=g:130939
Ḩoseyn Kūchak	id=g:130940
Ḩoseyn Khān	id=g:130941
Ḩoseynjeh	id=g:130942
Ḩoseynīyeh-ye Soflá	id=g:130943
Ḩoseynīyeh	id=g:130944
Ḩoseynīyeh-ye Bālenjān	id=g:130945
Īstgāh-e Ḩoseynīyeh	id=g:130946
Ḩoseynīyeh	id=g:130947
Ḩoseynīyeh	id=g:130948
Ḩoseynīyeh	id=g:130949
Shahrak-e Ḩoseynīyeh	id=g:130950
Ḩoseynīān	id=g:130951
Kūh-e Ḩoseynī	id=g:130952
Cheshmeh-ye Ḩoseynī	id=g:130953
Ḩoseynī	id=g:130954
’oseynī	id=g:130955
Ḩoseyn Gorg	id=g:130956
Ḩoseynbengī	id=g:130957
Ḩoseyn ‘Alī	id=g:130958
Ḩoseynakī	id=g:130959
Ḩowẕ-e Ḩoseyn `Abbāsī	id=g:130960
Ḩoseynābād-e Serkān	id=g:130961
Ḩoseynābād	id=g:130962
Ḩoseynābād	id=g:130963
Ḩoseynābād-e Gavāhī	id=g:130964
Ḩoseynābād	id=g:130966
Ḩoseynābād-e Vasaţ	id=g:130967
Ḩoseynābād-e Sūrmaq	id=g:130968
Rūdkhāneh-ye Ḩoseynābād-e Sūj	id=g:130969
Ḩoseynābād-e Shokrā’ī	id=g:130970
Hoseynābād	id=g:130971
Ḩasanābād-e Shāmlū	id=g:130972
Ḩoseynābād-e Shāh Naz̧ar	id=g:130973
Ḩoseynābād-e Shāhīnī	id=g:130974
Ḩoseynābād-e Sar Jangal	id=g:130975
Ḩoseynābād-e Sarāb	id=g:130976
Ḩoseynābād-e Qārqālū	id=g:130977
Ḩoseynābād	id=g:130978
Ḩoseynābād-e Pashtan	id=g:130979
Ḩoseynābād	id=g:130980
Ḩoseynābād-e Nāz̧em	id=g:130981
Tall-e Deh Zahīr	id=g:130982
Ḩoseynābād-e Morādī	id=g:130983
Ḩoseynābād	id=g:130984
Ḩoseynābād-e Mollā Amīr	id=g:130985
Ḩoseynābād-e Moḩammad Ḩasan	id=g:130986
Ḩoseynābād-e Mīsh Mast	id=g:130987
Ḩoseynābād-e Mehdqolī	id=g:130988
Ḩoseynābād	id=g:130989
Ḩoseynābād-e Mahlār	id=g:130990
Ḩoseynābād	id=g:130991
Ḩoseynābād-e Khenāmān	id=g:130992
Ḩoseynābād-e Khūnsorkh	id=g:130993
Ḩoseynābād-e Khān	id=g:130994
Ḩoseynābād	id=g:130995
Ḩoseynābād-e Jangal	id=g:130996
Ḩoseynābād	id=g:130997
Ḩoseynābād-e Jahāngīrkhān	id=g:130998
Ḩoseynābād-e Harandī	id=g:130999
Deh Shafī‘	id=g:131000
Ḩoseynābād	id=g:131001
Ḩoseynābād-e Pol	id=g:131002
Ḩoseynābād	id=g:131003
Ḩoseynābād-e Dūlāb	id=g:131004
Ḩoseynābād-e Derakhtī	id=g:131005
Ḩoseynābād-e Deh Z̧ahīr	id=g:131006
Ḩoseynābād-e Emāmī	id=g:131007
Ḩoseynābād-e Deh Boneh	id=g:131008
Ḩoseynābād	id=g:131009
Ḩoseynābād	id=g:131010
Ḩoseynābād-e Bālā	id=g:131011
Ḩoseynābād	id=g:131012
Ḩoseynābād	id=g:131013
Ḩoseynābād	id=g:131014
Ḩoseynābād	id=g:131015
Ḩoseynābād	id=g:131016
Ḩoseynābād	id=g:131017
Ḩoseynābād	id=g:131018
Ḩoseynābād	id=g:131019
Ḩoseynābād-e ‘Āmerīyeh	id=g:131020
Ḩoseynābād-e Āb Shūr	id=g:131021
Ḩoseynābād	id=g:131022
Nīm Īstgāh-e Ḩoseynābād	id=g:131023
Kūh-e Ḩoseynābād	id=g:131024
Kūh-e Ḩoseynābād	id=g:131025
Kūh-e Ḩoseynābād	id=g:131026
Kūh-e Ḩasanābād	id=g:131027
Chāh-e Ḩoseynābād	id=g:131028
Ḩoseynābād	id=g:131029
Ḩoseynābād	id=g:131030
Ḩoseynābād	id=g:131031
Ḩoseynābād	id=g:131032
Kalāteh-ye Mo'īn	id=g:131033
Ḩoseynābād	id=g:131034
Ḩoseynābād	id=g:131035
Ḩoseynābād	id=g:131036
Ḩoseynābād	id=g:131037
Ḩoseynābād	id=g:131038
Ḩoseynābād	id=g:131039
Ḩoseynābād	id=g:131040
Ḩoseynābād	id=g:131041
Ḩoseynābād	id=g:131042
Ḩoseynābād-e Mīrzā Mo`men	id=g:131043
Ḩoseynābād	id=g:131044
Ḩoseynābād	id=g:131045
Ḩoseynābād	id=g:131046
Ḩoseynābād-e Do Dāngeh	id=g:131048
Ḩoseynābād	id=g:131049
Ḩoseynābād	id=g:131050
Ḩoseynābād	id=g:131051
Ḩoseynābād-e ‘Alīzādeh	id=g:131053
Ḩoseynābād	id=g:131054
Ḩoseynābād	id=g:131055
Ḩoseynābād	id=g:131056
Ḩoseynābād	id=g:131057
Ḩoseynābād-e Ţāherābād	id=g:131058
Ḩoseynābād	id=g:131059
Ḩoseynābād	id=g:131060
Ḩoseynābād	id=g:131061
Ḩoseynābād	id=g:131062
Ḩoseynābād	id=g:131063
Ḩoseynābād	id=g:131064
Ḩoseynābād	id=g:131065
Ḩoseynābād	id=g:131066
Ḩoseynābād	id=g:131067
Ḩoseynābād	id=g:131068
Ḩoseynābād	id=g:131069
Ḩoseynābād	id=g:131070
Ḩoseynābād-e Chūlak	id=g:131071
Ḩoseynābād	id=g:131072
Ḩoseynābād	id=g:131073
Ḩoseynābād	id=g:131074
Ḩoseynābād	id=g:131075
Ḩoseynābād	id=g:131076
Ḩoseynābād	id=g:131077
Ḩoseynābād	id=g:131078
Ḩoseynābād	id=g:131079
Ḩoseyn Begī	id=g:131080
Ḩoseynābād	id=g:131081
Ḩoseynābād	id=g:131082
Ḩoseynābād	id=g:131083
Ḩoseynābād	id=g:131084
Ḩoseynābād	id=g:131085
Ḩoseynābād	id=g:131086
Ḩoseynābād	id=g:131087
Ḩoseynābād	id=g:131088
Ḩoseynābād	id=g:131089
Ḩoseynābād	id=g:131090
Ḩoseynābād	id=g:131092
Ḩoseynābād	id=g:131094
Ḩoseynābād	id=g:131095
Ḩoseynābād	id=g:131096
Ḩoseynābād	id=g:131097
Ḩoseynābād	id=g:131098
Ḩoseynābād	id=g:131099
Ḩoseynābād-e Karvan	id=g:131100
Ḩoseynābād	id=g:131101
Ḩoseynābād	id=g:131102
Ḩoseynābād-e Khān	id=g:131103
Ḩoseynābād	id=g:131104
Ḩoseynābād	id=g:131105
Ḩoseynābād	id=g:131106
Ḩoseynābād	id=g:131108
Ḩoseynābād	id=g:131109
Ḩoseynābād	id=g:131110
Ḩoseynābād	id=g:131111
Ḩoseynābād	id=g:131112
Ḩoseynābād	id=g:131113
Ḩoseynābād	id=g:131114
Ḩoseynābād	id=g:131115
Ḩoseynābād	id=g:131116
Ḩoseynābād	id=g:131117
Ḩoseynābād	id=g:131118
Ḩoseynābād	id=g:131119
Ḩoseynābād	id=g:131120
Ḩoseynābād	id=g:131121
Ḩoseynābād	id=g:131122
Ḩoseynābād	id=g:131123
Ḩoseynābād	id=g:131124
Ḩoseynābād-e Vardasht	id=g:131125
Ḩoseynābād	id=g:131126
Ḩoseynābād	id=g:131127
Ḩoseynābād	id=g:131128
Ḩoseynābād	id=g:131129
Ḩoseynābād	id=g:131130
’oseynābād-e ’ājjī ’oseyn	id=g:131131
Ḩoseynābād	id=g:131132
Ḩoseynābād	id=g:131133
Ḩoseynābād	id=g:131134
Ḩoseynābād Amīn	id=g:131135
Ḩoseynābād	id=g:131136
Ḩoseynābād	id=g:131137
Ḩoseynābād	id=g:131138
Ḩoseynābād	id=g:131139
Ḩoseynābād-e Dasht-e Rūm	id=g:131140
Ḩoseynābād	id=g:131141
Ḩoseynābād	id=g:131142
Ḩoseynābād-e Solţānī	id=g:131143
Ḩoseynābād	id=g:131144
Ḩoseynābād	id=g:131145
Ḩoseynābād-e ‘Alī Akbarkhān	id=g:131146
Ḩoseynābād	id=g:131147
Ḩoseynābād	id=g:131148
Ḩoseynābād	id=g:131149
Ḩoseynābād	id=g:131150
Ḩoseynābād	id=g:131151
Ḩoseynābād	id=g:131152
Ḩoseynābād	id=g:131154
Ḩoseynābād	id=g:131155
Ḩoseynābād	id=g:131156
Ḩoseynābād	id=g:131157
Ḩoseynābād	id=g:131158
Ḩoseynābād	id=g:131159
Ḩoseynābād	id=g:131160
Ḩoseynābād	id=g:131161
Ḩoseynābād	id=g:131162
Ḩoseynābād	id=g:131163
Ḩoseynābād	id=g:131164
Ḩoseynābād	id=g:131165
Ḩoseynābād	id=g:131166
Ḩoseynābād	id=g:131167
Ḩoseynābād-e Qāsem Khān	id=g:131168
Ḩoseynābād	id=g:131169
Ḩoseynābād	id=g:131170
Ḩoseynābād-e Raẕavī	id=g:131171
Ḩoseynābād-e Beshnūn	id=g:131172
Ḩoseynābād	id=g:131173
Ḩoseynābād	id=g:131174
Ḩoseynābād	id=g:131175
Ḩoseynābād-e Posht-e Rūd	id=g:131176
Ḩoseynābād	id=g:131178
Zārīn	id=g:131179
Ḩoseynābād	id=g:131180
Ḩoseynābād-e Behzādī	id=g:131181
Ḩoseynābād	id=g:131182
Ḩoseynābād	id=g:131183
Ḩoseynābād	id=g:131184
Ḩoseynābād	id=g:131185
Ḩoseynābād	id=g:131186
Ḩoseynābād	id=g:131187
Ḩoseynābād	id=g:131188
Ḩoseynābād	id=g:131191
Ḩoseynābād-e ‘Olyā	id=g:131192
Ḩoseynābād	id=g:131194
Ḩoseynābād	id=g:131196
Ḩoseynābād	id=g:131197
Ḩoseynābād	id=g:131198
Ḩoseynābād	id=g:131199
Ḩoseynābād	id=g:131200
Ḩoseynābād	id=g:131201
Ḩoseynābād	id=g:131202
Ḩoseynābād	id=g:131203
Ḩoseynābād	id=g:131204
Ḩoseynābād	id=g:131205
Ḩoseynābād	id=g:131206
Kūh-e Ḩoseyn	id=g:131207
Ḩowẕ-e Ḩoseyn	id=g:131208
Emāmzādeh Shāhzādeh Ḩoseyn	id=g:131209
Chāh-e Ḩoseyn	id=g:131210
Darreh-ye Horūr	id=g:131211
Ḩorrābād	id=g:131212
Hormak	id=g:131215
Hormūj	id=g:131216
Hormū’īyeh	id=g:131217
Ḩormūd-e Mīr Khū	id=g:131218
Hormūd	id=g:131219
Hormūdar	id=g:131220
Hormozī	id=g:131221
Ostān-e Hormozgān	id=g:131222
Hormīzān	id=g:131223
Hormozok	id=g:131224
Hormozābād	id=g:131225
Hormozābād	id=g:131226
Hormozābād	id=g:131227
Hormozābād	id=g:131228
Hormozābād	id=g:131229
Jazīreh-ye Hormoz	id=g:131230
Hormoz	id=g:131231
Ḩormak	id=g:131232
Hormak	id=g:131233
Rūdkhāneh-ye Ḩorjand	id=g:131234
Ḩorjand	id=g:131235
Horhoreh	id=g:131236
Horestāneh-ye Pā’īn	id=g:131237
Horestāneh-ye Bālā	id=g:131238
Horreh	id=g:131239
Honūj	id=g:131240
Rūdkhāneh-ye Honītagān	id=g:131241
Hengūyeh	id=g:131242
Hengenūyeh	id=g:131243
Hongdān	id=g:131244
Hondor	id=g:131245
Honnāmeh-ye Bozorg	id=g:131246
Homsār	id=g:131247
Ḩomrīān	id=g:131248
Hampā	id=g:131249
Khamāsī	id=g:131250
Hamkār	id=g:131251
Ḩomeyreh	id=g:131252
Ḩamīd	id=g:131253
Hombar	id=g:131254
Homāyūn	id=g:131255
Homāyūn	id=g:131256
Homāyūn	id=g:131257
Homāy-e Pāʼīn	id=g:131258
Homāk-e Pā’īn	id=g:131259
Homāy-e Bālā	id=g:131260
Homāk	id=g:131261
Homand	id=g:131262
Homā’ī	id=g:131263
Hammā’ī	id=g:131264
Homāābād-e Soflá	id=g:131265
Homāābād-e ‘Olyā	id=g:131266
Kūh-e Homā	id=g:131267
Homā	id=g:131268
Ḩolvar-e Pā’īn	id=g:131269
Ḩolvar-e Bālā	id=g:131270
Rūdkhāneh-ye Āb-e Ḩolūl	id=g:131271
Holū	id=g:131272
Holaq	id=g:131273
Holeylān	id=g:131274
Kūh-e Holen	id=g:131275
Kūh-e Ḩolābād	id=g:131276
Ḩolābād	id=g:131277
Ḩokmābād	id=g:131278
Ḩājjī Nāj	id=g:131279
Rūdkhāneh-ye Hojnīm	id=g:131280
Kūh-e Ḩojjatābād	id=g:131281
Kūh-e Ḩojjatābād	id=g:131282
Ḩojjatābād	id=g:131283
Ḩojjatābād	id=g:131284
Ḩojjatābād	id=g:131285
Ḩojjatābād	id=g:131286
Ḩojjatābād	id=g:131287
Ḩojjatābād	id=g:131288
Ḩojjatābād	id=g:131289
Ḩojjatābād	id=g:131290
’ojjatābād	id=g:131291
Ḩojjatābād	id=g:131292
Ḩojjatābād	id=g:131293
Ḩojjatābād	id=g:131294
Ḩojjatābād	id=g:131295
Ḩojjatābād	id=g:131296
Ḩojjatābād	id=g:131297
Ḩojjatābād	id=g:131298
Ḩojjatābād	id=g:131299
Ḩojjatābād	id=g:131300
Ḩofeyreh	id=g:131301
Ḩofeyreh-ye Soflá	id=g:131302
Ḩodūd	id=g:131304
Hodk	id=g:131305
Ḩobeyshī	id=g:131306
Ḩobb ol Rīḩ	id=g:131307
Chāh-e Hīzomī	id=g:131308
Hīzom	id=g:131309
Kūh-e Hīzaj Govīnī	id=g:131310
Hīzaj	id=g:131311
Kūh-e Hīzāb	id=g:131312
Hīv	id=g:131314
Hīt	id=g:131315
Hīshīn	id=g:131316
Hīrvand	id=g:131317
Hīrū	id=g:131318
Hīrom	id=g:131319
Hīrān	id=g:131320
Āb-e Hīrah	id=g:131321
Hīrad	id=g:131322
Kūh-e Kheyrābād	id=g:131323
Hīrābād	id=g:131324
Hīrāb	id=g:131325
Hīr	id=g:131326
Hīr	id=g:131327
Hīnī	id=g:131329
Hīnemān	id=g:131330
Hīnābād-e Pā’īn	id=g:131331
Hīnābād-e Bālā	id=g:131332
‘Eynābād	id=g:131333
Hīman	id=g:131334
Kūh-e Hīmand	id=g:131335
Kūh-e Hīm	id=g:131336
Kūh-e Hīlāv	id=g:131337
Hīkūh	id=g:131338
Hī Kūh	id=g:131339
Hīkūn Pā’īn	id=g:131340
Ḩīkān	id=g:131341
Hek	id=g:131342
Hīdaj	id=g:131343
Chāh-e Hīchdar Kūh	id=g:131344
Hīaq	id=g:131345
Hīān	id=g:131346
Hīān	id=g:131347
Ḩerārūn	id=g:131348
Hezārtā	id=g:131349
Hezār Rūd	id=g:131350
Kūhhā-ye Hezār Masjed	id=g:131351
Hezār Marz	id=g:131352
Hezār Manī	id=g:131353
Hezār Manī	id=g:131354
Hezār Khānī-ye ‘Olyā	id=g:131355
Hezār Khānī	id=g:131356
Hezār Jerīb	id=g:131357
Hezār Jerīb	id=g:131358
Hezār Jān	id=g:131359
Rūdkhāneh-ye Hezār Gereh	id=g:131360
Kūh-e Hezār Gāzī	id=g:131361
Hezāreh	id=g:131362
Hezār Deh	id=g:131363
Kāl-e Hezār Chīl	id=g:131364
Godār-e Hezār Chīl	id=g:131365
Hezārānī	id=g:131366
Hezārābād	id=g:131367
Hezār	id=g:131368
Ḩeyrat Kojūr	id=g:131370
Ḩeyrān ‘Alī Khāneh	id=g:131371
Gardaneh-ye Ḩeyrān	id=g:131372
Ḩeyrān	id=g:131373
Ḩeyrān	id=g:131374
Rūdkhāneh-ye Heynī	id=g:131375
Rūdkhāneh-ye Hīman	id=g:131376
Rūdkhāneh-ye ’eylarū	id=g:131377
Ḩey Ḩājjī	id=g:131378
Ḩeydarlū-ye Sīr	id=g:131379
Ḩeydar Kānlū-ye ‘Olyā	id=g:131380
Ḩeydarīyeh	id=g:131381
Ḩeydarī	id=g:131382
Ḩeydarī	id=g:131383
’eydarī	id=g:131384
Ḩeydarī	id=g:131385
Ḩeydar Karrār	id=g:131386
Ḩeydareh-ye Posht-e Shahr	id=g:131387
Ḩeydareh-ye Qāẕī Khān	id=g:131388
Kūh-e Ḩeydareh	id=g:131389
Kūh-e Ḩeydarābād	id=g:131390
Ḩeydarābād	id=g:131392
Ḩeydarābād	id=g:131393
Ḩeydarābād	id=g:131394
Ḩeydarābād	id=g:131395
Ḩeydarābād	id=g:131396
Ḩeydarābād	id=g:131397
Ḩeydarābād	id=g:131398
Ḩeydarābād	id=g:131399
Ḩeydarābād	id=g:131400
Ḩeydarābād	id=g:131401
Ḩeydarābād	id=g:131402
Ḩeydarābād	id=g:131403
Hāderbād	id=g:131405
Ḩeydarābād	id=g:131406
Ḩeydarābād	id=g:131407
Ḩeydarābād-e Qūr Tapasī	id=g:131408
Ḩeydarābād-e Soflá	id=g:131409
Ḩeydarābād	id=g:131410
Ḩeydarābād	id=g:131411
Ḩeydarābād	id=g:131412
Ḩeydarābād	id=g:131413
Ḩeydarābād	id=g:131414
Ḩeydarābād	id=g:131415
Ḩeydarābād	id=g:131416
Ḩeydarābād	id=g:131417
Ḩeydarābād-e Soflá	id=g:131418
Ḩeydarābād	id=g:131419
Ḩeydarābād	id=g:131420
Ḩeydarābād	id=g:131421
Ḩeydarābād	id=g:131422
’eydarābād	id=g:131423
Deh Ḩeydar	id=g:131424
Heybekīt	id=g:131425
Heybatollāh	id=g:131426
Heybat Beyg	id=g:131427
Ḩey	id=g:131428
Kūh-e Ḩoşn	id=g:131429
Ḩoşn	id=g:131430
Heshnīz	id=g:131431
Ḩeshmatīyeh	id=g:131432
Ḩeshmatābād	id=g:131433
Ḩeshmatābād	id=g:131434
Ḩeshmatābād	id=g:131435
Ḩeshmatābād	id=g:131436
Ḩeshmatābād	id=g:131437
Heshīn	id=g:131438
Heshī	id=g:131439
Kūh-e Heshāsh	id=g:131440
Hashatjīn	id=g:131441
Ḩeşārū’īyeh	id=g:131442
Ḩeşārū’īyeh	id=g:131443
Ḩeşār Sorkh	id=g:131444
Ḩeşār-e Sorkh	id=g:131445
Ḩeşār-e Shīneh	id=g:131446
Ḩeşār-e Sātī	id=g:131447
Kūh-e Shekasteh-ye Ḩeşār Sangī	id=g:131448
Ḩeşār Sangī	id=g:131449
Ḩeşār Qareh Bāghī	id=g:131450
Ḩeşār Now	id=g:131451
Ḩeşār Now	id=g:131452
Ḩeşār Khondāb	id=g:131453
Ḩeşār Kharvān	id=g:131454
Ḩeşar	id=g:131455
Ḩeşār Jalāl	id=g:131456
Ḩeşār Gowdāl	id=g:131457
Ḩeşār-e Yazdān	id=g:131458
Ḩeşār-e Teymūr Tāsh	id=g:131459
Ḩeşār-e Shāh Verdī Khān	id=g:131460
Ḩeşār-e Qājār	id=g:131461
Ḩeşār-e Pā’īn	id=g:131462
Ḩeşār-e Pā’īn	id=g:131463
Ḩeşār-e Gelīān	id=g:131464
Qol Joq	id=g:131465
Ḩeşār-e Gowjeh Bāghī	id=g:131466
Ḩeşār-e Kūchek	id=g:131467
Ḩeşār	id=g:131468
Ḩeşār-e Ḩajj Shams‘alī	id=g:131469
Ḩeşār	id=g:131470
Ḩeşār-e Devīn	id=g:131471
Ḩeşār	id=g:131472
Ḩeşār-e Boz Jān	id=g:131473
Ḩeşār-e Bālā	id=g:131474
Ḩeşār-e Bālā	id=g:131475
Ḩeşārandaf	id=g:131476
Ḩesār-e Dīzaj	id=g:131477
Ḩeşār Deh	id=g:131478
Ḩeşār Dār	id=g:131479
Ḩeşārcheh	id=g:131480
Kūh-e Ḩeşār Bolāghī	id=g:131481
Ḩeşār-e Amīr	id=g:131482
Ḩeşārak	id=g:131483
Ḩeşārak	id=g:131484
Ḩeşārak	id=g:131485
Ḩeşār-e ‘Abd ol Karīm	id=g:131486
Ḩeşārābād	id=g:131487
Rūdkhāneh-ye Ḩeşār	id=g:131488
Rūd-e Khosrowābād	id=g:131489
Ḩeşār	id=g:131490
Ḩeşār	id=g:131491
Ḩeşārī-ye Gāzerānī	id=g:131492
Ḩeşār	id=g:131493
Ḩeşār	id=g:131495
Ḩeşār	id=g:131496
Ḩeşār	id=g:131497
Ḩeşār	id=g:131498
Ḩeşār	id=g:131499
Ḩeşār	id=g:131500
Ḩeşār	id=g:131501
Ḩeşār	id=g:131503
Ḩeşār	id=g:131504
Ḩeşār	id=g:131505
’eşār	id=g:131506
Ḩeşār	id=g:131507
Ḩesāmī	id=g:131508
Ḩesāmābād	id=g:131509
Ḩesāmābād	id=g:131510
Ḩesāmābād	id=g:131511
Ḩeşāmābād	id=g:131512
Ḩesāmābād	id=g:131513
Ḩesāmābād	id=g:131514
Herū	id=g:131515
Hart Kolā	id=g:131516
Hīrtā	id=g:131517
Khersīyūn	id=g:131518
Rūd-e Herowābād	id=g:131519
Harnāshak	id=g:131520
Ḩermī-ye Anārī	id=g:131521
Ḩarm-e Yak	id=g:131522
Tall-e Hermī	id=g:131523
Hermī-ye Shīlow	id=g:131524
Hermānak-e ‘Olyā	id=g:131525
Horgān	id=g:131526
Herīs	id=g:131527
Herīs	id=g:131528
Herīs	id=g:131529
Harīgān	id=g:131530
Heravī	id=g:131531
Herbedān	id=g:131532
Hīrvī	id=g:131533
Harang	id=g:131534
Harābarjān	id=g:131535
Harbāl	id=g:131536
Herā’	id=g:131537
Galū Ḩannā	id=g:131538
Kūh-e Hangarān	id=g:131539
Tangeh-e Hengām	id=g:131540
Khammāsī	id=g:131541
Bandar-e Hengām	id=g:131542
Kūh-e Hengām	id=g:131543
Jazīreh-ye Hengām	id=g:131544
Henkāhī	id=g:131545
Heneshk	id=g:131546
Heneshk	id=g:131547
Kūh-e Henek	id=g:131548
Hend Zamīn	id=g:131549
Hendūkosh	id=g:131550
Hendūdūr	id=g:131551
Hendūābād	id=g:131552
Jazīreh-ye Hendūrābī	id=g:131553
Hendūrābī	id=g:131554
Hend Kandī	id=g:131555
Hendīz	id=g:131556
Hendīman	id=g:131557
Hendīleh	id=g:131558
Hendījān	id=g:131559
Hendī Bolāgh	id=g:131560
Hendeh Rastān	id=g:131561
Hendelābād	id=g:131562
Hend Khāleh (1)	id=g:131563
Hend Chūb	id=g:131564
Kūh-e Hendeh	id=g:131565
Hendeh	id=g:131566
Hendevālān	id=g:131567
Kūh-e Ḩanā‘ī	id=g:131568
Hemmatābād-e Zamānī	id=g:131569
Hemmatābād	id=g:131570
Hemmatābād	id=g:131571
Hemmatābād	id=g:131572
Hemmatābād	id=g:131573
Hemmatābād	id=g:131574
Hemmatābād	id=g:131575
Hemmatābād	id=g:131576
Hemmatābād	id=g:131577
Hemmatābād	id=g:131578
Hemmatābād	id=g:131579
Hemmatābād	id=g:131580
Hemmatābād	id=g:131581
Hemmatābād	id=g:131583
Hemmatābād	id=g:131584
Hemmatābād	id=g:131585
Hemmatābād	id=g:131586
Nowrūzābād	id=g:131587
Hemmatābād	id=g:131588
Hemmatābād-e Pā‘īn	id=g:131589
Hemmatābād	id=g:131590
Hemmatābād	id=g:131591
Hemmatābād	id=g:131592
Hemmat	id=g:131593
Halveh-ye Bozorg	id=g:131594
Halārang	id=g:131595
Halpah’ī	id=g:131596
Rūdkhāneh-ye Ḩelleh	id=g:131597
Helkār-e Pā’īn	id=g:131598
Helkār-e Bālā	id=g:131599
Halālī-ye Manşūrī	id=g:131600
Halālī	id=g:131601
Halāleh-ye ‘Abdollāh Khān	id=g:131603
Halāleh-ye Manzel	id=g:131604
Helālābād	id=g:131605
Helār	id=g:131606
Hellak	id=g:131607
Halāgharreh	id=g:131608
Helābād	id=g:131609
Ḩekmatābād	id=g:131610
Hejrak	id=g:131611
Hejrak	id=g:131612
Rūdkhāneh-ye Hejdak	id=g:131613
Hojedk	id=g:131614
Kūh-e Ḩejāj	id=g:131615
Ḩefz̧ābād	id=g:131616
Ḩeddeh	id=g:131617
Hedāyat	id=g:131618
Kūh-e Hedab	id=g:131620
Hīch Rūd	id=g:131621
Hebrān	id=g:131622
Ḩebāl	id=g:131623
Ḩazrat-e Soleymān	id=g:131624
Zīāratgāh-e Ḩaẕrat-e Amīr	id=g:131625
Qadamgāh-e Ḩaẕrat-e Amīr	id=g:131626
Qadamgāh-e Ḩaẕrat-e Amīr	id=g:131627
Qadamgāh-e Ḩaẕrat-e ‘Alī	id=g:131628
Qadamgāh-e Ḩaẕrat-e Amīr	id=g:131629
Ḩaẕrat-e ‘Abbās	id=g:131630
Ḩazī Kandī	id=g:131631
Emāmzādeh Amīr Ḩāẕer	id=g:131632
Ḩazbeh	id=g:131633
Hazāreh	id=g:131634
Hazār Shāh	id=g:131635
Kūh-e Hazār Māleh	id=g:131637
Hezār Khānī	id=g:131638
Hezārjarīb	id=g:131639
Hezārdīn Kūh	id=g:131640
Kūh-e Hezār Darreh	id=g:131641
Kūh-e Hezār	id=g:131642
Ḩayyeh	id=g:131643
Hāyeţ	id=g:131644
Ḩayāvīyeh	id=g:131645
Ḩayāvī	id=g:131646
Ḩayāt ol Gheyb	id=g:131647
Ḩayātī	id=g:131648
Ḩayāder	id=g:131649
Ḩavīr	id=g:131650
Ḩavīq	id=g:131651
Havīleh	id=g:131652
