Al Qusum	id=g:173315
Şurrat Hatīla	id=g:385861
Şurrat Ḩafā’ir	id=g:385862
Ḩāsīyat ar Rifān	id=g:385865
Ḩāsīyat ‘Abīd	id=g:385866
Ḩāsīyat Jidū	id=g:385867
Ḩāsīyat Ḩājī	id=g:385868
Ḩāsīyat Sawāwīm	id=g:385869
Ḩāsīyat al Bilālī	id=g:385870
Maqbarat al Ma‘ādī	id=g:385871
Maqbarat Maz̧har	id=g:385872
Wādī er Ramta	id=g:385873
Wādī as Samrā’	id=g:385875
Maqbarat al Ḩalaf	id=g:385877
Wādī ‘Uwaynah	id=g:385878
Wādī al Abyaḑ	id=g:385879
Wādī as Sirt	id=g:385880
Wādī as Sayl	id=g:385882
Bi’r al Matha	id=g:385883
Maqbarat Dablān	id=g:385889
Maqbarat as Sitt	id=g:385890
Wādī Fulaytah	id=g:385891
Tall aţ Ţafrān	id=g:385897
Ḩawījat ash Shuwayt	id=g:385901
Mazār al Ḩājj Jibārah	id=g:385905
Mazār Bint ash Shaykh Jābir	id=g:385906
Jabal Mashtalah	id=g:385909
Maqbarat Fendī	id=g:385910
Maqbarat Dalāi	id=g:385911
Mazār ash Shaykh ‘Alī	id=g:385912
Jazīrat Ḩusayn an Najarīs	id=g:385913
Jabal Masa’ikh	id=g:385914
Fayḑat Tuffāḩ	id=g:385917
Rujm Huwaysh	id=g:385918
Wādī Sayyid Ḩuwaysh	id=g:385919
Wādī Sayyid Huwaysh	id=g:385920
Wādī al Maraḑ	id=g:385922
Wādī al Jāzā	id=g:385923
Wādī Khamāsh	id=g:385924
Wādī Khalāiu	id=g:385925
Wādī Khalīfah	id=g:385926
Ḩudaymah	id=g:385934
Gīr Shanni	id=g:386017
Ḩammārah	id=g:386019
Tall Ḩāyid	id=g:386020
Matlūtah ‘Arīḑah	id=g:386022
Matlūtah aş Şaghīrah	id=g:386023
Jalaq	id=g:386024
Khirt Khār	id=g:386025
Matlūtah al Kabīrah	id=g:386028
Tall Zanātrī	id=g:386041
Tall Farfarah	id=g:386045
Tall Banadūrah	id=g:386047
Tall ash Shaykh Salīm	id=g:386049
Tall Abū Khazaf	id=g:386050
Tall Sharmūkh	id=g:386052
Tall Bushrīyah	id=g:386054
Tall ad Dabbān	id=g:386056
Tall Daljā	id=g:386106
Tall ‘Abdū	id=g:386107
Al Uşayli‘	id=g:386113
Tall Nā‘ūr	id=g:386116
An Nāşirīyah	id=g:386117
Abū Ḩajar	id=g:386120
Tall Mashḩan	id=g:386121
Umm al ‘Iz̧ām	id=g:386122
An Nāşirīyah ash Sharqīyah	id=g:386123
Al Būthah	id=g:386124
As Su‘ūdīyah	id=g:386125
Al Ḩurrīyah	id=g:386126
Tall as Sarah	id=g:386127
Tall at Tamr	id=g:386128
Al Mustarīḩah	id=g:386129
Ad Duwaym	id=g:386130
Ash Sha‘fānīyah	id=g:386131
Al Būthah	id=g:386132
Al Junaydīyah	id=g:386133
Al Yūsufīyah	id=g:386135
Rumaylān Bāshā	id=g:386136
Rumaylān ash Shaykh	id=g:386137
Al Marjah	id=g:386138
Ţūbīyah	id=g:386140
Bāb al Ḩadīd	id=g:386142
Al Qāsimīyah	id=g:386143
Qīrū	id=g:386144
Tall Ḩamūkhan	id=g:386162
Tall Ḩaddād	id=g:386166
Maḩaţţat Bāb al Ḩadīd	id=g:386170
Ţallābah. Wādī	id=g:389951
Wādī al Khishām	id=g:389952
Wādī al Juwayf	id=g:389955
Fayḑat Barqah	id=g:389956
Ḩadd al Janūbī	id=g:389958
Shārat al Ḩadd al Janūbī	id=g:389960
Sabkhat Maq‘aţ	id=g:389963
Al Burghūth	id=g:389964
Ghadīr ath Thayb	id=g:389965
Al Mabaqq	id=g:389966
Khashmat ath Thayb	id=g:389967
Ar Raqqāşāt	id=g:389968
Ar Rafḑah	id=g:389969
Wādī Qa‘bān	id=g:390079
Al Qiţār	id=g:403399
Ţār Kharshah	id=g:403400
Al Bi‘ājāt	id=g:403401
Fayḑat Bi‘āj	id=g:403402
Ḩisyān aş Şawāb	id=g:403403
Wādī ar Ruţaymah	id=g:403404
Ţār al Mudayn	id=g:403408
Ţār al Wa‘r	id=g:403409
Al Bunayyah	id=g:403411
B’ir Makr al Ghadīr	id=g:403412
Wādī an Nutūlīyah	id=g:403414
Al Maḩaţţat ath Thānīyah	id=g:403416
Ad Duwaykhilah	id=g:403417
Wādī ad Duwaykhilah	id=g:403418
Baktāl	id=g:403419
Wādī Bi’r Rashīd	id=g:405314
Bi’r Mulayḩān	id=g:405315
Al Jarjārī	id=g:405316
Wādī Shu‘ayb Umm Ghurūbah	id=g:405317
Wādī al Gharbīyah	id=g:405318
‘Afrah	id=g:405319
Wādī ‘Afrah	id=g:405320
Habbāt ‘Afrah	id=g:405321
Bi’r az Zamah	id=g:405322
Wādī al Ḩamal	id=g:405323
Qarāt az Zarqā’	id=g:405324
Bi’r Maţlaq	id=g:405325
Qalīb Nadá	id=g:405326
Wādī Abū Ḩamdah	id=g:405327
Saqqār	id=g:405328
Wādī as Salinān	id=g:405329
Madīnah	id=g:405330
Ābār al ‘Abīd	id=g:405331
Bi’r Ḩamad al ‘Alī	id=g:405332
Kazmūr	id=g:405333
Wādī ash Shawk	id=g:405334
Ghadīr ‘Abd Allāh	id=g:405335
Kilkah	id=g:405336
Ḩawījah	id=g:405337
Wādī Shūlḩat al Khinzīr	id=g:405338
Bi’r Zuqum	id=g:405339
Wādī Ibn Maz‘al	id=g:405340
Bi’r Umm Ghurūbah	id=g:405341
Wādī al ‘Ināyāt	id=g:405342
Wādī aḑ Ḑabbāwīyah	id=g:405343
Fayḑat al Jīzah	id=g:405344
Bi’r Ghuraybah	id=g:405345
Bi’r Mashriq	id=g:405346
Bi’r al ‘Amá	id=g:405347
Wādī aţ Ţallābah	id=g:405348
Wādī Shu‘ayb as Sahl	id=g:406012
Wādī al Ḩasan	id=g:406014
Sa‘dah	id=g:406018
Al Ajrāsh	id=g:406025
Wādī al Mashhadānīyah	id=g:406033
Al Jarjārī	id=g:406059
Ḑahrat al Aḩmar	id=g:407134
Bi’r ‘Abd al Jizá	id=g:407138
Ḩarrat Umm ‘Uthayn	id=g:407151
Khabrat aş Şawwānah	id=g:407152
Rujm Bakr	id=g:407153
Khabrat Bakr	id=g:407154
Bayt Aḩmad Fāḑil	id=g:407155
Bayt Fulayjān	id=g:407156
Bayt Şaḩn	id=g:407157
Jabal Furū‘ Ţārāt al ‘Ulab	id=g:407158
Tulūl aş Şawt	id=g:407159
Tulūl al Ba‘īr	id=g:407160
Rujm Abū Qabr	id=g:407161
Wādī Ba‘īr	id=g:407162
Bi’r Ma‘arrat al ‘Awaḑ	id=g:407163
Tulūl al ‘Aythah	id=g:407165
Bayt Khalaf al ‘Azlī	id=g:407166
Bayt Şaḩn	id=g:407167
Khabrat at At Tanf	id=g:407175
Arḑ aḑ Ḑulay‘ah	id=g:407176
Qaysā	id=g:411203
Wādī ad Durayzīyah	id=g:411205
Wādī ‘Aryān	id=g:411206
Wādī al Maţitah	id=g:411207
Khabrat al Ḩudaylah	id=g:411208
Wādī Abū Khanāfis	id=g:412258
Wādī Abī Ţabaqah	id=g:412259
Bi’r al Ja‘farī	id=g:412260
Wādī Mawqi‘ as Sirr	id=g:412261
Wādī Namir	id=g:412262
Wādī Abū Halhal	id=g:412288
Wādī Mas‘ad	id=g:412289
Khabrat Ḩāwī Ḩusayn	id=g:412290
Bi’r Fāḑl	id=g:412291
Bi’r Sīs	id=g:412292
Baḩrat Sīs	id=g:412293
Wādī at Tays	id=g:412294
Bi’r Qaşşāb	id=g:412295
Nahr as Sadd	id=g:412296
Nahr Ḩārūsh	id=g:412297
Nahr al Qaşr	id=g:412298
Wādī al Fukhtah	id=g:412299
Nahr az Zakānī	id=g:412300
Wādī Ḩajar ash Shaykh	id=g:412301
Wādī al Ḩabash	id=g:412302
Birkat Sha‘yā	id=g:412303
Wādī al Baja‘	id=g:412304
‘Ayn Qaraḩtā	id=g:412305
‘Ayn Sīnahīnd	id=g:412306
Wādī ash Shūb	id=g:412307
‘Ayn Buḩnānā	id=g:412308
Wādī al Fatlah	id=g:412336
‘Ayn al Bayḑā’	id=g:412337
Wādī al Musayliḩah	id=g:412338
Wādī Umm Sunbūr	id=g:412339
Nahr al Ḩajar	id=g:412340
Nahr al Qā’id	id=g:412342
Masīl Hudayb ash Shamālī	id=g:412346
Masīl Hudayb	id=g:412348
Sāqiyat Umm Udhun	id=g:412351
Ghadīr Abū Ţār	id=g:412352
Bi’r Abū al Jarādhī	id=g:412353
Khabrat Shabakah	id=g:412354
Wādī as Sirrīyah	id=g:412375
Wādī Shuqūq	id=g:412376
Wādī Manqūrah	id=g:412378
Wādī Abū Dālah	id=g:412379
Bi’r al Afā‘ī	id=g:412380
Wādī Umm Ḩijār	id=g:412381
Wādī ‘Ayn at Tīnah	id=g:412382
Wādī al Wazzah	id=g:412383
Wādī Yaḩfūfah	id=g:412387
Tall Firfārah	id=g:412391
Tulūl Badr	id=g:412498
Sihām Īb al Qiblī	id=g:412499
Aş Şafā	id=g:412500
Arḑ al Lubbād	id=g:412501
Qabr Umm Mirzah	id=g:412502
Qabr al Quţnah	id=g:412503
Bi’r al Aşfar	id=g:412504
At Tubbah	id=g:412505
Khirbat Hāmān	id=g:412506
Khirbat Siḩr	id=g:412507
Khirbat Hamman	id=g:412508
Qaşr as Shabak	id=g:412509
Khirbat an Nammurah	id=g:412510
Khirbat Şarīm	id=g:412511
Qaber Ach-Sheikh Husien	id=g:412512
Kherbet el-Kaniseh	id=g:412522
Ar Rahba	id=g:412523
Arḑ Abū Khashībah	id=g:412524
Al Juwayf	id=g:412525
Tall al Wasţānī	id=g:412526
Tall al Qiblī	id=g:412527
Tall Shaybah	id=g:412528
Tall al Lişş	id=g:412529
Arḑ al Būzālīyah	id=g:412530
Tall Ja‘far	id=g:412531
Dayr ash Shamālī	id=g:412535
Dayr al Wasţānī	id=g:412536
Dayr al Janūbī	id=g:412537
Widyān aḑ Ḑibā‘	id=g:412538
Dabā‘īn al Maşarrah	id=g:412539
Arḑ ar Rawābī	id=g:412540
Jūrat aş Şurr	id=g:412541
Arḑ aş Şifr	id=g:412542
Tall aş Şakhīl	id=g:412543
Jabal Chirī	id=g:412544
Arḑ al Ḩamrā’	id=g:412545
Jabal al Mazār	id=g:412546
Jabal al Wa‘r	id=g:412547
Shaqīf an Nāqah	id=g:412548
Jabal al Ḩaşīyah	id=g:412549
Arḑ ‘Awjān	id=g:412550
Jabal Burayghīth	id=g:412551
Arāḑī Ramaḑān	id=g:412552
Ra’s Umm Dārīn	id=g:412553
Ash Shamīs	id=g:412554
Tall Dawkah	id=g:412555
Mutayrīk	id=g:412556
Al ‘Arīḑah	id=g:412557
Ash Shalīl	id=g:412558
Mazār al Ḩufayrīyah	id=g:412559
Mazra‘at al Hindī	id=g:412560
Mahaţţat al Ḩisān	id=g:412561
Mazra‘at al Bāshā	id=g:412562
Maqām ‘Izz ad Dīn	id=g:412563
Tall Umm Udhun	id=g:412564
Tall ‘Amūd al Khaymah	id=g:412565
Tall Abū al ‘Aysh	id=g:412566
Sabnah	id=g:412568
Sa‘nūr	id=g:412569
Arfalah	id=g:412570
Jubb al ‘Ajūz	id=g:412571
Al Ḩamrastah	id=g:412572
Tall Abū ash Shīn	id=g:412573
Umm Ḩirāj	id=g:412574
Tulūl Jabalah	id=g:412575
Tulūl al Ba‘īr	id=g:412583
Ḩuwayjat al ‘Abd	id=g:414016
Al Ḩafāyir	id=g:414751
Khuwaybīrā	id=g:414752
Şahāyim	id=g:414753
Rujm Khuwaybīrā	id=g:414754
Khuwaybīrā Fawqānī	id=g:414755
As Sayḩah	id=g:414756
Al Ḩasw	id=g:414757
Rujm al Hajjānah	id=g:414758
Naşīb	id=g:414759
Fayyāḑ al Kaff	id=g:414760
Ḩusayn al Ḩajalah	id=g:414761
Al ‘Awādāt	id=g:414762
Al Khabrah	id=g:414763
Al Ḩajalah	id=g:414764
‘Abd al Khaznah	id=g:414765
Faq‘at Wādī aḑ Ḑab‘ah	id=g:414766
Wādī al Ḩumar	id=g:414767
Qabr Sallūm	id=g:414768
Ḩusayn ash Shaykh	id=g:414769
‘Alī ash Shāhīn	id=g:414770
Shāhīn	id=g:414771
Al Marfū‘ah	id=g:414772
Wādī Abū Fījah	id=g:414773
Al Qurşāt	id=g:414774
Busaylān	id=g:414775
Bayyūḑ	id=g:414776
Sīḩā	id=g:414777
Al Ḩulwā	id=g:414778
Ḩamdānīyah	id=g:414779
Sab‘ Judrān	id=g:414780
Nāyfah	id=g:414781
Mastūrah	id=g:414782
Salmāsā	id=g:414783
Al Maţ‘āfīyah	id=g:414784
Umm Kusūr	id=g:414785
Rujm ‘Umaydah	id=g:414786
Dākhilīyah	id=g:414787
Al Hārib	id=g:414788
Ghūnah	id=g:414789
Al Ghurayrīyah	id=g:414790
Ghabān	id=g:414791
Maţarī	id=g:414792
Ḩasan al ‘Alī	id=g:414793
Wādī Khuwaybīrā	id=g:414794
Ḩājj al Ḩamad	id=g:414795
Tall al Jābir	id=g:414796
Ad Duraysīyah	id=g:414797
Mulayḩān	id=g:414798
Shuwayḩān	id=g:414799
Ḩulwah	id=g:414800
Dār al Khaţţāb	id=g:414801
Abū Şakhrah Janūbī	id=g:414802
Abū Şakhrah Shamālī	id=g:414803
Ar Rūḩānīyah	id=g:414804
Abū Ḩadīd	id=g:414805
Al Ḩulw	id=g:414806
Al Faq‘ah	id=g:414807
Umm Mu‘ayzilah	id=g:414808
Aḑ Ḑabāwīyah	id=g:414809
Khumayshīyah	id=g:414810
Al Mastūr	id=g:414811
Ḩumaydīyah	id=g:414812
Ḩamdānīyah	id=g:414813
Şufyān	id=g:414814
Ḩumaydah	id=g:414815
Al Mazār	id=g:414816
Al Ḩaşwah Taḩtānī	id=g:414817
Al Ḩaşwah Fawqānī	id=g:414818
Qabr ash Shaykh Şalāḩ	id=g:414819
Wādī al Ḩaşw	id=g:414821
Ḩuwayzīyah	id=g:414822
Umm Ḩajarah	id=g:414823
At Turmānīyah	id=g:414824
At Turaykimīyah	id=g:414825
Al Ḩuwaylīyah	id=g:414826
‘Ayn Ḩuwayzīyah	id=g:414827
Sulţān aḑ Ḑāhir	id=g:414828
Al Bāshīyah	id=g:414829
Al Khūfah	id=g:414830
Al Būţah	id=g:414831
Al Fayḑah	id=g:414832
Al Buwayr	id=g:414833
Sāqiyat al Ḩawl	id=g:414834
Qabr Salūbī	id=g:414836
Ad Dashīshah	id=g:414839
Şuwayyān	id=g:414840
As Sāybah	id=g:414841
Bi’r Hadaj	id=g:414842
Wādī ash Shawk	id=g:414843
Wādī al Quşaybah	id=g:414844
Wādī adh Dhībān	id=g:414845
Shārat Sharqī Ḩaramūn	id=g:416386
Shārat Wasaţ Ḩaramūn	id=g:416387
Kawās	id=g:416389
Ad Darbāshīyah	id=g:416391
Suḩaytā	id=g:416394
Al Mamşūrah	id=g:416395
Al Fājir	id=g:416419
Kufayrah	id=g:416420
Ad Dalwah	id=g:416421
Ruwayḩibah	id=g:416422
Ad Dalwah	id=g:416432
Dhū Marḩā	id=g:416433
‘Uyūn al Ḩajal	id=g:416434
Arḑ Umm an Nashāyil	id=g:420022
Arḑ Ḑabbah	id=g:420023
Maghārat Umm an Nīrān	id=g:420024
Khabrat al Mu‘ayrādah	id=g:420025
Tall Maḩrūthah	id=g:420026
Ḩarrat Sidraythah	id=g:420027
Tall Mukayḩilāt	id=g:420028
Darāyir Shamālī	id=g:420029
Tall Ḩuwaymil	id=g:420030
Tall Umm Masrajah	id=g:420031
Tall ‘Āmūd al Khaymah	id=g:420032
Rujm at Tamr	id=g:420033
Rujm al ‘Ayshah	id=g:420034
Tulūl Umm ruqaybah	id=g:420035
Tall Mallāḩah	id=g:420036
Tulūl al Muḩaddad	id=g:420037
Khabrat Maḩrūthah	id=g:420038
Khabrat ar Rāhibah	id=g:420039
Khabrat Nāfil	id=g:420040
Khabrat al ‘Abd	id=g:420041
Khabrat ash Shāshīḩī	id=g:420042
Qā‘ al Barīdīyah	id=g:420043
Qā‘ Abā al Muḩayr	id=g:420044
Minqār Raḩbah	id=g:420045
Jabal Umm ‘Ushayn	id=g:420046
Ru’ūs Shukūk Buţum	id=g:420047
Jabal Abū Dālah	id=g:420048
Jabal al Baydah	id=g:420049
Rujm Bakr	id=g:420050
Rujm al Buwayb	id=g:420051
Arḑ Bint Samrah	id=g:420052
Ḩurayrat al Ḩāwī	id=g:420053
Arḑ Amīrah	id=g:420054
Ḩarrat al Ibil	id=g:420055
Ḩarrat Umm Raḩīl	id=g:420056
Ruḩyt as Samrā	id=g:420057
Darāyir Qiblī	id=g:420058
Mukayman Ţalāl	id=g:420059
Mukayman Şalībī	id=g:420060
As Sirrīyāt	id=g:420061
Thanīyah Waḑḩath	id=g:420062
Thanīyat al Yāridah	id=g:420063
Qabr ‘Īd	id=g:420064
Qabr ‘Ayyād	id=g:420065
Wādī al Jārayn	id=g:420066
Wādī al Marāmah	id=g:420067
Wādī Julayghim	id=g:420068
Wādī as Suḩaylī	id=g:420069
Wādī Murrah	id=g:420070
Wādī al Hayl	id=g:420071
Wādī al Ibl	id=g:420072
Wādī Sadd Rayshah	id=g:420073
Wādī at Tays	id=g:420074
Wādī al Hawāyā	id=g:420075
Wādī aş Şawt	id=g:420076
Wādī Wuţayd	id=g:420077
Wādī Shutaynāt Sab‘ Ābār	id=g:420078
Wādī Abū Qabr	id=g:420079
Wādī as Sirrī	id=g:420080
Wādī al Mantūrah	id=g:420081
Wādī Maḩassah	id=g:420082
Wādī Barghash	id=g:420083
Birkat al Alījah	id=g:420084
Bi’r Asmar	id=g:420085
Bi’r ar Raddāmah	id=g:420086
Bi’r al Ḩayl at Taḩtānī	id=g:420087
Bi’r at Tays	id=g:420088
Bi’r at Tays al Baţnī	id=g:420089
Bi’r at Tays al Ḩaḑarī	id=g:420090
Bi’r al Ḩayl al Fawqānī	id=g:420091
Bi’r al Ḩayl al Wasţānī	id=g:420092
Bi’r Wulayḩij	id=g:420093
Bi’r al Qa‘qa‘	id=g:420094
Bi’r Khān al Manqūrah	id=g:420095
Birkat Ḩasan	id=g:420096
Jabal Ghurāb al Haddālī	id=g:420097
Ḑahrat al Ḩuwār	id=g:420105
Wādī al ‘uwaynah	id=g:420106
Mazra‘at Abū Ribāḩ	id=g:420107
Bi’r Sumnat al Qiblīyah	id=g:420108
Sumnat	id=g:420109
Qādirīyah	id=g:420110
Mazra‘at Bajārīyah	id=g:420111
Şabūrah	id=g:420112
Ḩarfūshīyah	id=g:420113
Shuhayb	id=g:420114
Fawrā	id=g:420115
Ashuwayḩah	id=g:420116
Rasm as Salīm	id=g:420117
Khanāfis	id=g:420118
Al Mufţayḩah	id=g:420119
Khirbat Junaynah	id=g:420120
Al Jūmā	id=g:420121
Ray‘ al Hawā	id=g:420122
Qabr Maḩmūd	id=g:420123
Şalbīyah	id=g:420124
Wādī ash Shamālī	id=g:420125
Wādī al Ḩaşīd	id=g:420126
Ḩamādat al ‘Amr	id=g:420127
Wādī al ‘Iz̧ām	id=g:420128
Al Mushayrifah	id=g:420129
Rasm ash Shaykh	id=g:420130
Jubb al Us̄d	id=g:420131
As Salālīyah	id=g:420132
Rasm al ‘Ālī	id=g:420133
Jubb az Za‘tar	id=g:420134
‘Ullīyat al Qasţal	id=g:420135
Tall az Zabīb	id=g:420136
Bi’r al Ghazālah	id=g:420137
Mustarīḩat Ţahmāz	id=g:420138
Mubaţţan Ţahmāz	id=g:420139
Judaydah	id=g:420140
Abū Kahf	id=g:420141
Rasm Abū al Fashāfish	id=g:420142
Ruwaydā	id=g:420143
Abū Ḩakfā	id=g:420144
Jubb ‘Iīd	id=g:420145
Ḩarmalā	id=g:420146
Jabal Maksar as Sallūqīyah	id=g:420147
Minţār al Hijānah	id=g:420148
Rasm at Tīnah	id=g:420149
Maksar ash Shamālī	id=g:420150
Maksar al Janūbī	id=g:420151
‘Abd al Amīr	id=g:420152
Ar Rawḑah	id=g:420153
Al Ḩasāw	id=g:420154
Wādī Muhrah	id=g:420155
Wādī al Gharīb	id=g:420156
Bi’r as S̄yb	id=g:420157
Wādī az Zārūb	id=g:420158
Wādī al ‘Ammūr	id=g:420159
Rasm al Firdāwī	id=g:420160
Rasm Abū Sūr	id=g:420161
Bi’r al Az īb al Gharbī	id=g:420162
Bi’r al Azīb ash Sharqī	id=g:420163
Al Laḩm	id=g:420164
Rujm al Baghl	id=g:420165
Wādī al Buţm	id=g:420166
Buţmāt al Ḩawīyat	id=g:420167
Bayyād	id=g:420168
Fāyij Ţahmāz	id=g:420169
Al Ḩaddāj	id=g:420170
Wādī Rīf an Ni‘āj	id=g:420171
Rasm Kaddūsh	id=g:420172
Bi’r ‘Bayyān	id=g:420173
Rasm as Suwwānah	id=g:420174
Rasm Murda‘ānah	id=g:420175
Jabal Shafā al Ḩanīn	id=g:420176
Wādī Ḩissāyah	id=g:420177
Wādī ‘Adrā	id=g:420178
Wādī al Qulayb	id=g:420179
Wādī Ardāt	id=g:420180
Jubb al ‘Awār	id=g:420181
Rasm Jadīdah	id=g:420182
Jabal Ruwāq Ḩasāyah	id=g:420183
Wādī Khafyah	id=g:420184
Jubb Mardaghān	id=g:420185
Fayj Ḩisyah	id=g:420186
Jubb Sulaymān al Masrūqah	id=g:420187
Rasm Abū Albā	id=g:420188
Uwayjıyān	id=g:420313
Kūdū	id=g:420314
‘Ambārah	id=g:420315
Naqqārah	id=g:420316
Ḩājjī Badr	id=g:420317
Karī Sūd	id=g:420318
Tall ‘Awdat Ḩarb	id=g:420319
Tall Shawrak	id=g:420320
Al Kaytā	id=g:420321
Tulūl Muḩammad	id=g:420322
Uwaybah	id=g:420323
Tall Kīf Talmīkīyah	id=g:420324
Mazra‘at Tuwaym	id=g:420325
‘Amār Şaghīr	id=g:420326
‘Amār Kabīr	id=g:420327
Khibat ‘Ullīyah	id=g:420328
Khirbat Musaylah	id=g:420329
Tall Shaykh Hāmis	id=g:420330
Tall Karlū	id=g:420331
Qishlah	id=g:420332
Tall Ma‘arr	id=g:420333
Tall Barrī	id=g:420334
Tall ‘Azzānah	id=g:420335
Tall ‘Awladān	id=g:420336
Kūrdīs	id=g:420337
Khirbat al ‘Abb	id=g:420338
Tall Muḩammad ‘Alī	id=g:420339
Tall Damdam	id=g:420340
Kūrā Ḩasāwīk	id=g:420341
Binjā	id=g:420342
Zakī aş Şaghīr	id=g:420343
Zakī al Kabīr	id=g:420344
Tall ash Shaykh Sālim	id=g:420345
Ţarājīyah	id=g:420346
Tall Ḩmad	id=g:420347
Barzīyāt	id=g:420348
Tulūl Matlūtah	id=g:420349
Tall ‘Ara‘bah	id=g:420350
Tirbat Fāris	id=g:420351
Al Muzayrīb	id=g:420352
Umrīk	id=g:420353
Kuwayr Rāsh	id=g:420354
Tall as Sayyid	id=g:420355
Dayr Ayyūb	id=g:420356
Bāb Shinyāz	id=g:420357
‘Uţayljā	id=g:420358
Amīr Dāḩim	id=g:420359
Qubayq	id=g:420360
Durayjīk	id=g:420361
Kurd Aḩwal	id=g:420362
An Nafţīyah	id=g:420363
As Sa‘dīyah	id=g:420364
Tall Khalīl	id=g:420365
Tall ‘Aţshānah	id=g:420366
Karī Markah	id=g:420367
Karī Barrī	id=g:420368
Muḩaylah	id=g:420369
Tall Burhum	id=g:420370
Tall Abū Ḩajar	id=g:420371
Qaşrūk	id=g:420372
Tall Ḩujayr	id=g:420373
Ţawīl	id=g:420374
Tall Ţāyir	id=g:420375
Jalaq	id=g:420376
Tall Abū Qadīr	id=g:420377
Jilbārāt Ţayy	id=g:420378
Tall Muzamm	id=g:420379
Kalb A‘rāt	id=g:420380
Tulūl ‘Arjah	id=g:420381
Tall Hāmān	id=g:420382
Tall Jāmūs	id=g:420383
Sulţān at Tulūl	id=g:420384
Tall ‘Aqlah	id=g:420385
Tall Ḩamīd	id=g:420386
Tall Mistī	id=g:420387
Maksar at Tawr	id=g:420388
Khuwaym ad Daym	id=g:420389
Tall Akhū Dilshah	id=g:420390
Tall Ḩāyyir	id=g:420391
Tall As Sarāyā	id=g:420392
Kalb aţ Ţāsh	id=g:420393
Tall Kurayfāt	id=g:420394
Tall Al ‘Arab	id=g:420395
Karhūk	id=g:420396
Wādī Khunayzīr	id=g:420397
Ash Shamsīyah	id=g:420398
Jabal Āghā	id=g:420399
Wādī Bāb al Ḩadīd	id=g:420400
Al ‘Abbāsīyah	id=g:420401
‘Alī Kūz	id=g:420402
‘Alyān	id=g:420403
Umm ar Rummān	id=g:420404
Al Ḩamrā’	id=g:420405
Tall ad Durrah	id=g:420406
Tall al A‘war	id=g:420407
Aţ Ţalī‘ah	id=g:420408
Tall Umayyah	id=g:420409
Abū ‘Ujaylah	id=g:420410
Ad Dayr al Qadīm	id=g:420411
Abū Bakr	id=g:420412
Al ‘Āmirīyah	id=g:420413
Ismā‘īlīyah	id=g:420414
Ḩayākah	id=g:420415
Qilqīlyā	id=g:420416
As Safḩ	id=g:420417
Tall aş Şidq	id=g:420418
Bāb al Hawá	id=g:420419
Qaḑā’ Rajab	id=g:420420
Yūnisīyah	id=g:420421
‘Akkā	id=g:420422
Dayr Yāsīn	id=g:420423
Al Qaşr	id=g:420424
Mazra‘at ash Shāţi’	id=g:420425
Al Aḩmadīyah	id=g:420426
An Namūrajīyah	id=g:420427
Qayşarīyat al Fawqānī	id=g:420428
Az Zahrīyah at Taḩtānīyah	id=g:420429
Ḩayfā	id=g:420430
Tall Shams	id=g:420431
Wādī al Burj al Akhḑar	id=g:420432
Sharm ash Shaykh	id=g:420433
Ar Rashīdīyah	id=g:420434
Tall Aşfar	id=g:420435
Tall Fakhkhār	id=g:420436
Tall Aswad	id=g:420437
Khirbat al Wālid	id=g:420438
Mazra‘at Jāmūs al Gharbīyah	id=g:420439
Al Marj al Akhḑar	id=g:420440
Mazra‘at Jāmūs ash Sharqīyah	id=g:420441
‘Ayn ‘Akfat al Ma‘lajī	id=g:420442
Tall al Aḩmar	id=g:420443
Kaff al Aswad	id=g:420444
Umm at Tulūl	id=g:420445
Al Ḩammām	id=g:420446
Ḩamdān	id=g:420447
Wādī Suwās	id=g:420448
Khirbat ‘Izz ad Dīn	id=g:420449
Al Walīd	id=g:420450
Bi’r Ibrāhīm Āghā	id=g:420451
Khirbat al Bi’r	id=g:420452
Brīfā	id=g:420790
Dāqūrīyah	id=g:420791
Qarnaqūr	id=g:420792
Kawdaḩ	id=g:420793
Kirbaţlī	id=g:420794
Ţūbū Fawqānī	id=g:420795
Ţūbū Taḩtānī	id=g:420796
Şūghānah Fawqānī	id=g:420797
Şūghānah Taḩtānī	id=g:420798
Kuwayrī Kūtshīyān	id=g:420799
Dāqūrīyah	id=g:420800
Kākūrah	id=g:420801
Tall Būm	id=g:420802
Barrkafrī	id=g:420803
Yārmijah	id=g:420804
Tall Waḩshak	id=g:420805
‘Iīdah	id=g:420806
Awkīr Taḩtānī	id=g:420807
Awkīr Fawqānī	id=g:420808
Ḩaswāsū	id=g:420809
Jawrakat Dāqūrīyah	id=g:420810
Kirkat Dāqūrīyah	id=g:420811
Jūl Bustān	id=g:420812
Hafdā Kuwayr	id=g:420813
Kāwī	id=g:420814
Kawbar Kaffār	id=g:420815
Wirtān	id=g:420816
Tall Nūrak	id=g:420817
Ball	id=g:420818
Na‘mālīyah	id=g:420819
Kawlah	id=g:420820
Tall Birkīl Bawz	id=g:420821
Birkīl Bawz	id=g:420822
Rujūbat al Furs	id=g:420823
Kashkashūk	id=g:420824
Kawn ‘Aţţār	id=g:420825
Kildānīn	id=g:420826
Jabal Ar RaH̱īs Juraynās	id=g:420827
Ashūrīyīn	id=g:420828
Al Ḩanqazah	id=g:420829
Tuwaynah	id=g:420830
